"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","13.04","13.16","13.17","13.03","8.25M","-1.44%"
"Oct 28, 2019","13.23","13.27","13.28","13.16","9.29M","0.76%"
"Oct 25, 2019","13.13","13.16","13.19","13.07","6.34M","-0.30%"
"Oct 24, 2019","13.17","13.17","13.20","13.05","4.49M","0.53%"
"Oct 23, 2019","13.10","13.20","13.23","13.10","4.94M","-0.76%"
"Oct 22, 2019","13.20","13.23","13.36","13.17","8.37M","-0.98%"
"Oct 21, 2019","13.33","13.55","13.58","13.24","7.37M","0.83%"
"Oct 18, 2019","13.22","13.32","13.33","13.14","7.72M","0.61%"
"Oct 17, 2019","13.14","13.64","13.65","13.09","8.12M","-2.45%"
"Oct 16, 2019","13.47","13.52","13.54","13.41","10.57M","1.28%"
"Oct 15, 2019","13.30","13.16","13.40","13.13","8.50M","1.53%"
"Oct 14, 2019","13.10","13.19","13.23","13.07","4.62M","0.77%"
"Oct 11, 2019","13.00","13.14","13.19","12.99","6.15M","1.96%"
"Oct 10, 2019","12.75","12.65","12.90","12.63","5.11M","2.74%"
"Oct 09, 2019","12.41","12.44","12.48","12.35","3.23M","1.14%"
"Oct 08, 2019","12.27","12.35","12.37","12.25","4.13M","-1.29%"
"Oct 07, 2019","12.43","12.35","12.53","12.33","1.51M","0.00%"
"Oct 04, 2019","12.43","12.39","12.45","12.30","2.01M","-0.40%"
"Oct 03, 2019","12.48","12.36","12.48","12.29","2.93M","-0.08%"
"Oct 02, 2019","12.49","12.64","12.66","12.46","4.83M","-1.89%"
"Oct 01, 2019","12.73","12.96","13.01","12.72","2.94M","-1.70%"
"Sep 30, 2019","12.95","12.89","12.98","12.85","1.23M","0.47%"
"Sep 27, 2019","12.89","12.98","13.01","12.81","1.61M","-0.69%"
"Sep 26, 2019","12.98","12.94","13.04","12.90","1.56M","0.00%"
"Sep 25, 2019","12.98","12.86","13.01","12.78","1.80M","-0.15%"
"Sep 24, 2019","13.00","13.30","13.32","12.95","5.34M","-2.99%"
"Sep 23, 2019","13.40","13.27","13.46","13.24","1.34M","-0.81%"
"Sep 20, 2019","13.51","13.63","13.63","13.46","2.73M","-0.88%"
"Sep 19, 2019","13.63","13.73","13.76","13.62","1.13M","-0.58%"
"Sep 18, 2019","13.71","13.77","13.79","13.51","4.34M","0.00%"
"Sep 17, 2019","13.71","13.67","13.76","13.63","2.05M","-0.44%"
"Sep 16, 2019","13.77","13.91","13.94","13.76","1.76M","-0.79%"
"Sep 13, 2019","13.88","14.02","14.07","13.85","2.76M","-0.22%"
