"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","18.10","18.09","18.22","18.02","60.60K","0.11%"
"Nov 19, 2019","18.08","18.02","18.11","17.88","168.20K","0.67%"
"Nov 18, 2019","17.96","18.25","18.39","17.85","289.30K","-1.32%"
"Nov 14, 2019","18.20","18.40","18.59","18.09","586.10K","-5.70%"
"Nov 13, 2019","19.30","19.11","19.49","19.06","207.30K","0.57%"
"Nov 12, 2019","19.19","19.42","19.47","19.07","148.20K","-0.98%"
"Nov 11, 2019","19.38","19.25","19.42","18.94","144.90K","0.62%"
"Nov 08, 2019","19.26","19.25","19.77","19.11","373.30K","-0.67%"
"Nov 07, 2019","19.39","18.93","19.39","18.85","262.20K","2.86%"
"Nov 06, 2019","18.85","18.76","18.89","18.47","152.20K","0.48%"
"Nov 05, 2019","18.76","18.95","19.03","18.66","126.90K","-0.79%"
"Nov 04, 2019","18.91","18.95","19.24","18.84","203.60K","-0.05%"
"Nov 01, 2019","18.92","18.21","18.94","18.21","404.30K","4.30%"
"Oct 31, 2019","18.14","18.15","18.21","17.95","229.90K","-0.06%"
"Oct 30, 2019","18.15","18.19","18.19","18.03","125.00K","-0.22%"
"Oct 29, 2019","18.19","18.23","18.28","18.08","164.20K","-0.27%"
"Oct 28, 2019","18.24","18.19","18.34","18.16","108.80K","0.27%"
"Oct 25, 2019","18.19","18.08","18.23","18.07","127.70K","0.28%"
"Oct 24, 2019","18.14","18.34","18.34","18.02","162.50K","-0.66%"
"Oct 23, 2019","18.26","18.31","18.41","18.21","105.40K","-0.38%"
"Oct 22, 2019","18.33","18.15","18.43","18.15","145.20K","0.55%"
"Oct 21, 2019","18.23","18.00","18.26","17.90","133.40K","1.79%"
"Oct 18, 2019","17.91","18.14","18.29","17.91","136.80K","-1.05%"
"Oct 17, 2019","18.10","18.13","18.36","18.10","132.20K","-0.60%"
"Oct 16, 2019","18.21","18.17","18.21","17.99","79.20K","0.22%"
"Oct 15, 2019","18.17","18.01","18.28","18.01","83.20K","0.50%"
"Oct 14, 2019","18.08","18.20","18.27","17.91","96.90K","-0.50%"
"Oct 11, 2019","18.17","18.00","18.30","18.00","183.10K","1.06%"
"Oct 10, 2019","17.98","18.04","18.23","17.97","110.30K","0.33%"
"Oct 09, 2019","17.92","17.77","18.10","17.75","90.00K","0.90%"
"Oct 08, 2019","17.76","18.05","18.10","17.62","212.30K","-1.66%"
"Oct 07, 2019","18.06","18.08","18.18","17.93","175.20K","0.00%"
"Oct 04, 2019","18.06","18.09","18.33","18.02","152.10K","-0.17%"
"Oct 03, 2019","18.09","18.09","18.17","17.70","168.70K","0.61%"
"Oct 02, 2019","17.98","18.04","18.40","17.76","318.70K","-0.33%"
"Oct 01, 2019","18.04","18.22","18.38","18.00","212.20K","-0.33%"
"Sep 30, 2019","18.10","18.25","18.47","18.10","140.60K","-1.04%"
"Sep 27, 2019","18.29","18.85","19.00","18.14","292.10K","-2.66%"
"Sep 26, 2019","18.79","18.30","18.88","18.29","549.30K","5.44%"
"Sep 25, 2019","17.82","17.70","17.94","17.60","167.50K","0.68%"
"Sep 24, 2019","17.70","18.06","18.06","17.67","155.10K","-1.99%"
"Sep 23, 2019","18.06","17.65","18.10","17.65","167.20K","2.56%"
"Sep 20, 2019","17.61","17.83","18.04","17.61","285.00K","-1.23%"
"Sep 19, 2019","17.83","18.18","18.27","17.76","375.70K","-2.03%"
"Sep 18, 2019","18.20","18.49","18.49","18.14","174.40K","-1.57%"
"Sep 17, 2019","18.49","18.17","18.49","18.02","158.60K","2.10%"
"Sep 16, 2019","18.11","18.53","18.53","17.90","262.10K","-1.20%"
