"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","5.09","5.07","5.14","5.05","270.79K","1.60%"
"Oct 25, 2019","5.01","5.02","5.14","5.00","339.43K","-0.60%"
"Oct 24, 2019","5.04","5.07","5.07","4.88","454.53K","-0.20%"
"Oct 23, 2019","5.05","4.96","5.09","4.94","188.32K","1.41%"
"Oct 22, 2019","4.98","5.02","5.12","4.97","414.75K","-0.99%"
"Oct 21, 2019","5.03","4.85","5.04","4.85","378.91K","5.01%"
"Oct 18, 2019","4.79","4.78","4.88","4.71","495.00K","0.42%"
"Oct 17, 2019","4.77","4.83","4.84","4.69","378.09K","-0.83%"
"Oct 16, 2019","4.81","4.77","4.98","4.77","863.14K","0.21%"
"Oct 15, 2019","4.80","4.61","4.82","4.55","462.64K","3.45%"
"Oct 14, 2019","4.64","4.54","4.66","4.42","224.27K","1.31%"
"Oct 11, 2019","4.58","4.56","4.62","4.50","902.03K","2.00%"
"Oct 10, 2019","4.49","4.52","4.59","4.48","538.60K","-0.66%"
"Oct 09, 2019","4.52","4.64","4.64","4.48","215.39K","-1.09%"
"Oct 08, 2019","4.57","4.59","4.64","4.51","287.18K","-1.72%"
"Oct 07, 2019","4.65","4.61","4.70","4.58","392.91K","0.43%"
"Oct 04, 2019","4.63","4.67","4.70","4.58","320.29K","-0.43%"
"Oct 03, 2019","4.65","4.50","4.70","4.48","288.57K","2.42%"
"Oct 02, 2019","4.54","4.61","4.71","4.48","514.52K","-2.58%"
"Oct 01, 2019","4.66","4.77","4.88","4.64","336.20K","-1.89%"
"Sep 30, 2019","4.75","4.65","4.77","4.61","462.10K","1.71%"
"Sep 27, 2019","4.67","4.67","4.79","4.63","382.66K","-0.85%"
"Sep 26, 2019","4.71","4.79","4.86","4.66","316.41K","-2.48%"
"Sep 25, 2019","4.83","4.74","4.88","4.70","256.31K","0.42%"
"Sep 24, 2019","4.81","5.06","5.07","4.78","407.31K","-5.50%"
"Sep 23, 2019","5.09","4.97","5.11","4.93","435.16K","1.39%"
"Sep 20, 2019","5.02","5.05","5.20","5.01","1.61M","-0.40%"
"Sep 19, 2019","5.04","5.11","5.17","5.02","336.16K","-0.79%"
"Sep 18, 2019","5.08","5.15","5.24","5.08","640.31K","-2.12%"
"Sep 17, 2019","5.19","5.45","5.46","5.16","763.96K","-5.46%"
"Sep 16, 2019","5.49","5.53","5.60","5.41","1.42M","3.98%"
"Sep 13, 2019","5.28","5.43","5.49","5.23","467.75K","-1.49%"
"Sep 12, 2019","5.36","4.99","5.38","4.95","1.50M","5.10%"
"Sep 11, 2019","5.10","5.18","5.29","5.06","525.33K","-0.58%"
"Sep 10, 2019","5.13","4.99","5.32","4.99","1.41M","3.43%"
"Sep 09, 2019","4.96","4.46","4.99","4.43","1.37M","12.73%"
"Sep 06, 2019","4.40","4.36","4.42","4.26","874.78K","0.92%"
"Sep 05, 2019","4.36","4.38","4.55","4.34","1.09M","0.93%"
"Sep 04, 2019","4.32","4.30","4.37","4.24","557.87K","2.37%"
"Sep 03, 2019","4.22","4.23","4.26","4.14","421.70K","-2.99%"
"Aug 30, 2019","4.35","4.38","4.49","4.33","494.96K","-0.68%"
"Aug 29, 2019","4.38","4.47","4.57","4.33","1.63M","-0.45%"
"Aug 28, 2019","4.40","4.44","4.61","4.38","1.34M","0.00%"
"Aug 27, 2019","4.40","4.57","4.58","4.35","1.08M","-2.65%"
"Aug 26, 2019","4.52","4.70","4.73","4.47","846.19K","-2.38%"
"Aug 23, 2019","4.63","4.64","4.74","4.56","722.58K","-0.86%"
"Aug 22, 2019","4.67","4.68","4.74","4.63","473.71K","0.21%"
"Aug 21, 2019","4.66","4.66","4.71","4.59","384.72K","1.75%"
"Aug 20, 2019","4.58","4.51","4.59","4.34","513.67K","0.88%"
"Aug 19, 2019","4.54","4.48","4.59","4.42","1.04M","3.42%"
"Aug 16, 2019","4.39","4.15","4.40","3.98","1.14M","6.04%"
"Aug 15, 2019","4.14","4.08","4.17","3.98","621.66K","0.49%"
"Aug 14, 2019","4.12","4.39","4.39","4.05","817.23K","-8.44%"
"Aug 13, 2019","4.50","4.40","4.67","4.39","732.85K","1.12%"
"Aug 12, 2019","4.45","4.68","4.72","4.43","590.60K","-5.52%"
"Aug 09, 2019","4.71","4.95","4.95","4.70","832.72K","-5.04%"
"Aug 08, 2019","4.96","5.09","5.10","4.95","696.89K","-1.39%"
"Aug 07, 2019","5.03","5.05","5.05","4.88","931.57K","-0.40%"
"Aug 06, 2019","5.05","4.86","5.24","4.78","982.43K","0.80%"
"Aug 05, 2019","5.01","5.17","5.17","4.96","618.21K","-5.47%"
"Aug 02, 2019","5.30","5.32","5.37","5.11","530.89K","-0.56%"
"Aug 01, 2019","5.33","5.63","5.70","5.33","755.09K","-6.49%"
