"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","11.73","11.76","11.98","11.50","8.04M","1.03%"
"Oct 25, 2019","11.61","10.50","11.65","10.22","15.27M","11.74%"
"Oct 24, 2019","10.39","10.31","10.47","10.21","9.92M","1.37%"
"Oct 23, 2019","10.25","10.48","10.51","10.14","11.57M","-2.01%"
"Oct 22, 2019","10.46","10.41","10.66","10.32","5.21M","0.29%"
"Oct 21, 2019","10.43","10.06","10.57","10.01","6.12M","4.61%"
"Oct 18, 2019","9.97","10.11","10.16","9.89","2.70M","-1.48%"
"Oct 17, 2019","10.12","10.18","10.23","10.01","2.90M","-0.49%"
"Oct 16, 2019","10.17","10.03","10.23","10.01","5.97M","1.50%"
"Oct 15, 2019","10.02","9.77","10.11","9.77","4.23M","2.35%"
"Oct 14, 2019","9.79","9.83","9.87","9.73","1.76M","-0.31%"
"Oct 11, 2019","9.82","9.74","10.10","9.65","6.48M","2.19%"
"Oct 10, 2019","9.61","9.59","9.83","9.54","3.87M","0.73%"
"Oct 09, 2019","9.54","9.44","9.57","9.35","5.26M","2.03%"
"Oct 08, 2019","9.35","9.84","9.90","9.33","6.73M","-6.12%"
"Oct 07, 2019","9.96","9.86","10.12","9.86","3.41M","0.10%"
"Oct 04, 2019","9.95","9.97","9.98","9.80","5.66M","0.71%"
"Oct 03, 2019","9.88","10.07","10.11","9.74","4.82M","-1.98%"
"Oct 02, 2019","10.08","10.21","10.24","10.00","7.80M","-2.51%"
"Oct 01, 2019","10.34","10.57","10.66","10.26","3.69M","-1.15%"
"Sep 30, 2019","10.46","10.44","10.52","10.37","3.59M","0.77%"
"Sep 27, 2019","10.38","10.48","10.56","10.33","2.71M","-1.14%"
"Sep 26, 2019","10.50","10.53","10.55","10.41","3.24M","-0.19%"
"Sep 25, 2019","10.52","10.22","10.59","10.22","3.65M","2.94%"
"Sep 24, 2019","10.22","10.65","10.80","10.21","4.87M","-2.85%"
"Sep 23, 2019","10.52","10.43","10.58","10.37","2.47M","0.38%"
"Sep 20, 2019","10.48","10.69","10.74","10.45","2.59M","-1.78%"
"Sep 19, 2019","10.67","10.72","10.77","10.61","2.48M","-0.28%"
"Sep 18, 2019","10.70","10.72","10.86","10.54","2.76M","-0.28%"
"Sep 17, 2019","10.73","10.63","10.80","10.59","3.81M","-0.65%"
"Sep 16, 2019","10.80","10.77","10.93","10.72","1.77M","-0.55%"
"Sep 13, 2019","10.86","10.98","11.02","10.84","2.12M","-0.55%"
"Sep 12, 2019","10.92","10.77","11.07","10.58","4.73M","1.20%"
"Sep 11, 2019","10.79","10.84","10.89","10.65","3.42M","-0.46%"
"Sep 10, 2019","10.84","10.53","10.88","10.46","3.62M","2.75%"
"Sep 09, 2019","10.55","10.25","10.60","10.21","4.09M","3.13%"
"Sep 06, 2019","10.23","10.42","10.45","10.21","5.82M","-1.45%"
"Sep 05, 2019","10.38","10.00","10.40","9.96","4.09M","5.81%"
"Sep 04, 2019","9.81","9.62","9.83","9.56","4.85M","3.15%"
"Sep 03, 2019","9.51","9.54","9.62","9.41","3.33M","-1.25%"
"Aug 30, 2019","9.63","9.73","9.76","9.55","2.86M","0.52%"
"Aug 29, 2019","9.58","9.46","9.65","9.43","3.17M","3.46%"
"Aug 28, 2019","9.26","9.06","9.29","8.98","4.69M","1.65%"
"Aug 27, 2019","9.11","9.57","9.57","9.06","5.40M","-4.00%"
"Aug 26, 2019","9.49","9.89","9.89","9.44","5.38M","-2.27%"
