"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","53.15","54.14","54.14","53.15","13.53K","-2.28%"
"Oct 28, 2019","54.39","53.96","56.09","53.96","373.24K","1.10%"
"Oct 25, 2019","53.80","53.54","54.45","53.11","133.47K","0.81%"
"Oct 24, 2019","53.37","53.78","53.78","52.05","285.20K","0.55%"
"Oct 23, 2019","53.08","54.30","54.40","52.95","200.14K","-2.53%"
"Oct 22, 2019","54.46","53.98","55.00","53.62","216.74K","0.91%"
"Oct 21, 2019","53.97","53.40","55.06","53.40","230.14K","2.25%"
"Oct 18, 2019","52.78","52.07","52.98","52.05","245.66K","1.09%"
"Oct 17, 2019","52.21","51.50","52.47","51.46","181.03K","1.85%"
"Oct 16, 2019","51.26","51.43","52.29","51.20","142.00K","-0.43%"
"Oct 15, 2019","51.48","50.53","51.78","50.53","168.22K","2.14%"
"Oct 14, 2019","50.40","49.75","50.73","49.75","164.79K","0.80%"
"Oct 11, 2019","50.00","49.68","50.98","49.68","413.16K","2.69%"
"Oct 10, 2019","48.69","48.54","49.30","48.47","199.78K","0.60%"
"Oct 09, 2019","48.40","49.17","49.36","48.39","242.90K","-0.78%"
"Oct 08, 2019","48.78","49.98","50.22","48.65","220.50K","-3.86%"
"Oct 07, 2019","50.74","50.69","51.47","50.58","193.28K","-0.57%"
"Oct 04, 2019","51.03","50.89","51.48","50.47","241.91K","0.97%"
"Oct 03, 2019","50.54","50.69","51.11","50.05","229.41K","-0.22%"
"Oct 02, 2019","50.65","51.00","51.67","50.47","262.40K","-1.96%"
"Oct 01, 2019","51.66","52.76","53.23","51.01","465.60K","-1.22%"
"Sep 30, 2019","52.30","52.98","53.18","51.95","291.66K","1.32%"
"Sep 27, 2019","51.62","52.91","53.69","51.05","360.79K","-2.88%"
"Sep 26, 2019","53.15","53.41","53.68","52.76","240.05K","-0.65%"
"Sep 25, 2019","53.50","52.21","53.66","52.19","179.23K","2.53%"
"Sep 24, 2019","52.18","52.89","53.37","51.98","291.45K","-0.65%"
"Sep 23, 2019","52.52","52.77","52.94","51.91","189.01K","-0.68%"
"Sep 20, 2019","52.88","53.00","53.71","52.56","579.95K","-0.43%"
"Sep 19, 2019","53.11","54.25","54.60","53.11","401.54K","-2.51%"
"Sep 18, 2019","54.48","55.76","56.30","53.81","522.19K","-2.30%"
"Sep 17, 2019","55.76","54.77","56.28","54.28","200.67K","0.98%"
"Sep 16, 2019","55.22","55.51","56.61","55.21","270.85K","-1.36%"
"Sep 13, 2019","55.98","55.76","56.43","54.81","368.54K","0.85%"
"Sep 12, 2019","55.51","55.00","55.82","54.82","407.49K","0.23%"
"Sep 11, 2019","55.38","55.00","55.72","54.25","298.59K","0.64%"
"Sep 10, 2019","55.03","54.42","55.04","53.53","300.12K","0.82%"
"Sep 09, 2019","54.58","53.57","54.75","52.66","431.37K","1.39%"
"Sep 06, 2019","53.83","53.80","54.08","53.02","445.80K","0.09%"
"Sep 05, 2019","53.78","51.34","54.00","51.34","520.51K","4.79%"
"Sep 04, 2019","51.32","50.70","51.65","50.70","289.22K","2.27%"
"Sep 03, 2019","50.18","49.97","50.37","49.02","318.68K","-0.61%"
"Aug 30, 2019","50.49","51.11","51.11","49.74","331.61K","-0.43%"
"Aug 29, 2019","50.71","49.51","50.79","49.49","297.54K","4.51%"
"Aug 28, 2019","48.52","48.20","49.08","47.74","380.22K","0.23%"
"Aug 27, 2019","48.41","49.06","49.45","47.94","488.25K","-0.82%"
"Aug 26, 2019","48.81","48.56","49.26","47.74","658.20K","2.56%"
"Aug 23, 2019","47.59","48.10","49.23","47.29","649.84K","-1.65%"
"Aug 22, 2019","48.39","48.31","48.63","47.65","547.32K","0.81%"
"Aug 21, 2019","48.00","47.46","48.25","46.51","895.72K","3.31%"
"Aug 20, 2019","46.46","47.37","50.50","45.50","3.17M","-17.71%"
"Aug 19, 2019","56.46","56.09","57.01","55.89","547.92K","1.60%"
"Aug 16, 2019","55.57","53.20","55.85","52.86","312.60K","5.15%"
"Aug 15, 2019","52.85","52.82","52.98","51.51","223.55K","0.36%"
"Aug 14, 2019","52.66","53.59","53.94","52.03","226.80K","-4.36%"
"Aug 13, 2019","55.06","53.41","55.40","53.18","217.32K","2.90%"
"Aug 12, 2019","53.51","53.38","54.12","53.02","229.75K","-0.69%"
"Aug 09, 2019","53.88","54.05","54.08","52.57","358.86K","0.20%"
"Aug 08, 2019","53.77","51.74","53.93","51.74","250.76K","5.91%"
"Aug 07, 2019","50.77","49.67","51.27","49.55","188.40K","0.42%"
"Aug 06, 2019","50.56","49.96","50.96","49.64","391.57K","2.10%"
"Aug 05, 2019","49.52","49.63","50.07","48.91","514.00K","-2.88%"
"Aug 02, 2019","50.99","52.15","52.37","50.41","319.53K","-3.32%"
"Aug 01, 2019","52.74","53.94","55.11","52.18","346.59K","-1.75%"
"Jul 31, 2019","53.68","54.35","54.73","53.25","460.79K","-1.14%"
"Jul 30, 2019","54.30","54.35","55.02","54.04","330.48K","-1.16%"
"Jul 29, 2019","54.94","54.47","54.97","53.89","152.93K","0.68%"
"Jul 26, 2019","54.57","54.46","54.99","54.01","197.20K","0.52%"
"Jul 25, 2019","54.29","54.72","54.98","53.98","136.02K","-1.04%"
"Jul 24, 2019","54.86","53.57","55.11","53.50","282.58K","1.67%"
"Jul 23, 2019","53.96","53.08","54.04","52.63","272.01K","2.61%"
"Jul 22, 2019","52.59","52.53","53.59","52.40","218.71K","0.42%"
"Jul 19, 2019","52.37","52.32","52.83","52.17","280.33K","0.17%"
"Jul 18, 2019","52.28","52.36","52.52","51.62","152.69K","-0.40%"
"Jul 17, 2019","52.49","52.24","53.44","51.84","269.22K","0.52%"
"Jul 16, 2019","52.22","52.00","52.43","51.57","216.77K","0.35%"
"Jul 15, 2019","52.04","52.25","52.28","51.59","149.78K","-0.04%"
"Jul 12, 2019","52.06","51.55","52.41","51.51","176.99K","1.76%"
"Jul 11, 2019","51.16","51.42","51.50","50.80","219.40K","-0.25%"
"Jul 10, 2019","51.29","51.10","51.59","51.04","234.85K","0.94%"
"Jul 09, 2019","50.81","50.43","50.84","49.82","262.95K","1.17%"
"Jul 08, 2019","50.22","50.67","51.31","50.08","174.06K","-1.72%"
"Jul 05, 2019","51.10","50.59","51.20","49.87","123.30K","-0.18%"
"Jul 03, 2019","51.19","50.93","51.21","50.44","80.15K","0.85%"
"Jul 02, 2019","50.76","51.74","52.01","50.16","260.83K","-2.29%"
"Jul 01, 2019","51.95","51.80","52.86","51.35","524.52K","4.59%"
"Jun 28, 2019","49.67","49.95","50.55","49.31","1.55M","-0.48%"
"Jun 27, 2019","49.91","49.26","49.94","48.61","213.33K","2.46%"
"Jun 26, 2019","48.71","48.16","49.49","47.93","576.32K","2.48%"
"Jun 25, 2019","47.53","48.66","49.08","47.42","335.20K","-1.94%"
"Jun 24, 2019","48.47","49.66","50.09","48.44","323.84K","-2.38%"
"Jun 21, 2019","49.65","49.90","50.40","48.59","505.86K","-1.51%"
"Jun 20, 2019","50.41","49.98","50.59","49.37","453.11K","2.36%"
"Jun 19, 2019","49.25","49.89","49.91","49.03","379.42K","-1.24%"
"Jun 18, 2019","49.87","49.22","50.51","48.90","442.92K","2.42%"
"Jun 17, 2019","48.69","47.73","49.30","47.29","368.26K","2.20%"
"Jun 14, 2019","47.64","47.43","48.44","46.44","509.82K","-1.20%"
"Jun 13, 2019","48.22","46.47","48.35","46.39","569.87K","4.15%"
"Jun 12, 2019","46.30","46.75","47.19","46.00","354.45K","-1.47%"
"Jun 11, 2019","46.99","47.20","48.70","45.94","665.85K","0.62%"
"Jun 10, 2019","46.70","46.79","47.40","46.53","340.52K","0.60%"
"Jun 07, 2019","46.42","45.90","47.23","45.84","302.72K","0.45%"
