"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","20.63","20.45","20.71","20.38","2.16M","-1.43%"
"Oct 28, 2019","20.93","21.56","21.61","20.70","6.56M","-2.01%"
"Oct 25, 2019","21.36","20.58","21.41","20.53","5.03M","3.29%"
"Oct 24, 2019","20.68","21.99","22.01","20.34","13.82M","-11.77%"
"Oct 23, 2019","23.44","23.36","23.62","23.16","5.63M","-0.30%"
"Oct 22, 2019","23.51","23.29","23.73","23.18","3.60M","1.12%"
"Oct 21, 2019","23.25","23.07","23.43","23.07","2.93M","1.53%"
"Oct 18, 2019","22.90","23.13","23.31","22.78","4.03M","-0.43%"
"Oct 17, 2019","23.00","23.23","23.27","22.91","3.26M","-0.26%"
"Oct 16, 2019","23.06","23.34","23.56","23.02","2.64M","-0.73%"
"Oct 15, 2019","23.23","23.33","23.66","23.20","2.44M","-0.13%"
"Oct 14, 2019","23.26","23.13","23.48","23.03","2.64M","-0.89%"
"Oct 11, 2019","23.47","23.14","23.63","23.05","3.22M","2.40%"
"Oct 10, 2019","22.92","22.71","23.02","22.66","3.13M","1.33%"
"Oct 09, 2019","22.62","22.65","22.72","22.40","2.39M","1.21%"
"Oct 08, 2019","22.35","22.67","22.84","22.30","3.77M","-2.10%"
"Oct 07, 2019","22.83","23.15","23.28","22.82","2.38M","-1.30%"
"Oct 04, 2019","23.13","22.98","23.29","22.80","3.59M","0.04%"
"Oct 03, 2019","23.12","22.81","23.22","22.45","2.93M","1.09%"
"Oct 02, 2019","22.87","23.25","23.25","22.69","3.61M","-1.55%"
"Oct 01, 2019","23.23","24.02","24.14","23.05","4.18M","-3.77%"
"Sep 30, 2019","24.14","23.89","24.24","23.84","3.93M","-0.17%"
"Sep 27, 2019","24.18","24.01","24.57","23.73","6.07M","-0.37%"
"Sep 26, 2019","24.27","24.06","24.42","23.88","6.70M","-0.37%"
"Sep 25, 2019","24.36","23.44","24.45","23.43","5.87M","1.37%"
"Sep 24, 2019","24.03","24.43","24.48","23.80","3.11M","-2.04%"
"Sep 23, 2019","24.53","24.09","24.62","23.99","4.04M","0.57%"
"Sep 20, 2019","24.39","24.15","24.57","24.12","5.45M","1.62%"
"Sep 19, 2019","24.00","24.61","24.66","23.90","3.65M","-1.40%"
"Sep 18, 2019","24.34","24.23","24.47","24.09","4.02M","-0.73%"
"Sep 17, 2019","24.52","25.44","25.50","24.41","5.90M","-4.81%"
"Sep 16, 2019","25.76","26.48","26.53","25.62","7.09M","1.02%"
"Sep 13, 2019","25.50","25.30","25.80","24.91","3.32M","1.47%"
"Sep 12, 2019","25.13","24.72","25.36","24.49","5.21M","0.76%"
"Sep 11, 2019","24.94","25.83","25.95","24.79","5.72M","-2.99%"
"Sep 10, 2019","25.71","26.15","26.28","25.54","5.42M","-0.35%"
"Sep 09, 2019","25.80","25.60","26.07","25.47","3.60M","2.46%"
"Sep 06, 2019","25.18","25.67","25.69","25.07","3.50M","-2.18%"
"Sep 05, 2019","25.74","25.75","26.26","25.70","3.54M","1.38%"
"Sep 04, 2019","25.39","24.76","25.55","24.72","3.72M","3.80%"
"Sep 03, 2019","24.46","24.24","24.51","24.05","3.72M","-1.53%"
"Aug 30, 2019","24.84","24.92","25.04","24.56","3.32M","0.61%"
"Aug 29, 2019","24.69","24.85","25.05","24.45","4.36M","-0.16%"
"Aug 28, 2019","24.73","24.30","24.89","24.02","6.65M","0.04%"
"Aug 27, 2019","24.72","24.69","24.89","24.29","5.47M","2.96%"
"Aug 26, 2019","24.01","23.59","25.88","23.33","6.85M","3.94%"
"Aug 23, 2019","23.10","23.52","24.03","23.00","3.56M","-3.83%"
"Aug 22, 2019","24.02","24.18","24.36","23.97","2.45M","0.13%"
"Aug 21, 2019","23.99","24.24","24.34","23.92","1.88M","0.00%"
"Aug 20, 2019","23.99","24.12","24.12","23.78","2.90M","-1.32%"
"Aug 19, 2019","24.31","24.11","24.46","23.98","2.28M","2.31%"
"Aug 16, 2019","23.76","23.02","23.79","22.99","3.20M","3.21%"
"Aug 15, 2019","23.02","22.65","23.15","22.31","4.90M","-1.07%"
"Aug 14, 2019","23.27","23.50","23.63","22.89","5.20M","-4.55%"
"Aug 13, 2019","24.38","23.91","24.89","23.81","3.70M","1.46%"
"Aug 12, 2019","24.03","24.28","24.36","23.95","1.96M","-1.92%"
"Aug 09, 2019","24.50","24.72","24.79","24.40","2.34M","-3.01%"
"Aug 08, 2019","25.26","24.50","25.27","24.45","4.09M","3.31%"
"Aug 07, 2019","24.45","24.02","24.53","23.86","4.91M","-1.89%"
"Aug 06, 2019","24.92","24.93","25.10","24.27","3.43M","0.69%"
"Aug 05, 2019","24.75","24.97","25.16","24.43","3.78M","-3.55%"
"Aug 02, 2019","25.66","26.33","26.48","25.41","4.19M","-3.97%"
"Aug 01, 2019","26.72","27.21","27.32","26.29","4.15M","-2.98%"
"Jul 31, 2019","27.54","27.97","28.18","27.32","3.01M","-1.50%"
"Jul 30, 2019","27.96","27.71","28.08","27.49","4.15M","-0.78%"
