"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","5.750","5.760","5.830","5.705","4.92M","-2.04%"
"Oct 25, 2019","5.870","6.000","6.000","5.720","5.19M","0.51%"
"Oct 24, 2019","5.840","5.660","5.845","5.645","4.27M","3.73%"
"Oct 23, 2019","5.630","5.530","5.729","5.530","6.70M","3.87%"
"Oct 22, 2019","5.420","5.510","5.535","5.340","5.37M","-1.28%"
"Oct 21, 2019","5.490","5.680","5.700","5.450","4.22M","-1.61%"
"Oct 18, 2019","5.580","5.560","5.640","5.470","3.80M","-0.18%"
"Oct 17, 2019","5.590","5.450","5.670","5.425","5.37M","1.45%"
"Oct 16, 2019","5.510","5.500","5.520","5.395","4.17M","2.42%"
"Oct 15, 2019","5.380","5.590","5.660","5.355","7.53M","-4.61%"
"Oct 14, 2019","5.640","5.530","5.700","5.510","3.78M","2.73%"
"Oct 11, 2019","5.490","5.700","5.720","5.410","7.20M","-4.02%"
"Oct 10, 2019","5.720","5.600","5.770","5.490","8.87M","1.78%"
"Oct 09, 2019","5.620","5.520","5.665","5.520","4.96M","1.08%"
"Oct 08, 2019","5.560","5.560","5.600","5.450","6.13M","2.58%"
"Oct 07, 2019","5.420","5.300","5.450","5.270","7.28M","1.88%"
"Oct 04, 2019","5.320","5.160","5.360","5.130","7.06M","3.70%"
"Oct 03, 2019","5.130","5.130","5.310","5.120","8.16M","-0.97%"
"Oct 02, 2019","5.180","5.070","5.245","5.060","7.69M","2.98%"
"Oct 01, 2019","5.030","4.850","5.190","4.830","7.93M","2.24%"
"Sep 30, 2019","4.920","4.970","5.070","4.880","8.67M","-3.34%"
"Sep 27, 2019","5.090","5.120","5.235","5.070","9.86M","-3.05%"
"Sep 26, 2019","5.250","5.420","5.485","5.240","7.16M","-3.31%"
"Sep 25, 2019","5.430","5.400","5.500","5.340","11.57M","-0.55%"
"Sep 24, 2019","5.460","5.220","5.490","5.220","10.07M","2.63%"
"Sep 23, 2019","5.320","5.120","5.320","5.120","11.17M","2.90%"
"Sep 20, 2019","5.170","4.980","5.210","4.945","17.40M","4.66%"
"Sep 19, 2019","4.940","4.700","4.950","4.690","15.94M","6.01%"
"Sep 18, 2019","4.660","4.720","4.820","4.540","13.26M","0.22%"
"Sep 17, 2019","4.650","4.650","4.700","4.560","10.06M","0.65%"
"Sep 16, 2019","4.620","4.690","4.700","4.500","9.23M","1.99%"
"Sep 13, 2019","4.530","4.810","4.875","4.520","12.40M","-4.63%"
"Sep 12, 2019","4.750","5.240","5.285","4.730","14.91M","-3.46%"
"Sep 11, 2019","4.920","5.030","5.115","4.890","7.53M","-0.81%"
"Sep 10, 2019","4.960","5.050","5.145","4.940","10.47M","-2.55%"
"Sep 09, 2019","5.090","5.320","5.350","5.070","12.08M","-2.30%"
"Sep 06, 2019","5.210","5.520","5.570","5.200","11.71M","-4.93%"
"Sep 05, 2019","5.480","5.650","5.705","5.460","11.24M","-4.20%"
"Sep 04, 2019","5.720","5.730","5.790","5.660","7.91M","-1.38%"
"Sep 03, 2019","5.800","5.920","6.030","5.785","9.41M","-2.36%"
"Aug 30, 2019","5.940","5.800","6.110","5.780","5.58M","1.37%"
"Aug 29, 2019","5.860","5.960","6.010","5.780","6.59M","-2.33%"
"Aug 28, 2019","6.000","6.150","6.190","5.900","8.44M","-2.28%"
"Aug 27, 2019","6.140","6.050","6.240","6.035","10.84M","0.33%"
"Aug 26, 2019","6.120","6.110","6.174","6.020","8.42M","0.33%"
"Aug 23, 2019","6.100","5.880","6.110","5.845","15.19M","5.35%"
"Aug 22, 2019","5.790","5.850","5.895","5.680","6.48M","-0.34%"
"Aug 21, 2019","5.810","5.750","5.910","5.730","6.35M","-0.17%"
"Aug 20, 2019","5.820","5.500","5.920","5.460","7.21M","7.98%"
"Aug 19, 2019","5.390","5.130","5.495","5.112","8.68M","0.00%"
"Aug 16, 2019","5.390","5.190","5.410","5.180","7.90M","-0.92%"
"Aug 15, 2019","5.440","5.560","5.570","5.130","12.21M","-5.39%"
"Aug 14, 2019","5.750","5.830","5.970","5.740","8.23M","0.35%"
