"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","3.80","3.84","4.00","3.66","4.85M","2.15%"
"May 15, 2020","3.72","3.45","3.83","3.45","4.64M","4.49%"
"May 14, 2020","3.56","3.63","3.72","3.43","4.15M","-4.81%"
"May 13, 2020","3.74","3.33","3.76","3.16","5.31M","12.99%"
"May 12, 2020","3.31","3.47","3.56","3.31","2.76M","-3.22%"
"May 11, 2020","3.42","3.55","3.59","3.42","2.39M","-3.66%"
"May 08, 2020","3.55","3.60","3.65","3.47","2.74M","0.57%"
"May 07, 2020","3.53","3.78","3.81","3.53","3.54M","-4.85%"
"May 06, 2020","3.71","3.80","3.85","3.60","2.77M","-1.33%"
"May 05, 2020","3.76","3.85","3.88","3.70","2.42M","1.35%"
"May 04, 2020","3.71","3.80","3.94","3.66","3.04M","-4.87%"
"Apr 30, 2020","3.90","4.00","4.12","3.90","2.89M","-4.88%"
"Apr 29, 2020","4.10","3.99","4.28","3.95","5.33M","5.40%"
"Apr 28, 2020","3.89","3.86","3.95","3.77","2.56M","4.01%"
"Apr 27, 2020","3.74","3.68","3.80","3.61","2.71M","5.35%"
"Apr 24, 2020","3.55","3.97","3.98","3.49","5.42M","-12.13%"
"Apr 23, 2020","4.04","4.35","4.46","3.92","6.32M","-4.94%"
"Apr 22, 2020","4.25","3.85","4.25","3.82","4.74M","10.97%"
"Apr 20, 2020","3.83","3.78","3.94","3.73","1.97M","-0.78%"
"Apr 17, 2020","3.86","3.93","3.97","3.84","2.38M","0.78%"
"Apr 16, 2020","3.83","4.00","4.07","3.75","2.89M","-2.79%"
"Apr 15, 2020","3.94","3.74","3.99","3.61","3.76M","3.41%"
"Apr 14, 2020","3.81","4.00","4.12","3.80","5.00M","-2.06%"
"Apr 13, 2020","3.89","3.67","3.89","3.58","2.75M","5.14%"
"Apr 09, 2020","3.70","3.55","3.82","3.54","4.02M","5.71%"
"Apr 08, 2020","3.50","3.28","3.50","3.22","3.53M","7.03%"
"Apr 07, 2020","3.27","3.51","3.57","3.20","4.94M","-1.80%"
"Apr 06, 2020","3.33","3.60","3.60","3.23","4.01M","-0.30%"
"Apr 03, 2020","3.34","3.49","3.52","3.17","2.67M","-3.19%"
"Apr 02, 2020","3.45","3.83","3.90","3.41","4.59M","-7.51%"
"Apr 01, 2020","3.73","3.64","3.94","3.49","4.01M","-1.84%"
"Mar 31, 2020","3.80","4.29","4.36","3.80","3.85M","-10.59%"
"Mar 30, 2020","4.25","4.35","4.76","4.18","5.10M","0.00%"
"Mar 27, 2020","4.25","4.10","4.50","3.99","6.51M","12.14%"
"Mar 26, 2020","3.79","3.40","4.06","3.40","6.04M","8.91%"
"Mar 25, 2020","3.48","3.20","3.65","3.12","5.33M","8.07%"
"Mar 24, 2020","3.22","3.10","3.30","2.95","3.99M","15.00%"
"Mar 23, 2020","2.80","3.00","3.07","2.67","3.31M","-4.76%"
"Mar 20, 2020","2.94","3.21","3.50","2.91","5.99M","-2.00%"
"Mar 19, 2020","3.00","2.72","3.09","2.46","6.33M","4.17%"
"Mar 18, 2020","2.88","3.31","3.44","2.76","5.78M","-21.53%"
"Mar 17, 2020","3.67","3.85","3.92","3.60","7.22M","-2.65%"
"Mar 16, 2020","3.77","3.80","4.20","3.70","5.09M","-14.32%"
"Mar 13, 2020","4.40","4.91","4.99","4.05","11.58M","3.04%"
"Mar 12, 2020","4.27","4.50","4.61","4.00","5.22M","-18.20%"
"Mar 11, 2020","5.22","5.05","5.65","4.77","9.59M","-1.14%"
"Mar 10, 2020","5.28","5.65","5.69","5.00","6.61M","9.77%"
"Mar 09, 2020","4.81","5.25","5.57","4.81","6.24M","-20.63%"
"Mar 06, 2020","6.06","6.35","6.40","5.97","7.81M","-9.28%"
"Mar 05, 2020","6.68","7.34","7.36","6.61","4.88M","-9.49%"
"Mar 04, 2020","7.38","7.71","7.80","7.34","3.48M","-0.27%"
"Mar 03, 2020","7.40","7.22","7.87","7.22","9.45M","5.56%"
"Mar 02, 2020","7.01","6.95","7.27","6.95","4.28M","1.89%"
"Feb 28, 2020","6.88","7.07","7.16","6.77","4.87M","-4.04%"
"Feb 27, 2020","7.17","7.09","7.48","7.05","4.49M","-1.38%"
"Feb 26, 2020","7.27","7.70","7.85","7.26","4.13M","-12.52%"
"Feb 21, 2020","8.31","8.40","8.55","8.26","2.72M","-2.46%"
"Feb 20, 2020","8.52","8.55","8.60","8.33","3.02M","0.59%"
"Feb 19, 2020","8.47","8.65","8.77","8.47","2.98M","-2.08%"
"Feb 18, 2020","8.65","8.45","8.66","8.33","2.79M","2.37%"
"Feb 17, 2020","8.45","8.90","8.95","8.35","4.35M","-3.76%"
"Feb 14, 2020","8.78","9.17","9.23","8.72","3.04M","-3.73%"
"Feb 13, 2020","9.12","8.55","9.27","8.49","5.96M","2.82%"
"Feb 12, 2020","8.87","8.72","9.05","8.66","4.45M","3.26%"
"Feb 11, 2020","8.59","8.40","8.65","8.39","2.92M","4.25%"
"Feb 10, 2020","8.24","8.78","8.95","8.19","4.73M","-6.15%"
"Feb 07, 2020","8.78","8.96","9.16","8.75","3.24M","-2.98%"
"Feb 06, 2020","9.05","9.27","9.46","8.93","7.13M","-1.20%"
"Feb 05, 2020","9.16","9.42","9.52","8.97","8.57M","-0.33%"
"Feb 04, 2020","9.19","8.63","9.27","8.50","13.20M","9.80%"
"Feb 03, 2020","8.37","8.21","8.71","8.14","7.69M","2.83%"
"Jan 31, 2020","8.14","8.22","8.43","8.14","3.89M","-3.21%"
"Jan 30, 2020","8.41","8.71","8.75","8.08","9.38M","-6.03%"
"Jan 29, 2020","8.95","9.14","9.26","8.85","5.69M","0.00%"
"Jan 28, 2020","8.95","9.02","9.28","8.71","9.77M","1.59%"
"Jan 27, 2020","8.81","9.70","9.70","8.74","8.94M","-11.55%"
"Jan 24, 2020","9.96","9.47","10.28","9.47","15.37M","5.06%"
"Jan 23, 2020","9.48","9.55","9.64","9.37","3.02M","-1.76%"
"Jan 22, 2020","9.65","9.70","9.79","9.60","3.80M","1.05%"
"Jan 21, 2020","9.55","9.70","9.94","9.50","4.76M","-2.45%"
"Jan 20, 2020","9.79","9.41","9.94","9.34","6.27M","4.04%"
"Jan 17, 2020","9.41","9.65","9.68","9.35","3.10M","-1.77%"
"Jan 16, 2020","9.58","9.68","9.76","9.33","4.80M","0.95%"
"Jan 15, 2020","9.49","9.70","9.93","9.49","6.61M","-2.37%"
"Jan 14, 2020","9.72","9.40","9.94","9.38","8.80M","3.08%"
"Jan 13, 2020","9.43","9.25","9.59","9.25","7.09M","2.95%"
"Jan 10, 2020","9.16","9.18","9.32","9.03","7.38M","0.99%"
"Jan 09, 2020","9.07","9.18","9.51","9.03","8.37M","-0.22%"
"Jan 08, 2020","9.09","9.55","9.57","8.93","9.99M","-4.82%"
"Jan 07, 2020","9.55","10.00","10.16","9.42","7.72M","-3.54%"
"Jan 06, 2020","9.90","10.15","10.55","9.85","8.70M","-2.46%"
"Jan 03, 2020","10.15","9.53","10.37","9.35","14.83M","4.53%"
"Jan 02, 2020","9.71","8.86","9.85","8.82","10.83M","12.00%"
"Dec 30, 2019","8.67","8.80","9.17","8.65","8.63M","1.05%"
"Dec 27, 2019","8.58","8.80","8.92","8.47","6.95M","1.78%"
"Dec 26, 2019","8.43","8.12","8.75","8.12","8.51M","4.72%"
"Dec 23, 2019","8.05","7.50","8.06","7.50","5.39M","7.19%"
"Dec 20, 2019","7.51","7.43","7.79","7.21","4.34M","1.35%"
"Dec 19, 2019","7.41","7.70","7.81","7.41","3.47M","-3.77%"
"Dec 18, 2019","7.70","7.50","7.97","7.34","8.37M","1.99%"
"Dec 17, 2019","7.55","8.22","8.29","7.40","10.66M","-4.43%"
"Dec 16, 2019","7.90","7.96","8.40","7.79","11.92M","1.15%"
"Dec 13, 2019","7.81","7.14","7.90","7.08","11.90M","10.00%"
"Dec 12, 2019","7.10","6.48","7.10","6.43","5.71M","10.76%"
"Dec 11, 2019","6.41","6.62","6.70","6.41","2.81M","-2.58%"
"Dec 10, 2019","6.58","6.30","6.60","6.24","3.58M","4.28%"
"Dec 09, 2019","6.31","6.22","6.54","6.18","4.26M","2.27%"
"Dec 06, 2019","6.17","5.95","6.28","5.95","3.59M","4.22%"
"Dec 05, 2019","5.92","6.04","6.06","5.90","2.25M","-1.50%"
"Dec 04, 2019","6.01","6.05","6.18","6.00","2.30M","-0.99%"
"Dec 03, 2019","6.07","6.24","6.27","5.80","4.54M","-2.10%"
"Dec 02, 2019","6.20","6.30","6.31","6.20","1.99M","-2.05%"
"Nov 29, 2019","6.33","6.50","6.54","6.28","1.96M","-2.31%"
"Nov 28, 2019","6.48","6.31","6.55","6.26","3.01M","2.69%"
"Nov 27, 2019","6.31","6.27","6.47","6.21","2.54M","0.96%"
"Nov 26, 2019","6.25","6.40","6.42","6.17","2.42M","-2.19%"
"Nov 25, 2019","6.39","6.21","6.45","6.13","3.23M","3.06%"
"Nov 22, 2019","6.20","6.39","6.47","6.20","3.30M","-2.21%"
"Nov 21, 2019","6.34","6.60","6.70","6.31","2.59M","-3.50%"
"Nov 19, 2019","6.57","6.50","6.64","6.35","1.80M","2.18%"
"Nov 18, 2019","6.43","6.81","6.89","6.43","1.92M","-5.16%"
"Nov 14, 2019","6.78","6.64","6.81","6.57","3.12M","2.88%"
"Nov 13, 2019","6.59","6.58","6.64","6.40","3.16M","-0.60%"
"Nov 12, 2019","6.63","6.46","6.63","6.24","5.79M","2.95%"
"Nov 11, 2019","6.44","6.03","6.44","6.00","4.24M","7.15%"
"Nov 08, 2019","6.01","6.00","6.29","5.93","5.71M","1.01%"
"Nov 07, 2019","5.95","5.83","6.03","5.79","3.23M","2.06%"
"Nov 06, 2019","5.83","5.78","5.85","5.69","1.48M","1.75%"
"Nov 05, 2019","5.73","5.60","5.83","5.60","2.41M","1.96%"
"Nov 04, 2019","5.62","5.60","5.71","5.48","1.95M","1.26%"
"Nov 01, 2019","5.55","5.50","5.57","5.45","1.26M","2.02%"
"Oct 31, 2019","5.44","5.58","5.72","5.44","1.94M","-3.03%"
"Oct 30, 2019","5.61","5.74","5.77","5.57","1.59M","-2.09%"
"Oct 29, 2019","5.73","5.78","5.81","5.65","1.02M","-0.35%"
"Oct 28, 2019","5.75","5.83","5.88","5.74","1.07M","-0.52%"
"Oct 25, 2019","5.78","5.80","5.85","5.73","906.40K","0.17%"
"Oct 24, 2019","5.77","5.95","6.01","5.77","1.28M","-2.37%"
"Oct 23, 2019","5.91","6.19","6.25","5.91","2.40M","-3.90%"
"Oct 22, 2019","6.15","5.78","6.15","5.73","4.51M","7.89%"
