"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","12.7300","12.3500","13.2500","12.3500","2.16M","2.50%"
"Oct 24, 2019","12.4200","12.7000","12.8700","12.3600","1.07M","-2.13%"
"Oct 23, 2019","12.6900","12.2800","12.8000","12.2800","1.27M","2.50%"
"Oct 22, 2019","12.3800","12.8800","12.9800","12.2600","1.06M","-3.58%"
"Oct 21, 2019","12.8400","12.5100","12.8700","12.3700","1.21M","2.64%"
"Oct 18, 2019","12.5100","12.6200","12.6200","12.2900","794.76K","0.00%"
"Oct 17, 2019","12.5100","12.9100","13.0500","12.4600","890.99K","-2.65%"
"Oct 16, 2019","12.8500","13.1300","13.3300","12.7100","806.36K","-2.95%"
"Oct 15, 2019","13.2400","12.7900","13.2800","12.7700","1.07M","3.04%"
"Oct 14, 2019","12.8500","12.9400","13.3780","12.6700","544.52K","-1.61%"
"Oct 11, 2019","13.0600","13.6800","13.7900","13.0500","1.02M","-2.46%"
"Oct 10, 2019","13.3900","12.8900","13.5500","12.7248","1.21M","5.02%"
"Oct 09, 2019","12.7500","12.7800","12.9500","12.4301","938.24K","0.31%"
"Oct 08, 2019","12.7100","13.3800","13.3800","12.6132","1.21M","-4.87%"
"Oct 07, 2019","13.3600","13.4500","13.9900","13.3000","1.55M","-1.11%"
"Oct 04, 2019","13.5100","13.0500","13.5200","12.8900","1.33M","3.05%"
"Oct 03, 2019","13.1100","13.1600","13.1700","12.5900","887.54K","-0.15%"
"Oct 02, 2019","13.1300","12.5800","13.1600","12.1400","1.25M","2.90%"
"Oct 01, 2019","12.7600","12.9100","13.1800","12.3700","1.27M","-1.85%"
"Sep 30, 2019","13.0000","13.1800","13.3500","12.5400","1.54M","-0.54%"
"Sep 27, 2019","13.0700","12.4200","13.2000","12.4200","1.79M","5.40%"
"Sep 26, 2019","12.4000","12.5700","12.8200","12.1500","1.34M","0.32%"
"Sep 25, 2019","12.3600","11.6600","12.4500","11.5600","1.28M","4.92%"
"Sep 24, 2019","11.7800","11.8100","11.9850","11.2800","1.49M","-0.76%"
"Sep 23, 2019","11.8700","11.7800","12.1200","11.4300","912.93K","-0.25%"
"Sep 20, 2019","11.9000","12.4300","12.7300","11.7600","2.55M","-2.70%"
"Sep 19, 2019","12.2300","11.5500","12.4550","11.3283","2.42M","3.29%"
"Sep 18, 2019","11.8400","12.0100","12.1900","11.5750","1.07M","-1.58%"
"Sep 17, 2019","12.0300","11.7100","12.1250","11.5100","1.17M","1.69%"
"Sep 16, 2019","11.8300","10.9900","11.9400","10.6000","1.66M","6.29%"
"Sep 13, 2019","11.1300","11.9800","12.2400","11.0100","1.94M","-5.52%"
"Sep 12, 2019","11.7800","12.0000","12.2900","11.6600","1.14M","-2.00%"
"Sep 11, 2019","12.0200","11.9800","12.1400","11.4000","1.85M","1.01%"
"Sep 10, 2019","11.9000","11.5200","12.3000","11.5010","1.87M","0.85%"
"Sep 09, 2019","11.8000","11.9300","12.4700","11.5600","1.64M","0.60%"
"Sep 06, 2019","11.7300","11.5600","12.2700","11.5000","3.17M","2.45%"
"Sep 05, 2019","11.4500","11.1700","11.6700","10.9300","5.38M","3.62%"
"Sep 04, 2019","11.0500","9.9700","11.3800","9.5800","4.85M","15.47%"
"Sep 03, 2019","9.5700","11.7600","11.8500","9.5300","7.00M","-11.72%"
"Aug 30, 2019","10.8400","11.9700","11.9700","10.8200","3.84M","-8.91%"
"Aug 29, 2019","11.9000","12.3000","12.9000","11.4400","4.70M","-6.59%"
"Aug 28, 2019","12.7400","12.5400","13.1100","12.3600","2.23M","-1.01%"
"Aug 27, 2019","12.8700","13.7000","13.8500","12.8200","4.19M","-7.74%"
"Aug 26, 2019","13.9500","14.8900","15.0990","13.9100","1.84M","-5.04%"
"Aug 23, 2019","14.6900","15.5400","15.7400","14.5800","1.64M","-5.53%"
"Aug 22, 2019","15.5500","15.5600","15.9000","15.4300","1.64M","-0.26%"
"Aug 21, 2019","15.5900","15.3400","15.7200","15.1000","1.88M","2.97%"
"Aug 20, 2019","15.1400","15.3000","15.7400","14.8000","3.13M","1.27%"
"Aug 19, 2019","14.9500","17.1800","17.3344","14.9000","5.17M","-15.73%"
"Aug 16, 2019","17.7400","18.0000","18.5700","17.7000","3.83M","1.55%"
"Aug 15, 2019","17.4700","17.9800","18.3400","17.0800","5.42M","5.37%"
