"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","10.92","11.60","11.74","10.92","32.49M","-6.98%"
"May 14, 2020","11.74","11.32","11.84","10.95","33.56M","0.95%"
"May 13, 2020","11.63","12.37","12.37","11.45","17.63M","-4.12%"
"May 12, 2020","12.13","12.60","12.82","12.07","14.17M","-2.96%"
"May 11, 2020","12.50","12.87","13.00","12.45","21.10M","-3.85%"
"May 08, 2020","13.00","12.77","13.28","12.58","28.71M","4.42%"
"May 07, 2020","12.45","11.85","12.65","11.68","40.07M","6.96%"
"May 06, 2020","11.64","11.56","11.97","11.03","15.88M","1.13%"
"May 05, 2020","11.51","11.66","11.98","11.43","9.70M","0.35%"
"May 04, 2020","11.47","11.16","11.55","11.07","10.72M","-2.30%"
"Apr 30, 2020","11.74","12.12","12.12","11.62","14.79M","-5.78%"
"Apr 29, 2020","12.46","12.27","12.80","12.14","17.96M","4.01%"
"Apr 28, 2020","11.98","11.95","12.12","11.59","21.88M","5.83%"
"Apr 27, 2020","11.32","11.27","11.50","10.94","12.21M","3.57%"
"Apr 24, 2020","10.93","11.76","12.11","10.75","30.06M","-8.38%"
"Apr 23, 2020","11.93","11.80","12.36","11.70","26.08M","1.97%"
"Apr 22, 2020","11.70","11.89","12.11","11.65","16.29M","-1.27%"
"Apr 20, 2020","11.85","11.95","12.33","11.81","18.12M","-3.66%"
"Apr 17, 2020","12.30","11.80","12.50","11.80","25.20M","6.22%"
"Apr 16, 2020","11.58","11.51","11.60","11.05","19.04M","2.39%"
"Apr 15, 2020","11.31","11.12","11.47","10.87","20.05M","-2.16%"
"Apr 14, 2020","11.56","11.40","11.81","11.37","17.22M","2.94%"
"Apr 13, 2020","11.23","10.63","11.25","10.34","20.20M","4.95%"
"Apr 09, 2020","10.70","11.26","11.39","10.55","26.46M","-3.17%"
"Apr 08, 2020","11.05","10.33","11.25","10.21","29.44M","7.07%"
"Apr 07, 2020","10.32","10.30","10.82","10.21","17.91M","6.39%"
"Apr 06, 2020","9.70","9.80","10.18","9.48","18.90M","3.97%"
"Apr 03, 2020","9.33","10.09","10.12","9.16","17.12M","-7.07%"
"Apr 02, 2020","10.04","9.90","10.30","9.60","16.84M","4.91%"
"Apr 01, 2020","9.57","9.87","10.03","9.39","25.91M","-4.78%"
"Mar 31, 2020","10.05","9.91","10.71","9.91","30.04M","2.76%"
"Mar 30, 2020","9.78","10.26","10.45","9.62","14.61M","-3.17%"
"Mar 27, 2020","10.10","10.24","10.73","10.08","12.93M","-7.59%"
"Mar 26, 2020","10.93","10.55","11.56","10.36","17.57M","3.90%"
"Mar 25, 2020","10.52","9.54","10.72","9.48","16.37M","10.50%"
"Mar 24, 2020","9.52","9.25","9.73","9.07","21.95M","10.19%"
"Mar 23, 2020","8.64","9.25","9.41","8.46","19.85M","-6.59%"
"Mar 20, 2020","9.25","10.13","10.27","8.84","23.20M","-3.55%"
"Mar 19, 2020","9.59","8.80","10.42","8.16","27.47M","0.84%"
"Mar 18, 2020","9.51","10.00","10.25","8.68","18.83M","-12.11%"
"Mar 17, 2020","10.82","11.11","11.50","10.21","23.23M","1.22%"
"Mar 16, 2020","10.69","10.60","11.60","10.14","20.21M","-14.14%"
"Mar 13, 2020","12.45","12.00","12.75","10.30","30.93M","17.45%"
"Mar 12, 2020","10.60","10.92","11.14","9.36","34.13M","-16.47%"
"Mar 11, 2020","12.69","13.80","13.94","11.71","25.61M","-11.51%"
"Mar 10, 2020","14.34","14.21","14.35","13.17","24.85M","8.23%"
"Mar 09, 2020","13.25","14.76","14.83","13.12","21.13M","-17.96%"
"Mar 06, 2020","16.15","16.42","16.58","15.69","21.47M","-7.34%"
"Mar 05, 2020","17.43","17.90","18.00","16.79","10.69M","-4.91%"
"Mar 04, 2020","18.33","18.00","18.54","17.56","16.18M","4.98%"
"Mar 03, 2020","17.46","17.31","17.97","16.97","21.09M","0.87%"
"Mar 02, 2020","17.31","17.00","17.54","16.75","13.68M","2.43%"
"Feb 28, 2020","16.90","16.87","17.00","16.12","24.01M","-0.94%"
"Feb 27, 2020","17.06","16.92","17.59","16.66","18.12M","-0.06%"
"Feb 26, 2020","17.07","17.92","18.06","16.91","26.37M","-10.47%"
"Feb 21, 2020","19.07","19.37","19.44","18.82","16.91M","-2.20%"
"Feb 20, 2020","19.50","20.36","20.46","19.39","15.39M","-4.41%"
"Feb 19, 2020","20.39","20.09","20.79","19.44","19.38M","-0.44%"
"Feb 18, 2020","20.48","20.46","20.55","20.02","8.36M","-0.87%"
"Feb 17, 2020","20.66","20.65","20.76","20.23","5.88M","0.98%"
"Feb 14, 2020","20.46","20.99","21.02","20.16","8.34M","-3.21%"
"Feb 13, 2020","21.14","20.96","21.24","20.58","9.02M","-0.47%"
"Feb 12, 2020","21.24","21.31","21.62","21.01","11.03M","0.90%"
"Feb 11, 2020","21.05","20.26","21.23","20.03","14.65M","5.82%"
"Feb 10, 2020","19.89","20.21","20.59","19.74","16.84M","-1.58%"
"Feb 07, 2020","20.21","21.16","21.29","20.21","14.87M","-4.66%"
"Feb 06, 2020","21.20","21.67","22.25","21.20","21.67M","-0.75%"
"Feb 05, 2020","21.36","21.62","21.84","21.36","9.59M","-0.14%"
"Feb 04, 2020","21.39","20.91","21.39","20.90","10.11M","4.28%"
"Feb 03, 2020","20.51","20.01","20.55","19.72","8.53M","2.49%"
"Jan 31, 2020","20.01","20.36","20.54","19.97","10.57M","-3.33%"
"Jan 30, 2020","20.70","19.66","20.75","19.57","15.30M","2.98%"
"Jan 29, 2020","20.10","20.41","20.44","19.86","12.13M","-0.30%"
"Jan 28, 2020","20.16","20.16","20.60","20.06","11.52M","1.25%"
"Jan 27, 2020","19.91","20.52","20.77","19.91","23.22M","-7.94%"
"Jan 24, 2020","21.63","22.16","22.50","21.51","11.72M","-2.21%"
"Jan 23, 2020","22.12","21.75","22.31","21.43","9.84M","0.41%"
"Jan 22, 2020","22.03","21.96","22.05","21.44","9.05M","1.24%"
"Jan 21, 2020","21.76","22.06","22.22","21.57","11.86M","-2.11%"
"Jan 20, 2020","22.23","21.49","22.31","21.35","9.86M","3.25%"
"Jan 17, 2020","21.53","21.35","21.63","21.14","8.77M","1.27%"
"Jan 16, 2020","21.26","21.11","21.34","20.84","12.26M","0.95%"
"Jan 15, 2020","21.06","21.39","21.84","20.85","14.19M","-1.49%"
"Jan 14, 2020","21.38","21.77","22.12","21.26","16.09M","-1.92%"
"Jan 13, 2020","21.80","21.18","21.98","21.16","10.44M","4.30%"
"Jan 10, 2020","20.90","20.67","21.17","20.63","9.16M","1.36%"
"Jan 09, 2020","20.62","20.76","20.83","20.30","6.36M","-0.53%"
"Jan 08, 2020","20.73","20.57","20.90","20.47","9.50M","0.39%"
"Jan 07, 2020","20.65","20.39","20.71","20.09","12.41M","1.57%"
"Jan 06, 2020","20.33","20.26","20.37","19.79","11.65M","-0.24%"
"Jan 03, 2020","20.38","20.21","20.55","19.94","14.33M","-1.64%"
"Jan 02, 2020","20.72","20.09","20.75","20.08","13.59M","3.80%"
"Dec 30, 2019","19.96","19.87","20.11","19.72","10.63M","0.60%"
"Dec 27, 2019","19.84","19.89","19.96","19.58","11.86M","-0.05%"
"Dec 26, 2019","19.85","19.43","19.85","19.23","7.91M","2.21%"
"Dec 23, 2019","19.43","19.18","19.43","18.98","10.53M","1.62%"
"Dec 20, 2019","19.12","18.35","19.16","18.33","24.84M","4.82%"
