"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2019","144.69","143.50","144.98","143.50","4.40K","0.90%"
"Nov 07, 2019","143.40","143.34","144.70","143.05","15.80K","-0.03%"
"Nov 06, 2019","143.45","145.22","145.30","142.33","14.50K","0.71%"
"Nov 05, 2019","142.44","143.15","145.94","142.33","27.11K","-1.93%"
"Nov 04, 2019","145.25","143.15","145.94","143.00","25.43K","-0.52%"
"Nov 01, 2019","146.01","143.23","146.17","142.84","17.73K","2.23%"
"Oct 31, 2019","142.83","143.83","143.83","142.36","22.12K","-0.35%"
"Oct 30, 2019","143.33","144.68","145.27","142.38","15.48K","-0.93%"
"Oct 29, 2019","144.68","144.95","144.95","142.82","16.73K","0.17%"
"Oct 28, 2019","144.43","144.96","144.97","143.39","15.59K","-0.37%"
"Oct 25, 2019","144.97","143.33","144.97","142.84","13.63K","1.14%"
"Oct 24, 2019","143.33","142.02","143.33","141.47","9.77K","0.92%"
"Oct 23, 2019","142.02","143.03","143.13","141.84","17.48K","-0.71%"
"Oct 22, 2019","143.03","142.71","143.05","142.45","10.22K","-0.26%"
"Oct 21, 2019","143.40","143.00","143.76","142.10","17.41K","0.28%"
"Oct 18, 2019","143.00","142.99","143.00","142.02","12.66K","0.00%"
"Oct 17, 2019","143.00","142.15","143.00","141.75","9.62K","0.60%"
"Oct 16, 2019","142.15","141.99","142.90","141.70","10.96K","0.11%"
"Oct 15, 2019","141.99","140.51","141.99","140.45","13.48K","1.13%"
"Oct 14, 2019","140.40","140.26","140.49","139.51","12.15K","0.29%"
"Oct 11, 2019","139.99","140.65","140.70","139.00","14.84K","-0.36%"
"Oct 10, 2019","140.50","141.00","141.00","139.35","18.00K","-0.35%"
"Oct 09, 2019","141.00","140.01","141.00","139.90","14.39K","0.71%"
"Oct 08, 2019","140.00","139.67","140.92","139.67","12.28K","0.02%"
"Oct 07, 2019","139.97","139.90","140.38","139.17","11.37K","0.05%"
"Oct 04, 2019","139.90","139.51","139.94","139.11","10.48K","0.36%"
"Oct 03, 2019","139.40","140.98","141.00","138.80","21.77K","-1.13%"
"Oct 02, 2019","141.00","142.98","142.98","139.00","18.57K","-1.48%"
"Oct 01, 2019","143.12","143.09","143.12","141.93","14.10K","0.02%"
"Sep 30, 2019","143.09","141.69","143.20","141.63","10.20K","0.99%"
"Sep 27, 2019","141.69","141.33","141.92","141.12","9.14K","0.97%"
"Sep 26, 2019","140.33","140.48","141.68","140.23","15.87K","-0.21%"
"Sep 25, 2019","140.62","139.94","140.73","139.72","11.84K","0.72%"
"Sep 24, 2019","139.61","140.82","140.82","139.34","17.16K","-0.87%"
"Sep 23, 2019","140.83","139.85","142.03","139.34","15.67K","0.36%"
"Sep 20, 2019","140.32","141.48","141.49","140.32","14.90K","-0.43%"
"Sep 19, 2019","140.93","141.88","141.88","140.93","15.41K","-0.36%"
"Sep 18, 2019","141.44","142.21","142.85","140.15","11.57K","-0.54%"
"Sep 17, 2019","142.21","140.85","142.45","140.51","11.48K","1.29%"
"Sep 16, 2019","140.40","140.40","140.46","140.01","11.39K","0.07%"
"Sep 13, 2019","140.30","140.28","140.30","139.90","13.33K","0.00%"
