"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","4.95","5.17","5.27","4.95","18.43M","-5.71%"
"May 14, 2020","5.25","5.07","5.27","4.88","18.73M","1.55%"
"May 13, 2020","5.17","5.50","5.53","5.12","15.74M","-4.96%"
"May 12, 2020","5.44","5.69","5.74","5.38","12.73M","-3.55%"
"May 11, 2020","5.64","5.77","5.83","5.58","13.52M","-3.26%"
"May 08, 2020","5.83","5.74","5.85","5.58","21.06M","5.23%"
"May 07, 2020","5.54","5.30","5.64","5.22","23.94M","6.54%"
"May 06, 2020","5.20","5.17","5.31","4.94","14.83M","1.17%"
"May 05, 2020","5.14","5.22","5.32","5.12","11.38M","0.78%"
"May 04, 2020","5.10","4.94","5.12","4.89","12.35M","-0.97%"
"Apr 30, 2020","5.15","5.30","5.37","5.12","19.80M","-6.36%"
"Apr 29, 2020","5.50","5.40","5.65","5.34","15.90M","4.36%"
"Apr 28, 2020","5.27","5.20","5.36","5.11","16.34M","4.77%"
"Apr 27, 2020","5.03","5.00","5.10","4.84","13.02M","3.71%"
"Apr 24, 2020","4.85","5.21","5.36","4.70","27.17M","-8.83%"
"Apr 23, 2020","5.32","5.21","5.57","5.15","27.35M","2.90%"
"Apr 22, 2020","5.17","5.23","5.36","5.11","20.07M","-0.58%"
"Apr 20, 2020","5.20","5.22","5.43","5.15","17.07M","-3.70%"
"Apr 17, 2020","5.40","5.25","5.48","5.23","19.77M","5.88%"
"Apr 16, 2020","5.10","5.12","5.15","4.92","13.93M","1.59%"
"Apr 15, 2020","5.02","4.88","5.08","4.81","14.23M","-1.76%"
"Apr 14, 2020","5.11","5.07","5.25","5.04","13.63M","3.02%"
"Apr 13, 2020","4.96","4.70","4.96","4.61","14.24M","5.08%"
"Apr 09, 2020","4.72","5.00","5.05","4.68","16.11M","-3.48%"
"Apr 08, 2020","4.89","4.60","4.99","4.57","18.54M","6.30%"
"Apr 07, 2020","4.60","4.67","4.85","4.60","16.62M","5.99%"
"Apr 06, 2020","4.34","4.48","4.52","4.26","15.55M","3.83%"
"Apr 03, 2020","4.18","4.60","4.64","4.07","20.02M","-8.33%"
"Apr 02, 2020","4.56","4.62","4.81","4.44","18.55M","2.24%"
"Apr 01, 2020","4.46","4.51","4.59","4.37","15.22M","-4.09%"
"Mar 31, 2020","4.65","4.55","4.87","4.50","26.07M","3.33%"
"Mar 30, 2020","4.50","4.69","4.76","4.39","14.50M","-2.17%"
"Mar 27, 2020","4.60","4.56","4.81","4.48","16.42M","-4.37%"
"Mar 26, 2020","4.81","4.45","5.07","4.44","27.60M","5.48%"
"Mar 25, 2020","4.56","4.15","4.70","4.14","20.64M","9.35%"
"Mar 24, 2020","4.17","4.20","4.25","3.99","14.79M","8.59%"
"Mar 23, 2020","3.84","4.12","4.15","3.80","19.28M","-7.47%"
"Mar 20, 2020","4.15","4.55","4.65","3.94","23.32M","-2.12%"
"Mar 19, 2020","4.24","4.00","4.66","3.71","30.19M","-1.85%"
"Mar 18, 2020","4.32","4.55","4.75","3.97","24.68M","-14.29%"
"Mar 17, 2020","5.04","5.20","5.41","4.78","21.28M","0.00%"
"Mar 16, 2020","5.04","4.77","5.32","4.65","21.30M","-11.11%"
"Mar 13, 2020","5.67","5.50","5.70","4.69","27.57M","20.64%"
"Mar 12, 2020","4.70","5.05","5.16","4.20","36.02M","-21.27%"
"Mar 11, 2020","5.97","6.52","6.65","5.53","28.38M","-12.08%"
"Mar 10, 2020","6.79","6.77","6.84","6.11","25.81M","8.64%"
"Mar 09, 2020","6.25","6.67","6.79","6.00","23.50M","-17.76%"
"Mar 06, 2020","7.60","7.71","7.81","7.40","17.30M","-6.75%"
"Mar 05, 2020","8.15","8.50","8.51","7.91","14.17M","-5.78%"
"Mar 04, 2020","8.65","8.39","8.73","8.28","17.23M","5.88%"
"Mar 03, 2020","8.17","8.25","8.43","7.98","15.73M","-0.61%"
"Mar 02, 2020","8.22","8.05","8.26","7.90","14.29M","3.66%"
"Feb 28, 2020","7.93","7.80","7.93","7.43","30.20M","1.02%"
"Feb 27, 2020","7.85","7.81","8.23","7.73","18.65M","-1.63%"
"Feb 26, 2020","7.98","8.38","8.69","7.87","19.96M","-11.89%"
"Feb 21, 2020","9.06","9.35","9.37","8.94","23.98M","-3.30%"
"Feb 20, 2020","9.37","10.05","10.05","9.33","18.68M","-7.40%"
"Feb 19, 2020","10.11","9.52","10.11","9.15","22.02M","5.19%"
"Feb 18, 2020","9.62","9.61","9.62","9.43","6.54M","-1.23%"
"Feb 17, 2020","9.74","9.76","9.78","9.56","6.24M","0.93%"
"Feb 14, 2020","9.65","9.97","9.97","9.55","9.25M","-3.40%"
"Feb 13, 2020","9.98","9.85","10.01","9.67","8.42M","0.00%"
"Feb 12, 2020","9.98","9.90","10.14","9.88","8.97M","1.83%"
"Feb 11, 2020","9.81","9.56","9.91","9.44","15.53M","4.35%"
"Feb 10, 2020","9.40","9.49","9.63","9.30","6.82M","-0.53%"
"Feb 07, 2020","9.45","9.86","9.93","9.35","13.84M","-4.15%"
"Feb 06, 2020","9.86","10.37","10.45","9.86","14.73M","-3.52%"
"Feb 05, 2020","10.21","10.14","10.32","10.12","11.58M","1.59%"
"Feb 04, 2020","10.05","10.00","10.09","9.91","10.39M","1.92%"
"Feb 03, 2020","9.87","9.58","9.89","9.29","11.60M","3.78%"
"Jan 31, 2020","9.51","9.65","9.75","9.51","11.38M","-3.74%"
"Jan 30, 2020","9.88","9.35","9.88","9.26","13.27M","2.38%"
"Jan 29, 2020","9.65","9.96","9.96","9.58","10.74M","-1.93%"
"Jan 28, 2020","9.84","9.68","9.99","9.68","10.05M","2.71%"
"Jan 27, 2020","9.58","9.98","10.02","9.58","18.57M","-7.51%"
"Jan 24, 2020","10.35","10.64","10.70","10.20","15.10M","-2.26%"
"Jan 23, 2020","10.59","10.47","10.66","10.38","13.37M","-0.84%"
"Jan 22, 2020","10.68","10.57","10.68","10.30","11.12M","1.90%"
"Jan 21, 2020","10.48","10.71","10.71","10.43","10.32M","-3.13%"
"Jan 20, 2020","10.82","10.37","10.82","10.27","8.55M","4.13%"
"Jan 17, 2020","10.39","10.25","10.39","10.11","6.74M","2.06%"
"Jan 16, 2020","10.18","10.17","10.24","9.99","10.07M","0.39%"
"Jan 15, 2020","10.14","10.14","10.34","9.91","12.69M","0.20%"
"Jan 14, 2020","10.12","10.36","10.42","10.08","10.72M","-2.40%"
"Jan 13, 2020","10.37","9.92","10.37","9.92","11.44M","5.26%"
"Jan 10, 2020","9.86","9.69","9.95","9.66","9.39M","2.17%"
"Jan 09, 2020","9.65","9.62","9.74","9.58","8.59M","0.10%"
"Jan 08, 2020","9.64","9.68","9.75","9.55","10.13M","-0.62%"
"Jan 07, 2020","9.70","9.59","9.77","9.52","12.27M","0.73%"
"Jan 06, 2020","9.63","9.58","9.69","9.36","11.75M","-0.52%"
"Jan 03, 2020","9.68","9.39","9.68","9.37","15.65M","0.21%"
"Jan 02, 2020","9.66","9.35","9.74","9.29","11.99M","4.31%"
"Dec 30, 2019","9.26","9.09","9.26","9.06","8.34M","1.98%"
"Dec 27, 2019","9.08","9.15","9.21","8.99","9.07M","-0.44%"
"Dec 26, 2019","9.12","8.98","9.12","8.92","7.58M","1.33%"
"Dec 23, 2019","9.00","9.02","9.05","8.82","8.61M","1.01%"
"Dec 20, 2019","8.91","8.69","9.02","8.69","16.64M","2.64%"
"Dec 19, 2019","8.68","8.38","8.68","8.37","14.72M","3.69%"
"Dec 18, 2019","8.37","8.42","8.45","8.31","9.87M","-0.47%"
"Dec 17, 2019","8.41","8.45","8.55","8.33","8.21M","-0.59%"
"Dec 16, 2019","8.46","8.58","8.61","8.36","11.80M","-1.05%"
"Dec 13, 2019","8.55","8.11","8.55","8.06","31.03M","5.80%"
"Dec 12, 2019","8.08","8.03","8.10","7.96","13.55M","1.25%"
"Dec 11, 2019","7.98","8.07","8.11","7.93","11.03M","-0.74%"
"Dec 10, 2019","8.04","7.88","8.13","7.80","19.35M","2.03%"
"Dec 09, 2019","7.88","8.17","8.23","7.85","11.56M","-2.47%"
"Dec 06, 2019","8.08","7.87","8.17","7.85","12.25M","2.40%"
"Dec 05, 2019","7.89","7.88","7.95","7.84","4.79M","-0.13%"
"Dec 04, 2019","7.90","7.89","7.98","7.83","8.68M","0.89%"
"Dec 03, 2019","7.83","7.99","8.02","7.80","7.95M","-2.48%"
"Dec 02, 2019","8.03","7.58","8.03","7.54","15.08M","3.21%"
"Nov 29, 2019","7.78","7.90","7.92","7.73","8.18M","-1.27%"
"Nov 28, 2019","7.88","7.94","8.04","7.80","8.56M","-1.13%"
"Nov 27, 2019","7.97","8.02","8.08","7.81","10.69M","-0.13%"
"Nov 26, 2019","7.98","7.70","8.01","7.69","16.03M","2.43%"
"Nov 25, 2019","7.79","7.74","8.01","7.70","16.22M","0.64%"
"Nov 22, 2019","7.74","7.54","7.79","7.49","12.11M","1.70%"
"Nov 21, 2019","7.61","7.10","7.62","7.10","20.22M","7.16%"
"Nov 19, 2019","7.10","7.08","7.20","7.01","7.50M","0.14%"
"Nov 18, 2019","7.09","7.20","7.27","7.03","11.29M","-0.97%"
"Nov 14, 2019","7.16","7.09","7.18","7.00","7.52M","0.98%"
"Nov 13, 2019","7.09","7.02","7.15","7.02","7.21M","0.00%"
"Nov 12, 2019","7.09","7.13","7.13","6.96","10.78M","0.14%"
"Nov 11, 2019","7.08","6.92","7.09","6.85","9.19M","0.99%"
"Nov 08, 2019","7.01","6.97","7.15","6.92","13.43M","-0.84%"
"Nov 07, 2019","7.07","6.83","7.14","6.83","25.05M","3.49%"
"Nov 06, 2019","6.83","6.84","6.86","6.67","11.38M","0.00%"
"Nov 05, 2019","6.83","6.78","6.89","6.72","11.35M","0.73%"
"Nov 04, 2019","6.78","6.55","6.82","6.55","20.02M","4.12%"
"Nov 01, 2019","6.52","6.31","6.55","6.29","14.92M","4.13%"
"Oct 31, 2019","6.26","6.31","6.41","6.21","17.38M","-1.72%"
"Oct 30, 2019","6.37","6.06","6.38","6.03","16.48M","3.90%"
"Oct 29, 2019","6.13","6.14","6.22","6.09","8.30M","-0.48%"
"Oct 28, 2019","6.16","6.17","6.26","6.14","6.50M","-0.16%"
"Oct 25, 2019","6.17","6.00","6.20","6.00","10.44M","2.82%"
"Oct 24, 2019","6.00","6.15","6.15","5.97","13.08M","-2.43%"
"Oct 23, 2019","6.15","6.16","6.25","6.12","9.61M","-0.32%"
"Oct 22, 2019","6.17","6.18","6.19","6.10","11.72M","0.00%"
"Oct 21, 2019","6.17","6.17","6.21","6.12","7.60M","0.81%"
"Oct 18, 2019","6.12","6.26","6.33","6.12","10.90M","-2.38%"
"Oct 17, 2019","6.27","6.27","6.33","6.19","11.54M","0.16%"
"Oct 16, 2019","6.26","6.31","6.34","6.24","9.15M","-1.26%"
"Oct 15, 2019","6.34","6.27","6.41","6.26","7.29M","1.11%"
"Oct 14, 2019","6.27","6.24","6.29","6.17","8.15M","-0.16%"
"Oct 11, 2019","6.28","6.17","6.34","6.14","13.66M","3.10%"
"Oct 10, 2019","6.09","5.81","6.16","5.81","18.30M","4.97%"
