"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","10.86","10.27","11.22","10.22","16.60M","4.12%"
"May 14, 2020","10.43","9.89","10.56","9.53","9.85M","3.57%"
"May 13, 2020","10.07","10.21","10.35","9.72","9.60M","0.70%"
"May 12, 2020","10.00","10.70","10.92","10.00","6.43M","-5.12%"
"May 11, 2020","10.54","10.64","10.90","10.27","5.82M","-4.18%"
"May 08, 2020","11.00","11.03","11.24","10.64","6.78M","2.33%"
"May 07, 2020","10.75","11.95","11.95","10.74","10.84M","-6.68%"
"May 06, 2020","11.52","11.60","11.98","11.21","7.14M","-2.21%"
"May 05, 2020","11.78","11.50","11.96","11.35","7.80M","5.65%"
"May 04, 2020","11.15","11.38","11.59","10.79","12.53M","-10.08%"
"Apr 30, 2020","12.40","12.87","13.10","12.23","12.27M","-7.05%"
"Apr 29, 2020","13.34","12.62","13.40","12.37","12.96M","9.43%"
"Apr 28, 2020","12.19","11.36","12.33","11.08","10.61M","11.63%"
"Apr 27, 2020","10.92","11.15","11.28","10.52","7.14M","2.34%"
"Apr 24, 2020","10.67","11.90","12.02","10.55","16.07M","-11.89%"
"Apr 23, 2020","12.11","12.00","12.69","11.90","13.35M","1.76%"
"Apr 22, 2020","11.90","12.05","12.24","11.87","6.72M","-1.41%"
"Apr 20, 2020","12.07","11.70","12.39","11.61","8.18M","0.58%"
"Apr 17, 2020","12.00","12.25","12.36","11.80","9.06M","2.04%"
"Apr 16, 2020","11.76","12.76","12.84","11.65","12.70M","-4.23%"
"Apr 15, 2020","12.28","11.14","12.34","10.97","12.30M","7.16%"
"Apr 14, 2020","11.46","11.75","11.99","11.36","10.66M","0.09%"
"Apr 13, 2020","11.45","11.30","11.89","11.14","8.08M","-1.55%"
"Apr 09, 2020","11.63","12.46","12.89","11.40","14.55M","-3.00%"
"Apr 08, 2020","11.99","10.80","12.19","10.34","14.87M","9.50%"
"Apr 07, 2020","10.95","11.28","11.44","10.80","14.41M","7.88%"
"Apr 06, 2020","10.15","10.46","10.77","9.80","12.85M","7.18%"
"Apr 03, 2020","9.47","9.90","10.03","9.06","10.14M","-6.52%"
"Apr 02, 2020","10.13","10.39","11.14","9.71","14.92M","1.50%"
"Apr 01, 2020","9.98","10.21","10.44","9.70","15.70M","-12.23%"
"Mar 31, 2020","11.37","12.45","12.69","11.25","13.09M","-7.56%"
"Mar 30, 2020","12.30","13.63","14.28","12.29","18.15M","-2.30%"
"Mar 27, 2020","12.59","11.79","14.18","11.38","24.41M","-3.45%"
"Mar 26, 2020","13.04","11.00","14.79","11.00","33.22M","19.20%"
"Mar 25, 2020","10.94","8.20","11.25","8.20","29.69M","35.06%"
"Mar 24, 2020","8.10","8.60","8.60","7.63","15.29M","16.88%"
"Mar 23, 2020","6.93","7.30","7.44","6.40","14.86M","-4.81%"
"Mar 20, 2020","7.28","7.35","9.04","6.75","26.80M","16.48%"
"Mar 19, 2020","6.25","5.54","6.93","4.81","18.22M","11.61%"
"Mar 18, 2020","5.60","7.19","7.19","5.30","19.41M","-28.02%"
"Mar 17, 2020","7.78","8.41","8.65","7.38","18.10M","-3.23%"
"Mar 16, 2020","8.04","8.90","9.47","8.02","17.33M","-28.02%"
"Mar 13, 2020","11.17","12.15","12.21","9.54","18.11M","12.04%"
"Mar 12, 2020","9.97","13.10","13.10","9.72","9.87M","-36.29%"
"Mar 11, 2020","15.65","17.82","18.10","14.60","11.83M","-14.57%"
"Mar 10, 2020","18.32","18.86","19.62","17.07","11.54M","5.41%"
"Mar 09, 2020","17.38","19.50","19.66","17.36","7.53M","-17.43%"
"Mar 06, 2020","21.05","18.10","21.72","18.10","14.83M","1.94%"
"Mar 05, 2020","20.65","24.20","24.40","19.82","13.71M","-16.77%"
"Mar 04, 2020","24.81","26.00","26.21","24.72","9.27M","-1.23%"
"Mar 03, 2020","25.12","26.38","26.78","24.75","8.70M","-3.79%"
"Mar 02, 2020","26.11","25.60","27.00","24.92","8.43M","1.99%"
"Feb 28, 2020","25.60","25.74","26.74","24.62","8.27M","-3.03%"
"Feb 27, 2020","26.40","28.10","28.47","26.40","10.72M","-8.90%"
"Feb 26, 2020","28.98","31.20","31.49","28.35","6.54M","-14.31%"
"Feb 21, 2020","33.82","34.21","34.44","33.44","2.84M","-2.82%"
"Feb 20, 2020","34.80","36.50","36.77","34.24","6.20M","-4.26%"
"Feb 19, 2020","36.35","35.92","36.35","35.68","1.94M","1.34%"
"Feb 18, 2020","35.87","35.96","36.25","35.07","2.56M","-1.43%"
"Feb 17, 2020","36.39","36.05","36.51","35.84","2.13M","1.08%"
"Feb 14, 2020","36.00","35.67","36.18","35.44","2.41M","1.69%"
"Feb 13, 2020","35.40","35.60","36.08","35.17","2.36M","-2.48%"
"Feb 12, 2020","36.30","36.50","36.85","35.49","4.32M","0.28%"
"Feb 11, 2020","36.20","34.30","36.38","34.29","3.38M","5.97%"
"Feb 10, 2020","34.16","34.60","34.80","33.70","3.64M","-0.87%"
"Feb 07, 2020","34.46","35.45","35.88","34.24","3.37M","-3.61%"
"Feb 06, 2020","35.75","36.39","36.86","35.54","4.28M","-1.22%"
"Feb 05, 2020","36.19","35.85","36.35","35.33","3.15M","2.93%"
"Feb 04, 2020","35.16","35.49","36.25","35.10","3.64M","2.36%"
"Feb 03, 2020","34.35","34.05","35.24","33.32","3.81M","0.29%"
"Jan 31, 2020","34.25","34.10","34.92","33.94","3.66M","-2.25%"
"Jan 30, 2020","35.04","34.20","35.21","33.21","6.86M","0.29%"
"Jan 29, 2020","34.94","36.46","36.83","34.94","4.15M","-3.45%"
"Jan 28, 2020","36.19","36.00","36.83","35.40","6.34M","2.52%"
"Jan 27, 2020","35.30","36.40","36.63","35.23","6.45M","-6.66%"
"Jan 24, 2020","37.82","39.21","39.26","37.27","5.77M","-3.15%"
"Jan 23, 2020","39.05","36.66","39.17","36.44","6.25M","5.03%"
"Jan 22, 2020","37.18","36.98","37.90","36.32","5.32M","1.36%"
"Jan 21, 2020","36.68","37.80","37.80","36.15","3.32M","-2.96%"
"Jan 20, 2020","37.80","37.74","37.92","37.25","1.52M","-0.34%"
"Jan 17, 2020","37.93","36.98","37.93","36.83","3.02M","3.52%"
"Jan 16, 2020","36.64","37.24","37.49","36.40","2.74M","-0.89%"
"Jan 15, 2020","36.97","37.85","37.99","36.72","3.42M","-2.68%"
"Jan 14, 2020","37.99","37.99","38.39","37.55","3.27M","-0.03%"
"Jan 13, 2020","38.00","37.21","38.20","37.20","4.69M","2.04%"
"Jan 10, 2020","37.24","36.73","37.50","36.70","4.19M","1.61%"
"Jan 09, 2020","36.65","36.05","36.90","35.98","4.69M","2.35%"
"Jan 08, 2020","35.81","34.61","36.30","34.61","7.16M","3.95%"
"Jan 07, 2020","34.45","34.65","34.84","34.21","3.31M","0.58%"
"Jan 06, 2020","34.25","35.50","35.50","34.20","6.27M","-4.60%"
"Jan 03, 2020","35.90","36.00","36.45","35.59","4.34M","-3.42%"
"Jan 02, 2020","37.17","36.68","37.24","36.60","2.32M","1.01%"
"Dec 30, 2019","36.80","36.75","37.39","36.45","2.63M","-0.33%"
"Dec 27, 2019","36.92","36.75","36.99","36.36","2.68M","0.74%"
"Dec 26, 2019","36.65","36.60","36.70","36.32","1.59M","0.52%"
"Dec 23, 2019","36.46","35.99","36.60","35.97","2.17M","1.22%"
"Dec 20, 2019","36.02","36.50","36.70","35.47","2.15M","-1.15%"
"Dec 19, 2019","36.44","34.76","36.64","34.76","4.21M","3.67%"
"Dec 18, 2019","35.15","35.17","35.42","34.61","5.48M","-0.51%"
"Dec 17, 2019","35.33","36.25","36.44","34.68","3.64M","-2.75%"
"Dec 16, 2019","36.33","36.45","36.84","36.25","4.71M","0.41%"
"Dec 13, 2019","36.18","36.00","36.73","35.64","6.11M","1.34%"
"Dec 12, 2019","35.70","35.60","35.90","35.36","5.80M","1.13%"
"Dec 11, 2019","35.30","35.52","35.99","35.20","5.98M","0.86%"
"Dec 10, 2019","35.00","36.51","36.63","35.00","42.87M","-4.61%"
"Dec 09, 2019","36.69","37.03","38.20","36.69","9.82M","1.75%"
"Dec 06, 2019","36.06","34.30","36.09","34.28","5.06M","4.98%"
"Dec 05, 2019","34.35","34.98","34.98","34.16","2.83M","-0.29%"
"Dec 04, 2019","34.45","35.03","35.39","34.45","4.79M","-1.52%"
"Dec 03, 2019","34.98","34.10","34.98","33.80","4.49M","4.01%"
"Dec 02, 2019","33.63","34.00","34.30","33.50","3.21M","-1.26%"
"Nov 29, 2019","34.06","34.20","34.86","33.91","3.60M","-1.10%"
"Nov 28, 2019","34.44","33.15","34.45","33.08","3.40M","3.92%"
"Nov 27, 2019","33.14","33.35","33.86","32.81","3.11M","-0.54%"
"Nov 26, 2019","33.32","34.25","34.35","32.78","5.90M","-3.84%"
"Nov 25, 2019","34.65","34.61","35.09","34.38","2.59M","-0.29%"
"Nov 22, 2019","34.75","33.95","34.80","33.72","3.26M","2.45%"
"Nov 21, 2019","33.92","34.22","34.68","33.47","4.71M","-0.82%"
"Nov 19, 2019","34.20","34.99","34.99","33.72","2.17M","-0.58%"
"Nov 18, 2019","34.40","34.54","34.99","34.18","2.87M","0.61%"
"Nov 14, 2019","34.19","33.05","34.19","32.61","4.29M","3.54%"
"Nov 13, 2019","33.02","32.70","33.04","32.20","4.09M","0.49%"
"Nov 12, 2019","32.86","34.07","34.36","32.81","5.33M","-3.89%"
"Nov 11, 2019","34.19","33.64","34.19","33.18","4.17M","0.65%"
"Nov 08, 2019","33.97","35.29","35.29","33.80","3.50M","-4.50%"
"Nov 07, 2019","35.57","35.20","35.57","34.45","4.40M","1.63%"
"Nov 06, 2019","35.00","34.95","35.88","34.16","5.30M","0.78%"
"Nov 05, 2019","34.73","35.85","36.04","34.58","3.77M","-2.47%"
"Nov 04, 2019","35.61","36.60","36.99","35.50","2.97M","-2.17%"
"Nov 01, 2019","36.40","37.22","37.44","36.36","3.52M","-0.55%"
"Oct 31, 2019","36.60","38.05","38.25","36.60","6.85M","-5.79%"
"Oct 30, 2019","38.85","38.70","38.89","37.70","3.48M","1.54%"
"Oct 29, 2019","38.26","37.39","38.69","36.93","4.52M","2.03%"
"Oct 28, 2019","37.50","36.46","37.61","36.39","3.05M","2.80%"
"Oct 25, 2019","36.48","37.20","37.80","36.45","4.58M","-1.41%"
"Oct 24, 2019","37.00","37.15","37.52","36.85","3.61M","0.08%"
