"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","21.15","21.03","21.31","21.01","1.80M","0.67%"
"Oct 25, 2019","21.01","20.74","21.16","20.70","3.55M","0.57%"
"Oct 24, 2019","20.89","20.89","20.99","20.80","923.08K","0.97%"
"Oct 23, 2019","20.69","20.79","20.91","20.53","908.57K","-0.48%"
"Oct 22, 2019","20.79","20.70","20.80","20.65","974.26K","0.05%"
"Oct 21, 2019","20.78","20.55","20.81","20.46","1.05M","-0.10%"
"Oct 18, 2019","20.80","20.57","20.86","20.51","1.34M","0.58%"
"Oct 17, 2019","20.68","20.53","20.70","20.45","694.14K","1.42%"
"Oct 16, 2019","20.39","20.46","20.50","20.30","626.36K","-0.97%"
"Oct 15, 2019","20.59","20.31","20.65","20.31","1.02M","0.78%"
"Oct 14, 2019","20.43","20.22","20.55","20.18","2.84M","0.39%"
"Oct 11, 2019","20.35","20.10","20.40","20.06","1.08M","1.80%"
"Oct 10, 2019","19.99","19.96","20.05","19.84","509.52K","-0.20%"
"Oct 09, 2019","20.03","20.08","20.15","19.98","799.85K","1.11%"
"Oct 08, 2019","19.81","19.98","20.07","19.79","1.01M","-0.20%"
"Oct 07, 2019","19.85","20.06","20.08","19.83","563.66K","-0.15%"
"Oct 04, 2019","19.88","19.80","19.95","19.77","360.69K","0.51%"
"Oct 03, 2019","19.78","19.69","19.88","19.58","600.79K","1.07%"
"Oct 02, 2019","19.57","19.58","19.75","19.45","746.66K","-0.81%"
"Oct 01, 2019","19.73","20.22","20.34","19.65","976.11K","-1.55%"
"Sep 30, 2019","20.04","20.38","20.42","19.97","1.48M","-0.50%"
"Sep 27, 2019","20.14","20.38","20.50","20.03","616.67K","-0.89%"
"Sep 26, 2019","20.32","20.23","20.42","20.21","983.07K","0.25%"
"Sep 25, 2019","20.27","20.46","20.53","20.24","808.13K","-1.84%"
"Sep 24, 2019","20.65","20.94","20.96","20.55","1.24M","0.58%"
"Sep 23, 2019","20.53","20.54","20.67","20.41","1.09M","0.10%"
"Sep 20, 2019","20.51","20.43","20.57","20.30","2.37M","-0.24%"
"Sep 19, 2019","20.56","20.39","20.62","20.37","2.43M","0.59%"
"Sep 18, 2019","20.44","20.31","20.59","20.29","2.34M","2.97%"
"Sep 17, 2019","19.85","19.91","19.96","19.80","2.85M","-1.29%"
"Sep 16, 2019","20.11","20.12","20.24","20.10","1.12M","-0.98%"
"Sep 13, 2019","20.31","20.38","20.60","20.25","1.99M","-1.98%"
"Sep 12, 2019","20.72","20.66","20.85","20.51","1.30M","-0.24%"
"Sep 11, 2019","20.77","20.60","20.98","20.60","1.52M","0.63%"
"Sep 10, 2019","20.64","20.46","20.71","20.28","1.68M","-0.48%"
"Sep 09, 2019","20.74","20.63","20.84","20.23","1.56M","-1.10%"
"Sep 06, 2019","20.97","20.88","21.09","20.81","1.54M","-0.19%"
"Sep 05, 2019","21.01","20.98","21.20","20.94","1.43M","-0.85%"
"Sep 04, 2019","21.19","20.98","21.30","20.92","1.42M","1.15%"
"Sep 03, 2019","20.95","20.95","21.17","20.84","1.54M","-1.64%"
"Aug 30, 2019","21.30","21.41","21.45","21.18","1.05M","-0.42%"
"Aug 29, 2019","21.39","21.36","21.51","21.31","1.62M","0.19%"
"Aug 28, 2019","21.35","21.08","21.37","20.97","1.80M","1.67%"
"Aug 27, 2019","21.00","21.27","21.38","20.98","1.60M","-0.85%"
"Aug 26, 2019","21.18","21.34","21.54","21.12","1.74M","-1.12%"
"Aug 23, 2019","21.42","21.71","22.03","21.39","1.52M","-2.10%"
"Aug 22, 2019","21.88","22.16","22.21","21.80","524.41K","-1.49%"
"Aug 21, 2019","22.21","22.35","22.35","22.11","2.60M","0.73%"
"Aug 20, 2019","22.05","22.21","22.29","21.98","1.11M","-0.23%"
"Aug 19, 2019","22.10","22.07","22.32","22.07","671.85K","0.50%"
"Aug 16, 2019","21.99","21.84","22.02","21.75","769.75K","0.78%"
"Aug 15, 2019","21.82","21.79","21.94","21.71","527.71K","-0.09%"
"Aug 14, 2019","21.84","21.74","22.08","21.74","1.25M","-0.14%"
"Aug 13, 2019","21.87","21.74","21.98","21.74","762.12K","0.41%"
"Aug 12, 2019","21.78","21.93","22.05","21.70","668.67K","-1.09%"
"Aug 09, 2019","22.02","22.00","22.24","21.69","2.87M","-0.41%"
