"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","87.65","87.65","87.65","87.65","-","0.00%"
"Oct 28, 2019","87.65","87.37","88.14","86.89","707.18K","0.48%"
"Oct 25, 2019","87.23","86.30","87.68","86.30","470.72K","0.97%"
"Oct 24, 2019","86.39","86.55","86.83","86.09","450.37K","-0.21%"
"Oct 23, 2019","86.57","87.32","87.49","86.31","536.72K","-0.97%"
"Oct 22, 2019","87.42","86.95","87.85","86.69","540.87K","0.41%"
"Oct 21, 2019","87.06","87.58","87.78","86.78","676.13K","-0.46%"
"Oct 18, 2019","87.46","87.06","87.61","86.69","847.60K","-0.03%"
"Oct 17, 2019","87.49","87.41","87.69","86.88","713.25K","0.33%"
"Oct 16, 2019","87.20","86.37","87.40","86.17","737.81K","1.04%"
"Oct 15, 2019","86.30","86.95","87.27","85.02","636.89K","-0.36%"
"Oct 14, 2019","86.61","86.97","86.97","86.18","461.17K","-0.54%"
"Oct 11, 2019","87.08","86.53","87.91","85.98","897.90K","1.72%"
"Oct 10, 2019","85.61","84.40","85.67","83.90","733.15K","1.18%"
"Oct 09, 2019","84.61","83.62","84.82","83.42","647.46K","1.58%"
"Oct 08, 2019","83.29","84.36","84.36","82.92","538.74K","-1.59%"
"Oct 07, 2019","84.64","84.51","84.99","84.05","517.55K","-0.39%"
"Oct 04, 2019","84.97","83.43","85.02","83.43","532.93K","1.61%"
"Oct 03, 2019","83.62","83.02","83.63","82.36","712.90K","0.87%"
"Oct 02, 2019","82.90","84.09","84.20","82.27","679.91K","-1.88%"
"Oct 01, 2019","84.49","85.19","85.32","84.04","772.79K","-0.24%"
"Sep 30, 2019","84.69","84.77","85.09","84.33","723.04K","-0.14%"
"Sep 27, 2019","84.81","84.83","85.50","84.44","700.26K","0.53%"
"Sep 26, 2019","84.36","84.25","84.64","83.68","739.36K","0.18%"
"Sep 25, 2019","84.21","83.67","84.38","82.59","1.06M","0.49%"
"Sep 24, 2019","83.80","84.59","85.00","83.57","770.77K","-0.80%"
"Sep 23, 2019","84.48","85.00","85.27","84.38","696.39K","-0.65%"
"Sep 20, 2019","85.03","85.78","85.91","84.60","4.98M","-0.54%"
"Sep 19, 2019","85.49","86.00","86.29","85.43","717.70K","-0.51%"
"Sep 18, 2019","85.93","84.86","85.97","84.86","722.83K","0.84%"
"Sep 17, 2019","85.21","85.06","85.52","84.58","713.25K","0.16%"
"Sep 16, 2019","85.07","85.35","85.72","84.62","728.76K","-0.32%"
"Sep 13, 2019","85.34","85.29","85.75","84.80","599.84K","-0.21%"
"Sep 12, 2019","85.52","84.80","86.25","84.51","1.03M","1.62%"
"Sep 11, 2019","84.16","83.82","84.46","83.54","1.22M","0.30%"
"Sep 10, 2019","83.91","85.31","85.31","83.65","1.15M","-1.44%"
"Sep 09, 2019","85.14","83.99","85.97","83.76","1.53M","2.01%"
"Sep 06, 2019","83.46","83.11","83.97","82.82","872.36K","0.49%"
"Sep 05, 2019","83.05","83.71","83.88","82.37","919.31K","0.61%"
"Sep 04, 2019","82.55","81.29","82.72","81.20","1.13M","1.65%"
"Sep 03, 2019","81.21","81.14","81.45","80.58","856.11K","-0.44%"
"Aug 30, 2019","81.57","81.45","81.86","80.94","946.85K","0.80%"
"Aug 29, 2019","80.92","81.02","81.27","80.50","649.50K","0.71%"
"Aug 28, 2019","80.35","79.71","80.38","79.08","840.15K","0.68%"
"Aug 27, 2019","79.81","79.24","80.04","79.24","891.12K","1.08%"
"Aug 26, 2019","78.96","78.91","79.61","78.43","1.03M","0.77%"
"Aug 23, 2019","78.36","79.96","80.33","78.19","1.35M","-2.39%"
"Aug 22, 2019","80.28","80.41","80.92","80.05","754.64K","0.20%"
"Aug 21, 2019","80.12","79.30","80.28","79.28","907.83K","1.80%"
"Aug 20, 2019","78.70","78.49","78.83","77.83","834.96K","0.65%"
"Aug 19, 2019","78.19","78.02","78.84","77.67","1.46M","1.32%"
"Aug 16, 2019","77.17","77.14","77.99","76.68","717.66K","0.51%"
"Aug 15, 2019","76.78","76.62","77.00","76.06","812.47K","0.35%"
"Aug 14, 2019","76.51","78.48","78.53","76.47","1.10M","-3.26%"
"Aug 13, 2019","79.09","77.80","79.64","77.80","1.22M","1.66%"
"Aug 12, 2019","77.80","78.58","78.79","77.34","1.62M","-1.57%"
"Aug 09, 2019","79.04","78.57","79.43","78.13","1.03M","0.50%"
"Aug 08, 2019","78.65","77.44","78.72","77.27","1.48M","1.80%"
"Aug 07, 2019","77.26","76.03","77.43","75.22","1.27M","0.80%"
"Aug 06, 2019","76.65","75.58","76.71","75.39","1.46M","1.73%"
"Aug 05, 2019","75.35","75.00","75.57","74.29","1.80M","-0.45%"
"Aug 02, 2019","75.69","76.87","77.50","75.08","1.08M","-1.37%"
"Aug 01, 2019","76.74","78.32","78.82","76.19","1.86M","-2.35%"
"Jul 31, 2019","78.59","83.25","83.95","77.52","4.00M","2.60%"
"Jul 30, 2019","76.60","78.24","78.58","76.40","1.89M","-2.57%"
"Jul 29, 2019","78.62","78.16","78.95","78.10","1.22M","0.42%"
"Jul 26, 2019","78.29","78.51","79.16","78.25","1.15M","-0.32%"
"Jul 25, 2019","78.54","79.38","79.78","78.43","1.09M","-1.20%"
"Jul 24, 2019","79.49","80.10","80.21","79.06","1.16M","-1.09%"
"Jul 23, 2019","80.37","81.00","81.15","79.83","1.04M","-0.56%"
"Jul 22, 2019","80.82","81.07","81.28","80.28","936.63K","-0.32%"
"Jul 19, 2019","81.08","81.55","81.73","80.75","1.98M","-1.12%"
"Jul 18, 2019","82.00","80.97","82.50","80.00","1.04M","1.08%"
"Jul 17, 2019","81.12","81.12","81.82","80.98","858.46K","0.07%"
"Jul 16, 2019","81.06","79.65","81.32","79.46","1.32M","1.54%"
"Jul 15, 2019","79.83","79.65","80.00","79.21","1.06M","0.05%"
"Jul 12, 2019","79.79","79.38","79.97","79.23","771.05K","1.01%"
"Jul 11, 2019","78.99","78.94","79.18","78.57","852.84K","0.32%"
"Jul 10, 2019","78.74","79.30","79.54","78.39","884.16K","-0.51%"
"Jul 09, 2019","79.14","79.00","79.57","77.50","811.85K","-0.39%"
"Jul 08, 2019","79.45","79.40","79.89","78.92","748.60K","-0.38%"
"Jul 05, 2019","79.75","80.18","80.48","78.51","703.71K","-1.01%"
"Jul 03, 2019","80.56","80.00","80.56","79.80","536.30K","0.66%"
"Jul 02, 2019","80.03","79.54","80.12","79.50","777.21K","0.18%"
"Jul 01, 2019","79.89","80.40","80.83","78.92","1.43M","0.11%"
"Jun 28, 2019","79.80","80.08","80.12","79.47","2.48M","-0.59%"
"Jun 27, 2019","80.27","80.50","80.77","80.00","562.90K","0.05%"
"Jun 26, 2019","80.23","80.28","80.95","80.21","638.12K","0.05%"
"Jun 25, 2019","80.19","81.48","81.54","80.02","875.04K","-1.39%"
"Jun 24, 2019","81.32","81.42","81.73","81.16","579.62K","0.14%"
"Jun 21, 2019","81.21","81.67","81.96","81.01","1.85M","-0.65%"
"Jun 20, 2019","81.74","82.01","82.74","81.04","785.10K","0.15%"
