"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15, 2019","8.83","8.81","8.94","8.81","726.70K","0.23%"
"Oct 14, 2019","8.81","8.70","8.87","8.61","963.00K","1.26%"
"Oct 11, 2019","8.70","8.55","8.78","8.46","1.25M","1.87%"
"Oct 10, 2019","8.54","8.56","8.65","8.53","590.40K","-0.23%"
"Oct 09, 2019","8.56","8.49","8.68","8.42","1.26M","2.15%"
"Oct 08, 2019","8.38","8.38","8.59","8.34","1.16M","-0.12%"
"Oct 07, 2019","8.39","8.50","8.55","8.38","949.90K","-1.29%"
"Oct 04, 2019","8.50","8.41","8.57","8.36","1.13M","1.07%"
"Oct 03, 2019","8.41","8.34","8.45","8.18","645.30K","1.20%"
"Oct 02, 2019","8.31","8.62","8.62","7.94","2.13M","-3.82%"
"Oct 01, 2019","8.64","8.69","8.72","8.60","956.60K","-1.03%"
"Sep 30, 2019","8.73","8.56","8.73","8.49","972.70K","1.87%"
"Sep 27, 2019","8.57","8.54","8.60","8.40","624.70K","0.59%"
"Sep 26, 2019","8.52","8.59","8.67","8.51","546.50K","-0.81%"
"Sep 25, 2019","8.59","8.76","8.76","8.35","1.00M","-2.05%"
"Sep 24, 2019","8.77","8.56","8.77","8.56","1.42M","3.42%"
"Sep 23, 2019","8.48","8.39","8.53","8.31","805.30K","0.59%"
"Sep 20, 2019","8.43","8.40","8.43","8.22","946.10K","0.48%"
"Sep 19, 2019","8.39","8.42","8.56","8.39","459.60K","-0.24%"
"Sep 18, 2019","8.41","8.38","8.46","8.30","1.26M","0.72%"
"Sep 17, 2019","8.35","8.21","8.40","8.18","922.50K","1.71%"
"Sep 16, 2019","8.21","8.16","8.28","7.92","1.03M","0.12%"
"Sep 13, 2019","8.20","8.34","8.44","8.20","728.90K","-1.68%"
"Sep 12, 2019","8.34","8.49","8.49","8.22","1.14M","-1.88%"
"Sep 11, 2019","8.50","8.05","8.50","8.05","2.54M","6.52%"
"Sep 10, 2019","7.98","7.84","8.03","7.82","1.53M","2.18%"
"Sep 09, 2019","7.81","7.71","7.84","7.71","916.60K","0.51%"
"Sep 06, 2019","7.77","7.79","7.84","7.61","883.80K","0.52%"
"Sep 05, 2019","7.73","7.85","7.90","7.73","496.00K","-0.64%"
"Sep 04, 2019","7.78","7.90","7.95","7.76","429.10K","-0.38%"
"Sep 03, 2019","7.81","7.77","7.87","7.60","790.80K","1.17%"
"Sep 02, 2019","7.72","7.93","7.96","7.72","1.29M","-4.10%"
"Aug 30, 2019","8.05","7.81","8.05","7.71","1.38M","3.21%"
