"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","44.70","44.31","44.73","44.15","1.61M","0.68%"
"Oct 28, 2019","44.40","44.39","44.70","44.34","3.86M","1.32%"
"Oct 25, 2019","43.82","43.76","43.96","43.51","2.96M","-0.45%"
"Oct 24, 2019","44.02","43.84","44.10","43.81","3.59M","1.73%"
"Oct 23, 2019","43.27","43.10","43.31","42.96","3.34M","1.76%"
"Oct 22, 2019","42.52","42.85","43.09","42.50","2.91M","-0.19%"
"Oct 21, 2019","42.60","42.60","42.69","42.45","1.93M","0.16%"
"Oct 18, 2019","42.53","42.52","42.64","42.37","1.43M","0.14%"
"Oct 17, 2019","42.47","42.63","42.69","42.43","1.63M","0.45%"
"Oct 16, 2019","42.28","42.45","42.51","41.87","2.78M","0.02%"
"Oct 15, 2019","42.27","41.83","42.32","41.78","2.32M","0.24%"
"Oct 14, 2019","42.17","42.40","42.58","42.16","1.43M","-0.02%"
"Oct 11, 2019","42.18","42.15","42.53","42.10","2.98M","-0.17%"
"Oct 10, 2019","42.25","42.10","42.34","42.05","2.65M","0.40%"
"Oct 09, 2019","42.08","42.01","42.18","41.91","1.58M","0.48%"
"Oct 08, 2019","41.88","42.06","42.14","41.80","1.94M","-0.76%"
"Oct 07, 2019","42.20","42.09","42.38","42.04","1.48M","0.50%"
"Oct 04, 2019","41.99","41.66","42.04","41.58","1.62M","1.30%"
"Oct 03, 2019","41.45","41.15","41.49","40.97","2.02M","0.63%"
"Oct 02, 2019","41.19","41.38","41.56","40.83","2.96M","-2.65%"
"Oct 01, 2019","42.31","42.50","42.53","42.14","1.82M","-0.87%"
"Sep 30, 2019","42.68","42.96","43.22","42.67","3.68M","0.80%"
"Sep 27, 2019","42.34","42.39","42.52","42.15","2.37M","0.71%"
"Sep 26, 2019","42.04","42.23","42.63","42.03","2.98M","1.52%"
"Sep 25, 2019","41.41","41.60","41.67","41.41","2.07M","-1.57%"
"Sep 24, 2019","42.07","42.13","42.44","42.00","2.55M","0.36%"
"Sep 23, 2019","41.92","42.00","42.04","41.84","3.36M","0.70%"
"Sep 20, 2019","41.63","41.73","41.85","41.38","2.92M","0.75%"
"Sep 19, 2019","41.32","41.29","41.55","41.19","2.04M","0.63%"
"Sep 18, 2019","41.06","41.02","41.22","40.91","1.19M","-0.10%"
"Sep 17, 2019","41.10","40.94","41.20","40.87","1.33M","1.23%"
"Sep 16, 2019","40.60","40.71","40.80","40.44","1.68M","-0.71%"
"Sep 13, 2019","40.89","40.86","41.10","40.78","1.90M","-0.34%"
"Sep 12, 2019","41.03","40.79","41.18","40.77","1.71M","0.51%"
"Sep 11, 2019","40.82","40.35","40.84","40.32","2.79M","-0.17%"
"Sep 10, 2019","40.89","40.27","40.91","40.20","2.95M","-1.42%"
"Sep 09, 2019","41.48","41.61","41.64","41.18","2.19M","-1.45%"
"Sep 06, 2019","42.09","42.07","42.20","42.04","1.32M","-0.02%"
"Sep 05, 2019","42.10","42.21","42.27","41.91","2.20M","-0.66%"
"Sep 04, 2019","42.38","42.42","42.49","42.27","2.00M","-0.09%"
"Sep 03, 2019","42.42","41.81","42.44","41.76","3.47M","2.02%"
"Aug 30, 2019","41.58","41.81","41.89","41.42","2.09M","-0.34%"
"Aug 29, 2019","41.72","41.74","41.76","41.58","2.63M","0.99%"
"Aug 28, 2019","41.31","41.26","41.44","41.15","1.75M","0.12%"
"Aug 27, 2019","41.26","41.45","41.49","41.25","1.58M","-0.07%"
"Aug 26, 2019","41.29","41.25","41.36","41.03","1.80M","0.24%"
"Aug 23, 2019","41.19","41.42","41.73","41.07","3.38M","0.51%"
"Aug 22, 2019","40.98","40.82","41.09","40.80","2.20M","0.71%"
"Aug 21, 2019","40.69","40.67","40.88","40.58","1.93M","1.07%"
"Aug 20, 2019","40.26","40.46","40.54","40.25","1.53M","-0.27%"
"Aug 19, 2019","40.37","40.32","40.47","40.22","1.72M","0.45%"
"Aug 16, 2019","40.19","40.21","40.38","40.15","1.37M","0.58%"
"Aug 15, 2019","39.96","39.88","40.06","39.74","1.99M","0.71%"
"Aug 14, 2019","39.68","40.06","40.21","39.68","2.54M","-2.39%"
"Aug 13, 2019","40.65","40.59","40.85","40.43","5.19M","1.02%"
"Aug 12, 2019","40.24","40.39","40.50","40.11","1.35M","-0.57%"
"Aug 09, 2019","40.47","40.66","40.69","40.29","1.54M","-0.07%"
"Aug 08, 2019","40.50","40.20","40.65","40.10","1.68M","-0.02%"
"Aug 07, 2019","40.51","40.29","40.62","40.02","3.14M","0.50%"
"Aug 06, 2019","40.31","40.29","40.58","40.09","2.51M","-0.12%"
"Aug 05, 2019","40.36","40.59","40.71","40.09","2.42M","-1.68%"
"Aug 02, 2019","41.05","41.34","41.45","40.88","2.32M","-1.04%"
"Aug 01, 2019","41.48","41.05","41.58","41.05","2.28M","0.48%"
"Jul 31, 2019","41.28","41.19","41.69","41.06","2.65M","-1.29%"
"Jul 30, 2019","41.82","42.01","42.14","41.76","2.38M","-0.85%"
"Jul 29, 2019","42.18","42.40","42.47","42.16","2.94M","0.64%"
"Jul 26, 2019","41.91","41.67","41.92","41.58","2.75M","0.89%"
"Jul 25, 2019","41.54","41.80","41.83","41.52","3.15M","0.27%"
"Jul 24, 2019","41.43","41.56","41.63","41.27","2.79M","0.27%"
"Jul 23, 2019","41.32","41.42","41.49","41.26","2.49M","0.46%"
"Jul 22, 2019","41.13","41.32","41.32","41.13","1.91M","0.42%"
"Jul 19, 2019","40.96","41.09","41.14","40.94","1.73M","-1.09%"
"Jul 18, 2019","41.41","41.12","41.42","41.00","1.73M","0.66%"
"Jul 17, 2019","41.14","41.26","41.30","41.08","1.76M","-0.10%"
"Jul 16, 2019","41.18","41.49","41.49","41.09","2.89M","0.68%"
"Jul 15, 2019","40.90","41.01","41.16","40.77","2.75M","1.19%"
"Jul 12, 2019","40.42","40.81","40.83","40.23","4.31M","-1.25%"
"Jul 11, 2019","40.93","41.40","41.43","40.64","4.16M","-0.44%"
"Jul 10, 2019","41.11","41.01","41.15","40.99","1.46M","0.88%"
