"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14, 2019","19.61","19.06","19.61","19.03","272.40K","3.10%"
"Nov 13, 2019","19.02","19.56","19.65","18.99","403.20K","-1.35%"
"Nov 12, 2019","19.28","19.61","19.73","18.99","549.50K","-2.13%"
"Nov 11, 2019","19.70","19.61","19.73","19.37","443.20K","-0.40%"
"Nov 08, 2019","19.78","20.90","20.96","19.61","774.50K","-3.56%"
"Nov 07, 2019","20.51","20.70","21.02","20.29","1.05M","-2.43%"
"Nov 06, 2019","21.02","20.70","21.02","20.37","305.60K","2.49%"
"Nov 05, 2019","20.51","21.01","21.20","20.25","359.20K","-2.33%"
"Nov 04, 2019","21.00","20.84","21.24","20.78","442.20K","1.69%"
"Nov 01, 2019","20.65","19.90","20.77","19.82","797.60K","3.56%"
"Oct 31, 2019","19.94","19.99","20.11","19.68","504.50K","-0.10%"
"Oct 30, 2019","19.96","20.20","20.38","19.84","340.90K","-1.19%"
"Oct 29, 2019","20.20","20.31","20.31","19.92","309.00K","0.15%"
"Oct 28, 2019","20.17","20.54","20.54","20.09","507.80K","-0.15%"
"Oct 25, 2019","20.20","20.64","20.64","20.09","461.20K","-1.22%"
"Oct 24, 2019","20.45","20.92","21.50","20.32","674.00K","-1.26%"
"Oct 23, 2019","20.71","20.78","20.92","20.47","392.90K","-0.34%"
"Oct 22, 2019","20.78","20.96","20.96","20.62","401.00K","-0.19%"
"Oct 21, 2019","20.82","20.75","20.95","20.48","282.60K","0.43%"
"Oct 18, 2019","20.73","20.75","20.89","20.34","667.00K","-0.86%"
"Oct 17, 2019","20.91","20.52","20.91","20.30","450.90K","2.00%"
"Oct 16, 2019","20.50","20.10","20.51","19.85","404.50K","2.14%"
"Oct 15, 2019","20.07","20.08","20.10","19.68","464.80K","0.30%"
"Oct 14, 2019","20.01","19.46","20.26","19.33","691.90K","1.94%"
"Oct 11, 2019","19.63","19.47","19.63","19.27","1.16M","0.93%"
"Oct 10, 2019","19.45","19.09","19.45","18.96","516.20K","1.30%"
"Oct 09, 2019","19.20","18.86","19.22","18.80","326.50K","2.13%"
"Oct 08, 2019","18.80","19.08","19.19","18.75","302.00K","-1.62%"
