"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","1.62","1.59","1.63","1.53","4.08M","7.28%"
"May 15, 2020","1.51","1.55","1.59","1.51","5.05M","-3.82%"
"May 14, 2020","1.57","1.58","1.64","1.51","7.77M","-2.48%"
"May 13, 2020","1.61","1.57","1.68","1.46","9.50M","3.87%"
"May 12, 2020","1.55","1.60","1.64","1.55","4.77M","-3.13%"
"May 11, 2020","1.60","1.61","1.64","1.58","4.99M","-1.84%"
"May 08, 2020","1.63","1.65","1.66","1.61","7.18M","0.00%"
"May 07, 2020","1.63","1.81","1.81","1.63","17.38M","-7.39%"
"May 06, 2020","1.76","1.76","1.79","1.68","6.63M","1.15%"
"May 05, 2020","1.74","1.83","1.84","1.74","7.21M","-1.69%"
"May 04, 2020","1.77","1.74","1.83","1.70","9.33M","-4.84%"
"Apr 30, 2020","1.86","1.88","1.95","1.82","14.24M","-4.12%"
"Apr 29, 2020","1.94","2.03","2.05","1.91","18.51M","0.52%"
"Apr 28, 2020","1.93","1.91","2.00","1.87","17.19M","6.63%"
"Apr 27, 2020","1.81","1.84","1.89","1.74","13.55M","6.47%"
"Apr 24, 2020","1.70","1.99","2.04","1.62","29.02M","-16.67%"
"Apr 23, 2020","2.04","2.26","2.37","1.91","29.80M","-6.42%"
"Apr 22, 2020","2.18","1.72","2.20","1.69","33.40M","28.99%"
"Apr 20, 2020","1.69","1.63","1.75","1.58","9.16M","0.60%"
"Apr 17, 2020","1.68","1.73","1.74","1.61","11.56M","4.35%"
"Apr 16, 2020","1.61","1.74","1.75","1.61","9.29M","-4.73%"
"Apr 15, 2020","1.69","1.67","1.76","1.62","7.97M","-3.43%"
"Apr 14, 2020","1.75","1.75","1.84","1.71","10.11M","1.74%"
"Apr 13, 2020","1.72","1.66","1.73","1.59","6.68M","2.99%"
"Apr 09, 2020","1.67","1.64","1.77","1.57","11.70M","3.73%"
"Apr 08, 2020","1.61","1.51","1.62","1.43","9.80M","7.33%"
"Apr 07, 2020","1.50","1.59","1.64","1.46","14.15M","1.35%"
"Apr 06, 2020","1.48","1.59","1.61","1.43","15.06M","5.71%"
"Apr 03, 2020","1.40","1.64","1.68","1.36","16.95M","-13.58%"
"Apr 02, 2020","1.62","1.78","1.81","1.60","12.28M","-5.26%"
"Apr 01, 2020","1.71","1.78","1.78","1.68","9.07M","-9.04%"
"Mar 31, 2020","1.88","2.05","2.10","1.77","12.81M","-6.93%"
"Mar 30, 2020","2.02","2.24","2.31","1.97","13.30M","-3.81%"
"Mar 27, 2020","2.10","1.96","2.36","1.79","18.65M","0.48%"
"Mar 26, 2020","2.09","1.64","2.13","1.64","20.97M","31.45%"
"Mar 25, 2020","1.59","1.48","1.75","1.46","15.74M","8.90%"
"Mar 24, 2020","1.46","1.38","1.59","1.30","12.20M","21.67%"
"Mar 23, 2020","1.20","1.35","1.38","1.20","8.80M","-11.76%"
"Mar 20, 2020","1.36","1.49","1.63","1.35","14.39M","2.26%"
"Mar 19, 2020","1.33","1.05","1.45","1.01","12.53M","15.65%"
"Mar 18, 2020","1.15","1.45","1.48","1.10","13.02M","-29.45%"
"Mar 17, 2020","1.63","1.80","1.82","1.62","10.11M","-4.68%"
"Mar 16, 2020","1.71","2.00","2.05","1.71","12.13M","-25.65%"
"Mar 13, 2020","2.30","2.42","2.46","2.05","20.45M","10.58%"
"Mar 12, 2020","2.08","2.40","2.50","2.01","9.57M","-22.96%"
"Mar 11, 2020","2.70","2.88","2.97","2.53","14.75M","-6.90%"
"Mar 10, 2020","2.90","2.97","3.07","2.76","13.35M","6.62%"
"Mar 09, 2020","2.72","2.72","2.98","2.65","10.73M","-14.20%"
