"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","2.3800","2.4400","2.4700","2.3000","6.20M","-5.56%"
"Oct 24, 2019","2.5200","2.7500","2.7700","2.4900","6.20M","-6.32%"
"Oct 23, 2019","2.6900","2.5300","2.8600","2.4500","8.96M","3.86%"
"Oct 22, 2019","2.5900","2.6400","2.7000","2.5600","2.67M","-3.36%"
"Oct 21, 2019","2.6800","2.7000","2.7300","2.4600","5.12M","-2.19%"
"Oct 18, 2019","2.7400","3.0000","3.0100","2.6800","4.59M","-5.19%"
"Oct 17, 2019","2.8900","2.6000","2.9600","2.5000","8.35M","17.00%"
"Oct 16, 2019","2.4700","2.6300","2.6500","2.4300","4.28M","-3.52%"
"Oct 15, 2019","2.5600","2.3600","2.7200","2.3200","7.09M","8.47%"
"Oct 14, 2019","2.3600","2.4100","2.4400","2.2800","5.58M","-6.72%"
"Oct 11, 2019","2.5300","2.7600","2.8800","2.5250","7.62M","-11.23%"
"Oct 10, 2019","2.8500","2.9800","3.0800","2.7100","12.31M","-22.55%"
"Oct 09, 2019","3.6800","3.6600","3.7900","3.6350","2.88M","-0.54%"
"Oct 08, 2019","3.7000","3.7000","3.7200","3.5600","3.68M","-2.63%"
"Oct 07, 2019","3.8000","3.9000","3.9250","3.7900","4.83M","-6.40%"
"Oct 04, 2019","4.0600","4.0000","4.1400","3.9600","3.58M","2.53%"
"Oct 03, 2019","3.9600","3.7500","3.9800","3.6752","3.18M","5.04%"
"Oct 02, 2019","3.7700","3.7100","3.8900","3.5200","4.96M","-1.57%"
"Oct 01, 2019","3.8300","3.9600","4.0100","3.6700","3.88M","-3.28%"
"Sep 30, 2019","3.9600","4.2200","4.2375","3.9200","5.41M","-5.49%"
"Sep 27, 2019","4.1900","4.1200","4.3400","4.0800","3.24M","1.70%"
"Sep 26, 2019","4.1200","4.2200","4.2500","4.0600","2.52M","-0.72%"
"Sep 25, 2019","4.1500","4.1500","4.2100","3.9800","3.52M","-0.24%"
"Sep 24, 2019","4.1600","4.4400","4.4400","4.0850","5.05M","-5.45%"
"Sep 23, 2019","4.4000","4.4000","4.6200","4.3775","5.23M","0.92%"
"Sep 20, 2019","4.3600","4.0000","4.4300","3.9399","7.53M","10.66%"
"Sep 19, 2019","3.9400","4.1200","4.1300","3.9100","3.08M","-4.14%"
"Sep 18, 2019","4.1100","4.0500","4.1500","4.0000","2.39M","0.98%"
"Sep 17, 2019","4.0700","4.2600","4.2800","4.0200","2.78M","-4.24%"
"Sep 16, 2019","4.2500","4.2800","4.3300","4.2104","2.04M","0.47%"
"Sep 13, 2019","4.2300","4.2200","4.2800","4.1500","2.07M","1.44%"
"Sep 12, 2019","4.1700","4.2100","4.3000","4.1600","2.26M","-3.25%"
"Sep 11, 2019","4.3100","4.4500","4.4793","4.2600","3.38M","-2.49%"
