"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2019","107.50","108.01","108.39","107.41","12.87K","-0.47%"
"Nov 07, 2019","108.01","105.98","108.79","105.98","20.05K","0.47%"
"Nov 06, 2019","107.50","106.27","108.79","105.83","28.38K","1.49%"
"Nov 05, 2019","105.92","106.24","106.60","105.70","21.06K","-0.22%"
"Nov 04, 2019","106.15","106.24","106.60","105.70","33.59K","-0.13%"
"Nov 01, 2019","106.29","105.82","106.29","105.11","29.25K","0.87%"
"Oct 31, 2019","105.37","105.17","105.45","104.98","26.00K","-0.59%"
"Oct 30, 2019","106.00","105.55","106.05","105.50","23.34K","0.47%"
"Oct 29, 2019","105.50","105.18","106.00","105.18","20.87K","0.37%"
"Oct 28, 2019","105.11","105.60","105.70","105.02","23.86K","-0.46%"
"Oct 25, 2019","105.60","105.83","105.85","105.40","65.64K","0.00%"
"Oct 24, 2019","105.60","106.00","106.27","105.50","74.45K","-0.38%"
"Oct 23, 2019","106.00","105.40","106.23","105.40","41.91K","0.71%"
"Oct 22, 2019","105.25","105.61","105.93","105.25","11.24K","-0.35%"
"Oct 21, 2019","105.62","105.01","105.62","104.99","23.02K","0.84%"
"Oct 18, 2019","104.74","104.44","104.98","104.44","14.71K","0.32%"
"Oct 17, 2019","104.41","105.25","106.14","104.26","33.13K","-0.22%"
"Oct 16, 2019","104.64","104.73","105.76","104.27","19.61K","-0.09%"
"Oct 15, 2019","104.73","104.27","104.96","104.13","18.84K","0.07%"
"Oct 14, 2019","104.66","104.43","104.76","104.01","18.48K","0.21%"
"Oct 11, 2019","104.44","103.76","104.44","103.76","21.98K","0.56%"
"Oct 10, 2019","103.86","103.96","104.19","103.74","9.98K","-0.01%"
"Oct 09, 2019","103.87","104.19","104.19","103.76","9.32K","-0.32%"
"Oct 08, 2019","104.20","103.86","104.36","103.76","23.23K","0.19%"
"Oct 07, 2019","104.00","104.62","104.88","103.75","31.54K","-0.85%"
"Oct 04, 2019","104.89","104.22","104.90","104.10","14.38K","0.70%"
"Oct 03, 2019","104.16","104.10","104.22","103.78","19.49K","0.06%"
"Oct 02, 2019","104.10","104.22","104.22","103.76","17.14K","-0.06%"
"Oct 01, 2019","104.16","103.73","104.30","103.04","31.19K","0.11%"
"Sep 30, 2019","104.05","104.00","104.30","103.41","11.39K","0.03%"
"Sep 27, 2019","104.02","103.65","104.30","103.20","12.04K","0.14%"
"Sep 26, 2019","103.87","104.09","104.14","103.20","17.50K","-0.21%"
"Sep 25, 2019","104.09","103.65","104.09","103.27","20.81K","0.42%"
"Sep 24, 2019","103.65","103.41","103.90","103.25","26.04K","0.19%"
"Sep 23, 2019","103.45","103.75","103.78","102.91","19.06K","-0.33%"
