"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2019","277.60","279.98","279.98","275.51","4.30K","-0.86%"
"Nov 07, 2019","280.00","270.99","280.00","270.20","14.23K","3.32%"
"Nov 06, 2019","271.00","271.80","274.50","268.40","31.71K","-0.33%"
"Nov 05, 2019","271.90","276.94","277.00","266.99","27.77K","0.08%"
"Nov 04, 2019","271.69","276.94","277.00","266.99","30.01K","-1.59%"
"Nov 01, 2019","276.09","277.60","279.00","266.00","45.89K","-0.54%"
"Oct 31, 2019","277.60","274.51","277.60","274.13","12.18K","0.96%"
"Oct 30, 2019","274.95","275.11","275.97","274.95","16.00K","-0.01%"
"Oct 29, 2019","274.99","277.12","277.50","273.00","19.05K","-0.77%"
"Oct 28, 2019","277.12","276.25","277.70","271.00","14.70K","0.31%"
"Oct 25, 2019","276.25","273.00","277.00","270.10","21.06K","1.26%"
"Oct 24, 2019","272.80","270.00","273.44","268.08","12.00K","1.04%"
"Oct 23, 2019","270.00","264.99","277.00","264.02","17.10K","1.89%"
"Oct 22, 2019","265.00","262.98","267.99","261.00","14.42K","1.28%"
"Oct 21, 2019","261.66","257.45","261.66","257.01","34.59K","1.12%"
"Oct 18, 2019","258.75","258.17","259.00","258.17","12.79K","0.25%"
"Oct 17, 2019","258.10","258.97","259.50","257.06","16.82K","-0.34%"
"Oct 16, 2019","258.98","257.97","258.98","256.20","18.16K","0.38%"
"Oct 15, 2019","258.00","258.75","258.95","257.00","20.21K","-0.29%"
"Oct 14, 2019","258.75","257.61","259.00","257.01","14.55K","0.49%"
"Oct 11, 2019","257.50","257.20","259.00","255.52","14.69K","0.19%"
"Oct 10, 2019","257.00","255.49","257.00","255.06","6.71K","0.78%"
"Oct 09, 2019","255.00","255.00","257.19","254.55","14.46K","0.00%"
"Oct 08, 2019","255.00","255.88","255.88","254.51","22.80K","-0.30%"
"Oct 07, 2019","255.78","257.00","257.00","254.52","16.12K","-0.09%"
"Oct 04, 2019","256.00","253.50","261.00","253.20","14.40K","0.77%"
"Oct 03, 2019","254.05","252.99","254.05","251.75","29.59K","0.28%"
"Oct 02, 2019","253.33","253.30","253.33","251.01","20.79K","0.01%"
"Oct 01, 2019","253.30","253.96","253.96","250.55","16.50K","0.00%"
"Sep 30, 2019","253.30","250.59","253.30","250.33","28.35K","1.08%"
"Sep 27, 2019","250.59","250.47","250.61","250.22","15.64K","0.05%"
"Sep 26, 2019","250.47","250.52","250.60","249.92","11.83K","-0.05%"
"Sep 25, 2019","250.59","250.56","250.59","248.75","50.50K","0.01%"
"Sep 24, 2019","250.56","250.56","250.56","250.22","18.56K","0.00%"
"Sep 23, 2019","250.56","250.49","250.56","249.72","18.99K","0.02%"
"Sep 20, 2019","250.52","250.52","250.61","250.20","14.77K","-0.55%"
"Sep 19, 2019","251.90","251.19","251.90","250.99","21.67K","0.28%"
"Sep 18, 2019","251.20","251.40","251.44","250.00","14.11K","0.04%"
"Sep 17, 2019","251.10","252.50","252.99","250.50","16.81K","-0.75%"
"Sep 16, 2019","253.00","253.04","253.20","251.08","15.63K","-0.02%"
"Sep 13, 2019","253.04","251.90","253.07","251.00","10.87K","0.61%"
"Sep 12, 2019","251.50","250.00","251.50","249.60","17.70K","0.65%"
"Sep 11, 2019","249.88","252.98","252.98","249.50","37.37K","-1.23%"
"Sep 10, 2019","252.99","251.00","253.47","248.00","26.08K","0.79%"
"Sep 09, 2019","251.00","254.45","254.99","249.10","25.65K","-1.36%"
"Sep 06, 2019","254.45","254.78","254.79","254.00","14.44K","-0.15%"
"Sep 05, 2019","254.84","253.94","254.90","253.16","26.52K","0.33%"
"Sep 04, 2019","254.00","253.99","254.00","251.53","13.39K","0.00%"
"Sep 03, 2019","254.00","253.98","254.00","253.35","16.35K","0.00%"
"Sep 02, 2019","254.00","253.45","255.00","250.67","16.84K","0.16%"
"Aug 30, 2019","253.59","251.09","253.59","249.15","26.01K","1.59%"
"Aug 29, 2019","249.62","249.52","251.52","247.21","13.69K","0.04%"
"Aug 28, 2019","249.52","249.51","249.52","246.70","13.23K","0.00%"
"Aug 27, 2019","249.52","247.62","249.62","245.67","18.78K","0.44%"
"Aug 26, 2019","248.42","246.94","248.52","242.67","14.54K","0.61%"
"Aug 23, 2019","246.92","242.59","246.94","240.77","17.77K","1.76%"
"Aug 22, 2019","242.66","240.57","246.10","239.70","8.47K","0.83%"
"Aug 21, 2019","240.66","239.72","240.66","238.82","80.73K","0.45%"
"Aug 20, 2019","239.58","240.42","240.42","238.19","43.19K","-0.63%"
"Aug 19, 2019","241.10","241.89","242.00","241.10","42.87K","-0.34%"
"Aug 16, 2019","241.93","242.99","244.49","240.60","36.86K","-0.31%"
"Aug 15, 2019","242.68","241.83","242.75","241.31","15.86K","0.57%"
"Aug 14, 2019","241.31","242.50","242.99","241.20","19.13K","-0.49%"
"Aug 13, 2019","242.49","241.73","244.90","241.26","16.72K","0.49%"
