"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2019","169.85","169.49","169.85","169.04","9.50K","0.50%"
"Nov 07, 2019","169.00","168.60","169.55","168.02","47.45K","1.29%"
"Nov 06, 2019","166.84","163.60","168.85","163.50","45.07K","0.72%"
"Nov 05, 2019","165.65","162.15","166.00","161.84","38.73K","1.25%"
"Nov 04, 2019","163.60","162.15","163.65","161.84","50.26K","0.93%"
"Nov 01, 2019","162.10","161.97","162.79","161.50","55.00K","0.43%"
"Oct 31, 2019","161.41","162.08","162.12","161.22","39.07K","-0.36%"
"Oct 30, 2019","162.00","162.55","162.60","161.68","31.66K","-0.34%"
"Oct 29, 2019","162.55","162.57","162.90","162.40","30.52K","-0.01%"
"Oct 28, 2019","162.57","161.26","162.80","161.26","29.73K","0.85%"
"Oct 25, 2019","161.20","162.00","162.79","161.20","35.18K","-0.40%"
"Oct 24, 2019","161.85","161.26","162.50","160.87","42.76K","0.37%"
"Oct 23, 2019","161.25","162.00","163.39","160.50","44.37K","-0.46%"
"Oct 22, 2019","161.99","162.50","163.87","161.99","41.79K","0.48%"
"Oct 21, 2019","161.22","160.73","162.20","159.11","64.50K","-0.09%"
"Oct 18, 2019","161.36","160.30","162.00","160.30","38.40K","0.86%"
"Oct 17, 2019","159.99","159.51","160.70","159.51","36.57K","0.33%"
"Oct 16, 2019","159.46","159.11","160.80","159.10","40.92K","0.37%"
"Oct 15, 2019","158.88","158.88","159.79","158.00","39.27K","0.05%"
"Oct 14, 2019","158.80","157.64","158.80","157.03","38.11K","0.74%"
"Oct 11, 2019","157.64","156.80","157.79","156.50","32.94K","0.41%"
"Oct 10, 2019","157.00","157.00","157.89","156.80","28.54K","0.13%"
"Oct 09, 2019","156.80","155.54","156.80","155.54","31.06K","0.81%"
"Oct 08, 2019","155.54","155.50","155.99","154.90","45.10K","-0.29%"
"Oct 07, 2019","156.00","155.00","157.23","155.00","38.06K","0.65%"
