"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","2.380","2.390","2.390","2.380","75.23K","-1.24%"
"Oct 28, 2019","2.410","2.390","2.420","2.390","370.92K","0.84%"
"Oct 25, 2019","2.390","2.340","2.400","2.310","413.97K","2.14%"
"Oct 24, 2019","2.340","2.330","2.370","2.270","533.91K","0.00%"
"Oct 23, 2019","2.340","2.380","2.407","2.320","355.14K","-2.09%"
"Oct 22, 2019","2.390","2.350","2.430","2.350","542.85K","0.84%"
"Oct 21, 2019","2.370","2.370","2.410","2.340","484.06K","0.42%"
"Oct 18, 2019","2.360","2.400","2.420","2.320","417.26K","-1.67%"
"Oct 17, 2019","2.400","2.400","2.440","2.390","433.69K","0.42%"
"Oct 16, 2019","2.390","2.370","2.410","2.300","689.65K","0.84%"
"Oct 15, 2019","2.370","2.320","2.390","2.320","353.43K","1.72%"
"Oct 14, 2019","2.330","2.400","2.400","2.270","588.98K","-1.69%"
"Oct 11, 2019","2.370","2.300","2.400","2.290","1.07M","3.49%"
"Oct 10, 2019","2.290","2.180","2.300","2.180","642.38K","4.57%"
"Oct 09, 2019","2.190","2.190","2.240","2.160","891.74K","0.46%"
"Oct 08, 2019","2.180","2.260","2.270","2.180","511.63K","-3.54%"
"Oct 07, 2019","2.260","2.210","2.280","2.200","639.05K","2.26%"
"Oct 04, 2019","2.210","2.200","2.250","2.180","381.11K","1.38%"
"Oct 03, 2019","2.180","2.150","2.230","2.140","588.11K","1.40%"
"Oct 02, 2019","2.150","2.170","2.185","2.090","806.35K","-1.38%"
"Oct 01, 2019","2.180","2.270","2.320","2.170","724.06K","-3.96%"
"Sep 30, 2019","2.270","2.260","2.310","2.200","540.58K","0.89%"
"Sep 27, 2019","2.250","2.200","2.300","2.200","627.37K","2.74%"
"Sep 26, 2019","2.190","2.220","2.250","2.190","337.37K","-0.90%"
"Sep 25, 2019","2.210","2.140","2.240","2.140","348.91K","1.84%"
"Sep 24, 2019","2.170","2.300","2.340","2.152","725.82K","-5.65%"
"Sep 23, 2019","2.300","2.150","2.365","2.140","981.61K","4.55%"
"Sep 20, 2019","2.200","2.270","2.300","2.180","764.86K","-2.65%"
"Sep 19, 2019","2.260","2.290","2.380","2.250","519.55K","-1.31%"
"Sep 18, 2019","2.290","2.350","2.410","2.220","1.03M","-2.97%"
"Sep 17, 2019","2.360","2.370","2.400","2.340","623.20K","-2.07%"
"Sep 16, 2019","2.410","2.380","2.450","2.300","950.86K","0.84%"
"Sep 13, 2019","2.390","2.520","2.528","2.390","657.41K","-4.78%"
"Sep 12, 2019","2.510","2.460","2.535","2.390","782.16K","1.21%"
"Sep 11, 2019","2.480","2.700","2.770","2.370","3.12M","-6.77%"
"Sep 10, 2019","2.660","2.210","2.750","2.210","3.39M","20.36%"
"Sep 09, 2019","2.210","2.170","2.315","2.170","1.21M","1.84%"
"Sep 06, 2019","2.170","2.050","2.180","2.050","957.00K","4.83%"
"Sep 05, 2019","2.070","2.200","2.335","2.050","2.79M","-5.05%"
"Sep 04, 2019","2.180","1.890","2.200","1.880","2.13M","15.34%"
"Sep 03, 2019","1.890","1.850","1.900","1.840","1.23M","2.72%"
"Aug 30, 2019","1.840","1.850","1.870","1.830","674.72K","0.00%"
"Aug 29, 2019","1.840","1.860","1.900","1.820","1.15M","0.00%"
"Aug 28, 2019","1.840","1.800","1.870","1.700","1.96M","2.22%"
"Aug 27, 2019","1.800","1.920","1.980","1.780","1.78M","-6.74%"
"Aug 26, 2019","1.930","1.980","2.010","1.930","1.56M","-2.53%"
"Aug 23, 2019","1.980","2.030","2.060","1.980","1.31M","-3.41%"
"Aug 22, 2019","2.050","2.090","2.120","2.010","845.74K","-1.44%"
"Aug 21, 2019","2.080","2.080","2.160","2.030","1.01M","-0.95%"
"Aug 20, 2019","2.100","2.110","2.150","2.075","766.93K","-0.47%"
"Aug 19, 2019","2.110","2.200","2.240","2.110","1.00M","-1.40%"
"Aug 16, 2019","2.140","2.160","2.190","2.110","893.62K","-0.93%"
"Aug 15, 2019","2.160","2.120","2.180","2.100","1.22M","3.35%"
"Aug 14, 2019","2.090","2.220","2.250","2.070","2.04M","-6.70%"
"Aug 13, 2019","2.240","2.230","2.320","2.220","1.35M","-0.44%"
"Aug 12, 2019","2.250","2.320","2.400","2.240","2.03M","-3.85%"
"Aug 09, 2019","2.340","2.610","2.620","2.320","2.47M","-13.65%"
"Aug 08, 2019","2.710","2.900","3.020","2.620","4.33M","-9.06%"
"Aug 07, 2019","2.980","2.920","3.030","2.920","782.80K","0.68%"
"Aug 06, 2019","2.960","2.950","2.990","2.900","1.14M","1.02%"
"Aug 05, 2019","2.930","2.920","2.980","2.920","1.48M","-1.68%"
"Aug 02, 2019","2.980","3.050","3.070","2.945","1.29M","-2.30%"
"Aug 01, 2019","3.050","3.120","3.210","3.020","972.48K","-2.56%"
"Jul 31, 2019","3.130","3.150","3.230","3.115","344.28K","-1.88%"
"Jul 30, 2019","3.190","3.140","3.210","3.090","600.34K","0.63%"
"Jul 29, 2019","3.170","3.220","3.240","3.155","523.96K","-1.25%"
"Jul 26, 2019","3.210","3.210","3.250","3.130","804.65K","0.63%"
"Jul 25, 2019","3.190","3.330","3.340","3.190","1.01M","-4.78%"
"Jul 24, 2019","3.350","3.120","3.380","3.120","1.63M","3.40%"
"Jul 23, 2019","3.240","3.140","3.250","3.135","1.35M","3.18%"
"Jul 22, 2019","3.140","3.000","3.300","3.000","2.22M","5.02%"
"Jul 19, 2019","2.990","2.990","3.030","2.970","638.60K","0.34%"
"Jul 18, 2019","2.980","3.000","3.040","2.910","1.19M","-0.33%"
"Jul 17, 2019","2.990","3.020","3.050","2.990","749.18K","-0.99%"
"Jul 16, 2019","3.020","3.100","3.130","2.980","1.13M","-2.58%"
"Jul 15, 2019","3.100","3.120","3.180","3.090","1.24M","-0.64%"
"Jul 12, 2019","3.120","3.300","3.328","3.060","2.83M","-6.87%"
"Jul 11, 2019","3.350","3.430","3.460","3.320","1.18M","-1.47%"
"Jul 10, 2019","3.400","3.480","3.540","3.370","1.03M","-2.30%"
"Jul 09, 2019","3.480","3.400","3.540","3.390","1.31M","2.35%"
"Jul 08, 2019","3.400","3.500","3.530","3.370","751.04K","-3.41%"
"Jul 05, 2019","3.520","3.500","3.555","3.490","520.94K","-1.12%"
"Jul 03, 2019","3.560","3.490","3.690","3.490","2.48M","1.71%"
"Jul 02, 2019","3.500","3.470","3.510","3.460","641.64K","0.86%"
"Jul 01, 2019","3.470","3.540","3.600","3.465","778.98K","-0.29%"
"Jun 28, 2019","3.480","3.440","3.500","3.435","503.19K","1.16%"
"Jun 27, 2019","3.440","3.470","3.530","3.440","596.45K","-0.86%"
"Jun 26, 2019","3.470","3.360","3.570","3.330","2.40M","4.20%"
"Jun 25, 2019","3.330","3.300","3.360","3.250","766.81K","0.60%"
"Jun 24, 2019","3.310","3.320","3.390","3.310","593.14K","-0.60%"
"Jun 21, 2019","3.330","3.330","3.370","3.270","491.86K","-1.19%"
"Jun 20, 2019","3.370","3.410","3.440","3.320","886.58K","0.00%"
"Jun 19, 2019","3.370","3.410","3.430","3.300","628.80K","0.00%"
"Jun 18, 2019","3.370","3.270","3.440","3.240","1.23M","3.37%"
"Jun 17, 2019","3.260","3.340","3.360","3.250","582.17K","-2.69%"
"Jun 14, 2019","3.350","3.350","3.370","3.310","647.20K","-0.89%"
"Jun 13, 2019","3.380","3.310","3.415","3.310","953.01K","2.11%"
"Jun 12, 2019","3.310","3.370","3.400","3.305","726.94K","-2.36%"
"Jun 11, 2019","3.390","3.480","3.520","3.350","817.87K","-1.17%"
"Jun 10, 2019","3.430","3.390","3.450","3.360","792.57K","2.08%"
"Jun 07, 2019","3.360","3.350","3.380","3.330","410.41K","0.30%"
"Jun 06, 2019","3.350","3.370","3.420","3.315","607.26K","-0.59%"
"Jun 05, 2019","3.370","3.460","3.500","3.340","1.25M","-2.60%"
"Jun 04, 2019","3.460","3.370","3.475","3.350","1.22M","2.98%"
"Jun 03, 2019","3.360","3.360","3.435","3.320","1.18M","-0.30%"
"May 31, 2019","3.370","3.350","3.490","3.310","3.17M","0.30%"
"May 30, 2019","3.360","3.050","3.390","3.035","2.81M","10.89%"
"May 29, 2019","3.030","3.000","3.060","2.985","1.05M","2.36%"
"May 28, 2019","2.960","2.900","3.050","2.890","1.32M","2.42%"
"May 24, 2019","2.890","3.040","3.091","2.830","1.88M","-4.30%"
"May 23, 2019","3.020","3.090","3.090","2.980","1.97M","-2.89%"
"May 22, 2019","3.110","3.150","3.200","3.014","1.26M","-0.96%"
"May 21, 2019","3.140","3.150","3.220","3.110","1.27M","0.32%"
"May 20, 2019","3.130","3.290","3.345","3.100","2.44M","-6.01%"
"May 17, 2019","3.330","3.340","3.437","3.305","1.23M","-1.77%"
"May 16, 2019","3.390","3.390","3.450","3.330","1.41M","-0.59%"
"May 15, 2019","3.410","3.360","3.500","3.340","649.00K","0.59%"
"May 14, 2019","3.390","3.230","3.440","3.230","1.04M","4.31%"
"May 13, 2019","3.250","3.400","3.413","3.220","1.70M","-7.14%"
"May 10, 2019","3.500","3.510","3.640","3.410","1.87M","-0.28%"
"May 09, 2019","3.510","3.380","3.610","3.340","2.88M","4.78%"
"May 08, 2019","3.350","3.270","3.400","3.260","1.49M","2.76%"
"May 07, 2019","3.260","3.300","3.380","3.250","1.87M","-2.10%"
"May 06, 2019","3.330","3.260","3.350","3.230","1.01M","-0.89%"
"May 03, 2019","3.360","3.320","3.400","3.270","1.20M","1.51%"
"May 02, 2019","3.310","3.230","3.370","3.225","1.15M","2.80%"
"May 01, 2019","3.220","3.250","3.280","3.210","643.01K","-0.62%"
"Apr 30, 2019","3.240","3.250","3.305","3.210","1.10M","-0.61%"
"Apr 29, 2019","3.260","3.240","3.310","3.220","1.15M","0.93%"
"Apr 26, 2019","3.230","3.260","3.310","3.210","1.18M","-2.42%"
"Apr 25, 2019","3.310","3.430","3.430","3.290","959.05K","-3.22%"
"Apr 24, 2019","3.420","3.350","3.430","3.310","980.27K","3.01%"
"Apr 23, 2019","3.320","3.240","3.350","3.240","872.59K","1.22%"
"Apr 22, 2019","3.280","3.220","3.360","3.210","671.72K","2.50%"
"Apr 18, 2019","3.200","3.220","3.248","3.200","766.30K","-0.62%"
