"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","27.05","26.82","27.10","26.82","559.73K","0.82%"
"Oct 24, 2019","26.83","26.95","26.99","26.82","515.10K","0.52%"
"Oct 23, 2019","26.69","26.52","26.71","26.42","2.57M","0.26%"
"Oct 22, 2019","26.62","26.74","26.82","26.60","928.54K","-0.37%"
"Oct 21, 2019","26.72","26.64","26.72","26.60","406.21K","0.11%"
"Oct 18, 2019","26.69","26.74","26.83","26.67","390.41K","-0.41%"
"Oct 17, 2019","26.80","26.93","26.95","26.73","493.79K","-0.07%"
"Oct 16, 2019","26.82","26.78","26.92","26.78","586.84K","0.15%"
"Oct 15, 2019","26.78","26.67","26.88","26.67","2.17M","2.06%"
"Oct 14, 2019","26.24","26.24","26.28","26.16","429.47K","-0.34%"
"Oct 11, 2019","26.33","26.25","26.48","26.25","675.77K","2.21%"
"Oct 10, 2019","25.76","25.68","25.93","25.65","541.06K","0.55%"
"Oct 09, 2019","25.62","25.55","25.69","25.52","457.67K","1.79%"
"Oct 08, 2019","25.17","25.25","25.35","25.15","837.44K","-1.60%"
"Oct 07, 2019","25.58","25.55","25.73","25.51","627.69K","-1.43%"
"Oct 04, 2019","25.95","25.76","25.95","25.72","357.20K","0.86%"
"Oct 03, 2019","25.73","25.54","25.73","25.37","724.06K","0.08%"
"Oct 02, 2019","25.71","25.85","25.89","25.62","723.00K","-1.68%"
"Oct 01, 2019","26.15","26.55","26.58","26.05","1.34M","0.27%"
"Sep 30, 2019","26.08","26.04","26.10","25.91","562.84K","-0.69%"
"Sep 27, 2019","26.26","26.42","26.45","26.20","655.78K","-1.32%"
"Sep 26, 2019","26.61","26.70","26.74","26.49","454.95K","0.42%"
"Sep 25, 2019","26.50","26.42","26.55","26.26","717.90K","0.91%"
"Sep 24, 2019","26.26","26.54","26.54","26.16","730.48K","-1.54%"
"Sep 23, 2019","26.67","26.40","26.69","26.34","705.94K","-0.04%"
"Sep 20, 2019","26.68","26.82","26.96","26.66","1.07M","0.11%"
"Sep 19, 2019","26.65","26.70","26.89","26.62","693.99K","0.41%"
"Sep 18, 2019","26.54","26.81","26.81","26.50","1.32M","-1.67%"
"Sep 17, 2019","26.99","26.83","26.99","26.80","456.93K","-0.07%"
"Sep 16, 2019","27.01","27.00","27.07","26.92","487.28K","-0.33%"
"Sep 13, 2019","27.10","27.05","27.14","27.00","560.86K","0.44%"
"Sep 12, 2019","26.98","26.96","27.11","26.90","1.28M","1.66%"
"Sep 11, 2019","26.54","26.67","26.70","26.34","1.21M","2.19%"
"Sep 10, 2019","25.97","25.82","26.00","25.81","739.22K","1.60%"
"Sep 09, 2019","25.56","25.40","25.61","25.36","893.13K","1.35%"
"Sep 06, 2019","25.22","25.44","25.52","25.16","1.69M","1.78%"
"Sep 05, 2019","24.78","24.77","24.96","24.77","596.21K","1.85%"
"Sep 04, 2019","24.33","24.21","24.36","24.21","708.99K","1.16%"
"Sep 03, 2019","24.05","24.02","24.09","23.96","763.82K","1.65%"
"Aug 30, 2019","23.66","23.74","23.79","23.53","526.79K","0.77%"
"Aug 29, 2019","23.48","23.46","23.56","23.38","560.84K","0.09%"
"Aug 28, 2019","23.46","23.31","23.57","23.29","656.75K","0.64%"
"Aug 27, 2019","23.31","23.53","23.59","23.28","687.52K","-0.38%"
"Aug 26, 2019","23.40","23.42","23.44","23.29","735.78K","2.18%"
"Aug 23, 2019","22.90","23.10","23.27","22.88","916.35K","-1.34%"
"Aug 22, 2019","23.21","23.27","23.35","23.19","439.04K","-0.30%"
"Aug 21, 2019","23.28","23.41","23.43","23.28","408.77K","0.34%"
"Aug 20, 2019","23.20","23.44","23.44","23.19","639.95K","-0.47%"
"Aug 19, 2019","23.31","23.42","23.43","23.31","396.33K","-0.04%"
"Aug 16, 2019","23.32","23.09","23.33","23.09","597.51K","1.44%"
"Aug 15, 2019","22.99","23.10","23.17","22.87","950.59K","0.31%"
"Aug 14, 2019","22.92","23.25","23.28","22.91","1.14M","-3.33%"
"Aug 13, 2019","23.71","23.55","23.90","23.50","708.89K","-0.08%"
"Aug 12, 2019","23.73","23.85","23.90","23.68","582.87K","-0.88%"
"Aug 09, 2019","23.94","24.13","24.13","23.87","548.38K","-0.99%"
"Aug 08, 2019","24.18","23.95","24.24","23.85","616.88K","0.83%"
"Aug 07, 2019","23.98","23.88","24.05","23.74","803.41K","-0.66%"
"Aug 06, 2019","24.14","24.13","24.18","23.85","936.55K","0.17%"
"Aug 05, 2019","24.10","24.30","24.40","23.87","1.65M","-1.47%"
"Aug 02, 2019","24.46","24.57","24.60","24.32","522.14K","-1.45%"
"Aug 01, 2019","24.82","25.12","25.23","24.72","786.01K","-0.24%"
"Jul 31, 2019","24.88","25.12","25.13","24.77","778.16K","-1.74%"
"Jul 30, 2019","25.32","25.40","25.40","25.25","470.24K","-0.82%"
"Jul 29, 2019","25.53","25.60","25.60","25.48","598.27K","-0.85%"
"Jul 26, 2019","25.75","25.73","25.81","25.61","547.56K","-1.08%"
"Jul 25, 2019","26.03","26.24","26.25","26.02","411.31K","-1.25%"
"Jul 24, 2019","26.36","26.29","26.37","26.25","327.20K","0.61%"
"Jul 23, 2019","26.20","26.09","26.26","26.09","652.83K","1.31%"
"Jul 22, 2019","25.86","26.03","26.04","25.82","419.71K","-0.08%"
"Jul 19, 2019","25.88","25.98","26.09","25.88","475.77K","0.47%"
"Jul 18, 2019","25.76","25.68","25.84","25.61","540.92K","-0.46%"
"Jul 17, 2019","25.88","26.03","26.03","25.86","598.45K","-1.07%"
"Jul 16, 2019","26.16","26.31","26.36","26.05","940.30K","-1.43%"
"Jul 15, 2019","26.54","26.56","26.60","26.41","1.14M","0.23%"
"Jul 12, 2019","26.48","26.34","26.57","26.34","342.34K","0.84%"
"Jul 11, 2019","26.26","26.40","26.40","26.14","329.93K","-0.49%"
"Jul 10, 2019","26.39","26.33","26.45","26.31","392.16K","1.23%"
"Jul 09, 2019","26.07","26.11","26.16","25.99","368.24K","-0.46%"
"Jul 08, 2019","26.19","26.15","26.28","26.15","317.18K","0.11%"
"Jul 05, 2019","26.16","26.09","26.19","25.97","286.63K","0.38%"
"Jul 03, 2019","26.06","26.09","26.12","26.00","189.46K","-0.15%"
"Jul 02, 2019","26.10","26.16","26.23","26.05","359.21K","-0.08%"
"Jul 01, 2019","26.12","26.29","26.34","26.05","455.69K","1.08%"
"Jun 28, 2019","25.84","25.88","25.98","25.81","374.76K","0.00%"
"Jun 27, 2019","25.84","25.83","25.85","25.70","310.70K","1.29%"
"Jun 26, 2019","25.51","25.61","25.66","25.51","371.11K","-0.93%"
"Jun 25, 2019","25.75","25.77","25.87","25.66","532.75K","-0.35%"
"Jun 24, 2019","25.84","25.97","25.97","25.83","466.42K","0.00%"
"Jun 21, 2019","25.84","25.88","25.95","25.84","302.88K","-0.46%"
"Jun 20, 2019","25.96","26.01","26.01","25.85","392.54K","0.58%"
"Jun 19, 2019","25.81","25.82","25.95","25.71","372.90K","-0.27%"
"Jun 18, 2019","25.88","25.75","26.04","25.70","463.67K","1.25%"
"Jun 17, 2019","25.56","25.58","25.66","25.50","395.58K","0.87%"
"Jun 14, 2019","25.34","25.45","25.47","25.14","1.14M","-1.55%"
