"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","3.290","3.340","3.360","3.230","5.95M","-2.95%"
"Oct 25, 2019","3.390","3.470","3.531","3.310","6.53M","-0.29%"
"Oct 24, 2019","3.400","3.190","3.400","3.180","6.76M","8.28%"
"Oct 23, 2019","3.140","3.080","3.170","3.080","4.38M","2.28%"
"Oct 22, 2019","3.070","3.140","3.140","2.990","4.83M","-1.60%"
"Oct 21, 2019","3.120","3.210","3.230","3.060","2.75M","-1.58%"
"Oct 18, 2019","3.170","3.140","3.210","3.140","5.05M","0.63%"
"Oct 17, 2019","3.150","3.020","3.170","3.010","3.61M","2.94%"
"Oct 16, 2019","3.060","2.990","3.060","2.940","5.01M","4.79%"
"Oct 15, 2019","2.920","2.950","2.980","2.910","4.77M","-2.99%"
"Oct 14, 2019","3.010","2.940","3.055","2.940","3.40M","3.08%"
"Oct 11, 2019","2.920","3.030","3.035","2.910","5.82M","-5.81%"
"Oct 10, 2019","3.100","3.140","3.140","3.010","3.66M","-1.90%"
"Oct 09, 2019","3.160","3.210","3.240","3.140","3.47M","-1.25%"
"Oct 08, 2019","3.200","3.190","3.210","3.130","4.34M","4.92%"
"Oct 07, 2019","3.050","3.080","3.130","2.990","4.06M","-1.93%"
"Oct 04, 2019","3.110","3.080","3.110","3.020","5.45M","5.42%"
"Oct 03, 2019","2.950","3.010","3.120","2.950","6.56M","-2.64%"
"Oct 02, 2019","3.030","2.980","3.075","2.960","7.29M","5.21%"
"Oct 01, 2019","2.880","2.840","3.020","2.830","5.97M","1.41%"
"Sep 30, 2019","2.840","2.880","2.900","2.795","6.87M","-2.74%"
"Sep 27, 2019","2.920","3.000","3.060","2.910","11.31M","-5.81%"
"Sep 26, 2019","3.100","3.120","3.180","3.020","8.44M","-1.27%"
"Sep 25, 2019","3.140","3.320","3.360","3.120","7.20M","-6.82%"
"Sep 24, 2019","3.370","3.330","3.440","3.290","8.83M","2.12%"
"Sep 23, 2019","3.300","3.250","3.360","3.230","9.42M","2.48%"
"Sep 20, 2019","3.220","3.070","3.230","3.060","13.78M","3.87%"
"Sep 19, 2019","3.100","3.050","3.125","3.040","6.14M","2.99%"
"Sep 18, 2019","3.010","3.110","3.120","2.920","8.99M","-2.27%"
"Sep 17, 2019","3.080","3.080","3.130","3.040","7.71M","-0.32%"
"Sep 16, 2019","3.090","3.080","3.100","2.960","9.24M","3.34%"
"Sep 13, 2019","2.990","3.150","3.220","2.970","13.70M","-5.08%"
"Sep 12, 2019","3.150","3.440","3.450","3.130","14.70M","-3.96%"
"Sep 11, 2019","3.280","3.270","3.350","3.220","9.69M","-0.61%"
"Sep 10, 2019","3.300","3.270","3.390","3.235","8.60M","-0.30%"
"Sep 09, 2019","3.310","3.440","3.456","3.265","11.62M","-2.65%"
"Sep 06, 2019","3.400","3.540","3.570","3.390","13.20M","-2.86%"
"Sep 05, 2019","3.500","3.640","3.650","3.470","16.30M","-7.89%"
"Sep 04, 2019","3.800","3.640","3.800","3.620","8.73M","3.54%"
"Sep 03, 2019","3.670","3.700","3.750","3.620","15.85M","-1.08%"
"Aug 30, 2019","3.710","3.650","3.770","3.615","10.03M","0.27%"
