"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","37.90","37.92","38.02","37.86","1.04M","-0.50%"
"Oct 28, 2019","38.09","38.02","38.22","38.00","5.23M","-3.62%"
"Oct 25, 2019","39.52","39.22","39.56","39.22","2.29M","0.15%"
"Oct 24, 2019","39.46","39.67","39.69","39.38","2.47M","0.25%"
"Oct 23, 2019","39.36","39.13","39.36","39.13","2.80M","0.38%"
"Oct 22, 2019","39.21","39.36","39.53","39.20","2.70M","0.15%"
"Oct 21, 2019","39.15","39.20","39.22","39.08","1.30M","1.08%"
"Oct 18, 2019","38.73","38.68","38.84","38.65","1.75M","-0.36%"
"Oct 17, 2019","38.87","39.08","39.23","38.83","2.41M","0.54%"
"Oct 16, 2019","38.66","38.84","38.90","38.63","2.60M","0.16%"
"Oct 15, 2019","38.60","37.88","38.73","37.88","5.85M","0.94%"
"Oct 14, 2019","38.24","38.07","38.36","38.06","6.64M","0.10%"
"Oct 11, 2019","38.20","38.47","38.55","38.15","6.60M","3.52%"
"Oct 10, 2019","36.90","36.64","36.94","36.56","2.57M","-0.08%"
"Oct 09, 2019","36.93","36.91","37.03","36.76","2.46M","0.68%"
"Oct 08, 2019","36.68","36.74","36.83","36.54","2.61M","-1.29%"
"Oct 07, 2019","37.16","37.19","37.33","37.16","1.90M","-0.13%"
"Oct 04, 2019","37.21","36.82","37.25","36.77","2.29M","-0.37%"
"Oct 03, 2019","37.35","37.14","37.42","36.94","2.89M","0.59%"
"Oct 02, 2019","37.13","37.31","37.33","37.03","3.46M","-1.93%"
"Oct 01, 2019","37.86","38.07","38.09","37.74","2.88M","-1.07%"
"Sep 30, 2019","38.27","38.44","38.60","38.27","1.72M","0.34%"
"Sep 27, 2019","38.14","38.38","38.41","38.01","1.73M","0.10%"
"Sep 26, 2019","38.10","38.42","38.49","38.10","2.23M","0.32%"
"Sep 25, 2019","37.98","37.84","38.07","37.76","1.21M","0.18%"
"Sep 24, 2019","37.91","38.08","38.18","37.84","1.62M","-0.52%"
