"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","29.36","28.39","29.61","28.04","-","3.42%"
"May 15, 2020","28.39","27.84","28.67","27.62","2.63M","-0.73%"
"May 14, 2020","28.60","28.00","28.74","27.23","5.49M","1.17%"
"May 13, 2020","28.27","28.10","28.72","28.01","4.94M","1.29%"
"May 12, 2020","27.91","28.11","29.26","27.76","3.69M","-0.71%"
"May 11, 2020","28.11","28.10","28.40","27.76","2.10M","0.04%"
"May 08, 2020","28.10","28.71","28.92","27.81","3.07M","0.07%"
"May 07, 2020","28.08","27.73","28.71","27.01","5.79M","0.83%"
"May 06, 2020","27.85","28.00","28.36","27.31","8.23M","-0.46%"
"May 05, 2020","27.98","28.90","28.93","27.58","3.89M","-2.47%"
"May 04, 2020","28.69","27.93","29.03","27.66","2.13M","-1.34%"
"Apr 30, 2020","29.08","29.61","30.00","28.61","3.69M","-2.64%"
"Apr 29, 2020","29.87","29.41","30.17","28.46","4.80M","2.12%"
"Apr 28, 2020","29.25","29.70","30.10","28.77","3.10M","-0.27%"
"Apr 27, 2020","29.33","30.00","30.44","28.54","4.90M","-2.27%"
"Apr 24, 2020","30.01","30.71","30.76","27.72","5.11M","-2.72%"
"Apr 23, 2020","30.85","34.00","34.18","30.85","3.28M","-8.46%"
"Apr 22, 2020","33.70","31.40","34.09","31.37","4.53M","7.43%"
"Apr 20, 2020","31.37","30.42","31.75","30.31","1.62M","0.03%"
"Apr 17, 2020","31.36","31.59","31.80","30.47","2.51M","0.58%"
"Apr 16, 2020","31.18","31.26","31.72","30.83","1.71M","0.10%"
"Apr 15, 2020","31.15","31.27","31.83","31.00","1.82M","-2.66%"
"Apr 14, 2020","32.00","31.75","32.28","30.99","2.62M","2.70%"
"Apr 13, 2020","31.16","31.30","31.55","30.10","1.37M","-0.95%"
"Apr 09, 2020","31.46","31.75","32.54","31.23","2.12M","-2.05%"
"Apr 08, 2020","32.12","30.30","32.70","29.96","2.70M","6.89%"
"Apr 07, 2020","30.05","31.45","32.21","30.05","3.16M","0.97%"
"Apr 06, 2020","29.76","30.49","30.88","28.88","1.63M","3.62%"
"Apr 03, 2020","28.72","29.40","30.30","27.91","3.56M","-2.71%"
"Apr 02, 2020","29.52","27.31","29.52","27.21","3.85M","8.49%"
"Apr 01, 2020","27.21","27.59","28.29","26.52","4.09M","-4.83%"
"Mar 31, 2020","28.59","30.70","30.70","28.14","2.89M","-6.87%"
"Mar 30, 2020","30.70","30.91","31.36","30.18","2.43M","-2.01%"
"Mar 27, 2020","31.33","30.00","32.05","29.84","4.63M","-1.94%"
"Mar 26, 2020","31.95","32.96","33.98","31.54","5.18M","-2.35%"
"Mar 25, 2020","32.72","28.17","33.81","28.17","3.90M","12.94%"
"Mar 24, 2020","28.97","28.67","31.53","28.03","8.13M","8.10%"
"Mar 23, 2020","26.80","29.00","29.39","26.10","3.97M","-8.38%"
"Mar 20, 2020","29.25","32.01","32.39","28.78","5.33M","-6.43%"
"Mar 19, 2020","31.26","29.16","31.42","27.34","6.81M","6.91%"
"Mar 18, 2020","29.24","28.96","31.19","26.07","7.65M","-6.25%"
"Mar 17, 2020","31.19","29.00","33.09","28.21","6.90M","10.13%"
"Mar 16, 2020","28.32","30.00","30.83","28.11","3.75M","-15.21%"
"Mar 13, 2020","33.40","35.73","37.28","30.27","6.43M","7.50%"
"Mar 12, 2020","31.07","32.00","32.60","29.98","2.86M","-10.72%"
"Mar 11, 2020","34.80","35.98","36.58","33.27","4.34M","-6.48%"
"Mar 10, 2020","37.21","36.30","37.82","35.34","4.14M","4.82%"
"Mar 09, 2020","35.50","37.25","37.99","34.73","5.18M","-10.40%"
"Mar 06, 2020","39.62","39.00","40.06","38.55","3.66M","-2.65%"
"Mar 05, 2020","40.70","41.69","41.75","40.08","5.30M","-2.58%"
"Mar 04, 2020","41.78","42.00","42.68","40.83","6.65M","1.78%"
"Mar 03, 2020","41.05","40.10","42.80","40.07","11.99M","2.62%"
"Mar 02, 2020","40.00","37.01","40.99","36.94","19.94M","16.62%"
"Feb 28, 2020","34.30","33.94","34.43","32.68","3.25M","0.70%"
"Feb 27, 2020","34.06","34.46","34.89","33.90","3.15M","-2.55%"
"Feb 26, 2020","34.95","34.87","35.80","34.53","3.08M","-3.45%"
"Feb 21, 2020","36.20","36.07","36.72","35.55","1.90M","-0.06%"
"Feb 20, 2020","36.22","36.45","36.89","35.88","1.92M","-1.17%"
"Feb 19, 2020","36.65","36.39","36.69","36.01","1.40M","0.71%"
"Feb 18, 2020","36.39","37.33","37.35","36.06","1.62M","-2.91%"
"Feb 17, 2020","37.48","37.32","37.77","37.15","956.90K","0.40%"
"Feb 14, 2020","37.33","38.23","38.23","36.78","1.91M","-3.04%"
"Feb 13, 2020","38.50","38.46","38.50","37.65","7.32M","-1.28%"
"Feb 12, 2020","39.00","38.80","39.71","37.96","3.77M","0.91%"
"Feb 11, 2020","38.65","38.20","38.79","37.27","1.92M","1.58%"
"Feb 10, 2020","38.05","38.72","38.84","37.75","3.06M","-1.50%"
"Feb 07, 2020","38.63","37.90","38.88","37.40","1.98M","1.52%"
"Feb 06, 2020","38.05","38.44","39.11","37.80","1.96M","-0.63%"
"Feb 05, 2020","38.29","38.00","38.46","37.59","7.56M","1.46%"
"Feb 04, 2020","37.74","36.87","37.78","36.55","7.50M","3.37%"
"Feb 03, 2020","36.51","35.44","36.71","35.33","3.14M","2.64%"
"Jan 31, 2020","35.57","35.31","36.14","34.72","4.48M","0.34%"
"Jan 30, 2020","35.45","34.37","35.45","34.12","5.07M","2.01%"
"Jan 29, 2020","34.75","33.81","35.20","33.69","3.94M","2.78%"
"Jan 28, 2020","33.81","34.07","34.52","33.59","2.98M","-0.94%"
"Jan 27, 2020","34.13","34.60","34.69","33.98","1.79M","-2.57%"
"Jan 24, 2020","35.03","35.62","35.73","34.65","2.63M","-1.27%"
"Jan 23, 2020","35.48","35.60","35.79","34.64","5.93M","-0.34%"
"Jan 22, 2020","35.60","36.66","37.14","35.09","2.73M","-2.49%"
"Jan 21, 2020","36.51","37.75","37.75","36.51","3.18M","-3.28%"
"Jan 20, 2020","37.75","37.57","37.75","37.05","941.10K","0.88%"
"Jan 17, 2020","37.42","37.51","37.67","37.08","829.10K","-0.21%"
"Jan 16, 2020","37.50","37.47","37.81","37.15","1.24M","0.48%"
"Jan 15, 2020","37.32","37.68","37.89","37.27","4.08M","-1.30%"
"Jan 14, 2020","37.81","37.21","37.81","36.72","3.72M","1.67%"
"Jan 13, 2020","37.19","36.03","37.26","36.03","2.73M","3.22%"
"Jan 10, 2020","36.03","35.98","36.29","35.70","1.83M","0.53%"
"Jan 09, 2020","35.84","35.10","35.89","35.04","2.10M","2.14%"
"Jan 08, 2020","35.09","35.88","35.88","34.73","1.64M","-1.29%"
"Jan 07, 2020","35.55","36.05","36.05","35.38","1.64M","-0.97%"
"Jan 06, 2020","35.90","36.59","36.60","35.75","1.68M","-2.29%"
"Jan 03, 2020","36.74","35.55","36.97","35.06","1.99M","2.06%"
"Jan 02, 2020","36.00","35.55","36.16","35.32","1.57M","0.87%"
"Dec 30, 2019","35.69","35.49","36.44","35.36","3.30M","0.54%"
"Dec 27, 2019","35.50","35.99","36.16","35.23","1.44M","-0.87%"
"Dec 26, 2019","35.81","35.55","35.81","34.79","1.39M","1.02%"
"Dec 23, 2019","35.45","34.95","35.45","34.95","886.80K","1.00%"
"Dec 20, 2019","35.10","35.36","35.36","34.50","3.13M","-0.23%"
"Dec 19, 2019","35.18","34.50","35.58","34.25","2.56M","1.65%"
"Dec 18, 2019","34.61","34.11","34.77","34.03","5.04M","3.84%"
"Dec 17, 2019","33.33","33.37","33.82","33.13","1.75M","0.36%"
"Dec 16, 2019","33.21","32.94","33.41","32.94","1.99M","1.13%"
"Dec 13, 2019","32.84","32.62","32.90","32.37","2.81M","0.31%"
"Dec 12, 2019","32.74","32.37","32.83","32.17","2.33M","1.33%"
"Dec 11, 2019","32.31","32.36","32.59","32.13","2.01M","-0.40%"
"Dec 10, 2019","32.44","32.00","32.70","31.94","1.71M","1.22%"
"Dec 09, 2019","32.05","32.22","32.57","31.93","2.61M","-0.74%"
"Dec 06, 2019","32.29","32.15","32.56","32.02","1.23M","0.53%"
"Dec 05, 2019","32.12","32.25","32.48","31.93","1.69M","-0.40%"
"Dec 04, 2019","32.25","32.89","32.97","32.18","2.33M","-1.98%"
"Dec 03, 2019","32.90","33.57","33.57","32.42","2.81M","-2.05%"
"Dec 02, 2019","33.59","33.20","33.89","33.13","1.94M","0.87%"
"Nov 29, 2019","33.30","33.71","33.71","32.86","1.75M","-0.83%"
"Nov 28, 2019","33.58","33.52","33.82","33.40","888.90K","-0.21%"
"Nov 27, 2019","33.65","34.26","34.35","33.51","1.87M","-2.09%"
"Nov 26, 2019","34.37","34.28","34.54","33.81","2.26M","-0.72%"
"Nov 25, 2019","34.62","34.44","34.62","34.16","1.77M","0.20%"
"Nov 22, 2019","34.55","34.22","34.55","33.97","1.28M","1.08%"
"Nov 21, 2019","34.18","33.63","34.46","33.44","2.19M","1.39%"
"Nov 19, 2019","33.71","33.80","34.05","33.19","1.93M","-0.41%"
"Nov 18, 2019","33.85","34.71","34.84","33.54","1.90M","-2.08%"
"Nov 14, 2019","34.57","34.92","35.30","34.11","1.32M","-0.55%"
"Nov 13, 2019","34.76","34.80","34.94","34.53","1.83M","-0.11%"
"Nov 12, 2019","34.80","35.27","35.41","34.62","1.04M","-1.75%"
"Nov 11, 2019","35.42","34.99","35.47","34.40","945.40K","0.80%"
"Nov 08, 2019","35.14","35.38","35.47","34.87","1.19M","-0.71%"
"Nov 07, 2019","35.39","35.58","36.08","35.10","2.58M","-0.59%"
"Nov 06, 2019","35.60","35.65","35.86","35.06","1.35M","-0.11%"
"Nov 05, 2019","35.64","35.55","35.85","35.31","2.38M","0.25%"
"Nov 04, 2019","35.55","35.50","35.80","35.32","1.67M","0.42%"
"Nov 01, 2019","35.40","34.95","35.50","34.64","3.22M","3.15%"
"Oct 31, 2019","34.32","34.21","34.42","33.95","1.92M","0.06%"
"Oct 30, 2019","34.30","34.24","34.44","33.89","1.50M","0.18%"
"Oct 29, 2019","34.24","33.91","34.24","33.85","1.27M","-0.29%"
"Oct 28, 2019","34.34","34.60","34.62","33.71","1.72M","-0.43%"
"Oct 25, 2019","34.49","34.61","34.78","33.92","2.15M","0.03%"
"Oct 24, 2019","34.48","34.21","34.61","34.15","916.30K","0.52%"
"Oct 23, 2019","34.30","34.50","34.62","34.06","1.45M","-0.67%"
"Oct 22, 2019","34.53","34.54","34.85","34.34","1.80M","0.32%"
"Oct 21, 2019","34.42","35.18","35.18","34.15","1.28M","-1.26%"
"Oct 18, 2019","34.86","34.98","35.13","34.45","1.78M","-0.06%"
"Oct 17, 2019","34.88","35.03","35.24","34.50","999.00K","-0.06%"
"Oct 16, 2019","34.90","34.32","35.19","34.08","1.42M","1.78%"
"Oct 15, 2019","34.29","34.02","34.55","33.83","1.53M","0.53%"
"Oct 14, 2019","34.11","34.25","34.25","33.76","816.10K","0.32%"
"Oct 11, 2019","34.00","33.33","34.39","33.27","1.42M","1.80%"
