"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","28.43","28.62","28.76","28.36","1.01M","-1.18%"
"Oct 24, 2019","28.77","28.50","28.82","28.10","852.81K","1.91%"
"Oct 23, 2019","28.23","27.59","28.27","27.34","1.30M","2.51%"
"Oct 22, 2019","27.54","27.65","28.03","27.40","838.98K","-0.58%"
"Oct 21, 2019","27.70","27.50","27.80","27.09","1.56M","1.09%"
"Oct 18, 2019","27.40","28.52","28.64","27.24","1.22M","-3.79%"
"Oct 17, 2019","28.48","28.80","29.29","28.33","1.68M","-0.42%"
"Oct 16, 2019","28.60","28.13","28.76","27.87","1.54M","1.42%"
"Oct 15, 2019","28.20","27.27","28.34","27.21","2.30M","3.37%"
"Oct 14, 2019","27.28","27.09","27.52","26.99","889.24K","0.81%"
"Oct 11, 2019","27.06","26.64","27.26","26.45","1.40M","2.73%"
"Oct 10, 2019","26.34","26.32","26.69","25.97","1.11M","0.08%"
"Oct 09, 2019","26.32","26.35","26.77","26.09","651.49K","0.34%"
"Oct 08, 2019","26.23","25.92","26.64","25.91","1.01M","-0.34%"
"Oct 07, 2019","26.32","26.48","26.85","26.26","913.25K","-0.53%"
"Oct 04, 2019","26.46","25.94","26.52","25.86","1.05M","2.12%"
"Oct 03, 2019","25.91","25.43","25.99","25.14","1.69M","1.89%"
"Oct 02, 2019","25.43","26.09","26.09","25.04","1.44M","-3.09%"
"Oct 01, 2019","26.24","27.12","27.66","26.12","1.58M","-3.64%"
"Sep 30, 2019","27.23","27.41","27.76","27.18","1.17M","-1.16%"
"Sep 27, 2019","27.55","27.42","27.76","27.11","1.87M","0.15%"
"Sep 26, 2019","27.51","27.53","27.59","27.01","993.07K","1.18%"
"Sep 25, 2019","27.19","27.36","27.68","26.43","1.53M","-0.84%"
"Sep 24, 2019","27.42","27.44","27.81","27.22","1.36M","0.07%"
"Sep 23, 2019","27.40","27.08","27.76","27.06","907.45K","0.48%"
"Sep 20, 2019","27.27","26.52","27.44","26.46","1.77M","2.91%"
"Sep 19, 2019","26.50","26.52","26.80","26.34","849.04K","0.34%"
"Sep 18, 2019","26.41","26.71","26.71","26.07","1.04M","-0.97%"
"Sep 17, 2019","26.67","26.08","26.75","26.08","952.42K","2.54%"
"Sep 16, 2019","26.01","26.27","26.82","25.97","899.93K","-1.25%"
"Sep 13, 2019","26.34","26.42","26.66","26.05","1.30M","-0.34%"
"Sep 12, 2019","26.43","26.97","27.04","26.42","961.12K","-1.05%"
"Sep 11, 2019","26.71","26.42","26.86","26.26","937.16K","0.79%"
"Sep 10, 2019","26.50","26.20","26.63","25.51","1.31M","-0.15%"
"Sep 09, 2019","26.54","27.10","27.24","26.32","908.22K","-2.03%"
"Sep 06, 2019","27.09","26.68","27.26","26.50","682.71K","1.54%"
"Sep 05, 2019","26.68","26.80","27.06","26.51","866.55K","-0.34%"
"Sep 04, 2019","26.77","26.94","26.95","26.45","614.93K","-0.15%"
"Sep 03, 2019","26.81","27.38","27.62","26.71","1.03M","-2.97%"
"Aug 30, 2019","27.63","27.72","28.09","27.53","957.43K","0.29%"
"Aug 29, 2019","27.55","27.85","27.94","27.38","670.31K","-0.07%"
"Aug 28, 2019","27.57","27.23","27.58","27.07","805.88K","0.58%"
"Aug 27, 2019","27.41","27.64","27.82","27.07","1.10M","-0.87%"
"Aug 26, 2019","27.65","27.34","27.72","27.31","759.58K","1.69%"
"Aug 23, 2019","27.19","27.75","28.02","27.14","816.20K","-1.77%"
"Aug 22, 2019","27.68","28.05","28.05","27.40","996.29K","-1.04%"
"Aug 21, 2019","27.97","27.84","28.10","27.69","1.41M","1.38%"
"Aug 20, 2019","27.59","27.50","27.93","27.40","944.14K","0.33%"
"Aug 19, 2019","27.50","27.17","27.62","26.94","975.01K","1.85%"
"Aug 16, 2019","27.00","26.86","27.52","26.85","1.48M","0.60%"
"Aug 15, 2019","26.84","26.82","27.20","26.55","1.19M","0.83%"
"Aug 14, 2019","26.62","27.03","27.26","26.31","1.37M","0.23%"
"Aug 13, 2019","26.56","26.36","26.89","26.17","1.35M","1.30%"
"Aug 12, 2019","26.22","27.06","27.16","25.98","1.33M","-3.39%"
"Aug 09, 2019","27.14","27.71","27.72","26.72","1.99M","-1.63%"
"Aug 08, 2019","27.59","26.74","27.68","26.50","2.72M","4.15%"
"Aug 07, 2019","26.49","24.57","26.87","24.25","4.13M","12.01%"
"Aug 06, 2019","23.65","23.23","23.72","23.05","1.70M","2.29%"
"Aug 05, 2019","23.12","24.26","24.36","22.84","1.97M","-6.17%"
"Aug 02, 2019","24.64","24.89","25.08","24.18","1.52M","-1.32%"
"Aug 01, 2019","24.97","24.93","25.27","24.73","1.76M","0.32%"
"Jul 31, 2019","24.89","24.85","25.03","24.59","1.53M","0.08%"
"Jul 30, 2019","24.87","24.68","24.88","24.36","1.12M","0.65%"
"Jul 29, 2019","24.71","24.49","24.86","24.43","1.34M","1.23%"
"Jul 26, 2019","24.41","24.10","24.66","23.87","1.42M","2.13%"
"Jul 25, 2019","23.90","23.97","24.19","23.71","1.62M","-0.04%"
"Jul 24, 2019","23.91","23.82","24.02","23.56","1.02M","-0.29%"
"Jul 23, 2019","23.98","24.15","24.20","23.63","1.38M","0.00%"
"Jul 22, 2019","23.98","24.11","24.27","23.68","1.55M","-0.50%"
"Jul 19, 2019","24.10","24.54","24.59","23.38","3.06M","-2.15%"
"Jul 18, 2019","24.63","24.37","24.79","24.10","1.84M","1.40%"
"Jul 17, 2019","24.29","23.92","24.32","23.42","2.46M","1.89%"
"Jul 16, 2019","23.84","23.52","23.90","23.29","1.73M","1.36%"
"Jul 15, 2019","23.52","23.37","23.52","22.87","910.87K","0.26%"
"Jul 12, 2019","23.46","23.61","23.66","23.25","1.19M","-0.51%"
"Jul 11, 2019","23.58","23.46","23.75","23.00","1.91M","0.47%"
"Jul 10, 2019","23.47","23.28","23.63","22.81","2.09M","0.60%"
"Jul 09, 2019","23.33","22.90","23.68","22.90","2.63M","1.43%"
"Jul 08, 2019","23.00","24.06","24.38","22.69","2.63M","-5.54%"
"Jul 05, 2019","24.35","25.25","25.31","23.79","1.73M","-3.75%"
"Jul 03, 2019","25.30","24.89","25.38","24.89","1.46M","2.18%"
"Jul 02, 2019","24.76","24.92","25.45","24.47","2.16M","-0.76%"
"Jul 01, 2019","24.95","24.46","25.13","24.20","2.37M","3.70%"
"Jun 28, 2019","24.06","23.90","24.39","23.90","21.59M","0.00%"
"Jun 27, 2019","24.06","24.13","24.43","23.80","1.69M","1.78%"
"Jun 26, 2019","23.64","23.88","24.18","23.57","1.41M","-1.01%"
