"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","3.530","3.600","3.625","3.470","3.91M","0.86%"
"Oct 24, 2019","3.500","3.400","3.500","3.390","6.58M","3.86%"
"Oct 23, 2019","3.370","3.430","3.480","3.360","4.19M","-0.88%"
"Oct 22, 2019","3.400","3.440","3.440","3.310","3.96M","0.00%"
"Oct 21, 2019","3.400","3.580","3.595","3.360","3.89M","-3.95%"
"Oct 18, 2019","3.540","3.530","3.580","3.475","2.39M","0.28%"
"Oct 17, 2019","3.530","3.450","3.565","3.430","2.08M","2.02%"
"Oct 16, 2019","3.460","3.440","3.460","3.370","2.57M","2.06%"
"Oct 15, 2019","3.390","3.510","3.520","3.390","2.51M","-3.69%"
"Oct 14, 2019","3.520","3.510","3.570","3.500","1.04M","0.28%"
"Oct 11, 2019","3.510","3.570","3.605","3.500","3.87M","-2.50%"
"Oct 10, 2019","3.600","3.640","3.659","3.525","4.06M","-0.83%"
"Oct 09, 2019","3.630","3.730","3.750","3.605","6.21M","-3.20%"
"Oct 08, 2019","3.750","3.660","3.760","3.610","3.37M","4.46%"
"Oct 07, 2019","3.590","3.600","3.690","3.560","1.80M","-1.91%"
"Oct 04, 2019","3.660","3.510","3.680","3.510","2.36M","3.68%"
"Oct 03, 2019","3.530","3.510","3.610","3.420","6.03M","-1.12%"
"Oct 02, 2019","3.570","3.570","3.670","3.550","3.44M","2.00%"
"Oct 01, 2019","3.500","3.370","3.595","3.370","6.02M","2.64%"
"Sep 30, 2019","3.410","3.530","3.590","3.390","6.97M","-6.58%"
"Sep 27, 2019","3.650","3.640","3.740","3.600","4.69M","-2.14%"
"Sep 26, 2019","3.730","3.900","3.930","3.720","3.37M","-3.37%"
"Sep 25, 2019","3.860","4.060","4.060","3.820","5.20M","-5.16%"
"Sep 24, 2019","4.070","3.880","4.080","3.840","7.57M","2.78%"
"Sep 23, 2019","3.960","3.800","3.980","3.770","8.63M","5.32%"
"Sep 20, 2019","3.760","3.620","3.790","3.590","7.58M","4.74%"
"Sep 19, 2019","3.590","3.570","3.620","3.480","5.46M","4.36%"
"Sep 18, 2019","3.440","3.490","3.500","3.330","6.57M","-1.15%"
"Sep 17, 2019","3.480","3.370","3.500","3.360","4.84M","3.26%"
"Sep 16, 2019","3.370","3.340","3.390","3.240","7.01M","3.69%"
"Sep 13, 2019","3.250","3.330","3.420","3.250","5.78M","-2.40%"
"Sep 12, 2019","3.330","3.500","3.570","3.330","6.83M","-2.35%"
"Sep 11, 2019","3.410","3.440","3.530","3.400","4.31M","0.29%"
"Sep 10, 2019","3.400","3.380","3.550","3.370","5.74M","-0.29%"
"Sep 09, 2019","3.410","3.540","3.595","3.400","5.37M","-3.40%"
"Sep 06, 2019","3.530","3.690","3.770","3.530","4.46M","-4.34%"
"Sep 05, 2019","3.690","3.800","3.840","3.640","6.59M","-5.87%"
"Sep 04, 2019","3.920","3.820","3.920","3.760","2.52M","2.89%"
"Sep 03, 2019","3.810","3.800","3.960","3.770","5.29M","2.42%"
"Aug 30, 2019","3.720","3.770","3.830","3.680","4.67M","-2.11%"
"Aug 29, 2019","3.800","3.910","3.930","3.720","4.32M","-3.31%"
"Aug 28, 2019","3.930","3.950","3.990","3.830","3.56M","0.26%"
"Aug 27, 2019","3.920","3.650","3.950","3.650","7.58M","7.69%"
"Aug 26, 2019","3.640","3.680","3.765","3.570","6.29M","-0.55%"
"Aug 23, 2019","3.660","3.380","3.660","3.370","6.68M","9.25%"
"Aug 22, 2019","3.350","3.410","3.485","3.330","2.09M","-2.33%"
"Aug 21, 2019","3.430","3.440","3.540","3.410","3.08M","-2.00%"
"Aug 20, 2019","3.500","3.340","3.530","3.295","4.34M","6.71%"
"Aug 19, 2019","3.280","3.220","3.340","3.185","3.79M","-0.91%"
"Aug 16, 2019","3.310","3.370","3.410","3.280","5.71M","-2.65%"
"Aug 15, 2019","3.400","3.320","3.440","3.300","4.20M","2.10%"
"Aug 14, 2019","3.330","3.390","3.432","3.280","8.76M","0.00%"
"Aug 13, 2019","3.330","3.470","3.500","3.175","10.64M","-1.77%"
"Aug 12, 2019","3.390","3.390","3.525","3.370","5.95M","-2.31%"
"Aug 09, 2019","3.470","3.460","3.600","3.430","5.15M","0.00%"
"Aug 08, 2019","3.470","3.590","3.610","3.310","15.05M","-13.68%"
"Aug 07, 2019","4.020","4.050","4.165","3.980","8.65M","3.08%"
"Aug 06, 2019","3.900","3.880","4.000","3.860","6.81M","-0.76%"
"Aug 05, 2019","3.930","3.870","4.040","3.820","9.19M","5.36%"
"Aug 02, 2019","3.730","3.820","3.830","3.695","7.67M","-3.37%"
"Aug 01, 2019","3.860","3.510","3.890","3.470","9.51M","6.34%"
"Jul 31, 2019","3.630","3.740","3.840","3.610","8.69M","-3.71%"
"Jul 30, 2019","3.770","3.720","3.780","3.670","5.29M","1.62%"
"Jul 29, 2019","3.710","3.710","3.720","3.610","4.20M","0.82%"
"Jul 26, 2019","3.680","3.710","3.760","3.650","4.57M","0.00%"
"Jul 25, 2019","3.680","3.800","3.800","3.650","4.34M","-3.66%"
"Jul 24, 2019","3.820","3.760","3.840","3.725","4.34M","2.14%"
"Jul 23, 2019","3.740","3.770","3.820","3.630","5.98M","-0.53%"
"Jul 22, 2019","3.760","3.760","3.870","3.705","5.40M","-0.53%"
"Jul 19, 2019","3.780","3.840","3.920","3.745","6.49M","-2.33%"
"Jul 18, 2019","3.870","3.660","3.890","3.630","7.38M","4.31%"
"Jul 17, 2019","3.710","3.560","3.710","3.510","4.55M","4.80%"
"Jul 16, 2019","3.540","3.480","3.570","3.430","4.80M","1.14%"
"Jul 15, 2019","3.500","3.550","3.610","3.490","2.13M","-1.41%"
"Jul 12, 2019","3.550","3.520","3.565","3.480","2.69M","1.14%"
"Jul 11, 2019","3.510","3.480","3.540","3.430","4.94M","0.86%"
"Jul 10, 2019","3.480","3.460","3.480","3.400","5.44M","2.35%"
"Jul 09, 2019","3.400","3.280","3.410","3.270","3.28M","3.03%"
"Jul 08, 2019","3.300","3.360","3.380","3.275","2.95M","-1.49%"
"Jul 05, 2019","3.350","3.290","3.400","3.200","5.34M","-2.33%"
"Jul 03, 2019","3.430","3.400","3.430","3.320","2.08M","2.39%"
"Jul 02, 2019","3.350","3.210","3.380","3.210","4.95M","5.35%"
"Jul 01, 2019","3.180","3.260","3.270","3.170","4.21M","-5.92%"
"Jun 28, 2019","3.380","3.370","3.380","3.300","3.62M","1.20%"
"Jun 27, 2019","3.340","3.340","3.345","3.260","7.31M","-0.60%"
"Jun 26, 2019","3.360","3.260","3.450","3.220","7.36M","0.60%"
"Jun 25, 2019","3.340","3.500","3.528","3.260","12.30M","-2.91%"
"Jun 24, 2019","3.440","3.320","3.450","3.245","10.06M","5.20%"
"Jun 21, 2019","3.270","3.270","3.290","3.140","7.86M","0.93%"
"Jun 20, 2019","3.240","3.270","3.435","3.204","13.85M","7.64%"
"Jun 19, 2019","3.010","2.950","3.010","2.890","4.95M","1.69%"
"Jun 18, 2019","2.960","2.980","3.030","2.845","6.62M","0.68%"
"Jun 17, 2019","2.940","2.870","2.950","2.830","3.81M","2.44%"
"Jun 14, 2019","2.870","2.930","2.965","2.850","7.65M","-0.35%"
"Jun 13, 2019","2.880","2.780","2.910","2.720","5.77M","3.97%"
"Jun 12, 2019","2.770","2.750","2.780","2.740","2.83M","1.09%"
"Jun 11, 2019","2.740","2.650","2.750","2.630","3.88M","2.62%"
"Jun 10, 2019","2.670","2.660","2.690","2.600","3.44M","-1.84%"
"Jun 07, 2019","2.720","2.800","2.825","2.720","3.56M","-2.51%"
"Jun 06, 2019","2.790","2.810","2.810","2.650","6.55M","0.72%"
"Jun 05, 2019","2.770","2.780","2.865","2.740","7.96M","1.47%"
"Jun 04, 2019","2.730","2.680","2.745","2.610","5.32M","-0.36%"
"Jun 03, 2019","2.740","2.570","2.740","2.560","10.19M","9.16%"
"May 31, 2019","2.510","2.430","2.530","2.410","5.11M","5.02%"
"May 30, 2019","2.390","2.310","2.410","2.280","4.37M","3.91%"
"May 29, 2019","2.300","2.410","2.420","2.290","4.34M","-3.36%"
"May 28, 2019","2.380","2.410","2.470","2.360","3.39M","-1.65%"
"May 24, 2019","2.420","2.490","2.510","2.360","4.48M","-2.42%"
"May 23, 2019","2.480","2.450","2.610","2.450","9.92M","1.64%"
"May 22, 2019","2.440","2.550","2.590","2.420","3.26M","-4.31%"
"May 21, 2019","2.550","2.540","2.580","2.490","4.53M","-0.39%"
"May 20, 2019","2.560","2.570","2.620","2.500","3.58M","-1.16%"
"May 17, 2019","2.590","2.620","2.630","2.460","9.24M","-0.38%"
"May 16, 2019","2.600","2.390","2.750","2.360","20.10M","8.79%"
"May 15, 2019","2.390","2.380","2.440","2.350","7.27M","1.27%"
"May 14, 2019","2.360","2.460","2.460","2.340","3.20M","-4.07%"
"May 13, 2019","2.460","2.430","2.470","2.350","5.05M","3.36%"
"May 10, 2019","2.380","2.470","2.500","2.370","4.57M","-3.64%"
"May 09, 2019","2.470","2.390","2.500","2.325","7.62M","3.78%"
"May 08, 2019","2.380","2.540","2.560","2.370","8.67M","-5.93%"
"May 07, 2019","2.530","2.780","2.800","2.500","18.85M","-13.06%"
"May 06, 2019","2.910","2.940","3.000","2.895","4.00M","-0.68%"
"May 03, 2019","2.930","2.950","3.050","2.930","3.79M","0.69%"
"May 02, 2019","2.910","2.910","2.990","2.880","3.24M","-1.69%"
"May 01, 2019","2.960","3.010","3.060","2.920","6.79M","-2.31%"
"Apr 30, 2019","3.030","3.080","3.120","2.990","2.51M","-1.30%"
"Apr 29, 2019","3.070","3.120","3.120","3.045","1.97M","-2.23%"
"Apr 26, 2019","3.140","3.040","3.160","3.040","2.44M","5.37%"
"Apr 25, 2019","2.980","3.070","3.100","2.960","4.19M","-2.61%"
"Apr 24, 2019","3.060","2.960","3.110","2.920","4.75M","3.38%"
"Apr 23, 2019","2.960","2.960","3.000","2.920","4.68M","0.00%"
"Apr 22, 2019","2.960","3.050","3.080","2.960","3.55M","-2.95%"
"Apr 18, 2019","3.050","3.140","3.180","3.040","3.79M","-2.56%"
"Apr 17, 2019","3.130","3.140","3.200","3.090","3.95M","0.32%"
"Apr 16, 2019","3.120","3.200","3.200","3.110","5.06M","-4.00%"
"Apr 15, 2019","3.250","3.310","3.310","3.220","5.80M","-2.69%"
