Date,Open,High,Low,Close,Adj Close,Volume
2014-10-01,54115.000000,58897.000000,48722.000000,54629.000000,54629.000000,115826000
2014-11-01,54629.000000,57359.000000,50886.000000,54664.000000,54664.000000,67382100
2014-12-01,54719.000000,54719.000000,45853.000000,50007.000000,50007.000000,69815600
2015-01-01,50005.000000,50281.000000,46484.000000,46908.000000,46908.000000,77719800
2015-02-01,46933.000000,52457.000000,46760.000000,51583.000000,51583.000000,65310100
2015-03-01,51580.000000,52319.000000,47905.000000,51150.000000,51150.000000,79890000
2015-04-01,51186.000000,56965.000000,51186.000000,56229.000000,56229.000000,81114600
2015-05-01,55312.000000,58575.000000,52760.000000,52760.000000,52760.000000,67845700
2015-06-01,52753.000000,54361.000000,52548.000000,53081.000000,53081.000000,61236200
2015-07-01,53081.000000,53456.000000,48624.000000,50865.000000,50865.000000,65571800
2015-08-01,50867.000000,50867.000000,42749.000000,46626.000000,46626.000000,71135200
2015-09-01,46625.000000,49396.000000,43767.000000,45059.000000,45059.000000,79146200
2015-10-01,45064.000000,49752.000000,44789.000000,45869.000000,45869.000000,78617500
2015-11-01,45869.000000,49054.000000,45106.000000,45120.000000,45120.000000,60282600
2015-12-01,45121.000000,47142.000000,43137.000000,43350.000000,43350.000000,64358600
2016-01-01,43349.000000,43349.000000,37046.000000,40406.000000,40406.000000,70039500
2016-02-01,40397.000000,43601.000000,38596.000000,42794.000000,42794.000000,73592000
2016-03-01,42795.000000,52262.000000,42795.000000,50055.000000,50055.000000,121365300
2016-04-01,50054.000000,54978.000000,47874.000000,53911.000000,53911.000000,88910200
2016-05-01,53910.000000,54113.000000,48292.000000,48472.000000,48472.000000,79045000
2016-06-01,48468.000000,51812.000000,48067.000000,51527.000000,51527.000000,79032100
2016-07-01,51540.000000,57474.000000,50825.000000,57308.000000,57308.000000,75165800
2016-08-01,57309.000000,59418.000000,55696.000000,57901.000000,57901.000000,80937900
2016-09-01,57901.000000,60310.000000,56459.000000,58367.000000,58367.000000,68141200
2016-10-01,58370.000000,65054.000000,58367.000000,64925.000000,64925.000000,74450900
2016-11-01,64922.000000,65291.000000,58322.000000,61906.000000,61906.000000,83065700
2016-12-01,61906.000000,61936.000000,56829.000000,60227.000000,60227.000000,64108500
2017-01-01,60227.000000,66594.000000,59371.000000,64671.000000,64671.000000,60057300
2017-02-01,64687.000000,69488.000000,63740.000000,66662.000000,66662.000000,56775200
2017-03-01,66661.000000,67398.000000,62496.000000,64984.000000,64984.000000,73694400
2017-04-01,64989.000000,66211.000000,62826.000000,65403.000000,65403.000000,51935600
2017-05-01,65404.000000,68792.000000,60315.000000,62711.000000,62711.000000,86770000
2017-06-01,62711.000000,63637.000000,60544.000000,62900.000000,62900.000000,65351300
2017-07-01,62901.000000,66048.000000,62035.000000,65920.000000,65920.000000,51847000
2017-08-01,65925.000000,71506.000000,65925.000000,70835.000000,70835.000000,68162600
2017-09-01,70848.000000,76420.000000,70846.000000,74294.000000,74294.000000,68909400
2017-10-01,74295.000000,78024.000000,73845.000000,74308.000000,74308.000000,65846200
2017-11-01,74310.000000,75199.000000,70825.000000,72512.000000,72512.000000,93683500
2017-12-01,71955.000000,76437.000000,71356.000000,76402.000000,76402.000000,54645300
2018-01-01,76403.000000,86213.000000,76403.000000,84913.000000,84913.000000,71837300
2018-02-01,84913.000000,88318.000000,79690.000000,85481.000000,85481.000000,71597200
2018-03-01,85337.000000,87333.000000,82889.000000,85366.000000,85366.000000,70136200
2018-04-01,85365.000000,87179.000000,82762.000000,86115.000000,86115.000000,61917800
2018-05-01,86111.000000,86678.000000,75337.000000,76754.000000,76754.000000,96407700
2018-06-01,76779.000000,78892.000000,69069.000000,72763.000000,72763.000000,93312000
2018-07-01,72763.000000,80589.000000,71935.000000,79220.000000,79220.000000,63627800
2018-08-01,79213.000000,81792.000000,74876.000000,76678.000000,76678.000000,77877000
2018-09-01,76675.000000,80107.000000,74275.000000,79342.000000,79342.000000,59194500
2018-10-01,79350.000000,88377.000000,78091.000000,87424.000000,87424.000000,110546700
2018-11-01,87428.000000,90246.000000,84030.000000,89504.000000,89504.000000,83697300
2018-12-01,89511.000000,91242.000000,83892.000000,87887.000000,87887.000000,79750200
2019-01-01,87887.000000,98405.000000,87536.000000,97394.000000,97394.000000,101237300
2019-02-01,97395.000000,98589.000000,93424.000000,95584.000000,95584.000000,95001600
2019-03-01,95584.000000,100439.000000,91584.000000,95415.000000,95415.000000,86699500
2019-04-01,95423.000000,97610.000000,92338.000000,96353.000000,96353.000000,90379400
2019-05-01,96339.000000,97992.000000,89409.000000,97030.000000,97030.000000,98077700
2019-06-01,97036.000000,102617.000000,95686.000000,100967.000000,100967.000000,88248100
2019-07-01,100973.000000,106650.000000,100073.000000,101812.000000,101812.000000,94472500
2019-08-01,101819.000000,104848.000000,95855.000000,101135.000000,101135.000000,118683900
2019-09-01,101133.000000,104699.000000,99406.000000,103501.000000,103501.000000,40661000
