Date,Open,High,Low,Close,Adj Close,Volume
2014-09-15,57949.000000,60243.000000,57514.000000,57789.000000,57789.000000,15715000
2014-09-22,57788.000000,57788.000000,55876.000000,57212.000000,57212.000000,15808000
2014-09-29,57211.000000,57211.000000,52481.000000,54540.000000,54540.000000,23022400
2014-10-06,54542.000000,58897.000000,54542.000000,55311.000000,55311.000000,24534200
2014-10-13,55312.000000,58856.000000,54132.000000,55724.000000,55724.000000,23954400
2014-10-20,55720.000000,55720.000000,50596.000000,51941.000000,51941.000000,26399900
2014-10-27,51937.000000,54629.000000,48722.000000,54629.000000,54629.000000,28323800
2014-11-03,54629.000000,54629.000000,52197.000000,53223.000000,53223.000000,17381700
2014-11-10,53223.000000,53830.000000,50886.000000,51772.000000,51772.000000,15673000
2014-11-17,51772.000000,56214.000000,51047.000000,56084.000000,56084.000000,16741800
2014-11-24,56086.000000,57359.000000,54593.000000,54664.000000,54664.000000,17585600
2014-12-01,54719.000000,54719.000000,51074.000000,51992.000000,51992.000000,15777200
2014-12-08,51992.000000,51992.000000,47973.000000,48002.000000,48002.000000,17910000
2014-12-15,48002.000000,49658.000000,45853.000000,49651.000000,49651.000000,24096000
2014-12-22,49651.000000,50973.000000,49105.000000,50145.000000,50145.000000,7254600
2014-12-29,50145.000000,50903.000000,48345.000000,48512.000000,48512.000000,7659900
2015-01-05,48512.000000,50261.000000,47264.000000,48840.000000,48840.000000,19455300
2015-01-12,48840.000000,49264.000000,47372.000000,49017.000000,49017.000000,18633400
2015-01-19,49009.000000,50281.000000,47503.000000,48775.000000,48775.000000,16590400
2015-01-26,48712.000000,48864.000000,46484.000000,46908.000000,46908.000000,20158600
2015-02-02,46933.000000,49816.000000,46760.000000,48792.000000,48792.000000,21474300
2015-02-09,48792.000000,50726.000000,47841.000000,50636.000000,50636.000000,19479100
2015-02-16,49546.000000,51868.000000,49476.000000,51238.000000,51238.000000,7634500
2015-02-23,51238.000000,52457.000000,50861.000000,51583.000000,51583.000000,16722200
