"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21, 2019","2.33","2.35","2.40","2.33","102.50K","1.30%"
"Nov 19, 2019","2.30","2.33","2.40","2.28","424.40K","-0.43%"
"Nov 18, 2019","2.31","2.46","2.53","2.30","1.10M","-12.50%"
"Nov 14, 2019","2.64","2.46","2.64","2.40","533.20K","7.32%"
"Nov 13, 2019","2.46","2.68","2.77","2.42","437.40K","-10.55%"
"Nov 12, 2019","2.75","2.74","2.79","2.63","201.80K","1.85%"
"Nov 11, 2019","2.70","2.65","2.70","2.60","76.70K","0.00%"
"Nov 08, 2019","2.70","2.69","2.86","2.51","416.60K","0.00%"
"Nov 07, 2019","2.70","2.49","2.70","2.42","318.30K","9.31%"
"Nov 06, 2019","2.47","2.53","2.54","2.38","139.90K","-0.80%"
"Nov 05, 2019","2.49","2.52","2.57","2.48","84.60K","-0.80%"
"Nov 04, 2019","2.51","2.67","2.69","2.49","163.10K","-4.20%"
"Nov 01, 2019","2.62","2.64","2.80","2.57","424.50K","1.95%"
"Oct 31, 2019","2.57","2.48","2.64","2.43","191.90K","5.33%"
"Oct 30, 2019","2.44","2.52","2.55","2.42","51.60K","-2.01%"
"Oct 29, 2019","2.49","2.41","2.52","2.37","162.80K","5.51%"
"Oct 28, 2019","2.36","2.55","2.55","2.30","376.50K","-5.60%"
"Oct 25, 2019","2.50","2.53","2.55","2.47","105.70K","-1.19%"
"Oct 24, 2019","2.53","2.62","2.62","2.52","121.40K","-3.44%"
"Oct 23, 2019","2.62","2.66","2.66","2.51","106.50K","-0.76%"
"Oct 22, 2019","2.64","2.61","2.67","2.61","72.20K","1.54%"
"Oct 21, 2019","2.60","2.75","2.75","2.51","355.40K","-4.41%"
"Oct 18, 2019","2.72","2.79","2.79","2.72","26.10K","-1.45%"
"Oct 17, 2019","2.76","2.71","2.81","2.71","44.20K","-0.72%"
"Oct 16, 2019","2.78","2.74","2.81","2.67","78.50K","2.21%"
"Oct 15, 2019","2.72","2.84","2.84","2.72","73.90K","-2.86%"
"Oct 14, 2019","2.80","2.79","2.83","2.79","45.60K","1.08%"
"Oct 11, 2019","2.77","2.94","2.94","2.75","211.20K","-3.82%"
"Oct 10, 2019","2.88","2.94","2.98","2.78","224.50K","-4.64%"
"Oct 09, 2019","3.02","2.87","3.14","2.85","112.30K","0.67%"
"Oct 08, 2019","3.00","2.86","3.11","2.84","160.30K","0.00%"
"Oct 07, 2019","3.00","3.05","3.19","2.99","28.00K","-1.64%"
"Oct 04, 2019","3.05","3.01","3.27","3.01","112.70K","1.33%"
"Oct 03, 2019","3.01","2.99","3.02","2.93","8.70K","1.35%"
"Oct 02, 2019","2.97","3.04","3.04","2.85","106.40K","-2.30%"
"Oct 01, 2019","3.04","3.01","3.09","2.96","23.10K","1.33%"
"Sep 30, 2019","3.00","2.92","3.15","2.83","96.00K","4.17%"
"Sep 27, 2019","2.88","2.93","2.93","2.78","18.90K","1.77%"
