"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 04, 2019","48.81","49.00","49.20","48.36","-","-0.39%"
"Nov 01, 2019","49.00","48.80","49.19","48.18","1.29M","2.30%"
"Oct 31, 2019","47.90","47.55","48.08","47.21","887.70K","0.82%"
"Oct 30, 2019","47.51","46.55","47.98","46.36","1.90M","1.50%"
"Oct 29, 2019","46.81","47.12","47.12","46.25","2.66M","-0.43%"
"Oct 28, 2019","47.01","47.30","47.30","46.84","789.40K","-0.15%"
"Oct 25, 2019","47.08","47.17","47.30","46.71","631.90K","0.30%"
"Oct 24, 2019","46.94","46.85","47.17","46.55","1.00M","0.06%"
"Oct 23, 2019","46.91","47.07","47.19","46.54","1.30M","-0.49%"
"Oct 22, 2019","47.14","47.25","47.88","46.82","1.53M","-0.23%"
"Oct 21, 2019","47.25","47.25","47.48","46.60","1.09M","0.32%"
"Oct 18, 2019","47.10","46.50","47.19","46.45","620.30K","0.86%"
"Oct 17, 2019","46.70","46.90","47.10","46.30","543.30K","-0.51%"
"Oct 16, 2019","46.94","46.15","46.94","45.54","1.93M","1.71%"
"Oct 15, 2019","46.15","45.95","46.96","45.93","1.41M","-0.22%"
"Oct 14, 2019","46.25","46.00","46.42","45.76","801.30K","0.70%"
"Oct 11, 2019","45.93","46.02","46.40","45.40","2.24M","0.66%"
"Oct 10, 2019","45.63","46.53","46.53","45.54","1.30M","-1.87%"
"Oct 09, 2019","46.50","46.26","46.77","46.01","1.13M","0.65%"
"Oct 08, 2019","46.20","46.39","46.60","45.85","622.80K","-0.19%"
"Oct 07, 2019","46.29","47.28","47.28","46.02","1.01M","-1.97%"
"Oct 04, 2019","47.22","46.74","47.22","46.06","543.00K","1.35%"
"Oct 03, 2019","46.59","46.57","46.59","45.65","1.13M","0.47%"
"Oct 02, 2019","46.37","46.50","46.70","45.70","1.14M","-1.24%"
"Oct 01, 2019","46.95","47.53","47.53","46.19","1.05M","-1.22%"
"Sep 30, 2019","47.53","47.15","47.79","47.00","754.00K","1.28%"
"Sep 27, 2019","46.93","47.81","47.87","46.93","956.50K","-1.39%"
"Sep 26, 2019","47.59","47.00","47.73","46.56","1.23M","1.26%"
"Sep 25, 2019","47.00","47.10","47.70","46.54","946.10K","-0.70%"
