"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","9.20","8.94","9.24","8.91","23.67M","3.02%"
"Oct 24, 2019","8.93","8.92","8.99","8.76","28.79M","-1.22%"
"Oct 23, 2019","9.04","9.10","9.20","8.95","26.00M","0.33%"
"Oct 22, 2019","9.01","9.05","9.08","8.90","48.97M","-3.01%"
"Oct 21, 2019","9.29","8.94","9.43","8.93","77.24M","-12.11%"
"Oct 18, 2019","10.57","10.64","10.69","10.57","22.62M","-0.19%"
"Oct 17, 2019","10.59","10.62","10.73","10.49","37.73M","-0.09%"
"Oct 16, 2019","10.60","10.68","10.76","10.56","29.23M","-0.66%"
"Oct 15, 2019","10.67","10.66","10.77","10.51","41.27M","0.47%"
"Oct 14, 2019","10.62","10.93","10.95","10.55","36.09M","-3.19%"
"Oct 11, 2019","10.97","11.29","11.31","10.96","31.21M","-1.88%"
"Oct 10, 2019","11.18","11.04","11.21","10.94","13.39M","0.18%"
"Oct 09, 2019","11.16","11.09","11.24","11.08","8.84M","0.36%"
"Oct 08, 2019","11.12","11.21","11.24","11.11","9.26M","-1.51%"
"Oct 07, 2019","11.29","11.16","11.31","11.10","8.59M","0.62%"
"Oct 04, 2019","11.22","11.21","11.26","11.14","7.09M","0.54%"
"Oct 03, 2019","11.16","11.06","11.21","11.06","7.17M","0.72%"
"Oct 02, 2019","11.08","10.97","11.12","10.94","8.58M","0.36%"
"Oct 01, 2019","11.04","11.21","11.25","11.01","10.80M","-2.90%"
"Sep 30, 2019","11.37","11.33","11.42","11.31","12.13M","1.43%"
"Sep 27, 2019","11.21","11.16","11.22","11.05","10.51M","0.72%"
"Sep 26, 2019","11.13","11.07","11.17","11.00","9.70M","0.63%"
"Sep 25, 2019","11.06","11.13","11.15","11.03","17.29M","0.18%"
"Sep 24, 2019","11.04","11.25","11.26","11.01","14.11M","0.36%"
"Sep 23, 2019","11.00","10.98","11.07","10.81","18.66M","-3.08%"
"Sep 20, 2019","11.35","11.51","11.60","11.35","14.94M","-2.16%"
"Sep 19, 2019","11.60","11.66","11.68","11.58","8.11M","-0.85%"
"Sep 18, 2019","11.70","11.72","11.76","11.57","8.53M","0.26%"
"Sep 17, 2019","11.67","11.68","11.76","11.66","8.20M","-0.77%"
"Sep 16, 2019","11.76","11.59","11.76","11.56","8.33M","-0.08%"
"Sep 13, 2019","11.77","11.78","11.87","11.71","9.38M","0.77%"
"Sep 12, 2019","11.68","11.65","11.71","11.59","7.98M","0.86%"
"Sep 11, 2019","11.58","11.65","11.66","11.56","9.02M","-0.34%"
"Sep 10, 2019","11.62","11.56","11.64","11.49","9.40M","-0.17%"
"Sep 09, 2019","11.64","11.77","11.77","11.59","6.58M","-1.44%"
"Sep 06, 2019","11.81","12.02","12.04","11.81","10.36M","-2.15%"
"Sep 05, 2019","12.07","11.79","12.08","11.76","25.06M","3.34%"
"Sep 04, 2019","11.68","11.43","11.68","11.41","18.43M","3.55%"
"Sep 03, 2019","11.28","11.39","11.41","11.22","9.25M","-1.83%"
"Aug 30, 2019","11.49","11.48","11.50","11.37","7.07M","0.88%"
"Aug 29, 2019","11.39","11.28","11.48","11.28","10.93M","1.70%"
"Aug 28, 2019","11.20","11.19","11.26","11.13","5.52M","0.45%"
"Aug 27, 2019","11.15","11.10","11.16","11.08","6.97M","0.18%"
"Aug 26, 2019","11.13","11.21","11.23","11.10","6.10M","0.18%"
"Aug 23, 2019","11.11","11.26","11.32","11.10","8.41M","-0.89%"
"Aug 22, 2019","11.21","11.28","11.32","11.19","6.35M","-0.80%"
"Aug 21, 2019","11.30","11.40","11.45","11.28","7.06M","-0.26%"
"Aug 20, 2019","11.33","11.24","11.39","11.19","13.54M","1.80%"
"Aug 19, 2019","11.13","11.06","11.18","11.06","11.20M","0.54%"
"Aug 16, 2019","11.07","10.92","11.09","10.91","9.42M","1.28%"
"Aug 15, 2019","10.93","10.87","11.05","10.77","14.91M","1.30%"
"Aug 14, 2019","10.79","10.96","10.97","10.79","8.24M","-2.44%"
"Aug 13, 2019","11.06","10.85","11.10","10.78","12.56M","-0.36%"
"Aug 12, 2019","11.10","11.06","11.12","11.04","4.60M","-0.27%"
"Aug 09, 2019","11.13","11.25","11.26","11.08","6.11M","-1.07%"
"Aug 08, 2019","11.25","11.25","11.35","11.20","11.88M","0.81%"
"Aug 07, 2019","11.16","10.95","11.16","10.88","14.18M","1.45%"
"Aug 06, 2019","11.00","11.01","11.04","10.91","15.37M","0.92%"
"Aug 05, 2019","10.90","10.99","11.03","10.84","7.13M","-1.62%"
"Aug 02, 2019","11.08","11.19","11.21","11.04","10.13M","-1.60%"
"Aug 01, 2019","11.26","11.21","11.39","11.20","9.42M","-0.53%"
"Jul 31, 2019","11.32","11.49","11.52","11.19","20.38M","-0.88%"
"Jul 30, 2019","11.42","11.47","11.49","11.39","5.38M","-0.78%"
"Jul 29, 2019","11.51","11.55","11.55","11.47","6.08M","0.26%"
"Jul 26, 2019","11.48","11.53","11.56","11.46","4.23M","-0.35%"
"Jul 25, 2019","11.52","11.52","11.55","11.47","7.03M","0.52%"
"Jul 24, 2019","11.46","11.49","11.56","11.45","9.10M","-0.26%"
"Jul 23, 2019","11.49","11.48","11.54","11.44","6.82M","0.26%"
"Jul 22, 2019","11.46","11.45","11.52","11.44","6.38M","0.61%"
"Jul 19, 2019","11.39","11.51","11.54","11.38","10.33M","-1.39%"
"Jul 18, 2019","11.55","11.50","11.59","11.49","9.55M","0.52%"
"Jul 17, 2019","11.49","11.60","11.64","11.48","9.35M","-0.35%"
"Jul 16, 2019","11.53","11.53","11.59","11.49","8.62M","0.26%"
"Jul 15, 2019","11.50","11.50","11.63","11.44","13.35M","0.88%"
"Jul 12, 2019","11.40","11.34","11.56","11.27","41.39M","6.34%"
"Jul 11, 2019","10.72","10.57","10.72","10.53","15.80M","2.29%"
"Jul 10, 2019","10.48","10.55","10.61","10.44","14.95M","0.58%"
"Jul 09, 2019","10.42","10.54","10.55","10.37","23.52M","-1.33%"
"Jul 08, 2019","10.56","10.60","10.62","10.55","13.56M","-1.22%"
"Jul 05, 2019","10.69","10.57","10.70","10.54","18.83M","-0.47%"
"Jul 03, 2019","10.74","10.69","10.77","10.67","6.88M","-0.19%"
"Jul 02, 2019","10.76","10.73","10.79","10.71","7.01M","0.56%"
"Jul 01, 2019","10.70","10.70","10.70","10.62","8.90M","0.00%"
"Jun 28, 2019","10.70","10.64","10.71","10.63","6.32M","0.75%"
