"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","11.51","11.50","11.53","11.48","1.51M","-0.09%"
"Oct 25, 2019","11.52","11.45","11.56","11.45","3.05M","0.26%"
"Oct 24, 2019","11.49","11.60","11.63","11.41","2.25M","-0.61%"
"Oct 23, 2019","11.56","11.51","11.56","11.46","3.28M","0.35%"
"Oct 22, 2019","11.52","11.46","11.63","11.44","4.63M","-0.26%"
"Oct 21, 2019","11.55","11.66","11.69","11.55","3.64M","1.40%"
"Oct 18, 2019","11.39","11.38","11.40","11.31","2.38M","0.80%"
"Oct 17, 2019","11.30","11.42","11.45","11.26","3.07M","-0.18%"
"Oct 16, 2019","11.32","11.27","11.40","11.25","12.37M","2.17%"
"Oct 15, 2019","11.08","10.89","11.20","10.87","17.47M","1.74%"
"Oct 14, 2019","10.89","10.77","10.93","10.75","7.39M","0.83%"
"Oct 11, 2019","10.80","10.71","10.90","10.69","11.11M","3.45%"
"Oct 10, 2019","10.44","10.21","10.46","10.19","18.58M","4.30%"
"Oct 09, 2019","10.01","9.94","10.02","9.90","3.12M","0.70%"
"Oct 08, 2019","9.94","9.95","10.01","9.90","3.30M","-1.58%"
"Oct 07, 2019","10.10","10.11","10.18","10.08","2.66M","-0.20%"
"Oct 04, 2019","10.12","9.99","10.13","9.96","1.97M","1.00%"
"Oct 03, 2019","10.02","10.04","10.06","9.88","3.43M","0.30%"
"Oct 02, 2019","9.99","10.15","10.17","9.94","3.33M","-3.01%"
"Oct 01, 2019","10.30","10.51","10.53","10.26","4.13M","-1.44%"
"Sep 30, 2019","10.45","10.46","10.51","10.42","1.93M","0.19%"
"Sep 27, 2019","10.43","10.43","10.50","10.41","2.35M","0.68%"
"Sep 26, 2019","10.36","10.33","10.39","10.30","3.16M","0.00%"
"Sep 25, 2019","10.36","10.23","10.39","10.22","4.11M","0.29%"
"Sep 24, 2019","10.33","10.46","10.48","10.29","3.98M","-1.99%"
"Sep 23, 2019","10.54","10.44","10.55","10.37","2.60M","-1.40%"
"Sep 20, 2019","10.69","10.74","10.77","10.66","2.98M","1.04%"
"Sep 19, 2019","10.58","10.63","10.66","10.58","2.28M","0.95%"
"Sep 18, 2019","10.48","10.48","10.51","10.42","3.36M","-0.95%"
"Sep 17, 2019","10.58","10.42","10.59","10.37","3.66M","-0.84%"
"Sep 16, 2019","10.67","10.64","10.69","10.63","2.82M","-1.66%"
"Sep 13, 2019","10.85","10.87","10.92","10.78","5.56M","1.97%"
"Sep 12, 2019","10.64","10.46","10.66","10.41","6.18M","0.19%"
"Sep 11, 2019","10.62","10.60","10.62","10.50","3.64M","0.19%"
"Sep 10, 2019","10.60","10.57","10.63","10.54","3.26M","2.81%"
"Sep 09, 2019","10.31","10.19","10.33","10.17","3.35M","3.10%"
"Sep 06, 2019","10.00","10.05","10.07","9.97","2.83M","0.70%"
"Sep 05, 2019","9.93","9.89","9.97","9.88","2.90M","3.12%"
"Sep 04, 2019","9.63","9.67","9.68","9.57","2.75M","1.37%"
"Sep 03, 2019","9.50","9.46","9.52","9.43","2.84M","-0.52%"
"Aug 30, 2019","9.55","9.64","9.68","9.53","2.33M","0.74%"
"Aug 29, 2019","9.48","9.49","9.54","9.47","2.30M","1.39%"
"Aug 28, 2019","9.35","9.33","9.41","9.31","1.61M","-0.43%"
"Aug 27, 2019","9.39","9.50","9.51","9.36","3.40M","-0.32%"
"Aug 26, 2019","9.42","9.43","9.45","9.38","3.24M","1.51%"
"Aug 23, 2019","9.28","9.44","9.51","9.27","3.12M","-2.32%"
"Aug 22, 2019","9.50","9.53","9.54","9.44","2.46M","1.82%"
"Aug 21, 2019","9.33","9.42","9.43","9.31","2.09M","-0.32%"
"Aug 20, 2019","9.36","9.38","9.44","9.32","2.77M","-0.64%"
"Aug 19, 2019","9.42","9.50","9.51","9.41","3.18M","-0.95%"
"Aug 16, 2019","9.51","9.33","9.55","9.32","5.80M","2.92%"
"Aug 15, 2019","9.24","9.31","9.37","9.22","4.18M","-0.65%"
