"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","88.61","88.00","88.77","87.85","388.37K","0.93%"
"Oct 25, 2019","87.79","87.00","88.18","86.56","754.50K","1.19%"
"Oct 24, 2019","86.76","85.20","86.77","84.63","394.10K","2.09%"
"Oct 23, 2019","84.98","83.32","85.10","82.88","537.22K","2.46%"
"Oct 22, 2019","82.94","85.00","85.13","82.69","638.11K","-2.39%"
"Oct 21, 2019","84.97","87.29","87.60","84.07","886.59K","-2.29%"
"Oct 18, 2019","86.96","87.44","87.87","85.29","731.14K","-0.30%"
"Oct 17, 2019","87.22","86.74","87.96","86.66","668.44K","0.86%"
"Oct 16, 2019","86.48","85.45","86.59","83.71","527.11K","1.21%"
"Oct 15, 2019","85.45","84.04","85.47","84.04","569.11K","1.90%"
"Oct 14, 2019","83.86","83.99","84.88","83.60","577.74K","-0.19%"
"Oct 11, 2019","84.02","83.70","84.77","82.87","1.16M","0.74%"
"Oct 10, 2019","83.40","78.13","85.45","77.33","2.40M","6.73%"
"Oct 09, 2019","78.14","77.73","78.54","77.07","285.52K","1.39%"
"Oct 08, 2019","77.07","78.89","78.89","76.81","999.62K","-2.52%"
"Oct 07, 2019","79.06","80.62","80.76","78.57","688.61K","-2.46%"
"Oct 04, 2019","81.05","80.36","81.13","79.46","333.90K","1.49%"
"Oct 03, 2019","79.86","78.75","80.24","77.88","546.72K","1.41%"
"Oct 02, 2019","78.75","78.87","79.24","77.50","433.03K","-0.84%"
"Oct 01, 2019","79.42","81.77","82.21","78.74","741.04K","-2.50%"
"Sep 30, 2019","81.46","79.90","81.49","79.08","686.42K","1.82%"
"Sep 27, 2019","80.00","80.65","81.80","79.64","604.37K","-0.51%"
"Sep 26, 2019","80.41","80.08","80.53","79.56","318.07K","0.54%"
"Sep 25, 2019","79.98","79.08","80.19","77.21","403.39K","0.79%"
"Sep 24, 2019","79.35","80.90","80.92","79.08","304.93K","-1.43%"
"Sep 23, 2019","80.50","80.36","81.38","80.32","333.89K","-0.32%"
"Sep 20, 2019","80.76","79.15","81.22","78.44","580.81K","2.23%"
"Sep 19, 2019","79.00","79.23","79.67","78.76","204.14K","0.10%"
"Sep 18, 2019","78.92","79.11","79.52","77.73","400.90K","-0.35%"
"Sep 17, 2019","79.20","76.57","79.25","76.49","405.35K","3.41%"
"Sep 16, 2019","76.59","75.85","77.33","75.42","320.37K","0.24%"
"Sep 13, 2019","76.41","77.43","77.83","75.92","427.52K","-1.22%"
"Sep 12, 2019","77.35","76.48","78.44","76.02","522.16K","1.27%"
"Sep 11, 2019","76.38","75.39","76.93","75.00","380.27K","0.59%"
"Sep 10, 2019","75.93","77.00","77.10","74.76","648.72K","-2.50%"
"Sep 09, 2019","77.88","80.43","80.43","77.40","694.66K","-5.01%"
"Sep 06, 2019","81.99","82.32","82.48","81.78","249.66K","-0.01%"
"Sep 05, 2019","82.00","81.94","82.27","81.36","345.13K","0.72%"
"Sep 04, 2019","81.41","80.92","81.66","80.76","152.09K","1.09%"
"Sep 03, 2019","80.53","80.78","81.35","79.88","238.36K","-0.51%"
"Aug 30, 2019","80.94","81.17","81.27","80.25","355.43K","-0.06%"
"Aug 29, 2019","80.99","80.77","81.81","80.55","306.48K","1.09%"
"Aug 28, 2019","80.12","79.47","80.30","78.72","346.05K","0.23%"
"Aug 27, 2019","79.94","79.50","80.06","78.62","414.54K","1.27%"
"Aug 26, 2019","78.94","78.82","79.47","78.38","165.32K","0.64%"
"Aug 23, 2019","78.44","80.22","80.84","78.20","212.94K","-2.64%"
"Aug 22, 2019","80.57","79.74","80.73","79.16","367.93K","1.31%"
"Aug 21, 2019","79.53","79.79","80.40","79.41","219.40K","0.43%"
"Aug 20, 2019","79.19","79.63","80.04","79.17","251.74K","-0.58%"
"Aug 19, 2019","79.65","79.75","80.45","78.95","424.59K","0.67%"
"Aug 16, 2019","79.12","76.64","79.31","76.39","569.38K","3.51%"
"Aug 15, 2019","76.44","76.90","77.60","76.14","350.16K","-0.46%"
