"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","6.70","7.03","7.32","6.70","68.04M","-4.83%"
"May 14, 2020","7.04","7.28","7.70","7.01","48.32M","-4.99%"
"May 13, 2020","7.41","8.11","8.26","7.35","30.62M","-7.84%"
"May 12, 2020","8.04","7.84","8.57","7.65","50.16M","4.42%"
"May 11, 2020","7.70","7.90","7.99","7.62","56.69M","-14.82%"
"May 08, 2020","9.04","8.75","9.19","8.58","23.28M","6.23%"
"May 07, 2020","8.51","9.32","9.37","8.51","21.77M","-6.89%"
"May 06, 2020","9.14","9.02","9.30","8.92","17.60M","1.44%"
"May 05, 2020","9.01","9.71","9.87","8.98","26.23M","-6.05%"
"May 04, 2020","9.59","9.81","9.95","9.42","18.06M","-6.16%"
"Apr 30, 2020","10.22","10.00","10.65","9.85","31.76M","-0.29%"
"Apr 29, 2020","10.25","9.19","10.35","9.11","50.66M","13.89%"
"Apr 28, 2020","9.00","9.59","9.75","8.91","34.86M","-4.86%"
"Apr 27, 2020","9.46","9.44","9.75","9.21","25.94M","4.30%"
"Apr 24, 2020","9.07","9.81","9.87","8.26","45.84M","-10.38%"
"Apr 23, 2020","10.12","10.69","10.95","9.71","50.26M","-8.50%"
"Apr 22, 2020","11.06","12.00","12.14","11.02","38.67M","-7.29%"
"Apr 20, 2020","11.93","11.60","12.18","11.37","14.14M","0.08%"
"Apr 17, 2020","11.92","12.21","12.38","11.81","14.02M","0.93%"
"Apr 16, 2020","11.81","12.31","12.39","11.66","19.47M","-0.25%"
"Apr 15, 2020","11.84","11.67","12.83","11.40","37.51M","-1.17%"
"Apr 14, 2020","11.98","10.67","12.41","10.58","27.32M","15.30%"
"Apr 13, 2020","10.39","10.10","10.52","9.96","12.95M","2.87%"
"Apr 09, 2020","10.10","10.28","10.70","9.86","19.25M","-0.39%"
"Apr 08, 2020","10.14","9.75","10.20","9.65","26.95M","-0.59%"
"Apr 07, 2020","10.20","11.30","11.46","10.18","23.74M","0.20%"
"Apr 06, 2020","10.18","9.25","10.18","9.03","21.64M","18.51%"
"Apr 03, 2020","8.59","9.01","9.10","8.23","17.46M","-6.32%"
"Apr 02, 2020","9.17","9.49","9.78","8.90","16.29M","-1.50%"
"Apr 01, 2020","9.31","9.05","9.35","8.78","17.48M","-3.82%"
"Mar 31, 2020","9.68","10.99","10.99","9.37","22.81M","-9.87%"
"Mar 30, 2020","10.74","10.80","11.82","10.59","24.50M","3.27%"
"Mar 27, 2020","10.40","9.54","10.84","9.27","31.83M","4.73%"
"Mar 26, 2020","9.93","8.57","10.91","8.57","45.27M","10.33%"
"Mar 25, 2020","9.00","8.18","9.15","7.94","53.74M","10.02%"
"Mar 24, 2020","8.18","7.78","8.40","7.31","28.85M","16.86%"
"Mar 23, 2020","7.00","7.45","7.46","6.56","30.23M","-4.11%"
"Mar 20, 2020","7.30","8.08","8.99","7.21","36.13M","-3.82%"
"Mar 19, 2020","7.59","6.90","7.94","6.43","30.05M","5.42%"
"Mar 18, 2020","7.20","8.32","8.33","6.75","24.73M","-18.64%"
"Mar 17, 2020","8.85","9.10","9.39","8.50","24.72M","1.14%"
"Mar 16, 2020","8.75","8.85","9.36","8.61","26.07M","-12.50%"
"Mar 13, 2020","10.00","11.00","11.00","9.01","30.92M","9.29%"
"Mar 12, 2020","9.15","11.00","11.69","8.82","29.77M","-27.95%"
"Mar 11, 2020","12.70","13.50","14.45","12.16","24.30M","-7.30%"
"Mar 10, 2020","13.70","15.15","15.38","13.03","27.77M","-0.44%"
"Mar 09, 2020","13.76","15.00","15.60","13.61","18.19M","-15.94%"
"Mar 06, 2020","16.37","15.50","17.77","15.36","44.76M","2.50%"
"Mar 05, 2020","15.97","20.00","20.15","15.36","70.82M","-16.17%"
"Mar 04, 2020","19.05","21.10","22.00","16.31","150.74M","-31.96%"
"Mar 03, 2020","28.00","30.85","31.69","28.00","28.37M","-7.74%"
"Mar 02, 2020","30.35","32.80","33.43","30.35","18.11M","-8.72%"
"Feb 28, 2020","33.25","33.02","33.91","31.81","23.17M","-2.58%"
"Feb 27, 2020","34.13","32.05","35.24","32.05","29.09M","6.66%"
"Feb 26, 2020","32.00","30.14","32.20","29.72","16.94M","-1.60%"
"Feb 21, 2020","32.52","34.43","34.43","32.31","20.25M","-5.44%"
"Feb 20, 2020","34.39","36.60","37.20","34.11","16.29M","-6.22%"
"Feb 19, 2020","36.67","38.75","39.00","36.31","33.59M","1.02%"
"Feb 18, 2020","36.30","36.19","37.69","35.00","15.76M","-0.82%"
"Feb 17, 2020","36.60","34.91","37.00","34.00","14.94M","5.63%"
"Feb 14, 2020","34.65","33.00","34.89","32.87","15.70M","5.64%"
"Feb 13, 2020","32.80","33.09","33.41","32.40","8.91M","-2.67%"
"Feb 12, 2020","33.70","35.11","35.20","33.61","12.13M","-2.74%"
"Feb 11, 2020","34.65","34.10","34.99","32.20","19.70M","4.97%"
"Feb 10, 2020","33.01","37.95","38.15","32.72","42.50M","-16.49%"
"Feb 07, 2020","39.53","42.23","42.64","39.27","8.52M","-7.32%"
"Feb 06, 2020","42.65","42.84","43.76","42.36","9.20M","0.35%"
"Feb 05, 2020","42.50","41.56","42.70","40.90","15.00M","2.93%"
"Feb 04, 2020","41.29","41.80","42.40","40.10","13.26M","1.28%"
"Feb 03, 2020","40.77","38.00","42.98","37.76","45.14M","-9.06%"
"Jan 31, 2020","44.83","44.17","45.09","43.37","7.66M","1.49%"
"Jan 30, 2020","44.17","43.94","44.65","43.23","4.63M","0.39%"
"Jan 29, 2020","44.00","44.58","44.78","43.69","2.97M","-0.70%"
"Jan 28, 2020","44.31","42.25","44.45","42.06","4.18M","5.75%"
"Jan 27, 2020","41.90","42.40","42.78","41.58","5.60M","-2.15%"
