"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","121.06","119.89","121.41","119.84","1.27M","1.09%"
"Oct 24, 2019","119.75","118.73","119.81","117.98","789.85K","0.86%"
"Oct 23, 2019","118.73","117.79","119.21","117.14","1.15M","0.37%"
"Oct 22, 2019","118.29","117.75","118.94","116.31","1.39M","0.28%"
"Oct 21, 2019","117.96","117.96","119.72","117.45","2.38M","0.56%"
"Oct 18, 2019","117.30","116.49","117.99","116.36","1.68M","0.38%"
"Oct 17, 2019","116.86","116.62","117.83","116.57","1.01M","0.68%"
"Oct 16, 2019","116.07","116.07","116.94","115.42","1.15M","0.02%"
"Oct 15, 2019","116.05","115.97","116.53","115.08","1.84M","0.62%"
"Oct 14, 2019","115.33","115.34","115.83","114.70","1.26M","-0.04%"
"Oct 11, 2019","115.38","115.31","117.76","115.24","1.28M","1.13%"
"Oct 10, 2019","114.09","113.72","114.77","113.36","1.20M","-0.01%"
"Oct 09, 2019","114.10","114.01","114.80","112.67","1.14M","0.96%"
"Oct 08, 2019","113.02","115.37","115.70","112.80","1.54M","-2.95%"
"Oct 07, 2019","116.45","117.97","117.97","116.38","1.07M","-1.78%"
"Oct 04, 2019","118.56","117.68","118.57","117.50","1.05M","0.81%"
"Oct 03, 2019","117.61","116.16","118.17","115.19","1.13M","0.85%"
"Oct 02, 2019","116.62","119.02","119.46","115.73","1.22M","-2.90%"
"Oct 01, 2019","120.10","123.73","124.28","119.81","1.01M","-2.52%"
"Sep 30, 2019","123.21","124.02","124.18","122.63","1.06M","-0.28%"
"Sep 27, 2019","123.56","124.42","124.74","122.42","886.03K","0.06%"
"Sep 26, 2019","123.48","123.21","124.08","122.45","1.13M","0.20%"
"Sep 25, 2019","123.23","122.81","123.82","122.15","1.09M","0.39%"
"Sep 24, 2019","122.75","123.36","124.12","122.13","1.15M","-0.27%"
"Sep 23, 2019","123.08","122.55","123.89","121.89","781.15K","-0.06%"
"Sep 20, 2019","123.15","124.40","124.66","123.13","1.31M","-0.66%"
"Sep 19, 2019","123.97","124.13","125.04","123.81","737.29K","0.03%"
"Sep 18, 2019","123.93","123.77","124.53","122.90","794.54K","-0.40%"
"Sep 17, 2019","124.43","123.55","124.72","123.23","767.78K","0.40%"
"Sep 16, 2019","123.93","124.03","124.42","123.39","947.03K","-0.31%"
"Sep 13, 2019","124.32","124.00","124.86","123.17","1.07M","0.66%"
"Sep 12, 2019","123.50","123.50","124.41","123.10","1.01M","0.02%"
"Sep 11, 2019","123.47","121.34","123.50","120.55","1.11M","1.90%"
"Sep 10, 2019","121.17","121.31","121.31","119.38","1.42M","-0.09%"
"Sep 09, 2019","121.28","122.10","122.54","120.93","1.67M","-0.26%"
"Sep 06, 2019","121.60","121.70","122.39","121.37","974.11K","0.16%"
"Sep 05, 2019","121.41","120.07","121.78","120.07","969.85K","1.69%"
"Sep 04, 2019","119.39","119.20","119.71","118.88","938.90K","0.67%"
"Sep 03, 2019","118.59","120.00","120.37","118.12","1.12M","-2.06%"
"Aug 30, 2019","121.09","121.22","121.79","120.69","1.01M","0.76%"
"Aug 29, 2019","120.18","118.84","120.61","118.83","1.36M","2.28%"
"Aug 28, 2019","117.50","115.82","117.87","115.75","890.60K","0.85%"
"Aug 27, 2019","116.51","115.76","116.76","115.50","1.36M","1.07%"
"Aug 26, 2019","115.28","115.52","115.95","113.87","1.25M","0.28%"
"Aug 23, 2019","114.96","117.14","117.88","114.49","1.30M","-2.57%"
"Aug 22, 2019","117.99","118.84","119.42","117.33","837.27K","-0.56%"
"Aug 21, 2019","118.66","119.30","119.77","118.13","732.05K","0.44%"
"Aug 20, 2019","118.14","118.47","118.97","117.37","1.06M","-0.36%"
"Aug 19, 2019","118.57","119.63","119.67","118.33","858.93K","0.59%"
"Aug 16, 2019","117.88","117.75","118.80","117.30","1.27M","1.22%"
"Aug 15, 2019","116.46","116.36","117.45","115.54","1.07M","0.15%"
"Aug 14, 2019","116.29","118.22","118.83","115.87","993.88K","-3.27%"
"Aug 13, 2019","120.22","117.47","120.86","117.18","1.14M","2.11%"
"Aug 12, 2019","117.74","118.94","119.06","117.43","1.17M","-1.38%"
"Aug 09, 2019","119.39","120.25","120.78","118.93","925.60K","-1.29%"
"Aug 08, 2019","120.95","120.26","121.27","120.10","1.01M","1.45%"
"Aug 07, 2019","119.22","118.18","119.65","117.79","1.72M","-0.23%"
"Aug 06, 2019","119.49","118.70","119.74","118.20","988.61K","1.26%"
"Aug 05, 2019","118.00","119.17","119.60","116.92","1.76M","-2.38%"
"Aug 02, 2019","120.88","121.28","121.88","119.91","1.43M","-0.70%"
"Aug 01, 2019","121.73","123.22","125.31","121.40","1.22M","-1.56%"
"Jul 31, 2019","123.66","126.18","126.23","122.47","1.98M","-2.32%"
"Jul 30, 2019","126.60","122.32","127.20","120.26","2.58M","3.58%"
"Jul 29, 2019","122.22","122.51","122.75","121.56","1.32M","-0.29%"
"Jul 26, 2019","122.58","122.65","122.98","121.73","1.52M","0.13%"
"Jul 25, 2019","122.42","124.20","124.20","122.29","1.34M","-1.35%"
"Jul 24, 2019","124.09","123.60","125.00","123.14","1.26M","-0.29%"
"Jul 23, 2019","124.45","124.46","124.60","122.54","1.51M","-0.06%"
"Jul 22, 2019","124.53","123.47","125.02","123.47","1.09M","-0.14%"
"Jul 19, 2019","124.70","125.72","126.17","124.44","1.32M","-0.44%"
"Jul 18, 2019","125.25","124.22","125.69","124.01","959.76K","0.06%"
"Jul 17, 2019","125.17","127.91","128.23","125.13","1.26M","-2.31%"
"Jul 16, 2019","128.13","127.39","128.31","126.83","1.24M","0.75%"
"Jul 15, 2019","127.17","127.08","127.74","126.83","913.96K","0.43%"
"Jul 12, 2019","126.62","125.16","126.81","125.08","1.49M","1.66%"
"Jul 11, 2019","124.55","124.58","124.75","123.26","1.43M","0.27%"
"Jul 10, 2019","124.21","125.00","125.49","123.84","1.40M","0.14%"
"Jul 09, 2019","124.04","124.37","124.76","123.60","1.52M","-1.05%"
"Jul 08, 2019","125.35","124.53","126.03","124.35","1.22M","0.43%"
"Jul 05, 2019","124.81","124.75","124.83","122.97","941.48K","-0.59%"
"Jul 03, 2019","125.55","125.24","126.20","124.06","1.42M","-0.17%"
"Jul 02, 2019","125.76","127.02","127.35","125.21","1.40M","-1.51%"
"Jul 01, 2019","127.69","127.63","128.00","126.20","930.38K","0.81%"
"Jun 28, 2019","126.67","124.48","126.91","124.48","2.96M","1.87%"
"Jun 27, 2019","124.35","124.67","125.69","124.28","1.05M","-0.13%"
"Jun 26, 2019","124.51","125.11","125.65","123.88","1.10M","-0.29%"
"Jun 25, 2019","124.87","125.50","126.03","124.77","1.08M","-0.57%"
"Jun 24, 2019","125.59","125.84","127.05","125.54","1.53M","0.34%"
"Jun 21, 2019","125.16","125.89","126.03","124.99","1.89M","-0.75%"
"Jun 20, 2019","126.11","124.96","126.56","124.28","1.30M","1.93%"
"Jun 19, 2019","123.72","123.31","124.05","122.54","1.01M","0.37%"
"Jun 18, 2019","123.26","123.63","124.40","122.96","1.49M","0.40%"
"Jun 17, 2019","122.77","124.86","124.93","122.68","1.08M","-1.53%"
"Jun 14, 2019","124.68","124.51","125.35","123.39","1.04M","0.27%"
"Jun 13, 2019","124.35","124.48","124.70","123.64","2.05M","0.30%"
"Jun 12, 2019","123.98","123.41","124.44","122.67","1.45M","0.53%"
"Jun 11, 2019","123.33","126.54","126.90","122.99","2.01M","-1.61%"
"Jun 10, 2019","125.35","125.94","127.08","125.26","988.72K","0.00%"
"Jun 07, 2019","125.35","125.57","125.95","124.49","883.12K","0.32%"
"Jun 06, 2019","124.95","123.99","125.01","122.87","1.02M","0.70%"
"Jun 05, 2019","124.08","123.93","124.99","123.39","1.23M","0.75%"
"Jun 04, 2019","123.16","121.61","123.23","121.09","1.34M","2.01%"
"Jun 03, 2019","120.73","118.79","121.14","118.79","1.57M","2.02%"
"May 31, 2019","118.34","118.60","119.26","118.15","1.35M","-1.13%"
"May 30, 2019","119.69","118.60","119.89","118.59","1.61M","1.20%"
"May 29, 2019","118.27","118.11","118.90","117.50","1.55M","-0.28%"
"May 28, 2019","118.60","120.19","120.58","118.59","2.04M","-1.32%"
"May 24, 2019","120.19","121.26","121.81","120.14","983.17K","-0.47%"
"May 23, 2019","120.76","121.46","121.48","120.13","1.43M","-1.25%"
"May 22, 2019","122.29","122.72","123.65","122.29","1.02M","-1.02%"
"May 21, 2019","123.55","122.23","123.77","121.96","1.36M","1.82%"
"May 20, 2019","121.34","120.27","121.42","119.70","1.02M","0.43%"
"May 17, 2019","120.82","120.59","122.17","120.51","755.06K","-0.89%"
"May 16, 2019","121.90","121.67","122.66","121.55","1.09M","0.48%"
"May 15, 2019","121.32","120.59","121.88","120.14","948.62K","0.08%"
"May 14, 2019","121.22","120.75","122.22","120.39","1.03M","0.66%"
"May 13, 2019","120.42","119.79","120.80","119.07","1.35M","-1.95%"
"May 10, 2019","122.81","120.94","123.42","119.95","1.27M","1.04%"
"May 09, 2019","121.54","120.00","121.73","119.57","1.43M","0.03%"
