"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","8.14","8.45","8.54","8.14","30.28M","-4.46%"
"May 14, 2020","8.52","8.10","8.55","7.84","58.17M","3.65%"
"May 13, 2020","8.22","8.26","8.30","7.97","44.27M","0.49%"
"May 12, 2020","8.18","8.41","8.49","8.16","36.76M","-2.85%"
"May 11, 2020","8.42","8.48","8.70","8.42","26.84M","-0.82%"
"May 08, 2020","8.49","8.49","8.72","8.44","33.49M","2.41%"
"May 07, 2020","8.29","8.80","8.83","8.24","54.77M","-4.71%"
"May 06, 2020","8.70","8.91","8.94","8.65","25.43M","-2.36%"
"May 05, 2020","8.91","8.80","9.08","8.73","39.24M","2.41%"
"May 04, 2020","8.70","8.70","8.74","8.63","23.89M","-3.33%"
"Apr 30, 2020","9.00","8.94","9.13","8.84","30.41M","-2.81%"
"Apr 29, 2020","9.26","9.46","9.53","9.12","30.04M","-0.22%"
"Apr 28, 2020","9.28","9.10","9.35","9.05","34.50M","7.04%"
"Apr 27, 2020","8.67","8.69","8.93","8.53","28.18M","3.21%"
"Apr 24, 2020","8.40","8.72","8.73","8.16","58.86M","-4.98%"
"Apr 23, 2020","8.84","9.04","9.09","8.75","32.18M","-1.34%"
"Apr 22, 2020","8.96","9.00","9.15","8.87","27.47M","-0.11%"
"Apr 20, 2020","8.97","8.96","9.10","8.90","20.41M","-1.86%"
"Apr 17, 2020","9.14","9.25","9.29","8.96","24.21M","1.33%"
"Apr 16, 2020","9.02","9.41","9.50","9.00","31.29M","-3.01%"
"Apr 15, 2020","9.30","9.42","9.59","9.30","25.22M","-3.13%"
"Apr 14, 2020","9.60","9.65","9.88","9.55","21.00M","1.16%"
"Apr 13, 2020","9.49","9.21","9.49","9.06","17.18M","2.71%"
"Apr 09, 2020","9.24","9.45","9.60","9.22","23.27M","-0.86%"
"Apr 08, 2020","9.32","9.03","9.46","8.94","30.24M","3.90%"
"Apr 07, 2020","8.97","9.09","9.32","8.97","42.68M","2.99%"
"Apr 06, 2020","8.71","8.52","8.83","8.50","27.09M","7.40%"
"Apr 03, 2020","8.11","8.30","8.30","7.91","29.05M","-3.11%"
"Apr 02, 2020","8.37","8.28","8.56","8.22","22.22M","1.33%"
"Apr 01, 2020","8.26","8.50","8.50","8.25","34.10M","-5.82%"
"Mar 31, 2020","8.77","8.81","8.99","8.61","46.54M","-0.57%"
"Mar 30, 2020","8.82","8.57","8.87","8.47","32.33M","3.76%"
"Mar 27, 2020","8.50","8.61","8.84","8.50","33.59M","-5.35%"
"Mar 26, 2020","8.98","8.66","9.11","8.66","41.69M","4.30%"
"Mar 25, 2020","8.61","8.06","8.93","8.01","49.20M","6.69%"
"Mar 24, 2020","8.07","8.06","8.41","7.94","43.79M","7.17%"
"Mar 23, 2020","7.53","8.40","8.45","7.44","50.58M","-9.39%"
"Mar 20, 2020","8.31","9.08","9.16","8.28","53.91M","-5.14%"
"Mar 19, 2020","8.76","8.80","9.09","8.31","61.68M","-3.42%"
"Mar 18, 2020","9.07","8.95","9.30","8.56","56.87M","-4.93%"
"Mar 17, 2020","9.54","9.36","10.00","9.07","59.25M","4.84%"
"Mar 16, 2020","9.10","9.15","9.79","9.10","51.19M","-10.78%"
"Mar 13, 2020","10.20","10.50","10.56","9.27","57.70M","10.03%"
"Mar 12, 2020","9.27","9.25","9.85","9.07","51.76M","-10.87%"
"Mar 11, 2020","10.40","10.89","11.00","9.87","44.53M","-5.97%"
"Mar 10, 2020","11.06","11.33","11.57","10.78","47.33M","2.12%"
"Mar 09, 2020","10.83","10.95","11.00","10.72","45.28M","-6.31%"
"Mar 06, 2020","11.56","11.55","11.74","11.42","34.47M","-2.28%"
"Mar 05, 2020","11.83","12.17","12.20","11.68","25.42M","-3.03%"
"Mar 04, 2020","12.20","12.28","12.29","12.02","17.43M","0.58%"
"Mar 03, 2020","12.13","12.24","12.39","11.93","31.98M","-1.46%"
"Mar 02, 2020","12.31","12.05","12.32","11.98","24.10M","2.67%"
"Feb 28, 2020","11.99","11.84","12.02","11.68","47.84M","1.18%"
"Feb 27, 2020","11.85","11.96","12.17","11.85","43.15M","-1.66%"
"Feb 26, 2020","12.05","12.24","12.36","11.98","41.89M","-5.78%"
"Feb 21, 2020","12.79","12.70","12.79","12.55","18.05M","0.00%"
"Feb 20, 2020","12.79","12.91","12.96","12.71","25.21M","-0.67%"
"Feb 19, 2020","12.87","12.73","13.00","12.69","41.16M","1.14%"
"Feb 18, 2020","12.73","12.55","12.73","12.43","78.58M","1.46%"
"Feb 17, 2020","12.54","12.64","12.71","12.54","10.28M","0.00%"
"Feb 14, 2020","12.54","12.69","12.71","12.54","13.36M","-1.29%"
"Feb 13, 2020","12.71","12.80","12.89","12.67","13.98M","-1.50%"
"Feb 12, 2020","12.90","12.85","13.04","12.79","29.50M","0.68%"
"Feb 11, 2020","12.81","12.76","12.92","12.63","29.30M","1.76%"
"Feb 10, 2020","12.59","12.40","12.70","12.30","21.22M","2.03%"
"Feb 07, 2020","12.34","12.35","12.51","12.29","19.69M","-0.23%"
"Feb 06, 2020","12.37","12.63","12.63","12.34","15.58M","-1.00%"
"Feb 05, 2020","12.50","12.59","12.73","12.47","25.39M","0.54%"
"Feb 04, 2020","12.43","12.55","12.59","12.41","13.07M","0.23%"
"Feb 03, 2020","12.40","12.43","12.52","12.36","13.92M","-0.08%"
"Jan 31, 2020","12.41","12.47","12.52","12.27","23.64M","-1.68%"
"Jan 30, 2020","12.62","12.44","12.62","12.33","18.97M","0.85%"
"Jan 29, 2020","12.52","12.72","12.72","12.50","18.62M","-1.07%"
"Jan 28, 2020","12.65","12.69","12.76","12.62","13.98M","0.38%"
"Jan 27, 2020","12.60","12.74","12.79","12.51","16.24M","-2.17%"
"Jan 24, 2020","12.88","13.12","13.12","12.84","10.97M","-1.48%"
"Jan 23, 2020","13.07","12.75","13.11","12.70","23.32M","1.96%"
"Jan 22, 2020","12.82","12.75","12.86","12.70","16.71M","1.45%"
"Jan 21, 2020","12.64","12.89","12.93","12.64","16.03M","-2.31%"
"Jan 20, 2020","12.94","13.11","13.15","12.83","15.07M","-1.40%"
"Jan 17, 2020","13.12","13.03","13.17","13.03","10.81M","0.82%"
"Jan 16, 2020","13.02","13.03","13.07","12.91","13.84M","0.22%"
"Jan 15, 2020","12.99","13.15","13.15","12.91","17.55M","-1.61%"
"Jan 14, 2020","13.20","13.05","13.20","12.90","17.34M","1.11%"
"Jan 13, 2020","13.06","13.00","13.11","12.92","23.04M","1.35%"
"Jan 10, 2020","12.88","13.03","13.18","12.81","25.07M","-0.67%"
"Jan 09, 2020","12.97","13.26","13.30","12.95","26.05M","-1.97%"
"Jan 08, 2020","13.23","13.46","13.56","13.20","19.39M","-1.51%"
"Jan 07, 2020","13.43","13.62","13.64","13.34","20.07M","-1.35%"
"Jan 06, 2020","13.62","13.62","13.71","13.52","20.27M","-0.21%"
"Jan 03, 2020","13.64","13.70","13.86","13.62","21.82M","-1.46%"
"Jan 02, 2020","13.85","13.64","13.88","13.58","18.28M","1.85%"
"Dec 30, 2019","13.60","13.63","13.74","13.52","12.43M","-0.28%"
"Dec 27, 2019","13.63","13.70","13.76","13.50","9.77M","-0.42%"
"Dec 26, 2019","13.69","13.44","13.69","13.42","10.13M","1.72%"
"Dec 23, 2019","13.46","13.40","13.46","13.35","10.37M","0.72%"
"Dec 20, 2019","13.36","13.49","13.49","13.35","23.65M","-0.93%"
"Dec 19, 2019","13.49","13.41","13.49","13.32","22.73M","0.07%"
"Dec 18, 2019","13.48","13.33","13.48","13.25","38.42M","1.01%"
"Dec 17, 2019","13.34","13.20","13.34","13.15","17.05M","1.92%"
"Dec 16, 2019","13.09","13.26","13.40","13.09","21.21M","-0.95%"
"Dec 13, 2019","13.22","13.20","13.22","13.02","21.54M","0.78%"
"Dec 12, 2019","13.12","13.20","13.29","13.12","23.15M","-0.15%"
"Dec 11, 2019","13.14","13.29","13.31","13.09","20.67M","-0.29%"
"Dec 10, 2019","13.18","13.19","13.31","13.06","16.68M","-0.15%"
"Dec 09, 2019","13.19","13.04","13.26","13.00","15.64M","1.63%"
"Dec 06, 2019","12.98","13.16","13.21","12.96","17.40M","-0.96%"
"Dec 05, 2019","13.11","13.18","13.31","13.10","13.89M","-0.44%"
"Dec 04, 2019","13.17","12.88","13.17","12.86","16.08M","2.40%"
"Dec 03, 2019","12.86","12.93","12.97","12.79","14.68M","-0.22%"
"Dec 02, 2019","12.89","12.84","12.94","12.82","13.36M","0.68%"
"Nov 29, 2019","12.80","12.80","12.87","12.67","15.13M","0.15%"
"Nov 28, 2019","12.78","12.68","12.81","12.59","11.82M","0.23%"
"Nov 27, 2019","12.75","12.64","12.84","12.55","15.07M","1.23%"
"Nov 26, 2019","12.60","12.91","12.91","12.54","37.67M","-2.39%"
"Nov 25, 2019","12.91","13.23","13.25","12.91","21.03M","-2.41%"
"Nov 22, 2019","13.22","13.03","13.22","13.00","15.06M","1.48%"
"Nov 21, 2019","13.03","12.92","13.06","12.91","16.95M","0.67%"
"Nov 19, 2019","12.94","13.14","13.18","12.88","17.42M","-1.32%"
"Nov 18, 2019","13.12","13.24","13.33","13.12","14.38M","-0.22%"
"Nov 14, 2019","13.15","13.03","13.18","12.94","12.36M","0.96%"
"Nov 13, 2019","13.02","13.18","13.21","12.91","22.17M","-1.68%"
"Nov 12, 2019","13.24","13.29","13.29","13.02","15.65M","-1.15%"
"Nov 11, 2019","13.40","13.26","13.40","13.18","15.58M","0.94%"
"Nov 08, 2019","13.27","13.41","13.45","13.17","16.99M","-1.29%"
"Nov 07, 2019","13.45","13.52","13.58","13.35","21.87M","-0.14%"
"Nov 06, 2019","13.46","13.57","13.74","13.43","18.94M","-0.78%"
"Nov 05, 2019","13.57","13.67","13.74","13.51","20.67M","1.22%"
"Nov 04, 2019","13.41","13.31","13.44","13.24","12.15M","1.02%"
"Nov 01, 2019","13.27","13.26","13.36","13.10","14.01M","0.36%"
"Oct 31, 2019","13.22","13.38","13.38","13.13","23.05M","-1.72%"
"Oct 30, 2019","13.45","13.26","13.49","13.11","16.99M","1.23%"
"Oct 29, 2019","13.29","13.38","13.41","13.28","14.18M","-0.93%"
"Oct 28, 2019","13.42","13.24","13.46","13.22","9.25M","0.87%"
"Oct 25, 2019","13.30","13.18","13.36","13.18","11.67M","1.03%"
"Oct 24, 2019","13.17","13.17","13.25","13.08","15.09M","-0.07%"
"Oct 23, 2019","13.18","13.06","13.24","12.97","21.80M","0.74%"
"Oct 22, 2019","13.08","12.79","13.08","12.77","23.18M","2.26%"
"Oct 21, 2019","12.79","12.61","12.79","12.55","11.54M","1.45%"
"Oct 18, 2019","12.61","12.64","12.68","12.56","11.75M","-0.61%"
"Oct 17, 2019","12.68","12.66","12.79","12.60","14.99M","-0.15%"
"Oct 16, 2019","12.70","12.44","12.72","12.28","18.25M","1.86%"
