"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","25.620","25.640","26.100","25.350","1.17M","0.00%"
"Oct 24, 2019","25.620","25.810","26.080","25.050","2.36M","-0.47%"
"Oct 23, 2019","25.740","25.990","26.040","25.430","1.32M","-1.27%"
"Oct 22, 2019","26.070","26.080","26.490","25.610","1.14M","0.58%"
"Oct 21, 2019","25.920","26.700","27.040","24.712","2.87M","-2.04%"
"Oct 18, 2019","26.460","27.030","27.290","26.280","1.51M","-1.89%"
"Oct 17, 2019","26.970","26.240","27.260","26.010","3.95M","3.65%"
"Oct 16, 2019","26.020","26.090","26.770","25.925","1.89M","-0.23%"
"Oct 15, 2019","26.080","24.970","26.260","24.910","9.10M","4.40%"
"Oct 14, 2019","24.980","24.200","25.030","23.780","1.28M","2.67%"
"Oct 11, 2019","24.330","24.040","24.840","23.573","8.47M","4.42%"
"Oct 10, 2019","23.300","23.250","23.630","23.040","700.06K","0.09%"
"Oct 09, 2019","23.280","23.740","24.020","22.970","1.16M","-1.90%"
"Oct 08, 2019","23.730","23.770","24.050","23.380","918.28K","-1.17%"
"Oct 07, 2019","24.010","23.610","24.330","23.480","608.93K","1.01%"
"Oct 04, 2019","23.770","23.430","23.800","23.000","598.50K","1.15%"
"Oct 03, 2019","23.500","22.880","23.880","22.730","1.22M","2.44%"
"Oct 02, 2019","22.940","22.440","22.950","21.910","1.09M","1.19%"
"Oct 01, 2019","22.670","22.720","23.200","22.500","1.07M","-0.57%"
"Sep 30, 2019","22.800","23.070","23.170","22.455","1.22M","-1.17%"
"Sep 27, 2019","23.070","24.250","24.470","22.850","1.73M","-4.71%"
"Sep 26, 2019","24.210","25.000","25.370","23.930","1.54M","-2.06%"
"Sep 25, 2019","24.720","23.470","24.890","23.275","2.49M","4.97%"
"Sep 24, 2019","23.550","23.750","24.060","23.090","1.40M","-1.05%"
"Sep 23, 2019","23.800","23.040","24.375","22.840","1.77M","2.54%"
"Sep 20, 2019","23.210","23.700","23.910","23.020","1.01M","-2.15%"
"Sep 19, 2019","23.720","24.140","24.290","23.250","1.38M","3.54%"
"Sep 18, 2019","22.910","23.190","23.545","22.580","1.53M","-1.84%"
"Sep 17, 2019","23.340","23.730","23.740","22.630","1.36M","-2.06%"
"Sep 16, 2019","23.830","23.000","24.060","22.940","2.15M","3.61%"
"Sep 13, 2019","23.000","22.890","23.292","22.760","825.08K","0.39%"
"Sep 12, 2019","22.910","22.670","23.210","22.300","2.29M","3.62%"
"Sep 11, 2019","22.110","21.060","22.300","20.800","1.75M","5.49%"
"Sep 10, 2019","20.960","21.010","21.400","20.730","1.77M","-0.19%"
"Sep 09, 2019","21.000","20.290","21.240","19.720","1.75M","3.81%"
"Sep 06, 2019","20.230","20.280","20.440","20.030","918.82K","0.40%"
"Sep 05, 2019","20.150","20.270","20.650","19.980","1.66M","0.70%"
"Sep 04, 2019","20.010","19.500","20.259","19.500","1.62M","3.20%"
"Sep 03, 2019","19.390","17.980","19.600","17.370","5.05M","-6.24%"
"Aug 30, 2019","20.680","21.500","21.500","20.545","1.66M","-2.91%"
"Aug 29, 2019","21.300","20.490","21.320","20.100","1.64M","5.97%"
"Aug 28, 2019","20.100","19.380","20.240","19.340","1.19M","3.34%"
"Aug 27, 2019","19.450","18.800","19.480","18.730","841.74K","3.79%"
"Aug 26, 2019","18.740","18.570","18.780","18.110","1.14M","1.85%"
"Aug 23, 2019","18.400","19.280","19.500","18.360","1.20M","-4.86%"
"Aug 22, 2019","19.340","19.360","19.690","18.820","863.14K","0.26%"
"Aug 21, 2019","19.290","19.020","19.420","18.970","1.04M","2.28%"
"Aug 20, 2019","18.860","18.750","19.310","18.710","780.31K","0.21%"
"Aug 19, 2019","18.820","18.920","19.020","18.370","1.07M","1.29%"
"Aug 16, 2019","18.580","19.080","19.320","18.210","2.20M","-1.95%"
"Aug 15, 2019","18.950","19.180","19.440","18.740","1.50M","-1.56%"
"Aug 14, 2019","19.250","20.340","20.340","19.190","1.68M","-6.82%"
"Aug 13, 2019","20.660","20.380","21.210","20.280","785.24K","0.44%"
"Aug 12, 2019","20.570","20.470","20.750","20.200","631.30K","-1.06%"
"Aug 09, 2019","20.790","20.810","21.000","20.430","880.85K","-0.62%"
"Aug 08, 2019","20.920","21.000","21.135","20.760","626.99K","0.48%"
"Aug 07, 2019","20.820","20.610","20.910","20.160","892.80K","-0.67%"
"Aug 06, 2019","20.960","20.960","21.160","20.520","1.50M","0.82%"
"Aug 05, 2019","20.790","21.650","21.650","20.440","1.54M","-6.60%"
"Aug 02, 2019","22.260","21.800","22.400","21.460","1.08M","1.27%"
"Aug 01, 2019","21.980","22.720","22.945","21.870","1.21M","-2.92%"
"Jul 31, 2019","22.640","22.100","22.990","22.090","1.77M","3.57%"
"Jul 30, 2019","21.860","21.300","22.750","21.000","1.93M","-0.23%"
"Jul 29, 2019","21.910","21.840","22.190","21.240","2.44M","0.92%"
"Jul 26, 2019","21.710","21.000","21.820","21.000","1.65M","4.02%"
"Jul 25, 2019","20.870","21.510","21.545","20.780","958.58K","-3.07%"
"Jul 24, 2019","21.530","21.210","21.550","21.150","926.54K","1.08%"
"Jul 23, 2019","21.300","21.300","21.750","21.000","1.36M","0.80%"
"Jul 22, 2019","21.130","20.950","21.430","20.590","1.32M","0.86%"
"Jul 19, 2019","20.950","21.170","21.440","20.820","1.41M","-0.80%"
