"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2020","23.33","23.80","23.89","22.75","27.43M","-4.58%"
"May 14, 2020","24.45","25.37","25.56","23.97","21.61M","-3.17%"
"May 13, 2020","25.25","24.10","25.46","23.95","23.02M","6.36%"
"May 12, 2020","23.74","23.33","24.20","22.71","22.15M","2.50%"
"May 11, 2020","23.16","23.46","24.22","22.93","26.16M","-1.24%"
"May 08, 2020","23.45","24.72","24.97","23.45","21.92M","-3.85%"
"May 07, 2020","24.39","23.50","24.52","23.19","25.22M","5.68%"
"May 06, 2020","23.08","22.89","23.65","22.43","13.88M","1.41%"
"May 05, 2020","22.76","23.10","23.38","22.52","11.06M","-0.04%"
"May 04, 2020","22.77","23.04","23.53","22.32","14.85M","-4.49%"
"Apr 30, 2020","23.84","23.80","24.07","23.15","18.06M","-0.67%"
"Apr 29, 2020","24.00","23.96","24.36","23.25","15.55M","2.65%"
"Apr 28, 2020","23.38","23.55","23.92","22.92","26.77M","2.31%"
"Apr 27, 2020","22.85","21.36","22.97","21.15","25.99M","8.54%"
"Apr 24, 2020","21.05","20.93","21.41","19.85","27.74M","-1.19%"
"Apr 23, 2020","21.31","21.50","21.78","20.53","17.00M","0.00%"
"Apr 22, 2020","21.31","21.01","21.43","20.64","12.13M","2.11%"
"Apr 20, 2020","20.87","20.43","21.06","19.94","14.60M","0.19%"
"Apr 17, 2020","20.83","20.72","20.97","20.45","13.49M","2.40%"
"Apr 16, 2020","20.34","20.53","20.64","19.85","13.19M","0.24%"
"Apr 15, 2020","20.29","19.25","20.38","19.15","20.97M","3.28%"
"Apr 14, 2020","19.65","19.60","19.79","19.45","14.36M","1.72%"
"Apr 13, 2020","19.31","18.54","19.48","18.33","19.15M","4.00%"
"Apr 09, 2020","18.57","19.16","19.40","18.57","24.79M","-1.86%"
"Apr 08, 2020","18.92","19.65","19.91","18.63","23.32M","-2.47%"
"Apr 07, 2020","19.40","21.80","22.15","19.40","24.15M","-5.88%"
"Apr 06, 2020","20.61","20.72","21.57","20.37","15.50M","3.38%"
"Apr 03, 2020","19.94","20.72","20.82","18.46","20.22M","-2.39%"
"Apr 02, 2020","20.43","21.49","21.50","20.43","16.67M","-4.00%"
"Apr 01, 2020","21.28","18.74","21.71","18.60","22.95M","7.03%"
"Mar 31, 2020","19.88","20.71","20.99","19.88","21.40M","-5.70%"
"Mar 30, 2020","21.08","20.33","21.70","20.15","15.89M","0.92%"
"Mar 27, 2020","20.89","21.00","22.26","20.43","16.44M","-4.48%"
"Mar 26, 2020","21.87","23.10","24.66","20.92","30.92M","-0.82%"
"Mar 25, 2020","22.05","21.10","23.65","20.41","21.43M","3.91%"
"Mar 24, 2020","21.22","21.20","22.06","20.55","20.93M","9.72%"
"Mar 23, 2020","19.34","19.40","19.69","18.30","25.24M","0.83%"
"Mar 20, 2020","19.18","21.65","22.44","18.48","30.50M","-4.10%"
"Mar 19, 2020","20.00","16.50","20.88","15.29","37.12M","18.69%"
"Mar 18, 2020","16.85","17.46","17.76","16.00","36.32M","-9.55%"
"Mar 17, 2020","18.63","18.30","21.00","18.03","35.55M","4.14%"
"Mar 16, 2020","17.89","16.75","19.06","16.04","28.40M","-14.28%"
"Mar 13, 2020","20.87","19.50","21.05","17.53","38.24M","24.60%"
"Mar 12, 2020","16.75","14.50","18.96","13.65","23.18M","-11.75%"
"Mar 11, 2020","18.98","19.75","20.34","17.38","23.10M","-8.57%"
"Mar 10, 2020","20.76","19.50","20.92","18.69","22.41M","15.33%"
