"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","31.16","30.54","31.24","30.26","16.64M","1.43%"
"Oct 24, 2019","30.72","31.00","31.17","30.59","9.57M","-0.13%"
"Oct 23, 2019","30.76","30.31","30.90","30.25","5.74M","1.62%"
"Oct 22, 2019","30.27","31.00","31.24","30.12","8.93M","-2.45%"
"Oct 21, 2019","31.03","30.31","31.08","30.26","9.04M","3.68%"
"Oct 18, 2019","29.93","30.77","30.84","29.74","9.02M","-2.64%"
"Oct 17, 2019","30.74","31.29","31.44","30.61","6.55M","-1.60%"
"Oct 16, 2019","31.24","30.83","31.45","30.83","9.82M","0.77%"
"Oct 15, 2019","31.00","29.99","31.07","29.96","10.36M","3.92%"
"Oct 14, 2019","29.83","29.50","29.91","29.50","6.06M","0.40%"
"Oct 11, 2019","29.71","29.45","30.32","29.45","17.45M","3.95%"
"Oct 10, 2019","28.58","28.32","28.95","28.20","8.21M","0.70%"
"Oct 09, 2019","28.38","28.28","28.60","27.96","8.45M","2.34%"
"Oct 08, 2019","27.73","28.19","28.61","27.72","11.74M","-3.88%"
"Oct 07, 2019","28.85","28.84","29.40","28.60","9.09M","-0.48%"
"Oct 04, 2019","28.99","28.88","29.19","28.65","7.43M","0.66%"
"Oct 03, 2019","28.80","28.11","28.97","27.82","8.77M","2.64%"
"Oct 02, 2019","28.06","28.00","28.22","27.53","9.53M","-0.46%"
"Oct 01, 2019","28.19","28.22","28.57","27.97","10.64M","-0.07%"
"Sep 30, 2019","28.21","28.47","28.64","27.95","13.15M","1.40%"
"Sep 27, 2019","27.82","29.71","30.01","27.47","28.13M","-5.95%"
"Sep 26, 2019","29.58","29.98","30.25","29.11","11.15M","-1.37%"
"Sep 25, 2019","29.99","29.15","30.06","29.00","13.04M","1.97%"
"Sep 24, 2019","29.41","30.48","30.48","29.29","16.54M","-3.03%"
"Sep 23, 2019","30.33","31.36","31.47","30.29","9.70M","-1.97%"
"Sep 20, 2019","30.94","31.45","31.69","30.50","14.10M","-0.35%"
"Sep 19, 2019","31.05","31.00","32.00","30.91","12.77M","0.03%"
"Sep 18, 2019","31.04","31.10","31.18","30.66","5.23M","-0.42%"
"Sep 17, 2019","31.17","30.74","31.30","30.52","6.02M","1.04%"
"Sep 16, 2019","30.85","30.74","31.03","30.73","5.45M","-1.22%"
"Sep 13, 2019","31.23","31.66","31.79","31.13","7.03M","-0.92%"
"Sep 12, 2019","31.52","31.54","31.99","31.20","11.85M","1.45%"
"Sep 11, 2019","31.07","31.20","31.72","30.64","12.26M","0.65%"
"Sep 10, 2019","30.87","31.20","31.24","30.13","11.06M","-1.94%"
"Sep 09, 2019","31.48","31.12","31.57","30.89","7.54M","1.29%"
"Sep 06, 2019","31.08","30.89","31.40","30.76","6.44M","0.78%"
"Sep 05, 2019","30.84","30.32","31.08","30.25","11.76M","3.21%"
"Sep 04, 2019","29.88","30.27","30.29","29.84","6.57M","1.46%"
"Sep 03, 2019","29.45","30.10","30.20","29.40","7.64M","-3.44%"
"Aug 30, 2019","30.50","30.91","31.43","30.36","10.09M","-0.78%"
"Aug 29, 2019","30.74","30.69","31.24","30.64","9.61M","1.45%"
"Aug 28, 2019","30.30","29.70","30.49","29.63","6.63M","1.27%"
"Aug 27, 2019","29.92","30.00","30.30","29.73","7.96M","0.61%"
"Aug 26, 2019","29.74","29.18","29.82","29.08","12.50M","3.37%"
"Aug 23, 2019","28.77","28.90","29.67","28.55","22.04M","-2.44%"
"Aug 22, 2019","29.49","30.57","30.71","29.21","19.84M","-4.07%"
"Aug 21, 2019","30.74","31.67","31.80","30.70","16.91M","-2.16%"
"Aug 20, 2019","31.42","31.49","31.82","31.37","11.92M","-0.51%"
"Aug 19, 2019","31.58","31.92","32.28","31.41","15.40M","0.93%"
"Aug 16, 2019","31.29","30.50","31.45","30.08","19.52M","3.75%"
"Aug 15, 2019","30.16","30.16","30.79","30.08","18.15M","1.79%"
"Aug 14, 2019","29.63","29.70","30.70","29.55","30.02M","-3.36%"
"Aug 13, 2019","30.66","28.64","30.98","28.15","46.37M","12.89%"
"Aug 12, 2019","27.16","26.80","27.36","26.53","20.67M","0.22%"
"Aug 09, 2019","27.10","27.31","27.41","26.82","8.96M","-1.60%"
"Aug 08, 2019","27.54","27.04","27.64","26.84","11.65M","3.65%"
"Aug 07, 2019","26.57","26.12","26.77","25.84","12.52M","0.34%"
"Aug 06, 2019","26.48","26.91","27.01","26.29","11.75M","1.18%"
"Aug 05, 2019","26.17","26.65","26.91","25.77","23.68M","-6.57%"
"Aug 02, 2019","28.01","28.18","28.34","27.65","14.06M","-2.10%"
"Aug 01, 2019","28.61","29.91","30.59","27.64","23.03M","-4.35%"
"Jul 31, 2019","29.91","30.49","30.50","29.35","11.91M","-1.68%"
"Jul 30, 2019","30.42","30.85","30.99","30.38","8.44M","-3.09%"
"Jul 29, 2019","31.39","31.45","31.45","30.78","10.33M","-0.51%"
"Jul 26, 2019","31.55","31.93","32.01","31.52","5.59M","-0.88%"
"Jul 25, 2019","31.83","32.04","32.38","31.68","7.40M","-1.15%"
"Jul 24, 2019","32.20","31.74","32.33","31.60","11.97M","1.10%"
"Jul 23, 2019","31.85","30.90","31.92","30.84","11.16M","3.88%"
"Jul 22, 2019","30.66","30.91","30.95","30.48","6.68M","-1.06%"
