"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","3.78","3.80","3.80","3.66","2.88M","4.13%"
"May 15, 2020","3.63","3.75","3.79","3.59","6.57M","-1.36%"
"May 14, 2020","3.68","3.37","3.68","3.26","6.57M","6.05%"
"May 13, 2020","3.47","3.55","3.59","3.30","6.31M","-0.86%"
"May 12, 2020","3.50","3.56","3.76","3.46","5.15M","-1.69%"
"May 11, 2020","3.56","3.73","3.78","3.54","6.52M","-4.56%"
"May 08, 2020","3.73","3.93","3.94","3.65","6.44M","-2.61%"
"May 07, 2020","3.83","4.14","4.15","3.83","5.46M","-4.96%"
"May 06, 2020","4.03","4.03","4.08","3.81","10.10M","1.26%"
"May 05, 2020","3.98","4.14","4.22","3.91","7.63M","-1.00%"
"May 04, 2020","4.02","3.98","4.23","3.87","7.83M","-3.37%"
"Apr 30, 2020","4.16","4.30","4.43","4.16","6.28M","-5.24%"
"Apr 29, 2020","4.39","4.54","4.58","4.31","6.96M","-0.68%"
"Apr 28, 2020","4.42","4.25","4.56","4.16","8.80M","8.87%"
"Apr 27, 2020","4.06","4.17","4.19","3.86","7.78M","2.78%"
"Apr 24, 2020","3.95","4.26","4.34","3.62","14.24M","-9.20%"
"Apr 23, 2020","4.35","4.58","4.79","4.17","15.13M","-0.91%"
"Apr 22, 2020","4.39","3.83","4.45","3.82","13.92M","16.45%"
"Apr 20, 2020","3.77","3.66","3.88","3.55","6.93M","2.45%"
"Apr 17, 2020","3.68","3.83","3.83","3.64","5.61M","-0.54%"
"Apr 16, 2020","3.70","3.80","3.88","3.63","6.41M","-0.27%"
"Apr 15, 2020","3.71","3.59","3.83","3.56","5.15M","0.00%"
"Apr 14, 2020","3.71","3.80","3.88","3.71","5.78M","0.27%"
"Apr 13, 2020","3.70","3.60","3.76","3.52","5.53M","1.65%"
"Apr 09, 2020","3.64","3.76","3.94","3.54","8.18M","-2.15%"
"Apr 08, 2020","3.72","3.40","3.73","3.36","6.15M","8.45%"
"Apr 07, 2020","3.43","3.40","3.60","3.35","8.91M","8.89%"
"Apr 06, 2020","3.15","3.28","3.44","3.05","8.29M","4.65%"
"Apr 03, 2020","3.01","3.05","3.08","2.78","8.45M","-0.66%"
"Apr 02, 2020","3.03","3.30","3.32","2.98","9.18M","-5.61%"
"Apr 01, 2020","3.21","3.30","3.40","3.09","6.69M","-8.29%"
"Mar 31, 2020","3.50","3.84","3.89","3.46","5.77M","-7.89%"
"Mar 30, 2020","3.80","4.18","4.25","3.78","5.66M","-5.94%"
"Mar 27, 2020","4.04","3.80","4.26","3.70","5.25M","-2.18%"
"Mar 26, 2020","4.13","3.85","4.28","3.79","5.82M","5.90%"
"Mar 25, 2020","3.90","3.56","4.17","3.52","9.59M","9.55%"
"Mar 24, 2020","3.56","3.66","3.84","3.52","6.68M","9.20%"
"Mar 23, 2020","3.26","3.49","3.58","3.11","7.66M","-6.59%"
"Mar 20, 2020","3.49","4.22","4.48","3.49","14.32M","-9.82%"
"Mar 19, 2020","3.87","3.11","4.00","2.95","8.28M","13.49%"
"Mar 18, 2020","3.41","3.78","3.86","3.13","9.57M","-16.42%"
"Mar 17, 2020","4.08","4.45","4.50","4.01","7.99M","-5.99%"
"Mar 16, 2020","4.34","4.30","4.70","4.02","6.70M","-13.37%"
"Mar 13, 2020","5.01","5.33","5.34","4.47","11.01M","5.47%"
"Mar 12, 2020","4.75","4.86","5.17","4.22","6.32M","-14.26%"
"Mar 11, 2020","5.54","5.47","5.89","5.02","9.10M","-2.46%"
"Mar 10, 2020","5.68","5.65","5.85","5.19","16.02M","13.83%"
"Mar 09, 2020","4.99","5.03","5.54","4.99","10.04M","-16.42%"
"Mar 06, 2020","5.97","6.01","6.25","5.87","9.86M","-7.73%"
"Mar 05, 2020","6.47","6.73","6.75","6.22","6.76M","-4.85%"
"Mar 04, 2020","6.80","7.10","7.12","6.77","6.77M","-0.73%"
"Mar 03, 2020","6.85","6.91","7.30","6.77","7.53M","-0.72%"
"Mar 02, 2020","6.90","7.10","7.18","6.71","9.74M","-1.57%"
"Feb 28, 2020","7.01","6.65","7.01","6.34","12.88M","3.09%"
"Feb 27, 2020","6.80","6.90","7.20","6.65","12.16M","-4.36%"
"Feb 26, 2020","7.11","7.37","7.49","6.92","10.73M","-10.45%"
"Feb 21, 2020","7.94","7.75","8.05","7.61","9.71M","1.02%"
"Feb 20, 2020","7.86","8.05","8.09","7.68","5.73M","-2.00%"
"Feb 19, 2020","8.02","8.14","8.19","8.00","4.71M","-0.62%"
"Feb 18, 2020","8.07","8.00","8.15","7.86","6.73M","0.00%"
"Feb 17, 2020","8.07","8.15","8.26","8.00","4.57M","-0.49%"
"Feb 14, 2020","8.11","8.29","8.37","8.06","11.88M","3.05%"
"Feb 13, 2020","7.87","7.60","8.00","7.46","9.05M","1.16%"
"Feb 12, 2020","7.78","7.91","7.95","7.61","6.46M","0.13%"
"Feb 11, 2020","7.77","7.30","7.85","7.08","10.68M","7.92%"
"Feb 10, 2020","7.20","7.57","7.58","7.05","7.32M","-5.51%"
"Feb 07, 2020","7.62","7.80","7.86","7.52","6.41M","-4.15%"
"Feb 06, 2020","7.95","8.15","8.20","7.86","3.41M","-1.97%"
"Feb 05, 2020","8.11","8.16","8.28","8.05","3.08M","0.12%"
"Feb 04, 2020","8.10","8.30","8.35","8.10","3.08M","0.37%"
"Feb 03, 2020","8.07","7.85","8.20","7.81","4.75M","2.54%"
"Jan 31, 2020","7.87","8.18","8.42","7.87","7.75M","-4.84%"
"Jan 30, 2020","8.27","8.10","8.31","7.86","7.75M","-1.43%"
"Jan 29, 2020","8.39","8.40","8.69","8.14","5.23M","1.70%"
"Jan 28, 2020","8.25","8.35","8.43","7.97","9.34M","0.61%"
"Jan 27, 2020","8.20","8.63","8.64","8.20","7.18M","-7.13%"
"Jan 24, 2020","8.83","9.03","9.05","8.81","5.54M","-1.34%"
"Jan 23, 2020","8.95","8.50","8.95","8.37","6.91M","4.31%"
"Jan 22, 2020","8.58","8.75","8.79","8.43","4.69M","-0.92%"
"Jan 21, 2020","8.66","8.74","8.75","8.55","3.30M","-1.03%"
"Jan 20, 2020","8.75","8.68","8.75","8.56","3.11M","1.27%"
"Jan 17, 2020","8.64","8.62","8.68","8.26","6.12M","0.47%"
"Jan 16, 2020","8.60","8.80","8.89","8.52","6.20M","-1.71%"
"Jan 15, 2020","8.75","8.65","8.75","8.52","3.53M","1.63%"
"Jan 14, 2020","8.61","8.35","8.64","8.28","4.63M","2.50%"
"Jan 13, 2020","8.40","8.16","8.46","8.11","7.49M","2.94%"
"Jan 10, 2020","8.16","8.22","8.29","8.03","6.31M","0.37%"
"Jan 09, 2020","8.13","8.13","8.25","8.05","4.50M","0.37%"
"Jan 08, 2020","8.10","8.23","8.23","7.97","4.03M","-1.58%"
"Jan 07, 2020","8.23","8.21","8.26","8.08","4.17M","0.86%"
"Jan 06, 2020","8.16","8.10","8.30","7.82","8.22M","0.49%"
"Jan 03, 2020","8.12","7.44","8.20","7.35","15.33M","6.84%"
