"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 16, 2019","30.3500","30.3100","30.3900","30.0500","4.00K","-0.62%"
"Oct 15, 2019","30.5400","30.5000","30.6000","30.2500","113.60K","0.13%"
"Oct 14, 2019","30.5000","30.4600","30.5500","30.1400","118.40K","0.00%"
"Oct 11, 2019","30.5000","30.2600","30.5000","29.7400","216.00K","0.86%"
"Oct 10, 2019","30.2400","29.8000","30.2400","29.0800","125.70K","2.44%"
"Oct 09, 2019","29.5200","30.1300","30.4300","29.5200","75.70K","-2.02%"
"Oct 08, 2019","30.1300","30.0500","30.3100","29.8100","127.70K","0.00%"
"Oct 07, 2019","30.1300","30.2200","30.2200","29.8800","97.30K","-0.36%"
"Oct 04, 2019","30.2400","30.1500","30.2800","30.0300","376.20K","0.30%"
"Oct 03, 2019","30.1500","30.5400","30.5400","30.0000","234.20K","-0.36%"
"Oct 02, 2019","30.2600","30.6900","30.6900","29.9000","186.50K","-1.43%"
"Oct 01, 2019","30.7000","31.1000","31.2000","30.4000","113.00K","-1.60%"
"Sep 30, 2019","31.2000","30.7000","31.2000","30.6000","131.80K","1.00%"
"Sep 27, 2019","30.8900","30.1300","30.8900","29.9100","82.70K","2.52%"
"Sep 26, 2019","30.1300","29.8800","30.2000","29.8600","262.60K","1.11%"
"Sep 25, 2019","29.8000","30.2800","30.2800","29.6400","228.50K","-1.62%"
"Sep 24, 2019","30.2900","30.2000","30.3900","30.1200","96.20K","0.56%"
"Sep 23, 2019","30.1200","30.9200","30.9200","30.0900","170.80K","-2.40%"
"Sep 20, 2019","30.8600","30.4800","30.8600","30.1500","141.40K","1.85%"
"Sep 19, 2019","30.3000","29.4900","30.5000","29.4900","272.10K","3.06%"
"Sep 18, 2019","29.4000","29.2000","29.4700","29.0700","447.30K","0.68%"
"Sep 17, 2019","29.2000","29.0700","29.2500","28.9000","956.00K","0.65%"
"Sep 16, 2019","29.0100","29.7400","30.1000","29.0100","246.60K","-3.30%"
"Sep 13, 2019","30.0000","29.9000","30.0000","29.4900","100.60K","0.40%"
"Sep 12, 2019","29.8800","30.2800","30.3000","29.8200","162.50K","-0.70%"
"Sep 11, 2019","30.0900","29.5200","30.2500","29.5200","229.30K","2.00%"
"Sep 10, 2019","29.5000","29.6700","29.6700","29.0900","186.60K","-0.57%"
"Sep 09, 2019","29.6700","30.3700","30.3800","29.3700","209.40K","-2.34%"
"Sep 06, 2019","30.3800","30.2400","30.3800","29.8200","106.90K","1.00%"
"Sep 05, 2019","30.0800","30.1600","30.4300","29.9100","125.50K","0.17%"
"Sep 04, 2019","30.0300","30.2900","30.4500","29.9200","111.30K","0.13%"
"Sep 03, 2019","29.9900","30.5000","30.5900","29.8000","183.70K","-1.64%"
"Sep 02, 2019","30.4900","30.6600","30.6600","30.2900","145.20K","-0.49%"
"Aug 30, 2019","30.6400","30.6300","30.6800","30.2900","202.10K","1.12%"
"Aug 29, 2019","30.3000","30.7400","30.7500","30.2200","179.70K","-0.62%"
"Aug 28, 2019","30.4900","30.0000","30.6000","29.8300","160.40K","0.63%"
"Aug 27, 2019","30.3000","30.0100","30.3900","29.6700","141.20K","1.00%"
"Aug 26, 2019","30.0000","30.8900","30.8900","29.6400","266.20K","-2.91%"
"Aug 23, 2019","30.9000","30.5800","30.9000","29.5200","127.10K","0.88%"
"Aug 22, 2019","30.6300","31.1300","31.1400","30.6300","65.70K","-0.87%"
"Aug 21, 2019","30.9000","31.0000","31.1700","30.7400","484.20K","0.32%"
