"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 24, 2019","0.0003","0.0002","0.0003","0.0002","11.85M","0.00%"
"Oct 23, 2019","0.0003","0.0002","0.0003","0.0002","5.69M","0.00%"
"Oct 22, 2019","0.0003","0.0002","0.0003","0.0002","2.56M","0.00%"
"Oct 21, 2019","0.0003","0.0002","0.0003","0.0002","10.12M","50.00%"
"Oct 18, 2019","0.0002","0.0003","0.0003","0.0002","340.01K","0.00%"
"Oct 17, 2019","0.0002","0.0003","0.0003","0.0002","8.69M","-33.33%"
"Oct 16, 2019","0.0003","0.0002","0.0003","0.0002","8.06M","50.00%"
"Oct 15, 2019","0.0002","0.0003","0.0003","0.0002","8.09M","0.00%"
"Oct 14, 2019","0.0002","0.0003","0.0003","0.0002","420.00K","0.00%"
"Oct 11, 2019","0.0002","0.0003","0.0003","0.0002","27.19M","0.00%"
"Oct 10, 2019","0.0002","0.0003","0.0003","0.0002","4.23M","-33.33%"
"Oct 09, 2019","0.0003","0.0002","0.0003","0.0002","3.39M","0.00%"
"Oct 08, 2019","0.0003","0.0002","0.0003","0.0002","17.72M","50.00%"
"Oct 07, 2019","0.0002","0.0003","0.0004","0.0002","170.77M","-33.33%"
"Oct 04, 2019","0.0003","0.0004","0.0004","0.0003","45.26M","-25.00%"
"Oct 03, 2019","0.0004","0.0002","0.0005","0.0002","1.38B","100.00%"
"Oct 02, 2019","0.0002","0.0001","0.0002","0.0001","600.00K","100.00%"
"Oct 01, 2019","0.0001","0.0001","0.0001","0.0001","-","-50.00%"
"Sep 30, 2019","0.0002","0.0002","0.0002","0.0002","-","0.00%"
"Sep 26, 2019","0.0002","0.0001","0.0002","0.0001","15.51M","0.00%"
"Sep 25, 2019","0.0002","0.0001","0.0002","0.0001","96.95M","0.00%"
"Sep 18, 2019","0.0002","0.0001","0.0002","0.0001","1.23M","100.00%"
"Sep 17, 2019","0.0001","0.0001","0.0001","0.0001","-","-50.00%"
"Sep 16, 2019","0.0002","0.0001","0.0002","0.0001","1.03M","0.00%"
"Sep 13, 2019","0.0002","0.0002","0.0002","0.0002","-","100.00%"
"Sep 12, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Sep 11, 2019","0.0001","0.0002","0.0002","0.0001","3.20M","-50.00%"
"Sep 10, 2019","0.0002","0.0001","0.0002","0.0001","850.53K","100.00%"
"Sep 06, 2019","0.0001","0.0001","0.0001","0.0001","-","-50.00%"
"Sep 03, 2019","0.0002","0.0002","0.0002","0.0002","-","0.00%"
"Aug 30, 2019","0.0002","0.0002","0.0002","0.0002","-","100.00%"
"Aug 29, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Aug 28, 2019","0.0001","0.0002","0.0002","0.0001","2.00K","-50.00%"
"Aug 27, 2019","0.0002","0.0001","0.0002","0.0001","8.15M","0.00%"
"Aug 26, 2019","0.0002","0.0002","0.0002","0.0002","-","100.00%"
"Aug 23, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Aug 19, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Aug 16, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Aug 15, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Aug 14, 2019","0.0001","0.0001","0.0001","0.0001","-","-50.00%"
"Aug 12, 2019","0.0002","0.0001","0.0002","0.0001","1.90M","100.00%"
"Aug 09, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Aug 08, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Aug 07, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Aug 05, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Aug 02, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Jul 30, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Jul 29, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Jul 26, 2019","0.0001","0.0002","0.0002","0.0001","7.08M","0.00%"
"Jul 25, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Jul 23, 2019","0.0001","0.0001","0.0001","0.0001","-","0.00%"
"Jul 19, 2019","0.0001","0.0001","0.0001","0.0001","-","-50.00%"
"Jul 18, 2019","0.0002","0.0001","0.0002","0.0001","2.03M","100.00%"
"Jul 17, 2019","0.0001","0.0001","0.0001","0.0001","-","-50.00%"
"Jul 16, 2019","0.0002","0.0001","0.0002","0.0001","874.77K","0.00%"
"Jul 12, 2019","0.0002","0.0002","0.0002","0.0002","-","0.00%"
"Jul 11, 2019","0.0002","0.0002","0.0002","0.0002","-","0.00%"
"Jul 10, 2019","0.0002","0.0001","0.0002","0.0001","1.00M","0.00%"
"Jul 08, 2019","0.0002","0.0001","0.0002","0.0001","1.00M","0.00%"
"Jul 05, 2019","0.0002","0.0002","0.0002","0.0002","-","100.00%"
"Jul 03, 2019","0.0001","0.0002","0.0002","0.0001","92.97M","-50.00%"
"Jul 02, 2019","0.0002","0.0002","0.0002","0.0002","-","100.00%"
"Jul 01, 2019","0.0001","0.0002","0.0002","0.0001","5.44M","0.00%"
"Jun 27, 2019","0.0001","0.0002","0.0002","0.0001","25.00M","-66.67%"
"Jun 26, 2019","0.0003","0.0002","0.0003","0.0002","18.03M","0.00%"
"Jun 25, 2019","0.0003","0.0002","0.0003","0.0002","1.65M","0.00%"
"Jun 24, 2019","0.0003","0.0002","0.0003","0.0002","30.75M","0.00%"
"Jun 21, 2019","0.0003","0.0002","0.0003","0.0002","100.80K","0.00%"
"Jun 20, 2019","0.0003","0.0002","0.0003","0.0001","60.44M","0.00%"
"Jun 19, 2019","0.0003","0.0002","0.0003","0.0001","18.33M","50.00%"
"Jun 17, 2019","0.0002","0.0002","0.0002","0.0002","-","0.00%"
"Jun 14, 2019","0.0002","0.0003","0.0003","0.0002","5.95M","0.00%"
"Jun 13, 2019","0.0002","0.0002","0.0002","0.0002","-","0.00%"
"Jun 12, 2019","0.0002","0.0002","0.0002","0.0002","-","0.00%"
"Jun 11, 2019","0.0002","0.0003","0.0003","0.0001","51.66M","-33.33%"
"Jun 10, 2019","0.0003","0.0002","0.0003","0.0002","7.56M","0.00%"
"Jun 07, 2019","0.0003","0.0002","0.0003","0.0002","685.47K","50.00%"
"Jun 06, 2019","0.0002","0.0003","0.0003","0.0002","432.64K","0.00%"
"Jun 05, 2019","0.0002","0.0003","0.0003","0.0002","4.00M","-33.33%"
"Jun 04, 2019","0.0003","0.0002","0.0003","0.0002","10.09M","0.00%"
"Jun 03, 2019","0.0003","0.0002","0.0003","0.0002","28.25M","0.00%"
"May 31, 2019","0.0003","0.0002","0.0003","0.0002","891.00K","0.00%"
"May 30, 2019","0.0003","0.0002","0.0003","0.0002","2.57M","0.00%"
"May 29, 2019","0.0003","0.0002","0.0003","0.0002","2.65M","0.00%"
"May 28, 2019","0.0003","0.0002","0.0003","0.0002","5.77M","0.00%"
"May 24, 2019","0.0003","0.0002","0.0003","0.0002","2.44M","50.00%"
"May 23, 2019","0.0002","0.0002","0.0002","0.0002","-","0.00%"
"May 22, 2019","0.0002","0.0002","0.0002","0.0002","-","-33.33%"
"May 21, 2019","0.0003","0.0002","0.0003","0.0002","8.48M","0.00%"
"May 17, 2019","0.0003","0.0002","0.0003","0.0002","1.04M","50.00%"
