"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","4.820","4.850","4.920","4.750","12.52M","1.69%"
"Oct 24, 2019","4.740","4.640","4.750","4.620","10.03M","2.82%"
"Oct 23, 2019","4.610","4.650","4.680","4.590","9.41M","0.22%"
"Oct 22, 2019","4.600","4.590","4.620","4.460","9.91M","1.55%"
"Oct 21, 2019","4.530","4.690","4.710","4.520","8.53M","-2.79%"
"Oct 18, 2019","4.660","4.700","4.750","4.590","7.16M","-0.64%"
"Oct 17, 2019","4.690","4.630","4.770","4.590","7.28M","1.30%"
"Oct 16, 2019","4.630","4.560","4.640","4.520","7.95M","2.66%"
"Oct 15, 2019","4.510","4.600","4.640","4.500","11.55M","-3.22%"
"Oct 14, 2019","4.660","4.600","4.740","4.590","5.72M","1.30%"
"Oct 11, 2019","4.600","4.710","4.750","4.580","13.86M","-3.16%"
"Oct 10, 2019","4.750","4.810","4.830","4.610","17.03M","-1.04%"
"Oct 09, 2019","4.800","4.850","4.890","4.785","11.64M","-1.64%"
"Oct 08, 2019","4.880","4.910","4.935","4.830","15.25M","1.46%"
"Oct 07, 2019","4.810","4.840","4.910","4.800","7.00M","-1.23%"
"Oct 04, 2019","4.870","4.800","4.910","4.780","8.84M","1.67%"
"Oct 03, 2019","4.790","4.830","5.000","4.790","18.32M","-1.24%"
"Oct 02, 2019","4.850","4.820","4.880","4.735","14.74M","2.54%"
"Oct 01, 2019","4.730","4.570","4.810","4.510","17.38M","2.83%"
"Sep 30, 2019","4.600","4.690","4.770","4.550","18.50M","-4.17%"
"Sep 27, 2019","4.800","4.940","4.940","4.770","16.71M","-5.70%"
"Sep 26, 2019","5.090","5.170","5.210","5.070","14.13M","-1.17%"
"Sep 25, 2019","5.150","5.400","5.470","5.120","17.09M","-5.16%"
"Sep 24, 2019","5.430","5.280","5.460","5.260","12.40M","1.69%"
"Sep 23, 2019","5.340","5.230","5.350","5.215","15.27M","3.09%"
"Sep 20, 2019","5.180","5.030","5.200","4.990","19.48M","2.78%"
"Sep 19, 2019","5.040","5.070","5.105","5.000","13.00M","0.40%"
"Sep 18, 2019","5.020","5.200","5.250","4.900","22.57M","-3.09%"
"Sep 17, 2019","5.180","4.940","5.190","4.930","18.15M","5.28%"
"Sep 16, 2019","4.920","4.830","4.970","4.760","25.66M","4.24%"
"Sep 13, 2019","4.720","4.760","4.845","4.670","21.65M","-0.21%"
"Sep 12, 2019","4.730","4.990","5.090","4.730","18.36M","-2.07%"
"Sep 11, 2019","4.830","4.830","4.990","4.780","16.00M","0.62%"
"Sep 10, 2019","4.800","4.750","4.920","4.700","17.05M","-0.21%"
"Sep 09, 2019","4.810","4.950","4.990","4.740","15.23M","-2.83%"
"Sep 06, 2019","4.950","5.100","5.190","4.950","18.71M","-2.56%"
"Sep 05, 2019","5.080","5.170","5.225","4.960","24.74M","-3.42%"
"Sep 04, 2019","5.260","5.200","5.315","5.150","10.05M","1.35%"
"Sep 03, 2019","5.190","5.090","5.320","5.060","20.94M","4.43%"
"Aug 30, 2019","4.970","4.960","5.070","4.910","10.99M","-0.40%"
"Aug 29, 2019","4.990","5.120","5.170","4.900","17.49M","-3.11%"
"Aug 28, 2019","5.150","5.160","5.235","5.060","13.53M","0.00%"
"Aug 27, 2019","5.150","4.980","5.210","4.971","14.72M","3.21%"
"Aug 26, 2019","4.990","5.060","5.090","4.960","9.41M","-0.80%"
"Aug 23, 2019","5.030","4.710","5.040","4.675","18.38M","7.48%"
"Aug 22, 2019","4.680","4.660","4.750","4.640","9.71M","-0.43%"
"Aug 21, 2019","4.700","4.750","4.775","4.665","12.64M","-1.47%"
"Aug 20, 2019","4.770","4.710","4.810","4.650","9.76M","1.71%"
"Aug 19, 2019","4.690","4.680","4.770","4.580","15.18M","-1.88%"
"Aug 16, 2019","4.780","4.830","4.900","4.740","12.96M","-2.65%"
"Aug 15, 2019","4.910","4.790","4.940","4.690","18.77M","1.45%"
"Aug 14, 2019","4.840","4.940","5.010","4.835","17.68M","-0.41%"
"Aug 13, 2019","4.860","5.070","5.070","4.730","22.58M","-2.21%"
"Aug 12, 2019","4.970","5.120","5.160","4.950","18.76M","-1.58%"
"Aug 09, 2019","5.050","5.110","5.170","5.030","13.86M","-1.75%"
"Aug 08, 2019","5.140","5.000","5.160","4.910","22.58M","1.58%"
"Aug 07, 2019","5.060","4.990","5.150","4.970","28.08M","4.76%"
"Aug 06, 2019","4.830","4.690","4.840","4.650","20.65M","1.05%"
"Aug 05, 2019","4.780","4.710","4.890","4.700","19.65M","4.60%"
"Aug 02, 2019","4.570","4.430","4.630","4.390","21.75M","2.24%"
"Aug 01, 2019","4.470","3.990","4.480","3.940","39.35M","11.19%"
"Jul 31, 2019","4.020","4.270","4.290","4.000","21.21M","-5.85%"
"Jul 30, 2019","4.270","4.260","4.290","4.210","10.59M","0.23%"
"Jul 29, 2019","4.260","4.260","4.280","4.150","19.23M","0.47%"
"Jul 26, 2019","4.240","4.220","4.270","4.160","6.69M","1.68%"
"Jul 25, 2019","4.170","4.250","4.270","4.150","11.18M","-2.11%"
"Jul 24, 2019","4.260","4.210","4.301","4.180","11.15M","1.43%"
"Jul 23, 2019","4.200","4.230","4.310","4.130","12.68M","-0.94%"
"Jul 22, 2019","4.240","4.320","4.355","4.230","11.72M","-1.62%"
"Jul 19, 2019","4.310","4.280","4.380","4.190","12.69M","0.00%"
"Jul 18, 2019","4.310","4.140","4.350","4.080","15.54M","3.86%"
"Jul 17, 2019","4.150","4.010","4.155","3.990","10.24M","3.49%"
"Jul 16, 2019","4.010","4.030","4.075","3.990","6.60M","-0.50%"
"Jul 15, 2019","4.030","4.050","4.080","3.990","6.80M","-0.49%"
"Jul 12, 2019","4.050","4.040","4.070","3.990","7.85M","0.75%"
"Jul 11, 2019","4.020","4.120","4.130","3.965","11.15M","-2.43%"
"Jul 10, 2019","4.120","3.980","4.130","3.914","14.67M","5.10%"
"Jul 09, 2019","3.920","3.820","3.930","3.800","9.61M","2.35%"
"Jul 08, 2019","3.830","3.840","3.890","3.790","8.47M","0.00%"
"Jul 05, 2019","3.830","3.740","3.855","3.710","11.16M","-1.54%"
"Jul 03, 2019","3.890","3.860","3.900","3.800","9.19M","1.83%"
"Jul 02, 2019","3.820","3.720","3.840","3.695","15.13M","4.66%"
"Jul 01, 2019","3.650","3.740","3.750","3.640","13.21M","-5.93%"
"Jun 28, 2019","3.880","3.860","3.930","3.820","9.11M","0.52%"
"Jun 27, 2019","3.860","3.800","3.885","3.753","9.75M","0.52%"
"Jun 26, 2019","3.840","3.800","3.950","3.770","13.52M","-1.54%"
"Jun 25, 2019","3.900","3.980","4.010","3.810","21.78M","-1.27%"
"Jun 24, 2019","3.950","3.860","3.960","3.830","18.28M","4.22%"
"Jun 21, 2019","3.790","3.800","3.845","3.690","36.96M","-0.79%"
"Jun 20, 2019","3.820","3.790","3.930","3.760","18.83M","4.66%"
"Jun 19, 2019","3.650","3.560","3.660","3.515","15.06M","1.39%"
"Jun 18, 2019","3.600","3.570","3.650","3.510","13.41M","2.86%"
"Jun 17, 2019","3.500","3.520","3.555","3.410","11.89M","-1.13%"
"Jun 14, 2019","3.540","3.610","3.700","3.490","11.96M","-0.84%"
"Jun 13, 2019","3.570","3.490","3.600","3.480","7.52M","2.29%"
"Jun 12, 2019","3.490","3.480","3.540","3.460","7.49M","1.45%"
"Jun 11, 2019","3.440","3.430","3.460","3.380","7.31M","0.29%"
"Jun 10, 2019","3.430","3.410","3.450","3.360","8.78M","-0.87%"
"Jun 07, 2019","3.460","3.550","3.560","3.460","8.90M","-1.42%"
"Jun 06, 2019","3.510","3.510","3.570","3.480","7.30M","0.29%"
"Jun 05, 2019","3.500","3.590","3.710","3.480","11.82M","-1.41%"
"Jun 04, 2019","3.550","3.490","3.560","3.480","13.89M","-0.28%"
"Jun 03, 2019","3.560","3.330","3.570","3.320","14.12M","8.87%"
"May 31, 2019","3.270","3.220","3.310","3.220","7.42M","2.51%"
"May 30, 2019","3.190","3.140","3.210","3.100","6.31M","0.00%"
"May 29, 2019","3.190","3.230","3.240","3.170","5.86M","-0.62%"
"May 28, 2019","3.210","3.130","3.220","3.110","8.25M","2.23%"
"May 24, 2019","3.140","3.130","3.180","3.110","5.10M","0.64%"
"May 23, 2019","3.120","3.130","3.210","3.120","5.59M","0.65%"
"May 22, 2019","3.100","3.140","3.140","3.090","3.59M","-1.27%"
"May 21, 2019","3.140","3.150","3.150","3.100","5.59M","-0.63%"
"May 20, 2019","3.160","3.140","3.210","3.120","5.06M","0.00%"
"May 17, 2019","3.160","3.100","3.170","3.060","7.10M","0.96%"
"May 16, 2019","3.130","3.150","3.160","3.085","9.39M","-1.26%"
"May 15, 2019","3.170","3.130","3.190","3.127","6.24M","1.28%"
"May 14, 2019","3.130","3.140","3.170","3.070","5.03M","-0.95%"
"May 13, 2019","3.160","3.090","3.180","3.060","9.24M","3.61%"
"May 10, 2019","3.050","3.090","3.095","3.040","7.18M","-0.97%"
"May 09, 2019","3.080","3.100","3.160","3.080","8.04M","-0.96%"
"May 08, 2019","3.110","3.160","3.300","3.060","19.77M","1.63%"
"May 07, 2019","3.060","3.060","3.100","3.020","12.78M","-0.33%"
"May 06, 2019","3.070","3.050","3.117","3.040","5.16M","0.00%"
"May 03, 2019","3.070","3.080","3.130","3.050","7.50M","0.66%"
"May 02, 2019","3.050","3.070","3.088","3.000","8.57M","-0.33%"
"May 01, 2019","3.060","3.180","3.180","3.040","14.00M","-3.77%"
"Apr 30, 2019","3.180","3.210","3.260","3.180","13.02M","-0.62%"
"Apr 29, 2019","3.200","3.250","3.270","3.190","6.92M","-2.74%"
"Apr 26, 2019","3.290","3.210","3.310","3.210","9.62M","3.13%"
"Apr 25, 2019","3.190","3.250","3.270","3.150","10.38M","-1.54%"
"Apr 24, 2019","3.240","3.180","3.270","3.150","9.89M","2.86%"
"Apr 23, 2019","3.150","3.100","3.230","3.100","8.67M","-0.63%"
"Apr 22, 2019","3.170","3.230","3.250","3.150","7.08M","-1.86%"
"Apr 18, 2019","3.230","3.340","3.360","3.210","10.11M","-3.87%"
"Apr 17, 2019","3.360","3.460","3.480","3.330","9.08M","-2.89%"
"Apr 16, 2019","3.460","3.410","3.480","3.400","6.73M","-1.14%"
"Apr 15, 2019","3.500","3.430","3.520","3.415","6.56M","0.86%"
"Apr 12, 2019","3.470","3.500","3.520","3.450","7.94M","0.00%"
"Apr 11, 2019","3.470","3.450","3.558","3.440","8.58M","-1.42%"
"Apr 10, 2019","3.520","3.570","3.620","3.520","5.86M","-2.22%"
"Apr 09, 2019","3.600","3.580","3.600","3.540","5.58M","1.41%"
"Apr 08, 2019","3.550","3.550","3.575","3.510","8.20M","1.43%"
"Apr 05, 2019","3.500","3.480","3.520","3.430","8.47M","0.86%"
"Apr 04, 2019","3.470","3.330","3.490","3.300","7.52M","2.36%"
"Apr 03, 2019","3.390","3.360","3.435","3.330","11.33M","0.89%"
"Apr 02, 2019","3.360","3.350","3.400","3.330","7.63M","0.60%"
"Apr 01, 2019","3.340","3.460","3.480","3.300","9.58M","-2.91%"
"Mar 29, 2019","3.440","3.460","3.510","3.420","9.23M","0.29%"
"Mar 28, 2019","3.430","3.490","3.490","3.370","8.77M","-3.11%"
"Mar 27, 2019","3.540","3.600","3.620","3.540","10.06M","-1.94%"
"Mar 26, 2019","3.610","3.570","3.640","3.550","7.13M","-0.28%"
"Mar 25, 2019","3.620","3.500","3.640","3.500","11.08M","4.02%"
"Mar 22, 2019","3.480","3.450","3.510","3.425","9.95M","0.58%"
"Mar 21, 2019","3.460","3.430","3.470","3.360","9.81M","0.87%"
"Mar 20, 2019","3.430","3.310","3.460","3.243","11.02M","3.31%"
"Mar 19, 2019","3.320","3.350","3.370","3.290","7.26M","0.30%"
"Mar 18, 2019","3.310","3.400","3.420","3.300","8.61M","-2.07%"
"Mar 15, 2019","3.380","3.400","3.420","3.290","20.25M","0.60%"
"Mar 14, 2019","3.360","3.360","3.395","3.330","6.79M","-2.61%"
"Mar 13, 2019","3.450","3.500","3.550","3.430","10.28M","-0.29%"
"Mar 12, 2019","3.460","3.370","3.480","3.360","10.80M","3.59%"
"Mar 11, 2019","3.340","3.360","3.370","3.270","10.08M","-0.60%"
