"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","20.32","21.73","21.73","20.23","-","-6.49%"
"May 15, 2020","21.73","22.28","22.55","21.00","12.09M","-2.99%"
"May 14, 2020","22.40","23.35","23.42","21.57","13.65M","-3.66%"
"May 13, 2020","23.25","21.68","23.38","21.55","16.79M","7.64%"
"May 12, 2020","21.60","21.82","21.97","21.31","8.17M","-0.28%"
"May 11, 2020","21.66","21.50","22.53","21.22","7.95M","0.79%"
"May 08, 2020","21.49","20.87","21.74","20.76","10.68M","4.27%"
"May 07, 2020","20.61","18.89","21.36","18.87","20.65M","10.93%"
"May 06, 2020","18.58","18.83","19.21","18.42","6.79M","-0.64%"
"May 05, 2020","18.70","18.05","18.99","17.55","9.04M","5.17%"
"May 04, 2020","17.78","17.43","18.29","17.38","8.78M","-0.17%"
"Apr 30, 2020","17.81","17.40","18.27","17.38","8.85M","1.48%"
"Apr 29, 2020","17.55","17.94","18.19","17.33","8.17M","-2.17%"
"Apr 28, 2020","17.94","18.19","18.32","17.61","5.90M","0.67%"
"Apr 27, 2020","17.82","17.44","18.19","17.35","6.76M","3.30%"
"Apr 24, 2020","17.25","17.06","17.46","15.82","11.58M","1.71%"
"Apr 23, 2020","16.96","16.58","17.27","16.28","6.96M","2.60%"
"Apr 22, 2020","16.53","16.01","16.66","16.01","10.31M","3.64%"
"Apr 20, 2020","15.95","15.68","16.21","15.55","5.71M","0.63%"
"Apr 17, 2020","15.85","16.18","16.26","15.66","4.45M","-0.56%"
"Apr 16, 2020","15.94","16.15","16.29","15.70","6.89M","-0.19%"
"Apr 15, 2020","15.97","16.26","16.78","15.90","8.40M","-2.92%"
"Apr 14, 2020","16.45","16.52","17.10","16.28","4.64M","1.54%"
"Apr 13, 2020","16.20","15.95","16.42","15.77","3.74M","1.25%"
"Apr 09, 2020","16.00","16.43","16.65","15.76","6.95M","-1.48%"
"Apr 08, 2020","16.24","16.25","16.58","15.72","9.28M","0.87%"
"Apr 07, 2020","16.10","16.90","17.28","15.51","11.01M","-2.37%"
"Apr 06, 2020","16.49","16.87","17.35","16.25","5.96M","-0.72%"
"Apr 03, 2020","16.61","17.00","17.10","15.83","9.80M","-1.42%"
"Apr 02, 2020","16.85","15.92","17.26","15.61","10.61M","6.98%"
"Apr 01, 2020","15.75","15.99","16.24","15.25","8.76M","-1.50%"
"Mar 31, 2020","15.99","16.06","17.05","15.76","10.43M","1.65%"
"Mar 30, 2020","15.73","16.10","16.97","15.54","8.83M","5.01%"
"Mar 27, 2020","14.98","13.70","16.15","13.40","10.92M","6.02%"
"Mar 26, 2020","14.13","14.11","14.84","13.58","9.34M","1.80%"
"Mar 25, 2020","13.88","13.35","14.93","13.35","5.48M","3.66%"
"Mar 24, 2020","13.39","14.48","14.85","13.04","8.67M","-0.89%"
"Mar 23, 2020","13.51","13.70","14.42","12.84","8.23M","-1.82%"
