"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","24.01","24.09","24.26","23.97","270.17K","0.80%"
"Oct 25, 2019","23.82","23.46","24.00","23.36","265.78K","1.36%"
"Oct 24, 2019","23.50","23.10","23.54","22.91","392.53K","2.66%"
"Oct 23, 2019","22.89","22.90","23.29","22.80","210.65K","-0.91%"
"Oct 22, 2019","23.10","23.35","23.35","23.08","199.77K","-0.56%"
"Oct 21, 2019","23.23","23.00","23.49","22.90","189.93K","1.31%"
"Oct 18, 2019","22.93","23.15","23.26","22.74","138.47K","-0.82%"
"Oct 17, 2019","23.12","22.67","23.28","22.67","313.06K","2.57%"
"Oct 16, 2019","22.54","23.05","23.09","22.49","469.20K","-2.97%"
"Oct 15, 2019","23.23","23.46","23.52","23.13","317.85K","-0.68%"
"Oct 14, 2019","23.39","23.35","23.58","23.26","97.76K","-0.26%"
"Oct 11, 2019","23.45","23.40","23.68","23.40","220.89K","2.18%"
"Oct 10, 2019","22.95","22.88","23.18","22.88","264.59K","0.66%"
"Oct 09, 2019","22.80","22.56","22.89","22.42","514.99K","1.74%"
"Oct 08, 2019","22.41","23.21","23.30","22.37","495.14K","-4.56%"
"Oct 07, 2019","23.48","23.63","23.69","23.43","279.32K","-1.18%"
"Oct 04, 2019","23.76","23.73","23.78","23.46","270.38K","1.02%"
"Oct 03, 2019","23.52","23.37","23.65","23.10","330.65K","0.43%"
"Oct 02, 2019","23.42","23.28","23.52","23.18","250.52K","-0.34%"
"Oct 01, 2019","23.50","23.58","24.14","23.25","350.77K","0.09%"
"Sep 30, 2019","23.48","23.40","23.57","23.35","192.95K","0.51%"
"Sep 27, 2019","23.36","23.54","23.71","23.07","388.77K","-1.10%"
"Sep 26, 2019","23.62","23.85","23.86","23.49","215.47K","-1.58%"
"Sep 25, 2019","24.00","23.66","24.05","23.32","329.42K","0.63%"
"Sep 24, 2019","23.85","24.42","24.68","23.80","372.45K","-1.85%"
"Sep 23, 2019","24.30","24.00","24.65","23.87","463.16K","0.50%"
"Sep 20, 2019","24.18","24.19","24.26","23.85","1.17M","1.04%"
"Sep 19, 2019","23.93","23.90","24.18","23.55","718.59K","0.17%"
"Sep 18, 2019","23.89","23.30","23.92","23.21","614.43K","3.06%"
"Sep 17, 2019","23.18","22.93","23.19","22.58","405.43K","1.13%"
"Sep 16, 2019","22.92","22.80","23.32","22.61","225.38K","0.09%"
