"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","11.36","11.38","11.40","11.34","313.43K","0.00%"
"Oct 25, 2019","11.36","11.31","11.40","11.25","335.40K","0.80%"
"Oct 24, 2019","11.27","11.39","11.40","11.26","263.47K","-1.05%"
"Oct 23, 2019","11.39","11.45","11.45","11.29","444.26K","-0.35%"
"Oct 22, 2019","11.43","11.38","11.49","11.37","197.27K","0.00%"
"Oct 21, 2019","11.43","11.44","11.57","11.42","699.39K","0.26%"
"Oct 18, 2019","11.40","11.28","11.41","11.20","807.08K","1.33%"
"Oct 17, 2019","11.25","11.23","11.31","11.22","704.53K","0.27%"
"Oct 16, 2019","11.22","11.33","11.33","11.18","620.02K","0.00%"
"Oct 15, 2019","11.22","11.27","11.28","11.19","1.13M","-0.09%"
"Oct 14, 2019","11.23","11.31","11.32","11.23","593.30K","-0.88%"
"Oct 11, 2019","11.33","11.42","11.42","11.25","486.77K","1.80%"
"Oct 10, 2019","11.13","11.12","11.17","11.06","840.29K","-0.09%"
"Oct 09, 2019","11.14","11.12","11.20","11.08","717.14K","0.63%"
"Oct 08, 2019","11.07","11.13","11.16","11.03","807.55K","-0.54%"
"Oct 07, 2019","11.13","11.11","11.18","11.10","1.14M","-0.80%"
"Oct 04, 2019","11.22","11.12","11.25","11.07","908.29K","1.45%"
"Oct 03, 2019","11.06","11.02","11.22","11.00","1.02M","0.09%"
"Oct 02, 2019","11.05","11.07","11.24","11.00","967.66K","-1.69%"
"Oct 01, 2019","11.24","11.30","11.34","11.23","727.44K","-0.62%"
"Sep 30, 2019","11.31","11.41","11.55","11.30","971.34K","-0.53%"
"Sep 27, 2019","11.37","11.39","11.44","11.34","374.69K","0.35%"
"Sep 26, 2019","11.33","11.42","11.42","11.31","312.13K","-0.35%"
"Sep 25, 2019","11.37","11.32","11.40","11.24","318.73K","-0.44%"
"Sep 24, 2019","11.42","11.67","11.67","11.37","536.66K","-1.04%"
"Sep 23, 2019","11.54","11.45","11.56","11.45","213.11K","0.26%"
"Sep 20, 2019","11.51","11.48","11.58","11.44","1.82M","0.70%"
"Sep 19, 2019","11.43","11.56","11.59","11.39","480.25K","-0.70%"
"Sep 18, 2019","11.51","11.57","11.65","11.45","462.88K","-0.09%"
"Sep 17, 2019","11.52","11.59","11.59","11.46","554.24K","-0.95%"
"Sep 16, 2019","11.63","11.68","11.68","11.55","588.48K","0.69%"
"Sep 13, 2019","11.55","11.54","11.59","11.44","365.30K","0.26%"
"Sep 12, 2019","11.52","11.58","11.65","11.49","408.22K","-0.26%"
"Sep 11, 2019","11.55","11.43","11.61","11.41","748.76K","1.23%"
"Sep 10, 2019","11.41","11.32","11.42","11.32","589.58K","0.97%"
"Sep 09, 2019","11.30","11.37","11.37","11.22","526.11K","0.09%"
"Sep 06, 2019","11.29","11.26","11.39","11.26","189.59K","0.36%"
"Sep 05, 2019","11.25","11.31","11.47","11.22","552.88K","-0.27%"
"Sep 04, 2019","11.28","11.33","11.43","11.24","492.26K","0.71%"
"Sep 03, 2019","11.20","11.19","11.22","11.09","337.01K","-0.27%"
"Aug 30, 2019","11.23","11.20","11.24","11.13","561.67K","0.63%"
"Aug 29, 2019","11.16","11.21","11.24","11.14","305.54K","-0.18%"
"Aug 28, 2019","11.18","11.06","11.21","11.02","335.46K","0.90%"
"Aug 27, 2019","11.08","11.23","11.25","11.08","384.37K","-1.16%"
"Aug 26, 2019","11.21","11.15","11.21","11.13","294.94K","0.81%"
"Aug 23, 2019","11.12","11.22","11.22","11.07","543.35K","-1.07%"
"Aug 22, 2019","11.24","11.39","11.39","11.23","561.20K","-1.23%"
"Aug 21, 2019","11.38","11.34","11.50","11.23","536.61K","1.61%"
"Aug 20, 2019","11.20","11.14","11.22","11.13","320.27K","0.45%"
"Aug 19, 2019","11.15","11.17","11.17","11.05","376.77K","0.90%"
"Aug 16, 2019","11.05","10.98","11.06","10.96","570.65K","0.73%"
"Aug 15, 2019","10.97","10.97","11.02","10.95","328.92K","0.00%"
"Aug 14, 2019","10.97","10.90","11.02","10.86","788.91K","-0.90%"
"Aug 13, 2019","11.07","10.91","11.12","10.90","464.85K","0.73%"
"Aug 12, 2019","10.99","11.15","11.26","10.97","355.20K","-0.36%"
"Aug 09, 2019","11.03","11.09","11.09","10.91","754.07K","-0.54%"
"Aug 08, 2019","11.09","11.02","11.12","11.01","749.05K","0.27%"
"Aug 07, 2019","11.06","11.24","11.37","11.02","814.90K","-3.07%"
"Aug 06, 2019","11.41","11.52","11.58","11.36","584.30K","-0.61%"
"Aug 05, 2019","11.48","11.56","11.56","11.40","475.11K","-1.29%"
"Aug 02, 2019","11.63","11.69","11.71","11.57","457.41K","-0.77%"
"Aug 01, 2019","11.72","11.75","11.82","11.65","1.14M","-0.68%"
"Jul 31, 2019","11.80","11.95","11.96","11.80","1.04M","-1.01%"
"Jul 30, 2019","11.92","11.94","11.98","11.91","854.87K","-0.17%"
"Jul 29, 2019","11.94","11.96","11.97","11.90","672.50K","0.25%"
"Jul 26, 2019","11.91","11.90","11.99","11.88","1.47M","0.00%"
"Jul 25, 2019","11.91","11.95","11.95","11.87","921.82K","-0.42%"
"Jul 24, 2019","11.96","11.91","11.98","11.88","921.66K","0.00%"
"Jul 23, 2019","11.96","11.90","12.02","11.83","865.20K","0.42%"
"Jul 22, 2019","11.91","12.03","12.03","11.84","623.12K","0.00%"
"Jul 19, 2019","11.91","11.95","12.03","11.88","290.07K","-0.17%"
"Jul 18, 2019","11.93","12.06","12.07","11.83","477.07K","0.59%"
"Jul 17, 2019","11.86","11.97","11.97","11.85","283.43K","-0.92%"
"Jul 16, 2019","11.97","12.05","12.09","11.95","564.27K","-0.66%"
"Jul 15, 2019","12.05","12.03","12.15","11.99","476.22K","0.08%"
"Jul 12, 2019","12.04","12.06","12.14","12.02","904.77K","0.58%"
"Jul 11, 2019","11.97","12.09","12.10","11.96","509.16K","-0.58%"
"Jul 10, 2019","12.04","12.06","12.06","11.81","1.21M","1.26%"
"Jul 09, 2019","11.89","12.04","12.04","11.86","837.65K","-1.33%"
"Jul 08, 2019","12.05","12.24","12.29","11.99","642.03K","-2.98%"
"Jul 05, 2019","12.42","12.28","12.48","12.21","609.05K","1.31%"
"Jul 03, 2019","12.26","12.32","12.39","12.26","401.81K","-0.57%"
"Jul 02, 2019","12.33","12.40","12.40","12.29","552.79K","-0.16%"
