"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","27.23","26.51","27.73","26.51","-","2.72%"
"May 15, 2020","26.51","27.00","27.25","26.11","5.48M","-2.43%"
"May 14, 2020","27.17","26.90","27.30","26.21","11.54M","-0.15%"
"May 13, 2020","27.21","26.70","27.80","26.62","10.91M","3.78%"
"May 12, 2020","26.22","26.30","27.20","26.04","6.65M","-0.19%"
"May 11, 2020","26.27","26.51","27.15","25.84","7.24M","-2.34%"
"May 08, 2020","26.90","27.69","27.86","25.70","9.27M","0.37%"
"May 07, 2020","26.80","28.00","28.50","26.12","9.85M","-2.26%"
"May 06, 2020","27.42","25.97","27.69","25.89","10.44M","7.36%"
"May 05, 2020","25.54","25.42","26.37","25.25","7.03M","1.11%"
"May 04, 2020","25.26","24.00","25.61","23.80","6.37M","1.53%"
"Apr 30, 2020","24.88","25.34","25.86","24.84","9.88M","-3.45%"
"Apr 29, 2020","25.77","25.82","26.14","25.19","5.70M","2.30%"
"Apr 28, 2020","25.19","24.38","25.65","24.26","9.93M","4.96%"
"Apr 27, 2020","24.00","23.63","24.36","23.50","9.12M","6.67%"
"Apr 24, 2020","22.50","23.68","23.79","21.68","13.56M","-8.01%"
"Apr 23, 2020","24.46","25.65","25.89","23.69","8.32M","-2.82%"
"Apr 22, 2020","25.17","23.01","25.24","23.01","12.10M","9.39%"
"Apr 20, 2020","23.01","21.40","23.48","21.08","9.79M","5.79%"
"Apr 17, 2020","21.75","22.92","23.31","21.40","6.82M","-2.77%"
"Apr 16, 2020","22.37","21.94","22.89","21.94","11.16M","3.90%"
"Apr 15, 2020","21.53","20.31","21.90","20.16","7.65M","2.43%"
"Apr 14, 2020","21.02","21.14","21.85","21.00","5.46M","1.59%"
"Apr 13, 2020","20.69","21.13","21.24","20.25","7.20M","-2.86%"
"Apr 09, 2020","21.30","22.00","22.76","21.08","8.70M","-2.70%"
"Apr 08, 2020","21.89","20.49","22.15","19.91","12.72M","6.99%"
"Apr 07, 2020","20.46","20.57","21.86","20.02","12.20M","4.92%"
"Apr 06, 2020","19.50","18.50","19.80","18.32","10.05M","11.81%"
"Apr 03, 2020","17.44","18.50","18.71","17.16","11.22M","-5.98%"
"Apr 02, 2020","18.55","18.10","18.99","18.04","6.45M","3.34%"
"Apr 01, 2020","17.95","17.54","18.19","16.89","7.75M","-0.28%"
"Mar 31, 2020","18.00","19.01","19.30","17.67","8.10M","-5.46%"
"Mar 30, 2020","19.04","19.06","20.19","18.87","8.35M","0.21%"
"Mar 27, 2020","19.00","19.90","19.93","19.00","8.06M","-8.87%"
"Mar 26, 2020","20.85","20.45","21.66","20.28","9.41M","4.09%"
"Mar 25, 2020","20.03","19.16","20.87","18.94","10.92M","3.84%"
"Mar 24, 2020","19.29","18.89","21.21","18.57","10.95M","10.29%"
"Mar 23, 2020","17.49","17.43","17.87","16.20","10.73M","-0.68%"
"Mar 20, 2020","17.61","17.21","18.92","16.83","16.61M","7.77%"
"Mar 19, 2020","16.34","15.83","17.88","14.55","15.03M","1.05%"
"Mar 18, 2020","16.17","16.59","17.57","14.39","14.50M","-12.12%"
"Mar 17, 2020","18.40","18.19","19.50","16.60","17.08M","5.20%"
"Mar 16, 2020","17.49","17.99","19.25","16.57","13.47M","-18.54%"
"Mar 13, 2020","21.47","19.50","21.47","18.11","20.64M","21.03%"
"Mar 12, 2020","17.74","18.00","19.12","16.50","8.43M","-18.06%"
"Mar 11, 2020","21.65","22.31","23.06","19.35","17.61M","-8.07%"
"Mar 10, 2020","23.55","22.75","23.76","22.02","11.82M","7.49%"
"Mar 09, 2020","21.91","21.10","23.01","21.10","12.12M","-8.13%"
"Mar 06, 2020","23.85","24.89","24.95","23.32","12.99M","-8.06%"
"Mar 05, 2020","25.94","27.13","27.17","24.77","8.50M","-6.35%"
"Mar 04, 2020","27.70","28.01","28.10","27.08","6.47M","2.25%"
"Mar 03, 2020","27.09","26.80","28.31","26.41","9.09M","1.65%"
"Mar 02, 2020","26.65","26.50","27.12","25.54","6.73M","0.19%"
"Feb 28, 2020","26.60","26.03","26.60","24.26","12.96M","2.19%"
"Feb 27, 2020","26.03","26.04","27.10","25.62","8.67M","-2.69%"
"Feb 26, 2020","26.75","27.09","27.64","25.88","9.84M","-7.44%"
"Feb 21, 2020","28.90","27.00","29.40","27.00","13.71M","7.68%"
"Feb 20, 2020","26.84","27.10","27.12","26.60","3.54M","-1.40%"
"Feb 19, 2020","27.22","27.02","27.44","26.87","4.16M","-0.29%"
"Feb 18, 2020","27.30","27.32","27.41","26.83","2.27M","-0.47%"
"Feb 17, 2020","27.43","27.25","27.91","26.97","3.54M","1.14%"
"Feb 14, 2020","27.12","27.31","27.50","26.85","2.27M","-1.70%"
"Feb 13, 2020","27.59","26.91","27.63","26.62","3.21M","1.10%"
"Feb 12, 2020","27.29","27.11","27.57","27.03","6.47M","0.66%"
"Feb 11, 2020","27.11","26.25","27.23","25.89","5.60M","4.31%"
"Feb 10, 2020","25.99","26.05","26.72","25.42","7.70M","-0.80%"
"Feb 07, 2020","26.20","26.50","26.65","25.83","6.25M","-1.84%"
"Feb 06, 2020","26.69","27.80","27.80","26.39","8.93M","-2.77%"
"Feb 05, 2020","27.45","28.00","28.25","27.35","6.50M","-1.26%"
"Feb 04, 2020","27.80","27.61","28.00","27.53","6.41M","1.83%"
"Feb 03, 2020","27.30","27.55","27.77","27.30","4.52M","-0.91%"
"Jan 31, 2020","27.55","27.15","27.75","27.14","6.35M","-0.58%"
"Jan 30, 2020","27.71","28.00","28.13","26.92","9.94M","-2.43%"
"Jan 29, 2020","28.40","28.60","28.65","28.03","7.83M","-0.25%"
"Jan 28, 2020","28.47","28.65","28.71","28.12","4.70M","0.89%"
"Jan 27, 2020","28.22","28.26","28.50","28.00","3.29M","-2.52%"
"Jan 24, 2020","28.95","29.06","29.17","28.63","7.26M","-0.38%"
"Jan 23, 2020","29.06","28.37","29.21","27.93","7.00M","1.89%"
"Jan 22, 2020","28.52","29.32","29.32","28.26","3.76M","-1.69%"
"Jan 21, 2020","29.01","28.86","29.31","28.75","7.80M","0.00%"
"Jan 20, 2020","29.01","28.16","29.15","27.93","4.29M","2.40%"
"Jan 17, 2020","28.33","28.00","28.33","27.67","5.26M","1.72%"
"Jan 16, 2020","27.85","27.90","28.10","27.42","5.87M","1.27%"
"Jan 15, 2020","27.50","27.68","27.80","27.33","8.08M","-1.33%"
"Jan 14, 2020","27.87","27.11","28.12","27.10","7.23M","3.26%"
