"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 29, 2019","23.45","23.34","23.55","23.27","1.80M","-0.13%"
"Oct 28, 2019","23.48","23.25","23.73","23.25","3.63M","1.16%"
"Oct 25, 2019","23.21","23.35","23.60","23.18","1.83M","-0.26%"
"Oct 24, 2019","23.27","23.27","23.36","22.99","1.93M","0.00%"
"Oct 23, 2019","23.27","22.63","23.28","22.63","2.69M","1.44%"
"Oct 22, 2019","22.94","23.73","23.73","22.44","7.90M","-5.67%"
"Oct 21, 2019","24.32","24.36","24.70","24.24","2.91M","-0.12%"
"Oct 18, 2019","24.35","24.33","24.51","24.11","4.19M","0.45%"
"Oct 17, 2019","24.24","24.67","24.85","24.10","5.50M","-2.45%"
"Oct 16, 2019","24.85","24.63","25.07","24.60","4.94M","1.02%"
"Oct 15, 2019","24.60","23.66","24.63","23.65","2.69M","3.97%"
"Oct 14, 2019","23.66","23.52","23.72","23.31","2.20M","0.72%"
"Oct 11, 2019","23.49","23.32","23.69","23.14","3.52M","2.53%"
"Oct 10, 2019","22.91","23.89","23.89","22.90","4.20M","-4.18%"
"Oct 09, 2019","23.91","23.86","23.98","23.62","1.33M","0.76%"
"Oct 08, 2019","23.73","24.00","24.11","23.57","2.76M","-1.58%"
"Oct 07, 2019","24.11","24.12","24.32","23.95","5.48M","-0.04%"
"Oct 04, 2019","24.12","23.79","24.19","23.75","2.59M","1.47%"
"Oct 03, 2019","23.77","23.33","23.77","23.27","3.04M","1.54%"
"Oct 02, 2019","23.41","23.33","23.46","23.21","2.39M","0.00%"
"Oct 01, 2019","23.41","23.82","24.12","23.34","2.92M","-1.60%"
"Sep 30, 2019","23.79","23.91","24.00","23.71","3.37M","-0.21%"
"Sep 27, 2019","23.84","23.78","23.96","23.51","2.81M","0.21%"
"Sep 26, 2019","23.79","24.51","24.63","23.74","2.96M","-2.62%"
"Sep 25, 2019","24.43","23.74","24.54","23.74","4.91M","2.05%"
"Sep 24, 2019","23.94","24.62","24.75","23.84","4.67M","-2.52%"
"Sep 23, 2019","24.56","24.94","25.23","24.54","3.68M","-2.11%"
"Sep 20, 2019","25.09","26.23","26.23","24.84","14.06M","-4.60%"
"Sep 19, 2019","26.30","26.63","26.72","26.28","4.35M","-1.35%"
"Sep 18, 2019","26.66","26.56","26.68","26.27","4.06M","0.23%"
"Sep 17, 2019","26.60","26.92","26.98","26.34","5.06M","-1.77%"
"Sep 16, 2019","27.08","27.37","27.58","26.97","4.02M","-1.56%"
"Sep 13, 2019","27.51","27.65","27.67","27.19","6.21M","0.33%"
"Sep 12, 2019","27.42","26.92","27.66","26.77","11.27M","1.74%"
"Sep 11, 2019","26.95","27.17","27.26","26.69","5.95M","-0.70%"
"Sep 10, 2019","27.14","26.82","27.34","26.67","13.20M","1.46%"
"Sep 09, 2019","26.75","26.66","26.80","26.40","10.23M","0.83%"
"Sep 06, 2019","26.53","26.12","26.81","26.12","13.02M","1.76%"
"Sep 05, 2019","26.07","26.84","27.23","26.02","14.13M","-2.32%"
"Sep 04, 2019","26.69","26.09","26.77","26.03","12.26M","2.89%"
"Sep 03, 2019","25.94","25.84","26.03","25.72","7.46M","-0.69%"
"Aug 30, 2019","26.12","25.81","26.22","25.79","5.73M","1.44%"
"Aug 29, 2019","25.75","25.57","25.89","25.47","9.08M","1.70%"
"Aug 28, 2019","25.32","25.06","25.46","24.92","6.13M","0.72%"
