"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","13.45","12.97","13.69","12.35","4.16M","8.21%"
"May 15, 2020","12.43","11.41","12.43","11.25","4.62M","9.04%"
"May 14, 2020","11.40","10.55","11.50","10.50","2.15M","6.64%"
"May 13, 2020","10.69","11.20","11.54","10.38","4.30M","-2.99%"
"May 12, 2020","11.02","11.96","12.19","10.91","3.14M","-6.61%"
"May 11, 2020","11.80","11.85","12.07","11.35","3.24M","-0.51%"
"May 08, 2020","11.86","11.87","12.28","11.46","2.45M","0.00%"
"May 07, 2020","11.86","13.05","13.15","11.86","3.22M","-7.85%"
"May 06, 2020","12.87","13.44","13.66","12.82","2.26M","-5.02%"
"May 05, 2020","13.55","13.68","14.30","13.48","2.31M","0.22%"
"May 04, 2020","13.52","12.84","13.55","12.49","2.00M","1.81%"
"Apr 30, 2020","13.28","13.84","14.16","13.00","3.61M","-5.68%"
"Apr 29, 2020","14.08","14.42","14.79","14.06","1.59M","-0.35%"
"Apr 28, 2020","14.13","13.65","14.28","13.38","1.72M","7.13%"
"Apr 27, 2020","13.19","13.35","13.74","12.70","3.55M","2.41%"
"Apr 24, 2020","12.88","13.51","13.60","11.84","6.40M","-6.87%"
"Apr 23, 2020","13.83","15.41","15.80","13.83","4.54M","-7.74%"
"Apr 22, 2020","14.99","14.19","15.53","13.91","4.95M","6.61%"
"Apr 20, 2020","14.06","13.20","14.12","12.72","3.20M","4.85%"
"Apr 17, 2020","13.41","13.25","13.74","12.85","4.73M","4.68%"
"Apr 16, 2020","12.81","13.30","13.50","12.80","4.26M","-1.99%"
"Apr 15, 2020","13.07","13.00","13.58","12.70","4.69M","-1.80%"
"Apr 14, 2020","13.31","12.90","13.42","12.61","4.17M","7.77%"
"Apr 13, 2020","12.35","12.50","12.74","11.84","3.68M","0.16%"
"Apr 09, 2020","12.33","12.73","13.37","12.00","4.97M","-1.99%"
"Apr 08, 2020","12.58","11.19","13.14","11.00","4.72M","12.12%"
"Apr 07, 2020","11.22","11.28","12.14","11.15","3.82M","6.86%"
"Apr 06, 2020","10.50","10.15","11.13","9.99","3.99M","10.53%"
"Apr 03, 2020","9.50","9.89","9.89","9.06","4.67M","-3.78%"
