"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","12.27","11.30","12.44","10.86","5.18M","14.35%"
"May 15, 2020","10.73","10.81","11.14","10.49","2.78M","-1.83%"
"May 14, 2020","10.93","9.65","10.93","9.54","4.13M","10.96%"
"May 13, 2020","9.85","10.30","10.38","9.60","4.61M","-0.91%"
"May 12, 2020","9.94","10.14","10.94","9.94","4.62M","-1.39%"
"May 11, 2020","10.08","10.16","10.35","9.93","4.12M","-2.80%"
"May 08, 2020","10.37","9.69","10.48","9.69","5.30M","9.16%"
"May 07, 2020","9.50","10.35","10.40","9.40","5.14M","-7.14%"
"May 06, 2020","10.23","11.00","11.09","10.15","4.10M","-6.15%"
"May 05, 2020","10.90","10.86","11.20","10.66","2.67M","2.16%"
"May 04, 2020","10.67","11.10","11.23","10.46","2.97M","-6.07%"
"Apr 30, 2020","11.36","11.71","11.81","11.26","5.02M","-5.02%"
"Apr 29, 2020","11.96","11.41","12.04","11.21","3.37M","6.69%"
"Apr 28, 2020","11.21","10.86","11.46","10.68","4.17M","6.66%"
"Apr 27, 2020","10.51","10.37","10.66","10.15","2.82M","3.04%"
"Apr 24, 2020","10.20","10.85","10.95","9.41","6.26M","-7.94%"
"Apr 23, 2020","11.08","11.67","12.00","10.85","2.94M","-3.32%"
"Apr 22, 2020","11.46","11.11","11.70","11.05","3.61M","2.78%"
"Apr 20, 2020","11.15","10.85","11.26","10.68","3.86M","1.18%"
"Apr 17, 2020","11.02","11.10","11.46","10.85","3.87M","1.47%"
"Apr 16, 2020","10.86","11.49","11.49","10.57","3.88M","-3.47%"
"Apr 15, 2020","11.25","11.00","11.34","10.68","5.49M","-1.92%"
"Apr 14, 2020","11.47","10.80","11.57","10.63","3.71M","10.08%"
"Apr 13, 2020","10.42","10.60","10.62","9.98","2.26M","-1.70%"
"Apr 09, 2020","10.60","10.50","11.00","10.43","3.68M","3.41%"
"Apr 08, 2020","10.25","9.45","10.46","9.30","2.60M","7.33%"
"Apr 07, 2020","9.55","9.95","10.16","9.52","3.92M","1.49%"
"Apr 06, 2020","9.41","9.43","9.99","9.17","4.00M","4.67%"
"Apr 03, 2020","8.99","9.00","9.17","8.48","2.44M","-0.99%"
"Apr 02, 2020","9.08","8.86","9.08","8.48","5.70M","4.25%"
"Apr 01, 2020","8.71","9.39","9.39","8.70","4.21M","-9.74%"
"Mar 31, 2020","9.65","9.99","10.47","9.40","7.99M","-2.23%"
"Mar 30, 2020","9.87","10.33","10.39","9.61","3.57M","-0.50%"
"Mar 27, 2020","9.92","10.10","10.57","9.50","6.17M","-5.52%"
"Mar 26, 2020","10.50","8.50","10.88","8.50","6.29M","21.25%"
"Mar 25, 2020","8.66","7.40","8.74","7.05","9.12M","18.14%"
"Mar 24, 2020","7.33","7.73","8.24","7.21","10.90M","0.41%"
"Mar 23, 2020","7.30","8.80","8.92","6.86","9.67M","-16.57%"
"Mar 20, 2020","8.75","10.30","10.72","8.52","6.66M","-11.44%"
"Mar 19, 2020","9.88","10.07","10.46","9.17","8.08M","-8.26%"
"Mar 18, 2020","10.77","12.99","13.00","9.49","3.52M","-21.10%"
"Mar 17, 2020","13.65","14.41","14.64","13.33","5.17M","-2.43%"
"Mar 16, 2020","13.99","13.30","15.37","12.75","2.35M","-6.73%"
"Mar 13, 2020","15.00","14.70","16.16","13.33","3.63M","9.49%"
"Mar 12, 2020","13.70","16.18","16.18","13.34","3.14M","-24.39%"
"Mar 11, 2020","18.12","19.47","19.57","17.42","3.07M","-7.88%"
"Mar 10, 2020","19.67","19.61","20.35","18.94","2.95M","3.53%"
"Mar 09, 2020","19.00","20.33","20.33","18.72","4.13M","-10.67%"
"Mar 06, 2020","21.27","22.32","22.33","20.97","7.15M","-7.84%"
"Mar 05, 2020","23.08","23.28","23.64","22.56","4.28M","-2.24%"
"Mar 04, 2020","23.61","23.15","23.88","22.97","3.23M","3.42%"
"Mar 03, 2020","22.83","22.85","23.50","22.56","4.11M","-0.17%"
"Mar 02, 2020","22.87","21.70","23.00","21.59","3.06M","5.44%"
"Feb 28, 2020","21.69","21.71","21.78","20.77","3.68M","-0.50%"
"Feb 27, 2020","21.80","22.11","23.23","21.55","4.75M","-2.68%"
"Feb 26, 2020","22.40","22.57","22.89","22.14","3.75M","-4.88%"
"Feb 21, 2020","23.55","23.19","23.60","22.99","3.25M","1.12%"
"Feb 20, 2020","23.29","23.40","23.68","23.01","3.00M","-0.85%"
"Feb 19, 2020","23.49","22.48","23.68","22.48","3.16M","3.94%"
"Feb 18, 2020","22.60","21.65","22.60","21.51","2.15M","4.48%"
"Feb 17, 2020","21.63","22.15","22.15","21.49","2.39M","-1.95%"
"Feb 14, 2020","22.06","22.17","22.24","21.71","1.10M","-0.14%"
"Feb 13, 2020","22.09","22.12","22.31","21.88","2.18M","-0.54%"
"Feb 12, 2020","22.21","22.25","22.53","21.77","2.17M","-0.27%"
"Feb 11, 2020","22.27","21.58","22.28","21.45","2.17M","3.58%"
"Feb 10, 2020","21.50","21.60","21.82","21.31","3.35M","-1.74%"
"Feb 07, 2020","21.88","22.48","22.55","21.87","1.36M","-2.80%"
"Feb 06, 2020","22.51","23.38","23.38","22.16","3.05M","-2.64%"
