"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","12.93","11.71","13.23","11.56","2.12M","12.73%"
"May 15, 2020","11.47","11.70","11.91","11.35","3.61M","-4.02%"
"May 14, 2020","11.95","11.94","11.95","11.24","1.69M","-2.05%"
"May 13, 2020","12.20","12.16","12.29","11.26","1.99M","1.58%"
"May 12, 2020","12.01","13.19","13.46","11.95","2.58M","-8.95%"
"May 11, 2020","13.19","12.98","13.20","12.16","1.39M","0.76%"
"May 08, 2020","13.09","12.95","13.09","12.37","757.80K","1.87%"
"May 07, 2020","12.85","13.44","13.70","12.69","964.80K","-4.32%"
"May 06, 2020","13.43","13.91","13.91","13.15","768.00K","-3.45%"
"May 05, 2020","13.91","13.80","14.35","13.27","1.23M","2.43%"
"May 04, 2020","13.58","13.21","13.69","12.88","916.00K","-1.24%"
"Apr 30, 2020","13.75","13.83","14.49","13.36","1.78M","-1.08%"
"Apr 29, 2020","13.90","14.04","14.24","13.70","1.15M","0.43%"
"Apr 28, 2020","13.84","14.02","14.32","13.61","1.38M","1.02%"
"Apr 27, 2020","13.70","14.20","14.37","13.14","1.14M","0.29%"
"Apr 24, 2020","13.66","14.41","14.55","12.38","1.90M","-8.14%"
"Apr 23, 2020","14.87","15.31","15.51","14.05","1.07M","-1.06%"
"Apr 22, 2020","15.03","14.76","15.41","14.54","912.50K","2.95%"
"Apr 20, 2020","14.60","13.78","14.60","13.24","1.31M","3.84%"
"Apr 17, 2020","14.06","14.30","14.76","13.78","1.66M","1.52%"
"Apr 16, 2020","13.85","14.28","14.57","13.52","982.50K","-1.56%"
"Apr 15, 2020","14.07","13.90","14.25","13.44","811.40K","-0.92%"
"Apr 14, 2020","14.20","13.11","14.35","13.11","1.69M","11.81%"
"Apr 13, 2020","12.70","12.82","13.30","12.65","1.31M","-1.78%"
"Apr 09, 2020","12.93","12.25","13.36","12.25","2.14M","5.64%"
"Apr 08, 2020","12.24","11.62","12.50","11.42","1.99M","6.43%"
"Apr 07, 2020","11.50","12.21","12.48","11.50","3.77M","-0.86%"
"Apr 06, 2020","11.60","12.53","12.56","10.93","2.93M","0.87%"
"Apr 03, 2020","11.50","12.40","12.51","11.17","1.20M","-6.81%"
"Apr 02, 2020","12.34","12.97","13.05","11.40","2.69M","-0.64%"
"Apr 01, 2020","12.42","13.89","13.89","12.38","1.53M","-12.90%"
"Mar 31, 2020","14.26","15.74","16.17","14.26","819.30K","-7.10%"
"Mar 30, 2020","15.35","15.30","16.00","15.21","1.27M","0.33%"
"Mar 27, 2020","15.30","15.28","16.36","15.15","818.40K","-6.71%"
"Mar 26, 2020","16.40","14.92","16.54","14.29","1.53M","6.70%"
"Mar 25, 2020","15.37","12.71","16.40","12.38","2.06M","21.79%"
"Mar 24, 2020","12.62","12.00","13.48","11.28","2.02M","13.90%"
"Mar 23, 2020","11.08","12.15","12.50","10.72","4.10M","-8.51%"
"Mar 20, 2020","12.11","12.60","13.25","11.57","1.70M","0.92%"
"Mar 19, 2020","12.00","11.46","13.50","11.00","2.20M","-3.38%"
"Mar 18, 2020","12.42","13.46","14.32","11.16","1.64M","-19.87%"
"Mar 17, 2020","15.50","12.12","15.66","11.26","2.88M","30.25%"
"Mar 16, 2020","11.90","11.20","12.90","11.00","1.27M","-14.94%"
"Mar 13, 2020","13.99","13.26","14.41","11.20","2.99M","23.81%"
"Mar 12, 2020","11.30","11.45","12.88","10.31","2.91M","-25.07%"
"Mar 11, 2020","15.08","15.05","16.26","13.91","2.06M","-5.63%"
"Mar 10, 2020","15.98","16.40","16.79","14.95","2.23M","3.43%"
"Mar 09, 2020","15.45","15.70","15.88","14.42","2.34M","-13.01%"
"Mar 06, 2020","17.76","17.35","18.18","16.91","1.51M","-3.32%"
"Mar 05, 2020","18.37","19.50","19.93","18.04","1.34M","-6.94%"
"Mar 04, 2020","19.74","20.88","20.89","19.60","1.23M","-2.28%"
"Mar 03, 2020","20.20","20.48","21.40","19.71","1.54M","0.10%"
"Mar 02, 2020","20.18","19.90","20.85","19.65","1.42M","1.10%"
"Feb 28, 2020","19.96","19.78","20.20","18.80","2.33M","-1.87%"
