"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 28, 2019","8.95","8.83","9.05","8.82","6.37M","2.40%"
"Oct 25, 2019","8.74","8.64","8.77","8.64","2.66M","1.27%"
"Oct 24, 2019","8.63","8.54","8.76","8.50","5.65M","2.01%"
"Oct 23, 2019","8.46","8.35","8.46","8.35","2.05M","1.32%"
"Oct 22, 2019","8.35","8.36","8.51","8.33","4.85M","0.60%"
"Oct 21, 2019","8.30","8.34","8.36","8.26","3.35M","0.73%"
"Oct 18, 2019","8.24","8.32","8.38","8.24","4.37M","0.12%"
"Oct 17, 2019","8.23","8.29","8.34","8.18","3.34M","0.00%"
"Oct 16, 2019","8.23","8.32","8.35","8.21","4.67M","-1.20%"
"Oct 15, 2019","8.33","8.24","8.38","8.21","2.96M","1.71%"
"Oct 14, 2019","8.19","8.29","8.32","8.15","1.93M","-2.15%"
"Oct 11, 2019","8.37","8.30","8.41","8.28","2.52M","2.07%"
"Oct 10, 2019","8.20","8.09","8.28","8.09","3.60M","-1.91%"
"Oct 09, 2019","8.36","8.28","8.38","8.17","6.91M","6.09%"
"Oct 08, 2019","7.88","8.06","8.06","7.87","4.29M","-2.23%"
"Oct 07, 2019","8.06","8.12","8.14","8.05","1.35M","-0.12%"
"Oct 04, 2019","8.07","8.04","8.13","8.02","1.70M","1.13%"
"Oct 03, 2019","7.98","7.96","8.02","7.92","1.39M","0.25%"
"Oct 02, 2019","7.96","8.00","8.04","7.89","2.64M","-0.75%"
"Oct 01, 2019","8.02","8.14","8.14","7.96","2.32M","-0.99%"
"Sep 30, 2019","8.10","8.19","8.19","8.04","2.38M","-1.34%"
"Sep 27, 2019","8.21","8.20","8.24","8.13","1.46M","1.23%"
"Sep 26, 2019","8.11","8.25","8.28","8.11","2.07M","-1.34%"
"Sep 25, 2019","8.22","8.17","8.25","8.10","2.38M","0.49%"
"Sep 24, 2019","8.18","8.39","8.41","8.17","2.83M","-1.80%"
"Sep 23, 2019","8.33","8.38","8.41","8.31","2.42M","-0.36%"
"Sep 20, 2019","8.36","8.38","8.48","8.35","3.05M","0.24%"
"Sep 19, 2019","8.34","8.46","8.49","8.33","1.28M","-0.36%"
"Sep 18, 2019","8.37","8.35","8.46","8.34","1.55M","0.48%"
"Sep 17, 2019","8.33","8.30","8.35","8.27","2.19M","-0.72%"
"Sep 16, 2019","8.39","8.30","8.42","8.23","2.98M","2.07%"
"Sep 13, 2019","8.22","8.28","8.30","8.20","1.23M","0.61%"
"Sep 12, 2019","8.17","8.20","8.30","8.12","2.89M","-0.49%"
"Sep 11, 2019","8.21","8.17","8.30","8.13","1.64M","0.49%"
"Sep 10, 2019","8.17","8.23","8.25","8.12","1.69M","-0.97%"
"Sep 09, 2019","8.25","8.24","8.30","8.21","1.68M","0.49%"
"Sep 06, 2019","8.21","8.26","8.30","8.16","1.59M","-0.48%"
"Sep 05, 2019","8.25","8.33","8.38","8.15","2.43M","0.24%"
"Sep 04, 2019","8.23","8.20","8.27","8.18","3.10M","3.00%"
"Sep 03, 2019","7.99","8.01","8.02","7.92","2.06M","-0.50%"
"Aug 30, 2019","8.03","8.04","8.07","7.99","2.54M","0.63%"
"Aug 29, 2019","7.98","8.02","8.02","7.90","2.43M","-0.25%"
"Aug 28, 2019","8.00","7.86","8.06","7.85","3.09M","2.04%"
"Aug 27, 2019","7.84","8.05","8.05","7.82","6.58M","-2.49%"
"Aug 26, 2019","8.04","7.93","8.07","7.90","2.60M","3.21%"
"Aug 23, 2019","7.79","7.74","7.87","7.71","2.37M","-0.64%"
"Aug 22, 2019","7.84","7.79","7.89","7.76","2.09M","0.38%"
"Aug 21, 2019","7.81","7.73","7.84","7.70","2.73M","2.09%"
"Aug 20, 2019","7.65","7.60","7.72","7.50","2.54M","0.79%"
"Aug 19, 2019","7.59","7.67","7.67","7.55","1.95M","-1.30%"
"Aug 16, 2019","7.69","7.54","7.72","7.54","4.39M","1.99%"
"Aug 15, 2019","7.54","7.67","7.81","7.51","5.11M","-2.20%"
"Aug 14, 2019","7.71","7.81","7.81","7.71","2.77M","-2.03%"
"Aug 13, 2019","7.87","7.80","7.93","7.76","1.86M","0.64%"
"Aug 12, 2019","7.82","7.81","7.86","7.80","1.54M","-0.26%"
"Aug 09, 2019","7.84","7.87","7.92","7.81","1.37M","-0.51%"
"Aug 08, 2019","7.88","7.95","7.97","7.86","1.93M","-0.25%"
"Aug 07, 2019","7.90","7.82","7.94","7.81","1.88M","0.51%"
"Aug 06, 2019","7.86","7.92","7.95","7.83","2.52M","0.77%"
"Aug 05, 2019","7.80","7.93","7.95","7.76","3.76M","-1.64%"
"Aug 02, 2019","7.93","7.97","7.99","7.92","2.96M","-0.88%"
"Aug 01, 2019","8.00","8.25","8.28","7.98","2.98M","-2.08%"
"Jul 31, 2019","8.17","8.40","8.42","8.11","3.29M","-1.68%"
"Jul 30, 2019","8.31","8.42","8.47","8.28","1.77M","0.12%"
"Jul 29, 2019","8.30","8.37","8.38","8.26","1.99M","-0.24%"
"Jul 26, 2019","8.32","8.38","8.42","8.30","1.32M","-0.36%"
"Jul 25, 2019","8.35","8.47","8.47","8.35","1.91M","-0.24%"
"Jul 24, 2019","8.37","8.45","8.48","8.37","1.91M","-1.06%"
"Jul 23, 2019","8.46","8.40","8.51","8.38","2.76M","1.32%"
"Jul 22, 2019","8.35","8.36","8.43","8.34","2.03M","0.36%"
"Jul 19, 2019","8.32","8.49","8.50","8.32","2.06M","-1.07%"
"Jul 18, 2019","8.41","8.48","8.49","8.36","2.32M","-1.41%"
"Jul 17, 2019","8.53","8.59","8.59","8.48","1.75M","-0.35%"
"Jul 16, 2019","8.56","8.60","8.64","8.53","1.13M","-0.47%"
"Jul 15, 2019","8.60","8.68","8.74","8.60","1.32M","-1.15%"
"Jul 12, 2019","8.70","8.63","8.71","8.53","1.38M","0.46%"
"Jul 11, 2019","8.66","8.66","8.72","8.56","2.17M","0.00%"
"Jul 10, 2019","8.66","8.66","8.68","8.60","2.20M","0.35%"
"Jul 09, 2019","8.63","8.46","8.65","8.46","3.90M","1.65%"
"Jul 08, 2019","8.49","8.48","8.57","8.44","3.26M","-5.25%"
"Jul 05, 2019","8.96","8.95","9.02","8.89","4.63M","-0.11%"
"Jul 03, 2019","8.97","8.94","9.02","8.90","2.15M","0.79%"
"Jul 02, 2019","8.90","9.16","9.16","8.82","3.90M","-3.26%"
"Jul 01, 2019","9.20","9.41","9.46","9.16","3.69M","-1.18%"
"Jun 28, 2019","9.31","9.43","9.46","9.26","2.49M","-0.11%"
"Jun 27, 2019","9.32","9.49","9.49","9.27","2.88M","-1.79%"
"Jun 26, 2019","9.49","9.33","9.63","9.29","3.96M","1.93%"
"Jun 25, 2019","9.31","9.24","9.34","9.18","2.32M","0.32%"
"Jun 24, 2019","9.28","9.18","9.29","9.10","2.88M","1.75%"
"Jun 21, 2019","9.12","8.90","9.14","8.89","5.98M","0.22%"
"Jun 20, 2019","9.10","8.95","9.10","8.94","3.49M","2.36%"
"Jun 19, 2019","8.89","8.71","8.90","8.69","2.55M","1.60%"
"Jun 18, 2019","8.75","8.53","8.78","8.52","3.46M","3.55%"
"Jun 17, 2019","8.45","8.53","8.57","8.44","2.16M","-0.94%"
"Jun 14, 2019","8.53","8.40","8.55","8.40","2.54M","1.31%"
"Jun 13, 2019","8.42","8.35","8.48","8.33","4.28M","1.45%"
"Jun 12, 2019","8.30","8.47","8.47","8.28","2.11M","-2.70%"
"Jun 11, 2019","8.53","8.33","8.55","8.32","6.18M","2.77%"
"Jun 10, 2019","8.30","8.17","8.32","8.13","2.34M","1.72%"
"Jun 07, 2019","8.16","8.04","8.19","8.02","2.16M","1.24%"
"Jun 06, 2019","8.06","8.05","8.14","8.01","6.77M","0.75%"
"Jun 05, 2019","8.00","7.94","8.02","7.89","2.42M","0.88%"
"Jun 04, 2019","7.93","8.02","8.04","7.88","2.47M","-1.37%"
"Jun 03, 2019","8.04","7.79","8.04","7.78","3.20M","2.81%"
"May 31, 2019","7.82","7.80","7.84","7.74","1.65M","-0.38%"
"May 30, 2019","7.85","7.85","7.95","7.83","2.42M","0.00%"
"May 29, 2019","7.85","7.74","7.90","7.69","3.73M","3.02%"
