"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","36.69","38.28","38.34","36.37","784.20K","-0.81%"
"Nov 04, 2019","36.99","38.28","38.34","36.46","897.90K","-2.91%"
"Nov 01, 2019","38.10","37.60","38.41","37.60","823.60K","0.93%"
"Oct 31, 2019","37.75","38.01","38.09","37.56","1.37M","-0.66%"
"Oct 30, 2019","38.00","37.15","38.47","36.91","1.06M","2.34%"
"Oct 29, 2019","37.13","36.52","37.13","36.41","578.60K","0.90%"
"Oct 28, 2019","36.80","36.59","36.80","35.90","474.30K","1.74%"
"Oct 25, 2019","36.17","36.40","36.44","36.03","443.80K","-0.90%"
"Oct 24, 2019","36.50","36.10","36.50","35.96","439.50K","1.30%"
"Oct 23, 2019","36.03","35.30","36.10","35.15","637.20K","2.36%"
"Oct 22, 2019","35.20","35.00","35.36","34.68","623.00K","0.17%"
"Oct 21, 2019","35.14","35.25","35.70","34.75","838.10K","-0.17%"
"Oct 18, 2019","35.20","35.56","35.65","35.05","327.30K","-0.93%"
"Oct 17, 2019","35.53","35.01","35.81","34.85","917.40K","1.51%"
"Oct 16, 2019","35.00","34.41","35.37","33.97","572.80K","2.34%"
"Oct 15, 2019","34.20","34.25","34.37","33.80","519.00K","0.03%"
"Oct 14, 2019","34.19","34.15","34.42","34.01","496.80K","0.18%"
"Oct 11, 2019","34.13","34.57","34.90","34.00","835.20K","-0.50%"
"Oct 10, 2019","34.30","35.07","35.09","34.14","1.27M","-2.28%"
"Oct 09, 2019","35.10","36.01","36.20","34.82","965.10K","-2.55%"
"Oct 08, 2019","36.02","36.87","37.15","35.71","1.12M","-1.56%"
"Oct 07, 2019","36.59","35.86","36.98","35.33","939.70K","2.15%"
"Oct 04, 2019","35.82","35.35","35.99","35.03","895.50K","1.67%"
"Oct 03, 2019","35.23","34.83","35.23","34.14","822.70K","1.18%"
"Oct 02, 2019","34.82","35.35","35.35","34.49","637.50K","-1.36%"
"Oct 01, 2019","35.30","35.20","35.47","34.41","1.70M","0.86%"
"Sep 30, 2019","35.00","34.79","35.17","34.52","509.80K","0.60%"
"Sep 27, 2019","34.79","35.62","35.67","34.79","423.70K","-2.41%"
"Sep 26, 2019","35.65","35.19","35.65","35.07","340.50K","1.45%"
"Sep 25, 2019","35.14","35.81","35.90","35.04","408.20K","-1.57%"
"Sep 24, 2019","35.70","35.72","36.10","35.61","475.40K","0.56%"
