"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","11.35","11.82","11.82","11.06","3.91M","-2.07%"
"Nov 04, 2019","11.59","11.29","11.60","11.27","2.34M","3.57%"
"Nov 01, 2019","11.19","10.98","11.25","10.91","1.81M","2.29%"
"Oct 31, 2019","10.94","11.11","11.11","10.91","1.53M","-1.62%"
"Oct 30, 2019","11.12","11.14","11.19","11.02","876.68K","-0.54%"
"Oct 29, 2019","11.18","10.99","11.26","10.91","1.29M","1.27%"
"Oct 28, 2019","11.04","11.01","11.11","10.92","1.15M","0.73%"
"Oct 25, 2019","10.96","10.96","11.06","10.85","1.16M","-0.36%"
"Oct 24, 2019","11.00","11.17","11.23","10.93","1.30M","-0.90%"
"Oct 23, 2019","11.10","11.14","11.17","11.06","1.54M","-0.36%"
"Oct 22, 2019","11.14","10.92","11.18","10.87","1.06M","2.01%"
"Oct 21, 2019","10.92","11.03","11.08","10.90","1.20M","0.55%"
"Oct 18, 2019","10.86","11.03","11.04","10.72","1.01M","-1.90%"
"Oct 17, 2019","11.07","10.88","11.11","10.77","1.41M","2.41%"
"Oct 16, 2019","10.81","10.50","10.85","10.47","2.26M","2.76%"
"Oct 15, 2019","10.52","10.40","10.59","10.22","1.47M","1.35%"
"Oct 14, 2019","10.38","10.55","10.55","10.26","1.25M","-1.98%"
"Oct 11, 2019","10.59","10.82","10.97","10.57","1.60M","-0.28%"
"Oct 10, 2019","10.62","10.54","10.67","10.41","957.10K","0.95%"
"Oct 09, 2019","10.52","10.27","10.60","10.22","1.90M","3.65%"
"Oct 08, 2019","10.15","10.47","10.51","10.14","1.29M","-3.97%"
"Oct 07, 2019","10.57","10.45","10.68","10.38","1.14M","0.96%"
"Oct 04, 2019","10.47","10.41","10.50","10.20","1.21M","0.58%"
"Oct 03, 2019","10.41","10.27","10.43","9.97","1.71M","0.97%"
"Oct 02, 2019","10.31","10.49","10.51","10.14","1.49M","-2.55%"
"Oct 01, 2019","10.58","11.03","11.16","10.55","1.29M","-3.64%"
"Sep 30, 2019","10.98","10.67","11.00","10.59","1.89M","3.20%"
"Sep 27, 2019","10.64","10.82","10.92","10.63","1.86M","-1.12%"
"Sep 26, 2019","10.76","10.83","10.87","10.54","1.53M","-1.19%"
"Sep 25, 2019","10.89","10.82","10.97","10.67","1.54M","0.46%"
"Sep 24, 2019","10.84","11.08","11.14","10.75","1.82M","-2.25%"
"Sep 23, 2019","11.09","10.84","11.15","10.83","1.64M","1.74%"
"Sep 20, 2019","10.90","10.40","10.95","10.33","2.85M","4.91%"
"Sep 19, 2019","10.39","10.41","10.53","10.31","1.72M","0.19%"
"Sep 18, 2019","10.37","10.57","10.71","10.29","1.85M","-1.33%"
"Sep 17, 2019","10.51","10.59","10.67","10.41","1.36M","-0.94%"
"Sep 16, 2019","10.61","10.38","10.71","10.35","2.44M","1.63%"
"Sep 13, 2019","10.44","10.47","10.59","10.36","1.58M","0.58%"
"Sep 12, 2019","10.38","10.36","10.50","10.13","2.18M","-0.19%"
"Sep 11, 2019","10.40","9.96","10.41","9.77","1.89M","4.73%"
"Sep 10, 2019","9.93","9.47","9.93","9.44","1.78M","4.97%"
"Sep 09, 2019","9.46","9.25","9.48","9.20","2.24M","2.83%"
"Sep 06, 2019","9.20","9.21","9.31","9.18","1.21M","0.11%"
"Sep 05, 2019","9.19","9.11","9.23","9.04","1.35M","2.22%"
"Sep 04, 2019","8.99","9.02","9.15","8.90","1.33M","-0.22%"
"Sep 03, 2019","9.01","8.97","9.18","8.90","2.16M","-0.77%"
"Aug 30, 2019","9.08","9.24","9.24","9.01","817.18K","-1.09%"
"Aug 29, 2019","9.18","9.13","9.22","9.03","570.08K","1.55%"
"Aug 28, 2019","9.04","8.99","9.18","8.94","742.53K","0.56%"
"Aug 27, 2019","8.99","9.48","9.48","8.93","1.55M","-4.26%"
"Aug 26, 2019","9.39","9.39","9.48","9.22","1.11M","1.29%"
"Aug 23, 2019","9.27","9.55","9.67","9.22","1.36M","-2.83%"
"Aug 22, 2019","9.54","9.52","9.62","9.39","1.25M","1.06%"
"Aug 21, 2019","9.44","9.23","9.50","9.13","1.30M","3.06%"
"Aug 20, 2019","9.16","9.10","9.25","9.04","1.91M","0.77%"
"Aug 19, 2019","9.09","9.14","9.27","9.05","1.62M","1.00%"
"Aug 16, 2019","9.00","8.84","9.03","8.80","1.52M","2.74%"
"Aug 15, 2019","8.76","9.01","9.06","8.75","1.96M","-2.67%"
"Aug 14, 2019","9.00","9.13","9.40","8.92","1.91M","-3.02%"
"Aug 13, 2019","9.28","9.53","9.71","9.23","2.04M","-3.73%"
"Aug 12, 2019","9.64","9.70","9.80","9.50","2.17M","-0.92%"
"Aug 09, 2019","9.73","9.42","10.19","9.37","3.97M","-4.23%"
"Aug 08, 2019","10.16","9.63","10.19","9.62","3.54M","6.17%"
"Aug 07, 2019","9.57","9.59","9.69","9.47","1.82M","-1.44%"
"Aug 06, 2019","9.71","9.77","9.84","9.56","1.53M","0.10%"
"Aug 05, 2019","9.70","9.83","9.88","9.52","2.61M","-2.90%"
"Aug 02, 2019","9.99","10.22","10.36","9.82","2.08M","-2.73%"
"Aug 01, 2019","10.27","10.34","10.53","10.11","2.71M","-0.29%"
