"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","105.44","105.35","105.47","104.66","2.67M","0.14%"
"Oct 24, 2019","105.29","105.73","106.19","104.45","3.53M","0.07%"
"Oct 23, 2019","105.22","105.38","106.07","104.81","4.57M","0.70%"
"Oct 22, 2019","104.49","106.93","107.41","104.28","6.18M","-2.00%"
"Oct 21, 2019","106.62","108.45","108.61","106.46","4.19M","-1.39%"
"Oct 18, 2019","108.12","108.47","108.91","107.96","3.16M","-0.36%"
"Oct 17, 2019","108.51","108.63","108.98","108.09","2.34M","0.01%"
"Oct 16, 2019","108.50","108.17","108.74","107.42","3.00M","0.29%"
"Oct 15, 2019","108.19","108.11","108.48","107.53","2.80M","0.58%"
"Oct 14, 2019","107.57","107.94","108.21","107.31","1.94M","-0.01%"
"Oct 11, 2019","107.58","108.52","108.74","107.44","3.66M","0.15%"
"Oct 10, 2019","107.42","105.87","107.61","105.78","2.92M","0.63%"
"Oct 09, 2019","106.75","105.80","107.02","105.45","2.92M","1.66%"
"Oct 08, 2019","105.01","106.50","106.74","105.00","4.65M","-2.10%"
"Oct 07, 2019","107.26","107.92","108.36","107.17","4.00M","-1.20%"
"Oct 04, 2019","108.56","107.54","108.65","107.38","3.44M","1.52%"
"Oct 03, 2019","106.93","105.87","107.26","105.20","3.05M","0.93%"
"Oct 02, 2019","105.94","108.12","108.45","105.24","4.51M","-2.11%"
"Oct 01, 2019","108.22","108.84","109.70","108.05","3.67M","-0.37%"
"Sep 30, 2019","108.62","107.61","109.06","107.46","3.77M","1.21%"
"Sep 27, 2019","107.32","107.90","108.52","106.50","3.11M","-0.07%"
"Sep 26, 2019","107.40","107.94","107.98","106.28","4.36M","-0.20%"
"Sep 25, 2019","107.62","109.54","109.76","106.73","6.75M","-1.95%"
"Sep 24, 2019","109.76","111.14","112.05","109.48","6.25M","-0.97%"
"Sep 23, 2019","110.84","110.79","111.38","110.70","3.43M","-0.31%"
"Sep 20, 2019","111.18","111.46","111.60","110.65","7.40M","0.15%"
"Sep 19, 2019","111.01","110.33","111.73","110.13","3.73M","0.92%"
"Sep 18, 2019","110.00","109.50","110.32","108.87","5.53M","0.60%"
"Sep 17, 2019","109.34","109.05","110.03","108.96","4.33M","0.27%"
"Sep 16, 2019","109.05","109.50","109.79","108.83","3.40M","-0.57%"
"Sep 13, 2019","109.67","110.00","110.48","109.30","6.83M","-0.64%"
"Sep 12, 2019","110.38","109.50","111.24","109.39","5.20M","1.61%"
"Sep 11, 2019","108.63","108.20","109.37","107.50","6.21M","1.07%"
"Sep 10, 2019","107.48","107.22","107.58","106.08","5.06M","-0.42%"
"Sep 09, 2019","107.93","108.80","109.25","107.55","4.65M","-0.70%"
"Sep 06, 2019","108.69","107.87","108.75","107.42","4.48M","0.90%"
"Sep 05, 2019","107.72","108.76","108.76","107.23","4.15M","0.06%"
"Sep 04, 2019","107.66","107.89","108.09","107.16","4.32M","0.18%"
"Sep 03, 2019","107.47","107.24","107.65","106.79","4.36M","-0.39%"
"Aug 30, 2019","107.89","108.43","108.45","107.32","3.78M","0.08%"
"Aug 29, 2019","107.80","108.44","108.70","107.30","3.99M","-0.19%"
"Aug 28, 2019","108.00","106.98","108.46","106.97","3.92M","0.43%"
"Aug 27, 2019","107.54","106.97","107.83","106.95","4.43M","0.61%"
"Aug 26, 2019","106.89","106.61","106.96","106.17","3.09M","0.79%"
"Aug 23, 2019","106.05","107.66","108.03","105.55","5.32M","-1.65%"
"Aug 22, 2019","107.83","108.00","108.31","107.23","4.40M","0.04%"
"Aug 21, 2019","107.79","106.61","108.01","106.47","6.55M","0.82%"
"Aug 20, 2019","106.91","107.98","109.70","106.74","11.30M","2.62%"
"Aug 19, 2019","104.18","103.50","104.42","103.02","6.11M","1.38%"
"Aug 16, 2019","102.76","102.51","103.04","101.92","4.76M","0.99%"
"Aug 15, 2019","101.75","100.79","102.12","100.63","4.37M","0.81%"
"Aug 14, 2019","100.93","101.50","102.26","100.81","4.72M","-1.44%"
"Aug 13, 2019","102.40","101.27","102.70","101.02","3.70M","1.39%"
"Aug 12, 2019","101.00","101.67","102.01","100.66","2.67M","-0.66%"
"Aug 09, 2019","101.67","101.88","102.99","101.46","6.60M","-0.60%"
"Aug 08, 2019","102.28","101.53","102.60","100.93","4.95M","0.88%"
"Aug 07, 2019","101.39","100.36","101.84","99.13","3.95M","0.15%"
"Aug 06, 2019","101.24","100.00","101.29","99.34","4.79M","1.74%"
"Aug 05, 2019","99.51","100.31","101.52","98.42","4.60M","-2.76%"
"Aug 02, 2019","102.33","102.02","102.76","101.45","3.63M","-0.04%"
"Aug 01, 2019","102.37","101.86","103.71","101.55","4.29M","0.42%"
"Jul 31, 2019","101.94","103.53","103.95","101.24","6.94M","-1.74%"
"Jul 30, 2019","103.75","102.97","103.87","102.51","3.89M","0.47%"
"Jul 29, 2019","103.26","102.57","103.46","102.20","3.13M","0.69%"
"Jul 26, 2019","102.55","102.50","103.29","101.90","3.52M","0.45%"
"Jul 25, 2019","102.09","102.09","102.26","101.48","3.01M","-0.23%"
"Jul 24, 2019","102.33","101.85","102.37","101.28","3.43M","0.71%"
"Jul 23, 2019","101.61","101.56","101.95","101.11","3.30M","0.37%"
"Jul 22, 2019","101.24","101.12","101.86","100.96","3.06M","0.44%"
"Jul 19, 2019","100.80","102.08","102.74","100.79","5.29M","-0.53%"
"Jul 18, 2019","101.34","100.60","101.84","100.59","3.92M","0.42%"
"Jul 17, 2019","100.92","100.27","101.32","99.85","5.58M","1.05%"
"Jul 16, 2019","99.87","99.98","100.26","99.54","3.63M","0.05%"
"Jul 15, 2019","99.82","99.29","99.87","98.96","3.08M","0.57%"
"Jul 12, 2019","99.25","99.87","100.00","98.46","3.55M","-0.75%"
"Jul 11, 2019","100.00","99.60","100.00","98.95","3.98M","1.16%"
"Jul 10, 2019","98.85","98.50","98.95","98.01","3.48M","0.42%"
"Jul 09, 2019","98.44","98.40","99.11","98.12","5.67M","0.43%"
"Jul 08, 2019","98.02","98.16","98.39","97.50","4.38M","-0.09%"
"Jul 05, 2019","98.11","97.91","98.35","97.44","2.32M","-0.71%"
"Jul 03, 2019","98.81","98.06","98.81","97.87","2.33M","0.78%"
"Jul 02, 2019","98.05","98.10","98.60","97.65","3.38M","-0.05%"
"Jul 01, 2019","98.10","98.29","98.56","97.38","3.33M","0.73%"
"Jun 28, 2019","97.39","97.90","97.98","96.88","5.54M","-0.09%"
"Jun 27, 2019","97.48","97.84","98.05","96.52","7.43M","0.27%"
"Jun 26, 2019","97.22","98.46","98.49","96.85","4.32M","-1.70%"
"Jun 25, 2019","98.90","99.15","99.69","98.84","4.42M","-0.26%"
"Jun 24, 2019","99.16","99.29","99.87","98.90","4.04M","-0.22%"
"Jun 21, 2019","99.38","99.21","99.77","98.44","7.03M","0.12%"
"Jun 20, 2019","99.26","99.31","99.90","98.45","4.89M","0.52%"
"Jun 19, 2019","98.75","97.63","99.06","97.59","4.31M","0.81%"
"Jun 18, 2019","97.96","97.82","98.39","97.45","3.65M","0.66%"
"Jun 17, 2019","97.32","97.51","97.74","97.05","2.75M","-0.18%"
"Jun 14, 2019","97.50","97.60","98.16","97.37","3.06M","0.00%"
"Jun 13, 2019","97.50","97.50","97.77","96.98","4.28M","-0.03%"
"Jun 12, 2019","97.53","97.53","97.98","97.19","3.11M","-0.03%"
"Jun 11, 2019","97.56","98.00","98.74","97.14","3.62M","-0.19%"
"Jun 10, 2019","97.75","97.03","97.83","96.82","3.98M","0.66%"
"Jun 07, 2019","97.11","96.94","97.47","96.89","4.85M","0.63%"
"Jun 06, 2019","96.50","96.51","97.23","95.70","6.50M","-0.05%"
"Jun 05, 2019","96.55","95.70","96.86","95.00","7.87M","2.27%"
"Jun 04, 2019","94.41","94.00","94.72","93.38","6.87M","1.16%"
"Jun 03, 2019","93.33","92.78","94.00","92.36","8.49M","0.81%"
"May 31, 2019","92.58","92.12","92.93","91.83","5.95M","0.00%"
"May 30, 2019","92.58","91.87","93.37","91.58","4.40M","1.16%"
"May 29, 2019","91.52","91.18","91.78","90.25","5.83M","0.23%"
"May 28, 2019","91.31","92.89","93.50","91.25","8.85M","-1.85%"
"May 24, 2019","93.03","92.40","93.92","92.01","7.34M","1.52%"
"May 23, 2019","91.64","91.08","91.79","90.12","12.99M","3.24%"
"May 22, 2019","88.76","87.72","89.12","87.42","7.39M","1.13%"
"May 21, 2019","87.77","88.02","88.69","87.71","6.40M","0.23%"
"May 20, 2019","87.57","87.51","88.00","86.89","4.68M","-0.18%"
"May 17, 2019","87.73","87.22","88.58","87.15","4.74M","-0.43%"
"May 16, 2019","88.11","88.67","89.26","88.07","5.01M","-0.18%"
"May 15, 2019","88.27","87.23","88.61","86.76","3.70M","0.70%"
"May 14, 2019","87.66","87.45","88.31","87.31","3.19M","0.38%"
"May 13, 2019","87.33","87.26","87.57","86.62","3.82M","-1.13%"
"May 10, 2019","88.33","87.53","88.65","86.09","4.24M","0.22%"
"May 09, 2019","88.14","88.34","88.34","86.69","6.84M","-0.97%"
"May 08, 2019","89.00","89.02","89.47","88.79","4.56M","-0.30%"
"May 07, 2019","89.27","89.75","90.30","88.74","6.46M","-0.98%"
"May 06, 2019","90.15","88.50","90.35","88.24","5.50M","0.64%"
"May 03, 2019","89.58","89.55","89.86","89.13","3.71M","0.49%"
"May 02, 2019","89.14","88.29","89.17","88.03","4.76M","0.94%"
"May 01, 2019","88.31","88.82","89.08","87.41","4.69M","-0.56%"
"Apr 30, 2019","88.81","87.61","89.10","87.40","7.38M","1.57%"
"Apr 29, 2019","87.44","87.23","87.65","86.92","4.07M","0.10%"
"Apr 26, 2019","87.35","87.25","87.49","86.74","3.44M","0.56%"
"Apr 25, 2019","86.86","85.75","86.94","85.36","5.93M","1.42%"
"Apr 24, 2019","85.64","84.89","86.27","84.36","4.39M","0.63%"
"Apr 23, 2019","85.10","84.47","85.78","84.40","6.42M","1.13%"
"Apr 22, 2019","84.15","83.76","84.69","83.65","3.88M","-0.08%"
"Apr 18, 2019","84.22","84.54","84.64","82.77","6.80M","-0.60%"
"Apr 17, 2019","84.73","86.24","86.42","84.55","9.39M","-1.65%"
"Apr 16, 2019","86.15","87.51","87.55","86.05","8.42M","-0.83%"
"Apr 15, 2019","86.87","87.13","87.29","86.67","5.82M","0.14%"
"Apr 12, 2019","86.75","88.00","88.07","86.62","7.32M","-0.97%"
"Apr 11, 2019","87.60","89.20","89.20","87.25","7.88M","-1.16%"
"Apr 10, 2019","88.63","88.72","89.35","88.49","5.03M","-0.10%"
"Apr 09, 2019","88.72","88.68","89.12","88.47","4.94M","-0.30%"
"Apr 08, 2019","88.99","89.17","89.17","88.00","5.46M","0.07%"
"Apr 05, 2019","88.93","89.72","90.04","88.73","6.21M","-0.34%"
"Apr 04, 2019","89.23","88.50","89.47","88.08","6.09M","0.88%"
"Apr 03, 2019","88.45","90.84","90.86","88.31","7.63M","-2.16%"
"Apr 02, 2019","90.40","90.95","91.02","90.16","3.68M","-0.32%"
"Apr 01, 2019","90.69","91.63","91.87","90.39","4.47M","-0.43%"
"Mar 29, 2019","91.08","90.22","91.19","89.80","4.74M","1.25%"
"Mar 28, 2019","89.96","90.30","90.66","89.47","6.53M","-0.33%"
"Mar 27, 2019","90.26","91.07","91.29","89.51","4.82M","-0.89%"
"Mar 26, 2019","91.07","91.36","92.17","90.61","4.46M","0.50%"
"Mar 25, 2019","90.62","90.38","90.97","90.01","3.34M","0.25%"
"Mar 22, 2019","90.39","91.63","92.11","90.37","4.29M","-1.86%"
"Mar 21, 2019","92.10","90.97","92.90","90.63","4.22M","0.41%"
"Mar 20, 2019","91.72","92.39","92.55","91.54","4.77M","-1.01%"
"Mar 19, 2019","92.66","92.06","92.88","91.42","5.91M","0.84%"
"Mar 18, 2019","91.89","93.26","93.62","91.21","8.35M","-2.03%"
"Mar 15, 2019","93.79","93.36","94.20","93.29","9.49M","0.49%"
"Mar 14, 2019","93.33","93.10","93.53","92.44","5.58M","0.33%"
"Mar 13, 2019","93.02","92.86","93.64","92.64","6.64M","0.63%"
"Mar 12, 2019","92.44","92.24","92.81","91.90","6.15M","0.48%"
"Mar 11, 2019","92.00","90.97","92.11","90.88","4.64M","1.64%"
"Mar 08, 2019","90.52","90.98","91.28","89.50","4.11M","-0.61%"
"Mar 07, 2019","91.08","91.81","92.13","90.86","4.88M","-1.09%"
"Mar 06, 2019","92.08","92.88","93.02","91.98","4.07M","-0.69%"
"Mar 05, 2019","92.72","92.01","93.03","91.45","6.07M","0.47%"
"Mar 04, 2019","92.29","92.51","93.16","91.25","5.62M","0.22%"
"Mar 01, 2019","92.09","91.18","92.17","90.95","8.02M","1.76%"
"Feb 28, 2019","90.50","90.93","91.27","90.39","12.19M","-0.43%"
"Feb 27, 2019","90.89","91.00","91.39","90.57","7.33M","-0.44%"
"Feb 26, 2019","91.29","92.25","92.45","91.21","4.54M","-1.01%"
"Feb 25, 2019","92.22","93.92","94.06","92.17","7.22M","-1.65%"
"Feb 22, 2019","93.77","93.00","93.83","92.94","4.55M","1.25%"
"Feb 21, 2019","92.61","92.67","92.89","92.12","4.22M","-0.20%"
"Feb 20, 2019","92.80","92.45","93.00","92.21","4.92M","0.51%"
"Feb 19, 2019","92.33","93.22","94.59","92.23","6.89M","0.07%"
"Feb 15, 2019","92.27","91.96","92.34","91.53","5.62M","1.14%"
"Feb 14, 2019","91.23","90.84","91.63","90.54","4.64M","0.62%"
"Feb 13, 2019","90.67","90.76","90.95","90.20","3.48M","0.47%"
"Feb 12, 2019","90.25","90.00","90.52","89.27","3.71M","0.73%"
"Feb 11, 2019","89.60","89.48","89.90","89.14","4.02M","0.66%"
"Feb 08, 2019","89.01","88.43","89.51","88.17","3.98M","0.12%"
"Feb 07, 2019","88.90","88.41","89.36","88.13","4.30M","0.05%"
"Feb 06, 2019","88.86","88.28","89.10","87.81","3.42M","0.94%"
"Feb 05, 2019","88.03","88.26","88.62","87.75","5.64M","0.25%"
"Feb 04, 2019","87.81","88.31","88.46","86.84","4.97M","-0.57%"
"Feb 01, 2019","88.31","88.87","89.45","87.73","5.73M","-0.09%"
"Jan 31, 2019","88.39","87.74","89.32","87.51","9.54M","0.64%"
"Jan 30, 2019","87.83","86.49","87.97","86.26","5.39M","1.57%"
"Jan 29, 2019","86.47","85.96","87.08","85.96","3.67M","0.06%"
"Jan 28, 2019","86.42","86.52","87.00","85.66","5.14M","-0.69%"
"Jan 25, 2019","87.02","87.68","87.91","86.70","5.28M","-0.24%"
"Jan 24, 2019","87.23","87.26","87.32","86.43","4.52M","0.08%"
"Jan 23, 2019","87.16","87.08","87.29","85.91","4.64M","0.18%"
"Jan 22, 2019","87.00","86.82","87.02","86.00","6.57M","-0.34%"
"Jan 18, 2019","87.30","88.52","88.62","86.31","8.55M","-0.34%"
"Jan 17, 2019","87.60","86.97","88.19","86.79","7.52M","0.70%"
"Jan 16, 2019","86.99","86.58","87.31","86.20","5.07M","1.12%"
"Jan 15, 2019","86.03","85.27","86.57","85.03","6.32M","1.51%"
"Jan 14, 2019","84.75","84.35","84.98","84.11","5.29M","-0.11%"
"Jan 11, 2019","84.84","84.17","84.88","83.45","5.05M","0.00%"
"Jan 10, 2019","84.84","83.86","84.91","83.34","5.28M","0.64%"
"Jan 09, 2019","84.30","83.79","85.50","83.45","7.89M","1.53%"
"Jan 08, 2019","83.03","83.28","83.96","81.66","14.47M","0.70%"
"Jan 07, 2019","82.45","88.37","89.08","82.24","17.46M","-6.45%"
"Jan 04, 2019","88.13","86.84","88.71","86.74","6.28M","3.14%"
"Jan 03, 2019","85.45","87.62","87.73","85.18","6.10M","-2.81%"
"Jan 02, 2019","87.92","89.53","90.14","87.09","7.10M","-3.34%"
"Dec 31, 2018","90.96","89.92","91.21","89.60","5.44M","1.90%"
"Dec 28, 2018","89.26","90.21","90.64","88.95","4.51M","-0.44%"
"Dec 27, 2018","89.65","87.45","89.66","86.38","6.02M","1.12%"
"Dec 26, 2018","88.66","86.39","88.68","85.30","5.82M","3.33%"
"Dec 24, 2018","85.80","88.23","88.59","85.80","3.75M","-3.16%"
"Dec 21, 2018","88.60","89.11","91.24","88.31","10.92M","-1.45%"
"Dec 20, 2018","89.90","91.15","91.88","89.11","7.69M","-1.49%"
"Dec 19, 2018","91.26","93.72","93.94","90.30","7.64M","-0.80%"
"Dec 18, 2018","92.00","92.96","93.28","91.20","5.66M","0.16%"
"Dec 17, 2018","91.85","93.47","93.47","91.17","7.22M","-2.00%"
"Dec 14, 2018","93.72","94.40","94.76","93.11","6.34M","-1.86%"
"Dec 13, 2018","95.50","96.58","96.91","94.97","4.95M","-0.22%"
"Dec 12, 2018","95.71","96.40","97.12","95.68","6.05M","0.25%"
"Dec 11, 2018","95.47","96.48","97.41","94.99","4.77M","-0.01%"
"Dec 10, 2018","95.48","94.00","95.91","92.91","5.09M","1.32%"
"Dec 07, 2018","94.24","95.92","96.22","93.50","5.90M","-2.08%"
"Dec 06, 2018","96.24","95.21","96.24","93.66","8.22M","-0.26%"
"Dec 04, 2018","96.49","98.58","99.41","96.10","7.12M","-2.29%"
"Dec 03, 2018","98.75","98.00","99.14","97.92","6.26M","1.25%"
"Nov 30, 2018","97.53","96.81","97.59","96.76","6.58M","0.96%"
"Nov 29, 2018","96.60","95.38","97.31","95.31","6.01M","1.29%"
"Nov 28, 2018","95.37","93.39","95.57","93.31","6.59M","2.41%"
"Nov 27, 2018","93.13","91.69","93.16","91.29","6.09M","1.16%"
"Nov 26, 2018","92.06","90.62","92.58","90.51","4.96M","0.05%"
"Nov 23, 2018","92.01","92.50","93.00","91.71","2.56M","-1.03%"
"Nov 21, 2018","92.97","92.76","93.31","91.65","6.83M","0.88%"
"Nov 20, 2018","92.16","94.87","94.89","91.33","8.27M","1.98%"
"Nov 19, 2018","90.37","94.01","94.23","90.04","6.78M","-3.55%"
"Nov 16, 2018","93.70","92.72","94.60","92.72","7.92M","1.00%"
"Nov 15, 2018","92.77","91.54","92.79","89.86","6.58M","0.72%"
"Nov 14, 2018","92.11","92.86","93.53","91.54","4.29M","0.04%"
"Nov 13, 2018","92.07","92.60","93.09","91.74","4.95M","-0.62%"
"Nov 12, 2018","92.64","94.48","94.63","92.23","4.28M","-1.82%"
"Nov 09, 2018","94.36","94.69","94.86","93.85","4.31M","-0.40%"
"Nov 08, 2018","94.74","94.00","94.75","93.60","5.33M","0.66%"
"Nov 07, 2018","94.12","93.24","94.20","92.91","5.48M","1.74%"
"Nov 06, 2018","92.51","91.54","92.61","91.25","3.93M","0.98%"
"Nov 05, 2018","91.61","91.95","92.32","91.19","3.96M","0.21%"
"Nov 02, 2018","91.42","91.89","92.85","90.68","5.05M","-0.14%"
"Nov 01, 2018","91.55","90.13","91.95","90.00","5.21M","1.93%"
"Oct 31, 2018","89.82","91.00","91.36","89.75","8.50M","-0.50%"
