"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 16, 2019","122.96","123.94","123.94","122.56","6.54K","0.13%"
"Oct 15, 2019","122.80","122.15","123.80","122.15","8.22K","0.42%"
"Oct 14, 2019","122.29","121.91","122.29","121.90","3.87K","0.32%"
"Oct 11, 2019","121.90","122.18","122.32","121.90","7.09K","-0.23%"
"Oct 10, 2019","122.18","121.01","122.20","121.01","4.84K","0.98%"
"Oct 09, 2019","121.00","121.00","121.90","120.50","6.12K","-0.04%"
"Oct 08, 2019","121.05","121.00","121.05","120.51","4.56K","0.04%"
"Oct 07, 2019","121.00","121.05","121.15","120.70","3.01K","0.27%"
"Oct 04, 2019","120.68","120.79","121.04","120.00","10.29K","-0.13%"
"Oct 03, 2019","120.84","120.50","120.86","120.40","3.75K","0.32%"
"Oct 02, 2019","120.45","120.02","120.50","120.01","4.34K","0.37%"
"Oct 01, 2019","120.00","120.80","120.89","119.00","7.34K","-0.74%"
"Sep 30, 2019","120.89","120.54","120.92","120.45","7.15K","0.29%"
"Sep 27, 2019","120.54","119.95","120.68","119.95","5.86K","0.49%"
"Sep 26, 2019","119.95","119.77","120.39","119.59","9.09K","0.30%"
"Sep 25, 2019","119.59","119.04","119.64","119.00","5.50K","0.45%"
"Sep 24, 2019","119.06","118.18","119.15","118.13","7.19K","0.75%"
"Sep 23, 2019","118.17","118.11","118.86","118.11","7.03K","0.05%"
"Sep 20, 2019","118.11","117.96","118.11","117.57","6.46K","-0.50%"
"Sep 19, 2019","118.70","118.75","119.00","118.45","6.04K","0.00%"
"Sep 18, 2019","118.70","118.05","119.00","118.05","7.65K","0.47%"
"Sep 17, 2019","118.14","117.03","118.20","117.03","4.85K","0.99%"
"Sep 16, 2019","116.98","116.98","117.02","116.30","5.23K","0.07%"
"Sep 13, 2019","116.90","116.82","117.00","116.00","6.49K","0.06%"
"Sep 12, 2019","116.83","116.53","117.00","116.30","4.07K","0.28%"
"Sep 11, 2019","116.50","116.71","117.00","115.55","7.51K","0.00%"
"Sep 10, 2019","116.50","117.25","117.33","116.50","4.31K","-0.64%"
"Sep 09, 2019","117.25","117.10","117.25","116.58","9.92K","0.26%"
"Sep 06, 2019","116.95","117.10","117.45","116.79","4.79K","-0.04%"
"Sep 05, 2019","117.00","117.21","117.60","117.00","7.54K","-0.17%"
"Sep 04, 2019","117.20","117.64","117.90","116.98","7.71K","-0.37%"
"Sep 03, 2019","117.64","117.43","117.90","116.75","7.92K","0.24%"
"Sep 02, 2019","117.36","117.00","118.20","115.70","8.53K","-0.73%"
"Aug 30, 2019","118.22","117.67","118.42","117.62","14.32K","0.78%"
"Aug 29, 2019","117.31","116.88","117.67","116.88","4.74K","0.41%"
"Aug 28, 2019","116.83","116.44","116.88","116.14","6.11K","0.66%"
"Aug 27, 2019","116.06","116.43","116.43","114.95","8.80K","-0.32%"
"Aug 26, 2019","116.43","115.56","116.68","114.96","5.08K","1.45%"
"Aug 23, 2019","114.77","113.96","114.84","113.87","9.52K","0.71%"
"Aug 22, 2019","113.96","116.92","116.92","113.88","13.27K","-2.09%"
"Aug 21, 2019","116.39","116.93","117.89","115.94","8.98K","-0.25%"
"Aug 20, 2019","116.68","118.22","118.22","109.00","17.56K","-2.20%"
"Aug 19, 2019","119.30","119.50","119.60","118.90","5.79K","-0.17%"
"Aug 16, 2019","119.50","119.59","119.97","118.91","6.05K","0.26%"
"Aug 15, 2019","119.19","119.99","119.99","119.19","5.89K","-0.67%"
"Aug 14, 2019","120.00","120.09","120.09","119.20","5.43K","-0.07%"
"Aug 13, 2019","120.09","119.99","120.10","119.90","4.76K","0.03%"
"Aug 12, 2019","120.05","120.10","120.14","119.53","5.38K","-0.06%"
"Aug 09, 2019","120.12","120.02","120.12","119.79","7.11K","0.08%"
"Aug 08, 2019","120.02","120.00","120.09","119.96","4.85K","0.02%"
"Aug 07, 2019","120.00","120.00","120.09","119.80","4.68K","0.00%"
"Aug 06, 2019","120.00","119.99","120.11","119.90","3.29K","0.06%"
"Aug 05, 2019","119.93","120.03","120.04","119.71","4.58K","-0.07%"
"Aug 02, 2019","120.01","120.10","120.50","119.60","4.92K","-0.07%"
"Aug 01, 2019","120.10","120.70","120.98","118.68","9.86K","-1.45%"
