"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2019","22.44","22.16","22.68","22.11","1.09M","1.08%"
"Oct 24, 2019","22.20","21.41","22.22","21.41","1.78M","3.98%"
"Oct 23, 2019","21.35","20.91","21.39","20.82","1.85M","2.40%"
"Oct 22, 2019","20.85","20.83","21.15","20.66","923.98K","0.29%"
"Oct 21, 2019","20.79","20.83","21.10","20.56","1.30M","2.46%"
"Oct 18, 2019","20.29","20.49","20.64","20.25","923.07K","-1.60%"
"Oct 17, 2019","20.62","20.63","21.04","20.57","1.37M","-0.48%"
"Oct 16, 2019","20.72","20.71","20.80","20.48","1.29M","0.63%"
"Oct 15, 2019","20.59","20.31","20.64","20.27","1.59M","1.48%"
"Oct 14, 2019","20.29","20.34","20.45","20.19","804.87K","-0.05%"
"Oct 11, 2019","20.30","19.76","20.52","19.76","1.70M","4.16%"
"Oct 10, 2019","19.49","19.43","19.92","19.35","1.50M","0.15%"
"Oct 09, 2019","19.46","19.14","19.51","19.10","867.64K","2.64%"
"Oct 08, 2019","18.96","19.28","19.31","18.84","1.05M","-3.36%"
"Oct 07, 2019","19.62","19.45","19.84","19.20","1.18M","0.98%"
"Oct 04, 2019","19.43","19.44","19.54","19.26","1.21M","-0.82%"
"Oct 03, 2019","19.59","19.65","19.75","19.35","2.85M","-0.31%"
"Oct 02, 2019","19.65","19.52","19.71","19.21","1.30M","0.46%"
"Oct 01, 2019","19.56","19.46","19.82","19.16","2.20M","0.77%"
"Sep 30, 2019","19.41","19.53","19.59","19.06","1.94M","1.36%"
"Sep 27, 2019","19.15","20.31","20.86","19.05","2.86M","-5.43%"
"Sep 26, 2019","20.25","20.51","20.55","19.99","1.49M","-1.36%"
"Sep 25, 2019","20.53","20.31","20.55","19.97","755.31K","0.93%"
"Sep 24, 2019","20.34","20.80","20.96","20.23","860.93K","-1.26%"
"Sep 23, 2019","20.60","20.55","20.89","20.38","791.43K","-0.96%"
"Sep 20, 2019","20.80","21.27","21.32","20.62","1.19M","-1.61%"
"Sep 19, 2019","21.14","21.39","21.48","21.01","1.09M","-1.12%"
"Sep 18, 2019","21.38","21.51","21.81","21.08","1.24M","-0.14%"
"Sep 17, 2019","21.41","21.29","21.48","21.16","1.34M","-0.74%"
"Sep 16, 2019","21.57","21.40","21.61","21.25","2.00M","-0.55%"
"Sep 13, 2019","21.69","21.57","21.85","21.42","2.25M","1.88%"
"Sep 12, 2019","21.29","21.50","21.80","21.27","975.96K","-0.79%"
"Sep 11, 2019","21.46","21.54","21.75","21.18","702.84K","0.09%"
"Sep 10, 2019","21.44","21.84","21.84","21.35","815.01K","-0.28%"
"Sep 09, 2019","21.50","21.08","21.51","21.07","658.68K","2.63%"
"Sep 06, 2019","20.95","21.01","21.34","20.94","1.26M","-0.05%"
"Sep 05, 2019","20.96","21.09","21.26","20.94","1.75M","0.38%"
"Sep 04, 2019","20.88","20.76","21.00","20.57","2.92M","4.09%"
"Sep 03, 2019","20.06","20.30","20.30","19.91","1.42M","-3.56%"
"Aug 30, 2019","20.80","20.98","21.17","20.71","820.87K","-0.05%"
"Aug 29, 2019","20.81","20.55","20.90","20.52","1.22M","1.66%"
"Aug 28, 2019","20.47","20.21","20.51","20.09","1.19M","0.79%"
"Aug 27, 2019","20.31","20.05","20.47","19.98","1.77M","2.27%"
"Aug 26, 2019","19.86","19.80","19.98","19.70","1.84M","0.97%"
"Aug 23, 2019","19.67","20.18","20.22","19.36","1.56M","-3.63%"
"Aug 22, 2019","20.41","20.73","20.98","20.34","2.28M","-1.54%"
"Aug 21, 2019","20.73","20.92","21.19","20.64","905.30K","-0.67%"
"Aug 20, 2019","20.87","20.76","20.93","20.37","1.06M","0.77%"
"Aug 19, 2019","20.71","20.79","21.09","20.69","1.82M","3.34%"
"Aug 16, 2019","20.04","19.41","20.13","19.41","1.89M","4.21%"
"Aug 15, 2019","19.23","19.15","19.53","18.97","1.91M","1.05%"
"Aug 14, 2019","19.03","19.50","19.50","18.86","2.96M","-4.42%"
"Aug 13, 2019","19.91","19.80","20.54","19.80","3.19M","0.00%"
"Aug 12, 2019","19.91","19.90","20.14","19.77","1.44M","-1.19%"
"Aug 09, 2019","20.15","20.05","20.23","19.83","1.23M","-0.89%"
"Aug 08, 2019","20.33","20.01","20.37","19.71","1.60M","2.11%"
"Aug 07, 2019","19.91","20.09","20.23","19.76","1.54M","-2.55%"
"Aug 06, 2019","20.43","20.34","20.44","19.89","4.20M","4.39%"
"Aug 05, 2019","19.57","20.00","20.27","19.47","4.10M","-6.59%"
"Aug 02, 2019","20.95","21.38","21.45","20.70","3.39M","-3.85%"
"Aug 01, 2019","21.79","22.37","23.07","21.71","2.83M","-3.03%"
"Jul 31, 2019","22.47","23.72","23.72","22.32","2.82M","-5.23%"
"Jul 30, 2019","23.71","23.81","23.82","23.39","1.93M","0.04%"
"Jul 29, 2019","23.70","23.96","24.02","23.33","1.91M","-1.09%"
"Jul 26, 2019","23.96","24.81","24.98","23.86","2.90M","-2.24%"
"Jul 25, 2019","24.51","24.90","25.49","24.32","2.16M","-1.96%"
"Jul 24, 2019","25.00","24.97","25.23","24.56","2.15M","0.64%"
"Jul 23, 2019","24.84","24.61","24.91","24.29","2.12M","0.57%"
"Jul 22, 2019","24.70","24.45","24.71","24.45","1.46M","1.15%"
"Jul 19, 2019","24.42","24.64","24.77","24.39","864.47K","-0.16%"
"Jul 18, 2019","24.46","24.15","24.49","24.00","1.13M","0.78%"
"Jul 17, 2019","24.27","24.68","24.68","24.18","646.36K","-1.34%"
"Jul 16, 2019","24.60","24.62","24.84","24.48","1.15M","0.57%"
"Jul 15, 2019","24.46","23.88","24.48","23.82","1.59M","2.99%"
"Jul 12, 2019","23.75","23.85","23.91","23.67","784.54K","-0.42%"
"Jul 11, 2019","23.85","23.58","24.02","23.57","1.89M","1.15%"
"Jul 10, 2019","23.58","23.80","23.97","23.54","2.06M","-0.04%"
"Jul 09, 2019","23.59","23.32","23.90","23.18","1.82M","0.38%"
"Jul 08, 2019","23.50","23.76","23.76","23.39","1.57M","-0.13%"
"Jul 05, 2019","23.53","23.00","23.55","23.00","1.10M","0.90%"
"Jul 03, 2019","23.32","23.44","23.59","23.16","759.32K","-0.68%"
"Jul 02, 2019","23.48","22.80","23.50","22.75","1.97M","2.85%"
"Jul 01, 2019","22.83","22.66","23.45","22.66","2.98M","5.11%"
"Jun 28, 2019","21.72","22.00","22.12","21.55","1.08M","-0.64%"
"Jun 27, 2019","21.86","21.70","21.93","21.56","1.41M","1.53%"
"Jun 26, 2019","21.53","21.57","21.77","21.44","1.48M","0.75%"
"Jun 25, 2019","21.37","21.31","21.51","21.23","1.43M","-0.19%"
"Jun 24, 2019","21.41","21.73","21.73","21.35","1.28M","-0.97%"
"Jun 21, 2019","21.62","21.43","21.84","21.31","1.58M","-0.09%"
"Jun 20, 2019","21.64","22.11","22.49","21.59","2.00M","1.07%"
"Jun 19, 2019","21.41","21.11","21.47","21.05","2.12M","1.76%"
"Jun 18, 2019","21.04","20.02","21.31","20.02","2.69M","5.78%"
"Jun 17, 2019","19.89","20.14","20.14","19.78","847.90K","-0.75%"
"Jun 14, 2019","20.04","20.40","20.40","19.81","862.39K","-2.00%"
"Jun 13, 2019","20.45","20.24","20.75","20.24","2.52M","1.19%"
"Jun 12, 2019","20.21","20.20","20.34","19.90","1.02M","-0.79%"
"Jun 11, 2019","20.37","20.25","20.64","20.17","2.20M","1.95%"
"Jun 10, 2019","19.98","19.82","20.42","19.65","2.02M","3.15%"
"Jun 07, 2019","19.37","19.46","19.67","19.10","1.24M","0.05%"
"Jun 06, 2019","19.36","19.17","19.48","19.04","1.88M","1.10%"
"Jun 05, 2019","19.15","19.52","19.60","18.69","2.10M","-1.39%"
"Jun 04, 2019","19.42","18.91","19.52","18.91","2.55M","3.24%"
"Jun 03, 2019","18.81","19.21","19.28","18.68","3.03M","-2.54%"
"May 31, 2019","19.30","19.51","19.73","19.21","2.27M","-2.28%"
"May 30, 2019","19.75","20.92","20.93","19.62","3.00M","-5.59%"
"May 29, 2019","20.92","21.03","21.14","20.67","2.44M","-0.38%"
"May 28, 2019","21.00","20.71","21.14","20.56","6.25M","2.19%"
"May 24, 2019","20.55","20.78","20.95","20.51","1.91M","-0.44%"
"May 23, 2019","20.64","20.20","20.65","20.13","3.47M","0.19%"
"May 22, 2019","20.60","20.08","20.63","20.08","4.26M","0.59%"
"May 21, 2019","20.48","20.35","20.67","20.27","4.48M","1.69%"
"May 20, 2019","20.14","20.28","20.50","19.86","3.03M","-1.71%"
"May 17, 2019","20.49","21.10","21.18","20.38","5.32M","-4.21%"
"May 16, 2019","21.39","21.78","21.81","21.25","1.56M","-0.74%"
"May 15, 2019","21.55","21.27","21.77","21.05","1.51M","0.37%"
"May 14, 2019","21.47","21.48","21.78","21.27","2.25M","0.66%"
"May 13, 2019","21.33","21.63","21.71","20.98","4.47M","-4.01%"
"May 10, 2019","22.22","22.40","22.55","22.05","7.37M","-1.02%"
"May 09, 2019","22.45","23.26","23.26","22.41","4.25M","-4.79%"
