"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 30, 2019","168.19","168.30","168.57","167.07","1.48M","-0.37%"
"Oct 29, 2019","168.81","168.20","169.89","167.52","2.67M","-0.15%"
"Oct 28, 2019","169.06","166.48","169.71","166.20","3.14M","1.79%"
"Oct 25, 2019","166.09","162.51","167.63","162.13","3.10M","2.59%"
"Oct 24, 2019","161.89","165.16","165.25","159.63","5.96M","-4.07%"
"Oct 23, 2019","168.76","167.41","168.76","166.56","2.72M","0.73%"
"Oct 22, 2019","167.54","166.27","168.91","165.10","2.09M","0.96%"
"Oct 21, 2019","165.94","165.47","166.15","164.76","2.01M","1.74%"
"Oct 18, 2019","163.10","163.56","164.27","162.98","2.69M","-0.27%"
"Oct 17, 2019","163.54","163.14","165.49","163.08","1.98M","0.84%"
"Oct 16, 2019","162.18","163.10","164.20","162.12","1.95M","-0.49%"
"Oct 15, 2019","162.98","159.35","164.02","159.35","3.10M","1.54%"
"Oct 14, 2019","160.51","158.04","162.39","157.34","3.28M","1.52%"
"Oct 11, 2019","158.10","154.13","159.60","154.11","4.69M","3.80%"
"Oct 10, 2019","152.31","150.95","153.09","150.87","3.20M","0.87%"
"Oct 09, 2019","150.99","152.34","152.44","150.79","3.43M","0.17%"
"Oct 08, 2019","150.74","152.33","152.80","150.58","2.82M","-1.81%"
"Oct 07, 2019","153.52","155.00","155.35","153.52","2.52M","-1.48%"
"Oct 04, 2019","155.82","155.23","156.05","154.40","2.65M","0.38%"
"Oct 03, 2019","155.23","155.14","155.46","150.81","3.09M","-0.27%"
"Oct 02, 2019","155.65","157.06","157.22","154.63","3.05M","-1.72%"
"Oct 01, 2019","158.38","165.00","165.21","158.17","3.28M","-3.66%"
"Sep 30, 2019","164.40","165.21","165.56","163.94","2.57M","-0.08%"
"Sep 27, 2019","164.53","164.48","165.64","163.52","2.87M","0.43%"
"Sep 26, 2019","163.83","164.00","164.41","162.80","2.78M","-0.10%"
"Sep 25, 2019","164.00","164.76","164.98","163.69","2.79M","-0.45%"
"Sep 24, 2019","164.74","167.05","167.55","164.16","3.05M","-1.21%"
"Sep 23, 2019","166.76","165.49","167.43","164.50","2.11M","0.00%"
"Sep 20, 2019","166.76","167.43","169.17","166.48","3.71M","-0.19%"
"Sep 19, 2019","167.07","167.39","168.81","166.91","1.63M","-0.22%"
"Sep 18, 2019","167.44","167.61","168.05","165.25","2.19M","-0.37%"
"Sep 17, 2019","168.07","167.76","168.57","166.50","2.74M","-0.94%"
"Sep 16, 2019","169.67","171.21","171.21","167.91","2.46M","-1.03%"
"Sep 13, 2019","171.44","170.59","172.48","169.86","2.53M","0.50%"
"Sep 12, 2019","170.58","169.62","171.85","168.61","2.87M","1.49%"
"Sep 11, 2019","168.08","169.86","169.89","165.37","3.58M","-0.46%"
"Sep 10, 2019","168.86","166.16","169.10","166.01","3.24M","1.76%"
"Sep 09, 2019","165.94","165.00","167.85","164.69","3.09M","1.22%"
"Sep 06, 2019","163.94","164.64","164.88","162.95","1.76M","-0.18%"
"Sep 05, 2019","164.23","162.50","166.41","162.39","2.42M","2.60%"
"Sep 04, 2019","160.07","159.83","160.63","158.99","1.52M","0.90%"
"Sep 03, 2019","158.64","161.40","161.63","157.26","1.84M","-1.90%"
"Aug 30, 2019","161.72","161.57","162.15","160.41","1.97M","0.85%"
"Aug 29, 2019","160.36","159.30","161.03","159.05","3.17M","1.78%"
