"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","10.20","9.70","10.22","9.54","4.02M","8.86%"
"May 15, 2020","9.37","9.20","9.61","8.81","3.88M","0.97%"
"May 14, 2020","9.28","8.65","9.28","8.31","6.69M","9.18%"
"May 13, 2020","8.50","8.94","9.05","8.33","3.42M","-4.28%"
"May 12, 2020","8.88","9.07","9.50","8.71","2.98M","-1.11%"
"May 11, 2020","8.98","9.35","9.48","8.90","2.48M","-4.37%"
"May 08, 2020","9.39","9.49","9.65","9.17","2.60M","0.11%"
"May 07, 2020","9.38","10.20","10.20","9.35","3.32M","-6.20%"
"May 06, 2020","10.00","10.33","10.53","9.89","3.02M","-3.85%"
"May 05, 2020","10.40","10.80","10.85","10.33","2.70M","-1.33%"
"May 04, 2020","10.54","10.32","10.66","10.08","3.09M","-2.41%"
"Apr 30, 2020","10.80","11.05","11.35","10.72","3.58M","-5.10%"
"Apr 29, 2020","11.38","11.70","11.74","11.15","2.83M","0.00%"
"Apr 28, 2020","11.38","11.14","11.38","10.67","3.68M","5.76%"
"Apr 27, 2020","10.76","10.51","10.84","10.23","2.79M","7.28%"
"Apr 24, 2020","10.03","11.08","11.12","9.62","5.86M","-11.63%"
"Apr 23, 2020","11.35","12.00","12.45","11.05","4.43M","-2.83%"
"Apr 22, 2020","11.68","10.85","11.75","10.81","4.11M","8.75%"
"Apr 20, 2020","10.74","9.99","10.79","9.87","3.13M","5.50%"
"Apr 17, 2020","10.18","10.29","10.36","10.03","3.75M","2.62%"
"Apr 16, 2020","9.92","10.20","10.40","9.75","2.94M","-0.50%"
"Apr 15, 2020","9.97","9.65","10.47","9.46","3.54M","0.50%"
"Apr 14, 2020","9.92","9.84","10.19","9.72","3.34M","2.80%"
"Apr 13, 2020","9.65","9.80","10.00","9.41","2.78M","-2.13%"
"Apr 09, 2020","9.86","10.00","10.29","9.56","3.51M","1.54%"
"Apr 08, 2020","9.71","8.95","10.21","8.81","4.16M","8.49%"
"Apr 07, 2020","8.95","9.30","9.62","8.81","5.43M","3.83%"
"Apr 06, 2020","8.62","8.19","9.14","7.97","5.88M","10.65%"
"Apr 03, 2020","7.79","7.85","7.86","7.07","5.03M","-0.13%"
"Apr 02, 2020","7.80","8.01","8.13","7.52","7.14M","-1.02%"
"Apr 01, 2020","7.88","7.83","8.23","7.40","5.72M","-2.60%"
"Mar 31, 2020","8.09","8.82","8.90","7.94","7.24M","-8.07%"
"Mar 30, 2020","8.80","9.90","10.08","8.63","6.56M","-9.00%"
"Mar 27, 2020","9.67","9.50","10.30","9.23","5.51M","-2.91%"
"Mar 26, 2020","9.96","9.54","10.94","9.53","7.44M","2.15%"
"Mar 25, 2020","9.75","8.43","10.11","8.35","7.71M","17.05%"
"Mar 24, 2020","8.33","8.49","8.64","7.93","5.44M","8.04%"
"Mar 23, 2020","7.71","8.99","8.99","7.25","5.27M","-14.33%"
"Mar 20, 2020","9.00","9.99","10.03","8.66","5.19M","-3.23%"
"Mar 19, 2020","9.30","8.35","9.61","7.52","6.96M","4.49%"
"Mar 18, 2020","8.90","10.52","10.69","7.80","8.29M","-21.59%"
"Mar 17, 2020","11.35","12.30","12.60","11.13","6.31M","-5.50%"
"Mar 16, 2020","12.01","12.97","13.23","11.68","3.60M","-18.85%"
"Mar 13, 2020","14.80","15.50","15.90","13.00","5.03M","15.00%"
"Mar 12, 2020","12.87","13.40","13.89","12.52","3.85M","-16.70%"
"Mar 11, 2020","15.45","15.80","16.85","14.47","7.58M","-2.89%"
"Mar 10, 2020","15.91","15.70","16.31","14.77","4.33M","14.46%"
"Mar 09, 2020","13.90","14.75","14.82","13.21","4.25M","-15.35%"
"Mar 06, 2020","16.42","16.90","17.00","16.23","3.15M","-6.44%"
"Mar 05, 2020","17.55","18.94","18.94","17.05","3.16M","-8.07%"
"Mar 04, 2020","19.09","18.85","19.09","18.46","1.98M","4.32%"
"Mar 03, 2020","18.30","18.93","19.36","18.25","3.55M","-2.81%"
"Mar 02, 2020","18.83","18.11","19.25","18.10","3.22M","4.61%"
"Feb 28, 2020","18.00","18.10","18.35","17.30","4.60M","-1.32%"
"Feb 27, 2020","18.24","19.40","19.57","18.24","3.74M","-6.75%"
"Feb 26, 2020","19.56","20.90","20.90","19.37","3.29M","-9.90%"
"Feb 21, 2020","21.71","21.65","21.96","21.30","1.15M","-0.23%"
"Feb 20, 2020","21.76","22.50","22.53","21.65","1.44M","-3.25%"
"Feb 19, 2020","22.49","22.20","22.49","21.99","1.52M","1.76%"
"Feb 18, 2020","22.10","21.70","22.22","21.42","1.40M","1.56%"
"Feb 17, 2020","21.76","21.50","22.09","21.50","1.21M","1.12%"
"Feb 14, 2020","21.52","21.35","21.82","21.30","1.06M","1.03%"
"Feb 13, 2020","21.30","21.25","21.45","20.76","1.05M","-0.42%"
"Feb 12, 2020","21.39","21.17","21.84","20.76","2.09M","1.47%"
"Feb 11, 2020","21.08","20.35","21.10","20.28","1.01M","4.82%"
"Feb 10, 2020","20.11","20.75","20.87","20.00","1.38M","-3.46%"
"Feb 07, 2020","20.83","21.24","21.55","20.60","1.14M","-3.25%"
"Feb 06, 2020","21.53","22.30","22.55","21.36","2.10M","-3.02%"
"Feb 05, 2020","22.20","22.05","22.50","21.83","1.20M","2.21%"
"Feb 04, 2020","21.72","22.06","22.56","21.72","2.08M","-0.28%"
"Feb 03, 2020","21.78","20.98","22.00","20.84","1.55M","3.47%"
"Jan 31, 2020","21.05","21.21","21.41","20.96","1.72M","-1.82%"
"Jan 30, 2020","21.44","20.95","21.44","20.26","1.61M","1.08%"
"Jan 29, 2020","21.21","21.51","21.79","21.21","869.70K","-0.47%"
"Jan 28, 2020","21.31","20.65","21.58","20.60","996.30K","2.01%"
"Jan 27, 2020","20.89","20.60","21.07","20.19","1.36M","-2.38%"
