"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 05, 2019","46.25","45.56","46.43","45.43","8.69M","1.43%"
"Nov 04, 2019","45.60","45.16","45.66","45.12","8.86M","1.20%"
"Nov 01, 2019","45.06","44.60","45.41","44.58","9.25M","0.60%"
"Oct 31, 2019","44.79","46.60","47.15","44.57","12.70M","-2.55%"
"Oct 30, 2019","45.96","46.32","46.42","45.84","7.85M","-0.91%"
"Oct 29, 2019","46.38","45.60","46.38","45.26","9.04M","0.85%"
"Oct 28, 2019","45.99","46.66","46.75","45.95","12.44M","-1.73%"
"Oct 25, 2019","46.80","46.68","47.16","46.54","6.81M","-0.34%"
"Oct 24, 2019","46.96","46.76","47.12","46.37","8.24M","0.45%"
"Oct 23, 2019","46.75","46.40","46.80","46.07","9.72M","0.88%"
"Oct 22, 2019","46.34","45.56","46.36","45.16","10.32M","1.71%"
"Oct 21, 2019","45.56","44.55","45.60","44.51","10.45M","2.77%"
"Oct 18, 2019","44.33","44.28","44.56","44.14","13.22M","0.11%"
"Oct 17, 2019","44.28","43.90","44.28","43.53","9.29M","1.77%"
"Oct 16, 2019","43.51","43.45","43.72","43.30","7.93M","0.18%"
"Oct 15, 2019","43.43","42.75","43.57","42.74","7.01M","1.66%"
"Oct 14, 2019","42.72","42.52","42.80","42.38","6.93M","0.35%"
"Oct 11, 2019","42.57","43.12","43.40","42.41","7.74M","-0.95%"
"Oct 10, 2019","42.98","42.85","43.54","42.67","10.62M","1.22%"
"Oct 09, 2019","42.46","42.14","42.48","41.68","7.82M","1.10%"
"Oct 08, 2019","42.00","42.31","42.64","42.00","10.00M","-0.40%"
"Oct 07, 2019","42.17","41.96","42.55","41.85","16.21M","1.25%"
"Oct 04, 2019","41.65","40.56","41.66","40.55","12.54M","2.06%"
"Oct 03, 2019","40.81","40.20","40.90","40.13","12.01M","1.49%"
"Oct 02, 2019","40.21","40.97","40.98","40.11","10.93M","-2.31%"
"Oct 01, 2019","41.16","41.03","41.18","40.71","7.71M","0.64%"
"Sep 30, 2019","40.90","40.25","41.09","40.20","10.37M","1.92%"
"Sep 27, 2019","40.13","40.66","40.73","39.79","8.62M","-1.30%"
"Sep 26, 2019","40.66","39.76","40.79","39.72","11.91M","0.25%"
"Sep 25, 2019","40.56","41.48","41.65","39.44","26.07M","-0.42%"
"Sep 24, 2019","40.73","40.97","41.20","40.58","12.00M","-0.37%"
"Sep 23, 2019","40.88","40.63","41.61","40.52","10.99M","0.17%"
"Sep 20, 2019","40.81","40.43","41.32","39.95","31.28M","1.72%"
"Sep 19, 2019","40.12","40.86","41.04","39.30","22.85M","-1.76%"
"Sep 18, 2019","40.84","41.08","41.38","40.75","13.31M","-1.14%"
"Sep 17, 2019","41.31","41.50","41.80","41.24","11.71M","-0.24%"
"Sep 16, 2019","41.41","41.49","42.08","41.27","16.50M","-1.43%"
"Sep 13, 2019","42.01","43.44","43.51","41.97","21.10M","-5.51%"
"Sep 12, 2019","44.46","44.90","44.92","44.00","9.63M","-0.58%"
"Sep 11, 2019","44.72","44.30","44.97","43.65","16.16M","1.08%"
"Sep 10, 2019","44.24","43.51","44.24","43.47","11.31M","0.45%"
"Sep 09, 2019","44.04","44.00","44.28","43.62","10.16M","0.43%"
"Sep 06, 2019","43.85","44.02","44.32","43.66","10.43M","0.00%"
"Sep 05, 2019","43.85","44.55","44.60","43.81","9.05M","-1.02%"
"Sep 04, 2019","44.30","44.26","44.50","43.41","7.84M","0.59%"
"Sep 03, 2019","44.04","43.70","44.14","43.07","8.94M","0.69%"
"Aug 30, 2019","43.74","44.06","44.58","43.57","13.99M","-1.15%"
"Aug 29, 2019","44.25","46.17","46.30","43.85","18.22M","-3.49%"
"Aug 28, 2019","45.85","45.17","46.69","44.67","20.30M","1.33%"
"Aug 27, 2019","45.25","51.17","52.45","44.83","58.07M","-3.97%"
"Aug 26, 2019","47.12","46.97","47.61","46.49","12.76M","1.53%"
"Aug 23, 2019","46.41","46.91","47.18","46.15","10.74M","-0.39%"
"Aug 22, 2019","46.59","46.00","46.90","45.99","8.29M","0.74%"
"Aug 21, 2019","46.25","46.33","46.53","45.93","5.32M","0.48%"
"Aug 20, 2019","46.03","46.62","46.72","45.58","5.62M","-1.43%"
"Aug 19, 2019","46.70","46.83","47.19","46.64","4.44M","0.47%"
"Aug 16, 2019","46.48","45.70","46.73","45.69","6.99M","2.18%"
"Aug 15, 2019","45.49","45.88","46.18","45.22","6.36M","-0.83%"
